subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5fb70808c7c7bb1d76c2b9d4	649502	9.5	practice	z	1	absent	absent	absent	no	absent	1	2000
5fb70808c7c7bb1d76c2b9d4	654842	9.5	practice	z	2	square	local	LVF	yes	present	1	1361
5fb70808c7c7bb1d76c2b9d4	658308	9.5	practice	z	3	square	global	LVF	yes	present	1	1197
5fb70808c7c7bb1d76c2b9d4	661583	9.5	practice	z	4	rectangle	local	RVF	yes	present	1	858
5fb70808c7c7bb1d76c2b9d4	664618	9.5	practice	z	5	rectangle	global	RVF	yes	present	1	962
5fb70808c7c7bb1d76c2b9d4	667525	9.5	practice	z	6	rectangle	local	RVF	yes	present	1	854
5fb70808c7c7bb1d76c2b9d4	671568	9.5	practice	z	7	absent	absent	absent	no	absent	1	2000
5fb70808c7c7bb1d76c2b9d4	674378	9.5	practice	z	8	rectangle	global	LVF	yes	present	1	829
5fb70808c7c7bb1d76c2b9d4	677479	9.5	practice	z	9	rectangle	local	RVF	yes	present	1	1014
5fb70808c7c7bb1d76c2b9d4	681544	9.5	practice	z	10	absent	absent	absent	no	absent	1	2000
5fb70808c7c7bb1d76c2b9d4	684099	9.5	practice	z	11	square	global	LVF	yes	present	1	641
5fb70808c7c7bb1d76c2b9d4	687470	9.5	practice	z	12	rectangle	global	LVF	yes	present	1	597
5fb70808c7c7bb1d76c2b9d4	690609	9.5	practice	z	13	square	local	LVF	yes	present	1	1168
5fb70808c7c7bb1d76c2b9d4	693551	9.5	practice	z	14	rectangle	global	RVF	yes	present	1	879
5fb70808c7c7bb1d76c2b9d4	697450	9.5	practice	z	15	absent	absent	absent	no	absent	1	2000
5fb70808c7c7bb1d76c2b9d4	700666	9.5	practice	z	16	square	global	RVF	yes	present	1	735
5fb70808c7c7bb1d76c2b9d4	709705	10.5	main	z	1	square	global	LVF	yes	present	1	850
5fb70808c7c7bb1d76c2b9d4	713090	10.5	main	z	2	rectangle	global	LVF	yes	present	1	756
5fb70808c7c7bb1d76c2b9d4	720430	10.5	main	z	3	absent	absent	absent	no	absent	1	2000
5fb70808c7c7bb1d76c2b9d4	722963	10.5	main	z	4	square	local	LVF	yes	present	1	969
5fb70808c7c7bb1d76c2b9d4	725454	10.5	main	z	5	square	global	RVF	yes	present	1	846
5fb70808c7c7bb1d76c2b9d4	727730	10.5	main	z	6	rectangle	global	LVF	yes	present	1	740
5fb70808c7c7bb1d76c2b9d4	730119	10.5	main	z	7	square	global	LVF	yes	present	1	831
5fb70808c7c7bb1d76c2b9d4	732148	10.5	main	z	8	square	global	LVF	yes	present	1	727
5fb70808c7c7bb1d76c2b9d4	735503	10.5	main	z	9	rectangle	local	LVF	yes	absent	0	2000
5fb70808c7c7bb1d76c2b9d4	737901	10.5	main	z	10	rectangle	global	RVF	yes	present	1	916
5fb70808c7c7bb1d76c2b9d4	740327	10.5	main	z	11	rectangle	local	RVF	yes	present	1	1096
5fb70808c7c7bb1d76c2b9d4	742891	10.5	main	z	12	absent	absent	absent	no	present	0	1245
5fb70808c7c7bb1d76c2b9d4	744936	10.5	main	z	13	square	global	LVF	yes	present	1	775
5fb70808c7c7bb1d76c2b9d4	747993	10.5	main	z	14	rectangle	local	LVF	yes	absent	0	2000
5fb70808c7c7bb1d76c2b9d4	750462	10.5	main	z	15	square	local	LVF	yes	present	1	923
5fb70808c7c7bb1d76c2b9d4	752643	10.5	main	z	16	rectangle	global	RVF	yes	present	1	988
5fb70808c7c7bb1d76c2b9d4	755837	10.5	main	z	17	absent	absent	absent	no	absent	1	2000
5fb70808c7c7bb1d76c2b9d4	758075	10.5	main	z	18	rectangle	global	RVF	yes	present	1	557
5fb70808c7c7bb1d76c2b9d4	761217	10.5	main	z	19	absent	absent	absent	no	absent	1	2000
5fb70808c7c7bb1d76c2b9d4	763012	10.5	main	z	20	square	global	RVF	yes	present	1	597
5fb70808c7c7bb1d76c2b9d4	764935	10.5	main	z	21	rectangle	global	RVF	yes	present	1	840
5fb70808c7c7bb1d76c2b9d4	766916	10.5	main	z	22	rectangle	local	RVF	yes	present	1	971
5fb70808c7c7bb1d76c2b9d4	769217	10.5	main	z	23	rectangle	local	LVF	yes	present	1	1224
5fb70808c7c7bb1d76c2b9d4	771007	10.5	main	z	24	square	global	RVF	yes	present	1	698
5fb70808c7c7bb1d76c2b9d4	773034	10.5	main	z	25	rectangle	local	RVF	yes	present	1	978
5fb70808c7c7bb1d76c2b9d4	775143	10.5	main	z	26	square	local	RVF	yes	present	1	1105
5fb70808c7c7bb1d76c2b9d4	777205	10.5	main	z	27	rectangle	global	LVF	yes	present	1	1017
5fb70808c7c7bb1d76c2b9d4	779137	10.5	main	z	28	rectangle	local	LVF	yes	present	1	952
