subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6061fff2c21e787791b1d052	237672	1	practice	slash	1	square	global	RVF	yes	present	1	583
6061fff2c21e787791b1d052	243567	1	practice	slash	2	square	local	LVF	yes	present	1	1595
6061fff2c21e787791b1d052	249405	1	practice	slash	3	square	local	LVF	yes	present	1	1784
6061fff2c21e787791b1d052	253934	1	practice	slash	4	square	global	LVF	yes	present	1	947
6061fff2c21e787791b1d052	257516	1	practice	slash	5	rectangle	local	RVF	yes	present	1	930
6061fff2c21e787791b1d052	262103	1	practice	slash	6	absent	absent	absent	no	absent	1	2000
6061fff2c21e787791b1d052	265777	1	practice	slash	7	rectangle	local	RVF	yes	present	1	1091
6061fff2c21e787791b1d052	269100	1	practice	slash	8	rectangle	local	RVF	yes	present	1	932
6061fff2c21e787791b1d052	274735	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
6061fff2c21e787791b1d052	279084	1	practice	slash	10	absent	absent	absent	no	absent	1	2000
6061fff2c21e787791b1d052	282543	1	practice	slash	11	square	global	LVF	yes	present	1	677
6061fff2c21e787791b1d052	285837	1	practice	slash	12	rectangle	global	LVF	yes	present	1	1022
6061fff2c21e787791b1d052	289020	1	practice	slash	13	rectangle	global	RVF	yes	present	1	888
6061fff2c21e787791b1d052	292294	1	practice	slash	14	rectangle	global	RVF	yes	present	1	813
6061fff2c21e787791b1d052	296464	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
6061fff2c21e787791b1d052	299344	1	practice	slash	16	rectangle	global	LVF	yes	present	1	694
6061fff2c21e787791b1d052	307392	2	main	slash	1	square	local	RVF	yes	present	1	1398
6061fff2c21e787791b1d052	310804	2	main	slash	2	rectangle	local	LVF	yes	present	1	1494
6061fff2c21e787791b1d052	313645	2	main	slash	3	square	global	LVF	yes	present	1	1002
6061fff2c21e787791b1d052	316301	2	main	slash	4	square	global	RVF	yes	present	1	708
6061fff2c21e787791b1d052	319130	2	main	slash	5	rectangle	local	RVF	yes	present	1	1205
6061fff2c21e787791b1d052	322803	2	main	slash	6	square	global	LVF	yes	present	1	1328
6061fff2c21e787791b1d052	325938	2	main	slash	7	rectangle	local	LVF	yes	present	1	1196
6061fff2c21e787791b1d052	329043	2	main	slash	8	rectangle	local	RVF	yes	present	1	1052
6061fff2c21e787791b1d052	332185	2	main	slash	9	rectangle	global	RVF	yes	present	1	1428
6061fff2c21e787791b1d052	345964	2	main	slash	10	rectangle	global	LVF	yes	present	1	659
6061fff2c21e787791b1d052	348421	2	main	slash	11	absent	absent	absent	no	present	0	982
6061fff2c21e787791b1d052	350826	2	main	slash	12	rectangle	global	LVF	yes	present	1	772
6061fff2c21e787791b1d052	353471	2	main	slash	13	square	local	LVF	yes	present	1	1267
6061fff2c21e787791b1d052	356182	2	main	slash	14	square	global	RVF	yes	present	1	879
6061fff2c21e787791b1d052	358206	2	main	slash	15	rectangle	global	LVF	yes	present	1	852
6061fff2c21e787791b1d052	361420	2	main	slash	16	absent	absent	absent	no	absent	1	2000
6061fff2c21e787791b1d052	363471	2	main	slash	17	square	global	RVF	yes	present	1	817
6061fff2c21e787791b1d052	366554	2	main	slash	18	rectangle	local	RVF	yes	present	1	852
6061fff2c21e787791b1d052	368979	2	main	slash	19	rectangle	local	RVF	yes	present	1	694
