subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6095fc75ab1d101e060d808b	459511	1	practice	slash	1	absent	absent	absent	no	present	0	1515
6095fc75ab1d101e060d808b	463735	1	practice	slash	2	square	global	LVF	yes	present	1	825
6095fc75ab1d101e060d808b	468308	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	471643	1	practice	slash	4	rectangle	local	RVF	yes	present	1	1075
6095fc75ab1d101e060d808b	474827	1	practice	slash	5	rectangle	local	RVF	yes	present	1	1123
6095fc75ab1d101e060d808b	479024	1	practice	slash	6	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	481958	1	practice	slash	7	rectangle	global	RVF	yes	present	1	869
6095fc75ab1d101e060d808b	485035	1	practice	slash	8	square	local	LVF	yes	present	1	959
6095fc75ab1d101e060d808b	488022	1	practice	slash	9	rectangle	global	RVF	yes	present	1	917
6095fc75ab1d101e060d808b	490871	1	practice	slash	10	square	global	LVF	yes	present	1	842
6095fc75ab1d101e060d808b	493754	1	practice	slash	11	square	local	LVF	yes	present	1	824
6095fc75ab1d101e060d808b	497979	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	500820	1	practice	slash	13	rectangle	global	LVF	yes	present	1	796
6095fc75ab1d101e060d808b	503710	1	practice	slash	14	square	global	RVF	yes	present	1	790
6095fc75ab1d101e060d808b	506697	1	practice	slash	15	rectangle	global	LVF	yes	present	1	890
6095fc75ab1d101e060d808b	509544	1	practice	slash	16	rectangle	local	RVF	yes	present	1	792
6095fc75ab1d101e060d808b	1607556	2	main	slash	1	absent	absent	absent	no	present	0	785
6095fc75ab1d101e060d808b	1609560	2	main	slash	2	square	local	LVF	yes	present	1	589
6095fc75ab1d101e060d808b	1611755	2	main	slash	3	rectangle	global	LVF	yes	present	1	999
6095fc75ab1d101e060d808b	1614871	2	main	slash	4	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1617121	2	main	slash	5	square	local	RVF	yes	present	1	1099
6095fc75ab1d101e060d808b	1724233	2	main	slash	6	square	global	RVF	yes	present	1	796
6095fc75ab1d101e060d808b	1727371	2	main	slash	7	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1729210	2	main	slash	8	square	global	RVF	yes	present	1	689
6095fc75ab1d101e060d808b	1730857	2	main	slash	9	rectangle	global	RVF	yes	present	1	668
6095fc75ab1d101e060d808b	1732386	2	main	slash	10	rectangle	global	LVF	yes	present	1	565
6095fc75ab1d101e060d808b	1735337	2	main	slash	11	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1737322	2	main	slash	12	rectangle	local	RVF	yes	present	1	935
6095fc75ab1d101e060d808b	1739685	2	main	slash	13	square	global	LVF	yes	present	1	1014
6095fc75ab1d101e060d808b	1742937	2	main	slash	14	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1745210	2	main	slash	15	rectangle	local	RVF	yes	present	1	1240
6095fc75ab1d101e060d808b	1747457	2	main	slash	16	rectangle	global	RVF	yes	present	1	1137
6095fc75ab1d101e060d808b	1749622	2	main	slash	17	square	local	LVF	yes	present	1	1035
6095fc75ab1d101e060d808b	1751553	2	main	slash	18	square	global	LVF	yes	present	1	999
6095fc75ab1d101e060d808b	1753281	2	main	slash	19	rectangle	global	LVF	yes	present	1	677
6095fc75ab1d101e060d808b	1755097	2	main	slash	20	rectangle	local	LVF	yes	present	1	860
6095fc75ab1d101e060d808b	1756824	2	main	slash	21	rectangle	local	RVF	yes	present	1	887
6095fc75ab1d101e060d808b	1758435	2	main	slash	22	rectangle	local	LVF	yes	present	1	731
6095fc75ab1d101e060d808b	1761337	2	main	slash	23	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1764354	2	main	slash	24	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1766801	2	main	slash	25	square	global	RVF	yes	present	1	1381
6095fc75ab1d101e060d808b	1768768	2	main	slash	26	rectangle	local	LVF	yes	present	1	831
6095fc75ab1d101e060d808b	1771670	2	main	slash	27	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1773176	2	main	slash	28	square	local	LVF	yes	present	1	555
6095fc75ab1d101e060d808b	1774844	2	main	slash	29	square	local	RVF	yes	present	1	707
6095fc75ab1d101e060d808b	1776347	2	main	slash	30	rectangle	local	LVF	yes	present	1	626
6095fc75ab1d101e060d808b	1777942	2	main	slash	31	rectangle	global	LVF	yes	present	1	722
6095fc75ab1d101e060d808b	1779398	2	main	slash	32	square	global	LVF	yes	present	1	611
6095fc75ab1d101e060d808b	1780987	2	main	slash	33	rectangle	global	RVF	yes	present	1	717
6095fc75ab1d101e060d808b	1782580	2	main	slash	34	square	local	LVF	yes	present	1	743
6095fc75ab1d101e060d808b	1784168	2	main	slash	35	square	global	RVF	yes	present	1	780
6095fc75ab1d101e060d808b	1785654	2	main	slash	36	rectangle	global	RVF	yes	present	1	684
6095fc75ab1d101e060d808b	1787183	2	main	slash	37	square	local	RVF	yes	present	1	679
6095fc75ab1d101e060d808b	1788899	2	main	slash	38	square	global	LVF	yes	present	1	829
6095fc75ab1d101e060d808b	1790804	2	main	slash	39	rectangle	local	RVF	yes	present	1	967
6095fc75ab1d101e060d808b	1792296	2	main	slash	40	square	local	RVF	yes	present	1	576
6095fc75ab1d101e060d808b	1795154	2	main	slash	41	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1796895	2	main	slash	42	square	global	LVF	yes	present	1	591
6095fc75ab1d101e060d808b	1798405	2	main	slash	43	square	global	LVF	yes	present	1	701
6095fc75ab1d101e060d808b	1801204	2	main	slash	44	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1803271	2	main	slash	45	rectangle	local	LVF	yes	present	1	851
6095fc75ab1d101e060d808b	1804864	2	main	slash	46	square	local	LVF	yes	present	1	794
6095fc75ab1d101e060d808b	1806975	2	main	slash	47	square	global	RVF	yes	present	1	1305
6095fc75ab1d101e060d808b	1810104	2	main	slash	48	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1813104	2	main	slash	49	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1815216	2	main	slash	50	rectangle	global	RVF	yes	present	1	1179
6095fc75ab1d101e060d808b	1816985	2	main	slash	51	rectangle	global	LVF	yes	present	1	615
6095fc75ab1d101e060d808b	1818393	2	main	slash	52	rectangle	global	LVF	yes	present	1	589
6095fc75ab1d101e060d808b	1819937	2	main	slash	53	rectangle	global	RVF	yes	present	1	733
6095fc75ab1d101e060d808b	1821367	2	main	slash	54	square	global	LVF	yes	present	1	630
6095fc75ab1d101e060d808b	1823029	2	main	slash	55	square	global	RVF	yes	present	1	842
6095fc75ab1d101e060d808b	1824465	2	main	slash	56	rectangle	global	RVF	yes	present	1	628
6095fc75ab1d101e060d808b	1826018	2	main	slash	57	square	local	RVF	yes	present	1	731
6095fc75ab1d101e060d808b	1827674	2	main	slash	58	rectangle	local	RVF	yes	present	1	854
6095fc75ab1d101e060d808b	1830470	2	main	slash	59	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1831715	2	main	slash	60	square	global	RVF	yes	present	1	545
6095fc75ab1d101e060d808b	1834587	2	main	slash	61	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1836177	2	main	slash	62	square	local	RVF	yes	present	1	607
6095fc75ab1d101e060d808b	1837869	2	main	slash	63	square	local	LVF	yes	present	1	782
6095fc75ab1d101e060d808b	1839539	2	main	slash	64	rectangle	global	RVF	yes	present	1	802
6095fc75ab1d101e060d808b	1841043	2	main	slash	65	square	local	RVF	yes	present	1	656
6095fc75ab1d101e060d808b	1842620	2	main	slash	66	rectangle	local	LVF	yes	present	1	682
6095fc75ab1d101e060d808b	1844193	2	main	slash	67	square	local	LVF	yes	present	1	705
6095fc75ab1d101e060d808b	1847053	2	main	slash	68	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	1848644	2	main	slash	69	rectangle	local	LVF	yes	present	1	624
6095fc75ab1d101e060d808b	1850302	2	main	slash	70	rectangle	local	RVF	yes	present	1	798
6095fc75ab1d101e060d808b	1851811	2	main	slash	71	rectangle	local	RVF	yes	present	1	673
6095fc75ab1d101e060d808b	1853341	2	main	slash	72	square	global	LVF	yes	present	1	704
6095fc75ab1d101e060d808b	1854778	2	main	slash	73	rectangle	global	LVF	yes	present	1	607
6095fc75ab1d101e060d808b	1856238	2	main	slash	74	rectangle	local	RVF	yes	present	1	618
6095fc75ab1d101e060d808b	1857769	2	main	slash	75	square	global	RVF	yes	present	1	732
6095fc75ab1d101e060d808b	1859274	2	main	slash	76	rectangle	local	LVF	yes	present	1	721
6095fc75ab1d101e060d808b	1860819	2	main	slash	77	absent	absent	absent	no	present	0	766
6095fc75ab1d101e060d808b	1862397	2	main	slash	78	square	local	LVF	yes	present	1	694
6095fc75ab1d101e060d808b	1863831	2	main	slash	79	square	local	RVF	yes	present	1	594
6095fc75ab1d101e060d808b	1865649	2	main	slash	80	rectangle	global	LVF	yes	present	1	1029
6095fc75ab1d101e060d808b	2075531	3	practice	z	1	square	global	LVF	yes	present	1	642
6095fc75ab1d101e060d808b	2078356	3	practice	z	2	square	local	LVF	yes	present	1	618
6095fc75ab1d101e060d808b	2082356	3	practice	z	3	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	2085114	3	practice	z	4	rectangle	local	RVF	yes	present	1	576
6095fc75ab1d101e060d808b	2089422	3	practice	z	5	rectangle	global	RVF	yes	absent	0	2000
6095fc75ab1d101e060d808b	2091987	3	practice	z	6	rectangle	local	RVF	yes	present	1	581
6095fc75ab1d101e060d808b	2096006	3	practice	z	7	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	2099032	3	practice	z	8	absent	absent	absent	no	present	0	927
6095fc75ab1d101e060d808b	2101686	3	practice	z	9	square	local	LVF	yes	present	1	565
6095fc75ab1d101e060d808b	2104293	3	practice	z	10	square	global	LVF	yes	present	1	687
6095fc75ab1d101e060d808b	2108305	3	practice	z	11	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	2111223	3	practice	z	12	square	global	RVF	yes	present	1	801
6095fc75ab1d101e060d808b	2113852	3	practice	z	13	rectangle	global	LVF	yes	present	1	580
6095fc75ab1d101e060d808b	2116434	3	practice	z	14	rectangle	local	RVF	yes	present	1	645
6095fc75ab1d101e060d808b	2118875	3	practice	z	15	rectangle	global	LVF	yes	present	1	519
6095fc75ab1d101e060d808b	2121310	3	practice	z	16	rectangle	global	RVF	yes	present	1	554
6095fc75ab1d101e060d808b	2126313	4	main	z	1	square	global	LVF	yes	present	1	527
6095fc75ab1d101e060d808b	2128201	4	main	z	2	rectangle	local	LVF	yes	present	1	631
6095fc75ab1d101e060d808b	2129959	4	main	z	3	square	local	LVF	yes	present	1	590
6095fc75ab1d101e060d808b	2131487	4	main	z	4	square	global	RVF	yes	present	1	618
6095fc75ab1d101e060d808b	2133133	4	main	z	5	square	local	RVF	yes	present	1	747
6095fc75ab1d101e060d808b	2136070	4	main	z	6	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	2137588	4	main	z	7	rectangle	local	LVF	yes	present	1	619
6095fc75ab1d101e060d808b	2139113	4	main	z	8	square	local	LVF	yes	present	1	595
6095fc75ab1d101e060d808b	2140649	4	main	z	9	square	local	RVF	yes	present	1	663
6095fc75ab1d101e060d808b	2142052	4	main	z	10	square	global	LVF	yes	present	1	533
6095fc75ab1d101e060d808b	2144886	4	main	z	11	absent	absent	absent	no	absent	1	2000
6095fc75ab1d101e060d808b	2146327	4	main	z	12	rectangle	local	LVF	yes	present	1	441
6095fc75ab1d101e060d808b	2149186	4	main	z	13	absent	absent	absent	no	absent	1	2000
