subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60eacff7b678411f44e11a12	979553	9.5	practice	slash	1	absent	absent	absent	no	present	0	1443
60eacff7b678411f44e11a12	982782	9.5	practice	slash	2	rectangle	local	RVF	yes	present	1	440
60eacff7b678411f44e11a12	985959	9.5	practice	slash	3	rectangle	local	RVF	yes	present	1	649
60eacff7b678411f44e11a12	990459	9.5	practice	slash	4	absent	absent	absent	no	absent	1	2000
60eacff7b678411f44e11a12	993166	9.5	practice	slash	5	square	local	LVF	yes	present	1	624
60eacff7b678411f44e11a12	996203	9.5	practice	slash	6	rectangle	global	LVF	yes	present	1	577
60eacff7b678411f44e11a12	999162	9.5	practice	slash	7	square	global	LVF	yes	present	1	670
60eacff7b678411f44e11a12	1003409	9.5	practice	slash	8	absent	absent	absent	no	absent	1	2000
60eacff7b678411f44e11a12	1006254	9.5	practice	slash	9	square	local	LVF	yes	present	1	696
60eacff7b678411f44e11a12	1009372	9.5	practice	slash	10	square	global	LVF	yes	present	1	630
60eacff7b678411f44e11a12	1012119	9.5	practice	slash	11	rectangle	global	LVF	yes	present	1	527
60eacff7b678411f44e11a12	1014787	9.5	practice	slash	12	rectangle	local	RVF	yes	present	1	495
60eacff7b678411f44e11a12	1017582	9.5	practice	slash	13	rectangle	global	RVF	yes	present	1	440
60eacff7b678411f44e11a12	1020398	9.5	practice	slash	14	rectangle	global	RVF	yes	present	1	523
60eacff7b678411f44e11a12	1023173	9.5	practice	slash	15	square	global	RVF	yes	present	1	581
60eacff7b678411f44e11a12	1027308	9.5	practice	slash	16	absent	absent	absent	no	absent	1	2000
60eacff7b678411f44e11a12	1072944	10.5	main	slash	1	square	global	LVF	yes	present	1	622
60eacff7b678411f44e11a12	1075027	10.5	main	slash	2	rectangle	local	RVF	yes	present	1	589
60eacff7b678411f44e11a12	1076635	10.5	main	slash	3	square	global	LVF	yes	present	1	531
60eacff7b678411f44e11a12	1078094	10.5	main	slash	4	rectangle	global	RVF	yes	present	1	422
60eacff7b678411f44e11a12	1079596	10.5	main	slash	5	square	global	RVF	yes	present	1	408
60eacff7b678411f44e11a12	1081515	10.5	main	slash	6	square	local	LVF	yes	present	1	760
60eacff7b678411f44e11a12	1083323	10.5	main	slash	7	rectangle	local	LVF	yes	present	1	651
60eacff7b678411f44e11a12	1084957	10.5	main	slash	8	square	local	RVF	yes	present	1	585
60eacff7b678411f44e11a12	1088105	10.5	main	slash	9	absent	absent	absent	no	absent	1	2000
60eacff7b678411f44e11a12	1089824	10.5	main	slash	10	square	local	RVF	yes	present	1	602
60eacff7b678411f44e11a12	1091639	10.5	main	slash	11	square	local	RVF	yes	present	1	602
