subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
611ae10542e79063248b4f47	1567797	9.5	practice	slash	1	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1578090	9.5	practice	slash	2	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1583853	9.5	practice	slash	3	square	local	LVF	yes	present	1	1028
611ae10542e79063248b4f47	1589881	9.5	practice	slash	4	rectangle	global	RVF	yes	present	1	489
611ae10542e79063248b4f47	1594454	9.5	practice	slash	5	square	global	RVF	yes	present	1	452
611ae10542e79063248b4f47	1597447	9.5	practice	slash	6	rectangle	global	LVF	yes	present	1	422
611ae10542e79063248b4f47	1600021	9.5	practice	slash	7	square	global	LVF	yes	present	1	386
611ae10542e79063248b4f47	1603017	9.5	practice	slash	8	rectangle	local	RVF	yes	present	1	727
611ae10542e79063248b4f47	1606852	9.5	practice	slash	9	absent	absent	absent	no	present	0	950
611ae10542e79063248b4f47	1609886	9.5	practice	slash	10	square	local	LVF	yes	present	1	894
611ae10542e79063248b4f47	1613093	9.5	practice	slash	11	rectangle	local	RVF	yes	present	1	726
611ae10542e79063248b4f47	1616448	9.5	practice	slash	12	rectangle	global	LVF	yes	present	1	889
611ae10542e79063248b4f47	1619267	9.5	practice	slash	13	absent	absent	absent	no	present	0	685
611ae10542e79063248b4f47	1622552	9.5	practice	slash	14	rectangle	local	RVF	yes	present	1	831
611ae10542e79063248b4f47	1625591	9.5	practice	slash	15	square	global	LVF	yes	present	1	1044
611ae10542e79063248b4f47	1628594	9.5	practice	slash	16	rectangle	global	RVF	yes	present	1	922
611ae10542e79063248b4f47	1679324	10.5	main	slash	1	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1683198	10.5	main	slash	2	square	local	RVF	yes	present	1	960
611ae10542e79063248b4f47	1686528	10.5	main	slash	3	rectangle	local	LVF	yes	present	1	631
611ae10542e79063248b4f47	1689831	10.5	main	slash	4	rectangle	local	RVF	yes	present	1	893
611ae10542e79063248b4f47	1692501	10.5	main	slash	5	rectangle	global	LVF	yes	present	1	706
611ae10542e79063248b4f47	1696493	10.5	main	slash	6	rectangle	local	LVF	yes	present	1	938
611ae10542e79063248b4f47	1699023	10.5	main	slash	7	rectangle	local	RVF	yes	present	1	645
611ae10542e79063248b4f47	1702159	10.5	main	slash	8	square	global	LVF	yes	present	1	941
611ae10542e79063248b4f47	1705281	10.5	main	slash	9	absent	absent	absent	no	present	0	1140
611ae10542e79063248b4f47	1708211	10.5	main	slash	10	square	local	LVF	yes	present	1	1363
611ae10542e79063248b4f47	1713135	10.5	main	slash	11	square	local	RVF	yes	present	1	1040
611ae10542e79063248b4f47	1716684	10.5	main	slash	12	absent	absent	absent	no	present	0	1281
611ae10542e79063248b4f47	1719473	10.5	main	slash	13	rectangle	global	RVF	yes	present	1	1163
611ae10542e79063248b4f47	1722011	10.5	main	slash	14	square	local	RVF	yes	present	1	1045
611ae10542e79063248b4f47	1724170	10.5	main	slash	15	square	local	RVF	yes	present	1	1048
611ae10542e79063248b4f47	1726338	10.5	main	slash	16	rectangle	local	LVF	yes	present	1	1061
611ae10542e79063248b4f47	1728643	10.5	main	slash	17	rectangle	local	RVF	yes	present	1	994
611ae10542e79063248b4f47	1730947	10.5	main	slash	18	square	global	RVF	yes	present	1	1093
611ae10542e79063248b4f47	1733125	10.5	main	slash	19	rectangle	global	RVF	yes	present	1	981
611ae10542e79063248b4f47	1735200	10.5	main	slash	20	rectangle	global	RVF	yes	present	1	918
611ae10542e79063248b4f47	1737406	10.5	main	slash	21	square	global	LVF	yes	present	1	951
611ae10542e79063248b4f47	1740606	10.5	main	slash	22	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1744600	10.5	main	slash	23	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1747842	10.5	main	slash	24	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1750999	10.5	main	slash	25	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1753590	10.5	main	slash	26	rectangle	global	LVF	yes	present	1	1498
611ae10542e79063248b4f47	1756786	10.5	main	slash	27	rectangle	local	LVF	yes	present	1	1035
611ae10542e79063248b4f47	1759227	10.5	main	slash	28	rectangle	local	RVF	yes	present	1	1070
611ae10542e79063248b4f47	1762360	10.5	main	slash	29	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1771108	10.5	main	slash	30	square	global	RVF	yes	present	1	755
611ae10542e79063248b4f47	1773273	10.5	main	slash	31	square	global	LVF	yes	present	1	1013
611ae10542e79063248b4f47	1775654	10.5	main	slash	32	square	global	RVF	yes	present	1	1305
611ae10542e79063248b4f47	1778122	10.5	main	slash	33	square	local	LVF	yes	present	1	1285
611ae10542e79063248b4f47	1780011	10.5	main	slash	34	rectangle	global	LVF	yes	present	1	685
611ae10542e79063248b4f47	1782009	10.5	main	slash	35	square	global	LVF	yes	present	1	611
611ae10542e79063248b4f47	1783565	10.5	main	slash	36	rectangle	global	LVF	yes	present	1	496
611ae10542e79063248b4f47	1785220	10.5	main	slash	37	square	local	LVF	yes	present	1	584
611ae10542e79063248b4f47	1786733	10.5	main	slash	38	square	global	RVF	yes	present	1	473
611ae10542e79063248b4f47	1788163	10.5	main	slash	39	rectangle	global	RVF	yes	present	1	418
611ae10542e79063248b4f47	1789582	10.5	main	slash	40	square	local	LVF	yes	present	1	401
611ae10542e79063248b4f47	1792619	10.5	main	slash	41	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1825352	10.5	main	slash	42	rectangle	global	RVF	yes	present	1	581
611ae10542e79063248b4f47	1826923	10.5	main	slash	43	square	global	LVF	yes	present	1	582
611ae10542e79063248b4f47	1828533	10.5	main	slash	44	square	global	RVF	yes	present	1	620
611ae10542e79063248b4f47	1830310	10.5	main	slash	45	rectangle	local	RVF	yes	present	1	827
611ae10542e79063248b4f47	1831771	10.5	main	slash	46	square	global	RVF	yes	present	1	467
611ae10542e79063248b4f47	1833152	10.5	main	slash	47	rectangle	global	LVF	yes	present	1	393
611ae10542e79063248b4f47	1836142	10.5	main	slash	48	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1838744	10.5	main	slash	49	rectangle	local	RVF	yes	present	1	1076
611ae10542e79063248b4f47	1840353	10.5	main	slash	50	rectangle	local	LVF	yes	present	1	629
611ae10542e79063248b4f47	1842380	10.5	main	slash	51	absent	absent	absent	no	present	0	999
611ae10542e79063248b4f47	1844205	10.5	main	slash	52	rectangle	local	RVF	yes	present	1	804
611ae10542e79063248b4f47	1847136	10.5	main	slash	53	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	1848756	10.5	main	slash	54	rectangle	local	LVF	yes	present	1	592
611ae10542e79063248b4f47	1850270	10.5	main	slash	55	rectangle	global	LVF	yes	present	1	470
611ae10542e79063248b4f47	1852010	10.5	main	slash	56	square	local	RVF	yes	present	1	757
611ae10542e79063248b4f47	1854954	10.5	main	slash	57	square	global	LVF	yes	absent	0	2000
611ae10542e79063248b4f47	1856462	10.5	main	slash	58	rectangle	global	LVF	yes	present	1	466
611ae10542e79063248b4f47	1858711	10.5	main	slash	59	square	local	LVF	yes	present	1	1276
611ae10542e79063248b4f47	1860216	10.5	main	slash	60	rectangle	global	LVF	yes	present	1	426
611ae10542e79063248b4f47	1861596	10.5	main	slash	61	square	global	LVF	yes	present	1	336
611ae10542e79063248b4f47	1863303	10.5	main	slash	62	square	local	LVF	yes	present	1	723
611ae10542e79063248b4f47	1864989	10.5	main	slash	63	rectangle	global	RVF	yes	present	1	704
611ae10542e79063248b4f47	1866565	10.5	main	slash	64	square	local	RVF	yes	present	1	627
611ae10542e79063248b4f47	1868204	10.5	main	slash	65	square	local	LVF	yes	present	1	711
611ae10542e79063248b4f47	1869991	10.5	main	slash	66	absent	absent	absent	no	present	0	795
611ae10542e79063248b4f47	1871902	10.5	main	slash	67	absent	absent	absent	no	present	0	950
611ae10542e79063248b4f47	1873679	10.5	main	slash	68	square	global	RVF	yes	present	1	823
611ae10542e79063248b4f47	1875406	10.5	main	slash	69	square	local	RVF	yes	present	1	745
611ae10542e79063248b4f47	1877227	10.5	main	slash	70	square	global	LVF	yes	present	1	814
611ae10542e79063248b4f47	1879268	10.5	main	slash	71	rectangle	global	RVF	yes	present	1	1015
611ae10542e79063248b4f47	1880858	10.5	main	slash	72	square	local	RVF	yes	present	1	634
611ae10542e79063248b4f47	1882381	10.5	main	slash	73	rectangle	local	RVF	yes	present	1	486
611ae10542e79063248b4f47	1883791	10.5	main	slash	74	rectangle	local	LVF	yes	present	1	444
611ae10542e79063248b4f47	1885367	10.5	main	slash	75	rectangle	global	RVF	yes	present	1	462
611ae10542e79063248b4f47	1886786	10.5	main	slash	76	rectangle	local	LVF	yes	present	1	431
611ae10542e79063248b4f47	1888213	10.5	main	slash	77	absent	absent	absent	no	present	0	454
611ae10542e79063248b4f47	1890264	10.5	main	slash	78	absent	absent	absent	no	present	0	919
611ae10542e79063248b4f47	1891914	10.5	main	slash	79	square	local	LVF	yes	present	1	730
611ae10542e79063248b4f47	1893898	10.5	main	slash	80	square	global	RVF	yes	present	1	1059
611ae10542e79063248b4f47	2024522	11.5	practice	z	1	rectangle	global	LVF	yes	present	1	565
611ae10542e79063248b4f47	2027233	11.5	practice	z	2	square	global	LVF	yes	present	1	385
611ae10542e79063248b4f47	2031193	11.5	practice	z	3	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	2034395	11.5	practice	z	4	absent	absent	absent	no	present	0	1162
611ae10542e79063248b4f47	2037157	11.5	practice	z	5	rectangle	global	RVF	yes	present	1	633
611ae10542e79063248b4f47	2041311	11.5	practice	z	6	absent	absent	absent	no	absent	1	2000
611ae10542e79063248b4f47	2044176	11.5	practice	z	7	square	local	LVF	yes	present	1	902
611ae10542e79063248b4f47	2046879	11.5	practice	z	8	rectangle	local	RVF	yes	present	1	567
