subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
614fe09fec9ce4a2a415476d	1149747	1	practice	slash	1	square	local	LVF	yes	absent	0	2000
614fe09fec9ce4a2a415476d	1152650	1	practice	slash	2	rectangle	global	RVF	yes	present	1	482
614fe09fec9ce4a2a415476d	1157083	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
614fe09fec9ce4a2a415476d	1160821	1	practice	slash	4	absent	absent	absent	no	present	0	1434
614fe09fec9ce4a2a415476d	1163417	1	practice	slash	5	square	global	LVF	yes	present	1	427
614fe09fec9ce4a2a415476d	1166328	1	practice	slash	6	rectangle	local	RVF	yes	present	1	686
614fe09fec9ce4a2a415476d	1170325	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
614fe09fec9ce4a2a415476d	1173225	1	practice	slash	8	square	global	RVF	yes	present	1	413
614fe09fec9ce4a2a415476d	1175932	1	practice	slash	9	rectangle	global	LVF	yes	present	1	569
614fe09fec9ce4a2a415476d	1178348	1	practice	slash	10	rectangle	local	RVF	yes	present	1	533
614fe09fec9ce4a2a415476d	1180698	1	practice	slash	11	rectangle	global	LVF	yes	present	1	450
614fe09fec9ce4a2a415476d	1183618	1	practice	slash	12	rectangle	local	RVF	yes	present	1	751
614fe09fec9ce4a2a415476d	1187465	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
614fe09fec9ce4a2a415476d	1190121	1	practice	slash	14	square	global	LVF	yes	present	1	513
614fe09fec9ce4a2a415476d	1192511	1	practice	slash	15	rectangle	global	RVF	yes	present	1	456
614fe09fec9ce4a2a415476d	1196136	1	practice	slash	16	square	local	LVF	yes	absent	0	2000
614fe09fec9ce4a2a415476d	1200008	2	main	slash	1	rectangle	local	LVF	yes	present	1	666
614fe09fec9ce4a2a415476d	1203840	2	main	slash	2	square	local	LVF	yes	absent	0	2000
614fe09fec9ce4a2a415476d	1206142	2	main	slash	3	absent	absent	absent	no	present	0	1231
614fe09fec9ce4a2a415476d	1208177	2	main	slash	4	square	global	RVF	yes	present	1	781
614fe09fec9ce4a2a415476d	1211494	2	main	slash	5	absent	absent	absent	no	absent	1	2000
614fe09fec9ce4a2a415476d	1213108	2	main	slash	6	square	local	LVF	yes	present	1	493
614fe09fec9ce4a2a415476d	1215023	2	main	slash	7	square	local	RVF	yes	present	1	441
614fe09fec9ce4a2a415476d	1216579	2	main	slash	8	square	global	LVF	yes	present	1	496
614fe09fec9ce4a2a415476d	1219548	2	main	slash	9	absent	absent	absent	no	absent	1	2000
