subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62fb7ba781f1eaac2b543934	845841	9.5	practice	slash	1	absent	absent	absent	no	present	0	1775
62fb7ba781f1eaac2b543934	850962	9.5	practice	slash	2	absent	absent	absent	no	absent	1	2000
62fb7ba781f1eaac2b543934	856070	9.5	practice	slash	3	square	local	LVF	yes	absent	0	2000
62fb7ba781f1eaac2b543934	860912	9.5	practice	slash	4	absent	absent	absent	no	absent	1	2000
62fb7ba781f1eaac2b543934	864362	9.5	practice	slash	5	rectangle	global	RVF	yes	present	1	728
62fb7ba781f1eaac2b543934	868861	9.5	practice	slash	6	absent	absent	absent	no	absent	1	2000
62fb7ba781f1eaac2b543934	871994	9.5	practice	slash	7	rectangle	global	LVF	yes	present	1	811
62fb7ba781f1eaac2b543934	875889	9.5	practice	slash	8	square	global	RVF	yes	present	1	986
62fb7ba781f1eaac2b543934	879130	9.5	practice	slash	9	rectangle	local	RVF	yes	present	1	958
62fb7ba781f1eaac2b543934	882713	9.5	practice	slash	10	square	local	LVF	yes	present	1	1341
62fb7ba781f1eaac2b543934	886321	9.5	practice	slash	11	rectangle	local	RVF	yes	present	1	1081
62fb7ba781f1eaac2b543934	889441	9.5	practice	slash	12	rectangle	local	RVF	yes	present	1	933
62fb7ba781f1eaac2b543934	892466	9.5	practice	slash	13	rectangle	global	LVF	yes	present	1	969
62fb7ba781f1eaac2b543934	895402	9.5	practice	slash	14	rectangle	global	RVF	yes	present	1	851
62fb7ba781f1eaac2b543934	898161	9.5	practice	slash	15	square	global	LVF	yes	present	1	676
62fb7ba781f1eaac2b543934	901297	9.5	practice	slash	16	square	global	LVF	yes	present	1	558
62fb7ba781f1eaac2b543934	923984	10.5	main	slash	1	absent	absent	absent	no	present	0	584
62fb7ba781f1eaac2b543934	926544	10.5	main	slash	2	rectangle	global	LVF	yes	present	1	570
62fb7ba781f1eaac2b543934	928592	10.5	main	slash	3	rectangle	global	RVF	yes	present	1	564
62fb7ba781f1eaac2b543934	930608	10.5	main	slash	4	square	global	LVF	yes	present	1	499
62fb7ba781f1eaac2b543934	939593	10.5	main	slash	5	square	local	RVF	yes	present	1	533
