subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63468824bc01887b6007d674	159762	1	practice	z	1	square	global	RVF	yes	present	1	539
63468824bc01887b6007d674	167863	1	practice	z	2	square	global	LVF	yes	present	1	422
63468824bc01887b6007d674	171714	1	practice	z	3	rectangle	global	RVF	yes	present	1	490
63468824bc01887b6007d674	175660	1	practice	z	4	rectangle	local	RVF	yes	present	1	1237
63468824bc01887b6007d674	180982	1	practice	z	5	rectangle	global	LVF	yes	present	1	858
63468824bc01887b6007d674	184780	1	practice	z	6	square	global	LVF	yes	present	1	888
63468824bc01887b6007d674	188261	1	practice	z	7	rectangle	global	RVF	yes	present	1	803
63468824bc01887b6007d674	193219	1	practice	z	8	square	local	LVF	yes	present	1	1811
63468824bc01887b6007d674	197738	1	practice	z	9	square	local	LVF	yes	present	1	1862
63468824bc01887b6007d674	202224	1	practice	z	10	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	207407	1	practice	z	11	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	211874	1	practice	z	12	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	216557	1	practice	z	13	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	219796	1	practice	z	14	rectangle	global	LVF	yes	present	1	952
63468824bc01887b6007d674	222981	1	practice	z	15	rectangle	local	RVF	yes	present	1	903
63468824bc01887b6007d674	226220	1	practice	z	16	rectangle	local	RVF	yes	present	1	826
63468824bc01887b6007d674	236549	2	main	z	1	absent	absent	absent	no	present	0	756
63468824bc01887b6007d674	239965	2	main	z	2	rectangle	global	RVF	yes	present	1	738
63468824bc01887b6007d674	243607	2	main	z	3	rectangle	global	RVF	yes	present	1	896
63468824bc01887b6007d674	247752	2	main	z	4	rectangle	local	LVF	yes	present	1	1558
63468824bc01887b6007d674	251085	2	main	z	5	square	global	RVF	yes	present	1	1424
63468824bc01887b6007d674	253540	2	main	z	6	rectangle	local	LVF	yes	present	1	945
63468824bc01887b6007d674	256156	2	main	z	7	square	global	LVF	yes	present	1	812
63468824bc01887b6007d674	258595	2	main	z	8	square	local	RVF	yes	present	1	867
63468824bc01887b6007d674	260906	2	main	z	9	rectangle	global	RVF	yes	present	1	793
63468824bc01887b6007d674	263079	2	main	z	10	rectangle	local	RVF	yes	present	1	768
63468824bc01887b6007d674	266394	2	main	z	11	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	268415	2	main	z	12	square	local	LVF	yes	present	1	851
63468824bc01887b6007d674	270791	2	main	z	13	rectangle	global	RVF	yes	present	1	912
63468824bc01887b6007d674	274210	2	main	z	14	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	276223	2	main	z	15	square	global	LVF	yes	present	1	777
63468824bc01887b6007d674	278429	2	main	z	16	square	global	RVF	yes	present	1	849
63468824bc01887b6007d674	281861	2	main	z	17	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	283704	2	main	z	18	square	local	RVF	yes	present	1	891
63468824bc01887b6007d674	286056	2	main	z	19	square	local	RVF	yes	present	1	910
63468824bc01887b6007d674	288271	2	main	z	20	square	local	RVF	yes	present	1	824
63468824bc01887b6007d674	291713	2	main	z	21	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	294829	2	main	z	22	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	296480	2	main	z	23	rectangle	global	LVF	yes	present	1	766
63468824bc01887b6007d674	298865	2	main	z	24	rectangle	local	RVF	yes	present	1	866
63468824bc01887b6007d674	301510	2	main	z	25	rectangle	local	RVF	yes	present	1	896
63468824bc01887b6007d674	303851	2	main	z	26	square	global	LVF	yes	present	1	869
63468824bc01887b6007d674	307514	2	main	z	27	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	309423	2	main	z	28	square	local	LVF	yes	present	1	858
63468824bc01887b6007d674	312908	2	main	z	29	square	local	LVF	yes	present	1	892
63468824bc01887b6007d674	315819	2	main	z	30	rectangle	global	LVF	yes	present	1	871
63468824bc01887b6007d674	318370	2	main	z	31	square	global	LVF	yes	present	1	836
63468824bc01887b6007d674	320674	2	main	z	32	rectangle	global	LVF	yes	present	1	825
63468824bc01887b6007d674	323116	2	main	z	33	square	global	RVF	yes	present	1	866
63468824bc01887b6007d674	325436	2	main	z	34	rectangle	local	RVF	yes	present	1	818
63468824bc01887b6007d674	327739	2	main	z	35	rectangle	global	LVF	yes	present	1	806
63468824bc01887b6007d674	329835	2	main	z	36	square	global	RVF	yes	present	1	784
63468824bc01887b6007d674	332114	2	main	z	37	rectangle	local	LVF	yes	present	1	913
63468824bc01887b6007d674	335549	2	main	z	38	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	337355	2	main	z	39	square	local	LVF	yes	present	1	904
63468824bc01887b6007d674	339796	2	main	z	40	rectangle	local	LVF	yes	present	1	895
63468824bc01887b6007d674	342096	2	main	z	41	square	local	RVF	yes	present	1	960
63468824bc01887b6007d674	344360	2	main	z	42	square	local	RVF	yes	present	1	876
63468824bc01887b6007d674	347965	2	main	z	43	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	349737	2	main	z	44	rectangle	global	RVF	yes	present	1	852
63468824bc01887b6007d674	353134	2	main	z	45	absent	absent	absent	no	absent	1	2000
63468824bc01887b6007d674	355791	2	main	z	46	square	global	LVF	yes	present	1	1323
63468824bc01887b6007d674	358848	2	main	z	47	square	local	LVF	yes	present	1	828
63468824bc01887b6007d674	361490	2	main	z	48	rectangle	local	LVF	yes	present	1	854
