subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63bca8a6f3803fbb0c3aca28	226418	1	practice	slash	1	square	local	LVF	yes	absent	0	2000
63bca8a6f3803fbb0c3aca28	234528	1	practice	slash	2	absent	absent	absent	no	present	0	854
63bca8a6f3803fbb0c3aca28	238539	1	practice	slash	3	square	global	LVF	yes	present	1	592
63bca8a6f3803fbb0c3aca28	242466	1	practice	slash	4	rectangle	local	RVF	yes	present	1	983
63bca8a6f3803fbb0c3aca28	246236	1	practice	slash	5	rectangle	global	RVF	yes	present	1	860
63bca8a6f3803fbb0c3aca28	249305	1	practice	slash	6	rectangle	global	RVF	yes	present	1	832
63bca8a6f3803fbb0c3aca28	253373	1	practice	slash	7	square	global	RVF	yes	present	1	1007
63bca8a6f3803fbb0c3aca28	257166	1	practice	slash	8	rectangle	global	LVF	yes	present	1	1098
63bca8a6f3803fbb0c3aca28	261752	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
63bca8a6f3803fbb0c3aca28	265740	1	practice	slash	10	absent	absent	absent	no	present	0	1489
63bca8a6f3803fbb0c3aca28	269856	1	practice	slash	11	rectangle	local	RVF	yes	present	1	1625
63bca8a6f3803fbb0c3aca28	273857	1	practice	slash	12	square	local	LVF	yes	present	1	1532
63bca8a6f3803fbb0c3aca28	277682	1	practice	slash	13	rectangle	global	LVF	yes	present	1	1221
63bca8a6f3803fbb0c3aca28	281006	1	practice	slash	14	square	global	LVF	yes	present	1	1215
63bca8a6f3803fbb0c3aca28	285144	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
63bca8a6f3803fbb0c3aca28	288566	1	practice	slash	16	rectangle	local	RVF	yes	present	1	1213
63bca8a6f3803fbb0c3aca28	306390	2	main	slash	1	square	local	LVF	yes	present	1	660
63bca8a6f3803fbb0c3aca28	308758	2	main	slash	2	rectangle	local	LVF	yes	present	1	654
63bca8a6f3803fbb0c3aca28	313029	2	main	slash	3	square	local	RVF	yes	absent	0	2000
63bca8a6f3803fbb0c3aca28	315033	2	main	slash	4	rectangle	global	LVF	yes	present	1	839
63bca8a6f3803fbb0c3aca28	318035	2	main	slash	5	square	global	LVF	yes	present	1	891
63bca8a6f3803fbb0c3aca28	321545	2	main	slash	6	absent	absent	absent	no	absent	1	2000
63bca8a6f3803fbb0c3aca28	324492	2	main	slash	7	rectangle	local	RVF	yes	present	1	1079
63bca8a6f3803fbb0c3aca28	326910	2	main	slash	8	rectangle	local	LVF	yes	present	1	915
63bca8a6f3803fbb0c3aca28	328923	2	main	slash	9	square	local	RVF	yes	present	1	918
63bca8a6f3803fbb0c3aca28	331019	2	main	slash	10	square	global	RVF	yes	present	1	940
63bca8a6f3803fbb0c3aca28	333170	2	main	slash	11	square	local	RVF	yes	present	1	1055
63bca8a6f3803fbb0c3aca28	336301	2	main	slash	12	absent	absent	absent	no	absent	1	2000
63bca8a6f3803fbb0c3aca28	338556	2	main	slash	13	square	global	RVF	yes	present	1	844
63bca8a6f3803fbb0c3aca28	340920	2	main	slash	14	rectangle	local	LVF	yes	present	1	1076
63bca8a6f3803fbb0c3aca28	342892	2	main	slash	15	rectangle	global	LVF	yes	present	1	899
63bca8a6f3803fbb0c3aca28	344874	2	main	slash	16	square	global	LVF	yes	present	1	901
63bca8a6f3803fbb0c3aca28	347370	2	main	slash	17	square	global	LVF	yes	present	1	1446
63bca8a6f3803fbb0c3aca28	350624	2	main	slash	18	absent	absent	absent	no	absent	1	2000
