subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63d3fb15a2f8df9e46752d80	601715	9.5	practice	z	1	square	global	RVF	yes	present	1	1875
63d3fb15a2f8df9e46752d80	605371	9.5	practice	z	2	square	local	LVF	yes	present	1	1148
63d3fb15a2f8df9e46752d80	608829	9.5	practice	z	3	rectangle	local	RVF	yes	present	1	1188
63d3fb15a2f8df9e46752d80	611804	9.5	practice	z	4	square	global	LVF	yes	present	1	898
63d3fb15a2f8df9e46752d80	615856	9.5	practice	z	5	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	619939	9.5	practice	z	6	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	623086	9.5	practice	z	7	rectangle	local	RVF	yes	present	1	1081
63d3fb15a2f8df9e46752d80	626023	9.5	practice	z	8	square	local	LVF	yes	present	1	884
63d3fb15a2f8df9e46752d80	630137	9.5	practice	z	9	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	632780	9.5	practice	z	10	square	global	LVF	yes	present	1	610
63d3fb15a2f8df9e46752d80	636920	9.5	practice	z	11	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	639768	9.5	practice	z	12	rectangle	global	LVF	yes	present	1	614
63d3fb15a2f8df9e46752d80	642482	9.5	practice	z	13	rectangle	global	LVF	yes	present	1	612
63d3fb15a2f8df9e46752d80	645669	9.5	practice	z	14	rectangle	local	RVF	yes	present	1	1016
63d3fb15a2f8df9e46752d80	648718	9.5	practice	z	15	rectangle	global	RVF	yes	present	1	698
63d3fb15a2f8df9e46752d80	651630	9.5	practice	z	16	rectangle	global	RVF	yes	present	1	777
63d3fb15a2f8df9e46752d80	657358	10.5	main	z	1	rectangle	global	LVF	yes	present	1	502
63d3fb15a2f8df9e46752d80	660121	10.5	main	z	2	rectangle	local	LVF	yes	present	1	1005
63d3fb15a2f8df9e46752d80	662049	10.5	main	z	3	square	global	LVF	yes	present	1	650
63d3fb15a2f8df9e46752d80	665549	10.5	main	z	4	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	667413	10.5	main	z	5	square	local	LVF	yes	present	1	781
63d3fb15a2f8df9e46752d80	669387	10.5	main	z	6	square	global	LVF	yes	present	1	722
63d3fb15a2f8df9e46752d80	671443	10.5	main	z	7	rectangle	global	LVF	yes	present	1	711
63d3fb15a2f8df9e46752d80	673148	10.5	main	z	8	square	global	RVF	yes	present	1	683
63d3fb15a2f8df9e46752d80	676298	10.5	main	z	9	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	678267	10.5	main	z	10	rectangle	local	LVF	yes	present	1	819
63d3fb15a2f8df9e46752d80	680267	10.5	main	z	11	square	local	RVF	yes	present	1	853
63d3fb15a2f8df9e46752d80	681900	10.5	main	z	12	rectangle	global	LVF	yes	present	1	536
63d3fb15a2f8df9e46752d80	685014	10.5	main	z	13	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	686426	10.5	main	z	14	square	global	LVF	yes	present	1	463
63d3fb15a2f8df9e46752d80	688231	10.5	main	z	15	square	local	LVF	yes	present	1	701
63d3fb15a2f8df9e46752d80	691313	10.5	main	z	16	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	693004	10.5	main	z	17	rectangle	global	RVF	yes	present	1	591
63d3fb15a2f8df9e46752d80	694811	10.5	main	z	18	rectangle	local	RVF	yes	present	1	665
63d3fb15a2f8df9e46752d80	696483	10.5	main	z	19	rectangle	global	LVF	yes	present	1	621
63d3fb15a2f8df9e46752d80	698284	10.5	main	z	20	rectangle	local	RVF	yes	present	1	705
63d3fb15a2f8df9e46752d80	701295	10.5	main	z	21	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	703354	10.5	main	z	22	absent	absent	absent	no	present	0	926
63d3fb15a2f8df9e46752d80	705236	10.5	main	z	23	square	global	RVF	yes	present	1	758
63d3fb15a2f8df9e46752d80	707175	10.5	main	z	24	rectangle	local	RVF	yes	present	1	881
63d3fb15a2f8df9e46752d80	708953	10.5	main	z	25	square	global	RVF	yes	present	1	659
63d3fb15a2f8df9e46752d80	710748	10.5	main	z	26	rectangle	global	RVF	yes	present	1	671
63d3fb15a2f8df9e46752d80	712493	10.5	main	z	27	rectangle	local	RVF	yes	present	1	732
63d3fb15a2f8df9e46752d80	714305	10.5	main	z	28	rectangle	local	LVF	yes	present	1	811
63d3fb15a2f8df9e46752d80	717310	10.5	main	z	29	absent	absent	absent	no	absent	1	2000
63d3fb15a2f8df9e46752d80	719258	10.5	main	z	30	square	local	LVF	yes	present	1	648
63d3fb15a2f8df9e46752d80	721064	10.5	main	z	31	square	local	RVF	yes	present	1	754
63d3fb15a2f8df9e46752d80	722853	10.5	main	z	32	square	global	LVF	yes	present	1	810
63d3fb15a2f8df9e46752d80	724726	10.5	main	z	33	rectangle	local	LVF	yes	present	1	850
