subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63dd37970407f565167e5361	132988	1	practice	z	1	rectangle	global	RVF	yes	absent	0	2000
63dd37970407f565167e5361	136459	1	practice	z	2	rectangle	global	LVF	yes	present	1	939
63dd37970407f565167e5361	141201	1	practice	z	3	rectangle	global	RVF	yes	present	1	831
63dd37970407f565167e5361	145126	1	practice	z	4	square	global	LVF	yes	present	1	891
63dd37970407f565167e5361	147150	1	practice	z	5	square	local	LVF	yes	present	1	47
63dd37970407f565167e5361	149233	1	practice	z	6	absent	absent	absent	no	present	0	13
63dd37970407f565167e5361	151143	1	practice	z	7	rectangle	local	RVF	yes	present	1	73
63dd37970407f565167e5361	153031	1	practice	z	8	square	global	RVF	yes	present	1	144
63dd37970407f565167e5361	155247	1	practice	z	9	absent	absent	absent	no	present	0	360
63dd37970407f565167e5361	157434	1	practice	z	10	square	global	LVF	yes	present	1	365
63dd37970407f565167e5361	159562	1	practice	z	11	rectangle	global	LVF	yes	present	1	309
63dd37970407f565167e5361	161777	1	practice	z	12	rectangle	local	RVF	yes	present	1	240
63dd37970407f565167e5361	164410	1	practice	z	13	rectangle	local	RVF	yes	present	1	639
63dd37970407f565167e5361	166939	1	practice	z	14	absent	absent	absent	no	present	0	470
63dd37970407f565167e5361	169093	1	practice	z	15	absent	absent	absent	no	present	0	274
63dd37970407f565167e5361	170933	1	practice	z	16	square	local	LVF	yes	present	1	14
63dd37970407f565167e5361	174647	2	main	z	1	absent	absent	absent	no	present	0	594
63dd37970407f565167e5361	177138	2	main	z	2	rectangle	local	RVF	yes	present	1	685
63dd37970407f565167e5361	179102	2	main	z	3	absent	absent	absent	no	present	0	266
63dd37970407f565167e5361	180616	2	main	z	4	rectangle	global	LVF	yes	present	1	180
63dd37970407f565167e5361	183277	2	main	z	5	square	global	RVF	yes	present	1	40
63dd37970407f565167e5361	184505	2	main	z	6	rectangle	global	LVF	yes	present	1	101
63dd37970407f565167e5361	185267	2	main	z	7	rectangle	global	LVF	yes	present	1	98
63dd37970407f565167e5361	185991	2	main	z	8	square	local	RVF	yes	present	1	55
63dd37970407f565167e5361	186931	2	main	z	9	square	local	RVF	yes	present	1	11
63dd37970407f565167e5361	188101	2	main	z	10	square	local	LVF	yes	present	1	265
63dd37970407f565167e5361	191142	2	main	z	11	rectangle	local	RVF	yes	present	1	1606
63dd37970407f565167e5361	192421	2	main	z	12	square	global	LVF	yes	present	1	380
63dd37970407f565167e5361	193905	2	main	z	13	square	local	LVF	yes	present	1	619
63dd37970407f565167e5361	194989	2	main	z	14	rectangle	global	LVF	yes	present	1	252
