subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63f7e5adcf31a0af5e7da12f	269139	1	practice	z	1	square	global	RVF	yes	absent	0	2000
63f7e5adcf31a0af5e7da12f	273960	1	practice	z	2	square	local	LVF	yes	present	1	1055
63f7e5adcf31a0af5e7da12f	276680	1	practice	z	3	rectangle	global	LVF	yes	present	1	503
63f7e5adcf31a0af5e7da12f	279775	1	practice	z	4	rectangle	global	RVF	yes	present	1	779
63f7e5adcf31a0af5e7da12f	283176	1	practice	z	5	rectangle	global	LVF	yes	present	1	1054
63f7e5adcf31a0af5e7da12f	286893	1	practice	z	6	rectangle	local	RVF	yes	present	1	1474
63f7e5adcf31a0af5e7da12f	290054	1	practice	z	7	square	global	LVF	yes	present	1	951
63f7e5adcf31a0af5e7da12f	294165	1	practice	z	8	absent	absent	absent	no	absent	1	2000
63f7e5adcf31a0af5e7da12f	297894	1	practice	z	9	absent	absent	absent	no	present	0	1082
63f7e5adcf31a0af5e7da12f	301129	1	practice	z	10	rectangle	global	RVF	yes	present	1	797
63f7e5adcf31a0af5e7da12f	305354	1	practice	z	11	absent	absent	absent	no	absent	1	2000
63f7e5adcf31a0af5e7da12f	308472	1	practice	z	12	absent	absent	absent	no	present	0	999
63f7e5adcf31a0af5e7da12f	311568	1	practice	z	13	rectangle	local	RVF	yes	present	1	1045
63f7e5adcf31a0af5e7da12f	315200	1	practice	z	14	square	global	LVF	yes	present	1	977
63f7e5adcf31a0af5e7da12f	319538	1	practice	z	15	square	local	LVF	yes	absent	0	2000
63f7e5adcf31a0af5e7da12f	322122	1	practice	z	16	rectangle	local	RVF	yes	present	1	455
63f7e5adcf31a0af5e7da12f	330903	2	main	z	1	absent	absent	absent	no	present	0	1180
63f7e5adcf31a0af5e7da12f	334150	2	main	z	2	absent	absent	absent	no	present	0	1045
63f7e5adcf31a0af5e7da12f	337181	2	main	z	3	square	global	LVF	yes	present	1	1152
63f7e5adcf31a0af5e7da12f	339574	2	main	z	4	square	local	LVF	yes	present	1	1061
63f7e5adcf31a0af5e7da12f	341896	2	main	z	5	rectangle	global	LVF	yes	present	1	1022
63f7e5adcf31a0af5e7da12f	345161	2	main	z	6	rectangle	local	LVF	yes	absent	0	2000
63f7e5adcf31a0af5e7da12f	347414	2	main	z	7	rectangle	global	LVF	yes	present	1	1075
63f7e5adcf31a0af5e7da12f	350906	2	main	z	8	absent	absent	absent	no	absent	1	2000
63f7e5adcf31a0af5e7da12f	353218	2	main	z	9	rectangle	global	RVF	yes	present	1	1050
63f7e5adcf31a0af5e7da12f	356290	2	main	z	10	square	local	LVF	yes	absent	0	2000
63f7e5adcf31a0af5e7da12f	358574	2	main	z	11	rectangle	local	LVF	yes	present	1	1052
63f7e5adcf31a0af5e7da12f	361239	2	main	z	12	square	global	RVF	yes	present	1	966
63f7e5adcf31a0af5e7da12f	362945	2	main	z	13	square	global	LVF	yes	present	1	728
63f7e5adcf31a0af5e7da12f	365957	2	main	z	14	absent	absent	absent	no	absent	1	2000
63f7e5adcf31a0af5e7da12f	369157	2	main	z	15	absent	absent	absent	no	absent	1	2000
63f7e5adcf31a0af5e7da12f	371775	2	main	z	16	rectangle	local	LVF	yes	present	1	1318
63f7e5adcf31a0af5e7da12f	375374	2	main	z	17	square	local	LVF	yes	present	1	1735
63f7e5adcf31a0af5e7da12f	378591	2	main	z	18	rectangle	global	RVF	yes	absent	0	2000
63f7e5adcf31a0af5e7da12f	380763	2	main	z	19	square	global	LVF	yes	present	1	1018
63f7e5adcf31a0af5e7da12f	383841	2	main	z	20	absent	absent	absent	no	absent	1	2000
63f7e5adcf31a0af5e7da12f	385803	2	main	z	21	square	global	RVF	yes	present	1	834
63f7e5adcf31a0af5e7da12f	388310	2	main	z	22	square	global	LVF	yes	present	1	1420
63f7e5adcf31a0af5e7da12f	390518	2	main	z	23	square	global	RVF	yes	present	1	1095
63f7e5adcf31a0af5e7da12f	392322	2	main	z	24	square	global	RVF	yes	present	1	778
63f7e5adcf31a0af5e7da12f	394241	2	main	z	25	rectangle	global	RVF	yes	present	1	839
63f7e5adcf31a0af5e7da12f	397228	2	main	z	26	square	local	RVF	yes	absent	0	2000
63f7e5adcf31a0af5e7da12f	400275	2	main	z	27	square	local	RVF	yes	absent	0	2000
63f7e5adcf31a0af5e7da12f	403647	2	main	z	28	absent	absent	absent	no	absent	1	2000
63f7e5adcf31a0af5e7da12f	405179	2	main	z	29	rectangle	global	LVF	yes	present	1	517
63f7e5adcf31a0af5e7da12f	407717	2	main	z	30	square	local	RVF	yes	present	1	1236
63f7e5adcf31a0af5e7da12f	409729	2	main	z	31	rectangle	global	LVF	yes	present	1	952
63f7e5adcf31a0af5e7da12f	411649	2	main	z	32	rectangle	global	RVF	yes	present	1	981
63f7e5adcf31a0af5e7da12f	413494	2	main	z	33	rectangle	local	RVF	yes	present	1	953
63f7e5adcf31a0af5e7da12f	416587	2	main	z	34	rectangle	local	RVF	yes	absent	0	2000
63f7e5adcf31a0af5e7da12f	419635	2	main	z	35	absent	absent	absent	no	absent	1	2000
63f7e5adcf31a0af5e7da12f	422622	2	main	z	36	rectangle	local	LVF	yes	absent	0	2000
63f7e5adcf31a0af5e7da12f	424680	2	main	z	37	square	local	LVF	yes	present	1	1037
