subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
64175c4b35e2efa75054afa2	962172	9.5	practice	z	1	rectangle	global	LVF	yes	present	1	550
64175c4b35e2efa75054afa2	967860	9.5	practice	z	2	square	local	LVF	yes	present	1	1590
64175c4b35e2efa75054afa2	972719	9.5	practice	z	3	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	976482	9.5	practice	z	4	square	local	LVF	yes	present	1	1059
64175c4b35e2efa75054afa2	980156	9.5	practice	z	5	square	global	RVF	yes	present	1	981
64175c4b35e2efa75054afa2	983588	9.5	practice	z	6	rectangle	local	RVF	yes	present	1	1036
64175c4b35e2efa75054afa2	986812	9.5	practice	z	7	rectangle	global	RVF	yes	present	1	861
64175c4b35e2efa75054afa2	990225	9.5	practice	z	8	square	global	LVF	yes	present	1	927
64175c4b35e2efa75054afa2	993504	9.5	practice	z	9	square	global	LVF	yes	present	1	973
64175c4b35e2efa75054afa2	997377	9.5	practice	z	10	rectangle	global	RVF	yes	present	1	967
64175c4b35e2efa75054afa2	1001772	9.5	practice	z	11	rectangle	global	LVF	yes	present	1	1377
64175c4b35e2efa75054afa2	1005515	9.5	practice	z	12	rectangle	local	RVF	yes	present	1	1172
64175c4b35e2efa75054afa2	1009023	9.5	practice	z	13	rectangle	local	RVF	yes	present	1	1269
64175c4b35e2efa75054afa2	1012851	9.5	practice	z	14	absent	absent	absent	no	present	0	1622
64175c4b35e2efa75054afa2	1017534	9.5	practice	z	15	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1022890	9.5	practice	z	16	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1033687	10.5	main	z	1	square	global	LVF	yes	present	1	828
64175c4b35e2efa75054afa2	1038256	10.5	main	z	2	rectangle	local	RVF	yes	present	1	1009
64175c4b35e2efa75054afa2	1043475	10.5	main	z	3	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1045801	10.5	main	z	4	square	global	LVF	yes	present	1	769
64175c4b35e2efa75054afa2	1048882	10.5	main	z	5	square	global	RVF	yes	present	1	923
64175c4b35e2efa75054afa2	1051377	10.5	main	z	6	rectangle	global	RVF	yes	present	1	932
64175c4b35e2efa75054afa2	1055280	10.5	main	z	7	rectangle	global	RVF	yes	absent	0	2000
64175c4b35e2efa75054afa2	1057823	10.5	main	z	8	square	global	LVF	yes	present	1	836
64175c4b35e2efa75054afa2	1060726	10.5	main	z	9	square	local	RVF	yes	present	1	881
64175c4b35e2efa75054afa2	1063541	10.5	main	z	10	square	global	RVF	yes	present	1	794
64175c4b35e2efa75054afa2	1065987	10.5	main	z	11	square	global	RVF	yes	present	1	881
64175c4b35e2efa75054afa2	1068911	10.5	main	z	12	absent	absent	absent	no	present	0	1411
64175c4b35e2efa75054afa2	1072294	10.5	main	z	13	rectangle	global	LVF	yes	present	1	1364
64175c4b35e2efa75054afa2	1075319	10.5	main	z	14	square	local	RVF	yes	present	1	1151
64175c4b35e2efa75054afa2	1078288	10.5	main	z	15	rectangle	local	RVF	yes	present	1	1265
64175c4b35e2efa75054afa2	1081199	10.5	main	z	16	square	local	LVF	yes	present	1	1078
64175c4b35e2efa75054afa2	1084667	10.5	main	z	17	rectangle	local	LVF	yes	present	1	1303
64175c4b35e2efa75054afa2	1087259	10.5	main	z	18	rectangle	local	RVF	yes	present	1	1079
64175c4b35e2efa75054afa2	1090082	10.5	main	z	19	square	local	LVF	yes	present	1	1265
64175c4b35e2efa75054afa2	1092949	10.5	main	z	20	square	global	RVF	yes	present	1	1065
64175c4b35e2efa75054afa2	1096094	10.5	main	z	21	rectangle	local	LVF	yes	present	1	1347
64175c4b35e2efa75054afa2	1098702	10.5	main	z	22	square	local	RVF	yes	present	1	1090
64175c4b35e2efa75054afa2	1102154	10.5	main	z	23	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1104722	10.5	main	z	24	rectangle	local	RVF	yes	present	1	1001
64175c4b35e2efa75054afa2	1107389	10.5	main	z	25	square	local	LVF	yes	present	1	939
64175c4b35e2efa75054afa2	1110040	10.5	main	z	26	square	local	RVF	yes	present	1	876
64175c4b35e2efa75054afa2	1112587	10.5	main	z	27	rectangle	global	LVF	yes	present	1	945
64175c4b35e2efa75054afa2	1115037	10.5	main	z	28	square	global	LVF	yes	present	1	994
64175c4b35e2efa75054afa2	1117545	10.5	main	z	29	rectangle	global	LVF	yes	present	1	972
64175c4b35e2efa75054afa2	1120707	10.5	main	z	30	rectangle	global	LVF	yes	present	1	1345
64175c4b35e2efa75054afa2	1123519	10.5	main	z	31	absent	absent	absent	no	present	0	1301
64175c4b35e2efa75054afa2	1126866	10.5	main	z	32	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1129611	10.5	main	z	33	rectangle	local	LVF	yes	present	1	1342
64175c4b35e2efa75054afa2	1132567	10.5	main	z	34	rectangle	global	RVF	yes	present	1	1060
64175c4b35e2efa75054afa2	1135485	10.5	main	z	35	rectangle	global	RVF	yes	present	1	1002
64175c4b35e2efa75054afa2	1138498	10.5	main	z	36	square	local	LVF	yes	present	1	1039
64175c4b35e2efa75054afa2	1142263	10.5	main	z	37	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1145406	10.5	main	z	38	rectangle	local	LVF	yes	present	1	1565
64175c4b35e2efa75054afa2	1148730	10.5	main	z	39	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1153037	10.5	main	z	40	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1155958	10.5	main	z	41	rectangle	local	LVF	yes	present	1	1324
64175c4b35e2efa75054afa2	1158922	10.5	main	z	42	rectangle	local	LVF	yes	present	1	973
64175c4b35e2efa75054afa2	1161669	10.5	main	z	43	square	local	RVF	yes	present	1	1051
64175c4b35e2efa75054afa2	1164273	10.5	main	z	44	rectangle	local	LVF	yes	present	1	1006
64175c4b35e2efa75054afa2	1166687	10.5	main	z	45	rectangle	local	RVF	yes	present	1	906
64175c4b35e2efa75054afa2	1169336	10.5	main	z	46	square	local	LVF	yes	present	1	1120
64175c4b35e2efa75054afa2	1171954	10.5	main	z	47	square	global	RVF	yes	present	1	988
64175c4b35e2efa75054afa2	1175417	10.5	main	z	48	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1178548	10.5	main	z	49	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1181363	10.5	main	z	50	square	global	RVF	yes	present	1	765
64175c4b35e2efa75054afa2	1185490	10.5	main	z	51	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1188014	10.5	main	z	52	square	local	RVF	yes	present	1	1024
64175c4b35e2efa75054afa2	1190776	10.5	main	z	53	square	global	RVF	yes	present	1	1096
64175c4b35e2efa75054afa2	1194925	10.5	main	z	54	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1198341	10.5	main	z	55	rectangle	local	LVF	yes	absent	0	2000
64175c4b35e2efa75054afa2	1202001	10.5	main	z	56	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1204931	10.5	main	z	57	rectangle	global	RVF	yes	present	1	1057
64175c4b35e2efa75054afa2	1207794	10.5	main	z	58	square	global	LVF	yes	present	1	1119
64175c4b35e2efa75054afa2	1211034	10.5	main	z	59	square	global	LVF	yes	present	1	891
64175c4b35e2efa75054afa2	1213803	10.5	main	z	60	square	local	RVF	yes	present	1	976
64175c4b35e2efa75054afa2	1216079	10.5	main	z	61	rectangle	global	LVF	yes	present	1	869
64175c4b35e2efa75054afa2	1218272	10.5	main	z	62	square	local	RVF	yes	present	1	918
64175c4b35e2efa75054afa2	1220377	10.5	main	z	63	square	global	LVF	yes	present	1	821
64175c4b35e2efa75054afa2	1222572	10.5	main	z	64	rectangle	local	RVF	yes	present	1	943
64175c4b35e2efa75054afa2	1225187	10.5	main	z	65	rectangle	global	RVF	yes	present	1	1367
64175c4b35e2efa75054afa2	1228509	10.5	main	z	66	absent	absent	absent	no	absent	1	2000
64175c4b35e2efa75054afa2	1230338	10.5	main	z	67	rectangle	global	LVF	yes	present	1	545
64175c4b35e2efa75054afa2	1232929	10.5	main	z	68	square	local	LVF	yes	present	1	953
64175c4b35e2efa75054afa2	1235041	10.5	main	z	69	rectangle	global	LVF	yes	present	1	725
64175c4b35e2efa75054afa2	1237226	10.5	main	z	70	square	local	LVF	yes	present	1	936
64175c4b35e2efa75054afa2	1239398	10.5	main	z	71	rectangle	global	RVF	yes	present	1	924
