subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
641772ff6ca990e4c241b1bd	683019	9.5	practice	slash	1	rectangle	local	RVF	yes	present	1	1692
641772ff6ca990e4c241b1bd	687003	9.5	practice	slash	2	square	local	LVF	yes	present	1	792
641772ff6ca990e4c241b1bd	691161	9.5	practice	slash	3	square	global	LVF	yes	absent	0	2000
641772ff6ca990e4c241b1bd	696147	9.5	practice	slash	4	rectangle	global	LVF	yes	present	1	719
641772ff6ca990e4c241b1bd	699131	9.5	practice	slash	5	square	local	LVF	yes	present	1	903
641772ff6ca990e4c241b1bd	702699	9.5	practice	slash	6	rectangle	local	RVF	yes	present	1	1487
641772ff6ca990e4c241b1bd	707027	9.5	practice	slash	7	square	global	RVF	yes	present	1	1048
641772ff6ca990e4c241b1bd	711029	9.5	practice	slash	8	absent	absent	absent	no	absent	1	2000
641772ff6ca990e4c241b1bd	714179	9.5	practice	slash	9	rectangle	global	RVF	yes	present	1	999
641772ff6ca990e4c241b1bd	718280	9.5	practice	slash	10	absent	absent	absent	no	absent	1	2000
641772ff6ca990e4c241b1bd	721363	9.5	practice	slash	11	rectangle	global	LVF	yes	present	1	866
641772ff6ca990e4c241b1bd	724467	9.5	practice	slash	12	square	global	LVF	yes	present	1	853
641772ff6ca990e4c241b1bd	729598	9.5	practice	slash	13	absent	absent	absent	no	absent	1	2000
641772ff6ca990e4c241b1bd	733932	9.5	practice	slash	14	absent	absent	absent	no	absent	1	2000
641772ff6ca990e4c241b1bd	738482	9.5	practice	slash	15	rectangle	local	RVF	yes	absent	0	2000
641772ff6ca990e4c241b1bd	741795	9.5	practice	slash	16	rectangle	global	RVF	yes	present	1	846
641772ff6ca990e4c241b1bd	754417	10.5	main	slash	1	rectangle	global	LVF	yes	present	1	585
641772ff6ca990e4c241b1bd	757250	10.5	main	slash	2	rectangle	global	LVF	yes	present	1	650
641772ff6ca990e4c241b1bd	759713	10.5	main	slash	3	square	local	LVF	yes	present	1	647
641772ff6ca990e4c241b1bd	762120	10.5	main	slash	4	square	local	LVF	yes	present	1	622
641772ff6ca990e4c241b1bd	764976	10.5	main	slash	5	square	global	LVF	yes	present	1	494
641772ff6ca990e4c241b1bd	767740	10.5	main	slash	6	square	local	LVF	yes	present	1	454
641772ff6ca990e4c241b1bd	771318	10.5	main	slash	7	absent	absent	absent	no	absent	1	2000
641772ff6ca990e4c241b1bd	774451	10.5	main	slash	8	absent	absent	absent	no	absent	1	2000
641772ff6ca990e4c241b1bd	776218	10.5	main	slash	9	square	local	RVF	yes	present	1	816
641772ff6ca990e4c241b1bd	778617	10.5	main	slash	10	rectangle	global	RVF	yes	present	1	482
641772ff6ca990e4c241b1bd	780713	10.5	main	slash	11	square	global	RVF	yes	present	1	795
641772ff6ca990e4c241b1bd	782816	10.5	main	slash	12	square	local	RVF	yes	present	1	807
641772ff6ca990e4c241b1bd	784633	10.5	main	slash	13	rectangle	local	LVF	yes	present	1	648
641772ff6ca990e4c241b1bd	787803	10.5	main	slash	14	absent	absent	absent	no	absent	1	2000
641772ff6ca990e4c241b1bd	789313	10.5	main	slash	15	rectangle	global	RVF	yes	present	1	444
641772ff6ca990e4c241b1bd	790865	10.5	main	slash	16	square	local	LVF	yes	present	1	413
641772ff6ca990e4c241b1bd	793853	10.5	main	slash	17	absent	absent	absent	no	absent	1	2000
641772ff6ca990e4c241b1bd	795218	10.5	main	slash	18	square	global	LVF	yes	present	1	331
641772ff6ca990e4c241b1bd	796753	10.5	main	slash	19	rectangle	local	RVF	yes	present	1	400
