subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
594936ad4152bf0001bfd5cd	201975	1	practice	z	1	circle	global	LVF	yes	present	1	1527
594936ad4152bf0001bfd5cd	211012	1	practice	z	2	circle	local	RVF	yes	present	1	1005
594936ad4152bf0001bfd5cd	214395	1	practice	z	3	square	global	LVF	yes	present	1	903
594936ad4152bf0001bfd5cd	218743	1	practice	z	4	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	221917	1	practice	z	5	square	global	LVF	yes	present	1	803
594936ad4152bf0001bfd5cd	225341	1	practice	z	6	square	local	LVF	yes	present	1	1008
594936ad4152bf0001bfd5cd	230179	1	practice	z	7	circle	local	RVF	yes	present	1	1035
594936ad4152bf0001bfd5cd	233341	1	practice	z	8	circle	global	LVF	yes	present	1	840
594936ad4152bf0001bfd5cd	236696	1	practice	z	9	square	local	LVF	yes	present	1	1039
594936ad4152bf0001bfd5cd	241099	1	practice	z	10	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	244694	1	practice	z	11	absent	absent	absent	no	present	0	1217
594936ad4152bf0001bfd5cd	249183	1	practice	z	12	circle	local	RVF	yes	present	1	844
594936ad4152bf0001bfd5cd	253559	1	practice	z	13	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	257527	1	practice	z	14	square	global	RVF	yes	present	1	1838
594936ad4152bf0001bfd5cd	260999	1	practice	z	15	circle	global	RVF	yes	present	1	935
594936ad4152bf0001bfd5cd	264256	1	practice	z	16	circle	global	RVF	yes	present	1	858
594936ad4152bf0001bfd5cd	332415	2	main	z	1	circle	global	RVF	yes	present	1	604
594936ad4152bf0001bfd5cd	335880	2	main	z	2	circle	local	RVF	yes	present	1	1012
594936ad4152bf0001bfd5cd	338265	2	main	z	3	circle	global	LVF	yes	present	1	946
594936ad4152bf0001bfd5cd	341465	2	main	z	4	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	343536	2	main	z	5	circle	local	LVF	yes	present	1	1066
594936ad4152bf0001bfd5cd	345706	2	main	z	6	square	local	RVF	yes	present	1	995
594936ad4152bf0001bfd5cd	347722	2	main	z	7	square	local	RVF	yes	present	1	927
594936ad4152bf0001bfd5cd	349415	2	main	z	8	circle	global	RVF	yes	present	1	607
594936ad4152bf0001bfd5cd	351477	2	main	z	9	circle	local	LVF	yes	present	1	820
594936ad4152bf0001bfd5cd	353155	2	main	z	10	circle	global	LVF	yes	present	1	635
594936ad4152bf0001bfd5cd	355223	2	main	z	11	square	global	LVF	yes	present	1	953
594936ad4152bf0001bfd5cd	357516	2	main	z	12	square	global	RVF	yes	present	1	891
594936ad4152bf0001bfd5cd	360696	2	main	z	13	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	363677	2	main	z	14	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	365694	2	main	z	15	square	global	LVF	yes	present	1	879
594936ad4152bf0001bfd5cd	367732	2	main	z	16	square	global	LVF	yes	present	1	998
594936ad4152bf0001bfd5cd	369770	2	main	z	17	square	local	LVF	yes	present	1	933
594936ad4152bf0001bfd5cd	371982	2	main	z	18	circle	global	RVF	yes	present	1	1025
594936ad4152bf0001bfd5cd	375839	2	main	z	19	circle	local	LVF	yes	present	1	1039
594936ad4152bf0001bfd5cd	378158	2	main	z	20	square	local	LVF	yes	present	1	964
594936ad4152bf0001bfd5cd	380174	2	main	z	21	square	global	LVF	yes	present	1	871
594936ad4152bf0001bfd5cd	382110	2	main	z	22	circle	local	RVF	yes	present	1	933
594936ad4152bf0001bfd5cd	385208	2	main	z	23	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	387285	2	main	z	24	square	local	RVF	yes	present	1	787
594936ad4152bf0001bfd5cd	389184	2	main	z	25	circle	global	LVF	yes	present	1	892
594936ad4152bf0001bfd5cd	392130	2	main	z	26	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	393967	2	main	z	27	circle	global	RVF	yes	present	1	852
594936ad4152bf0001bfd5cd	396885	2	main	z	28	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	399136	2	main	z	29	circle	local	RVF	yes	present	1	1076
594936ad4152bf0001bfd5cd	400861	2	main	z	30	square	global	RVF	yes	present	1	865
594936ad4152bf0001bfd5cd	402884	2	main	z	31	square	local	LVF	yes	present	1	1029
594936ad4152bf0001bfd5cd	405872	2	main	z	32	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	407851	2	main	z	33	square	global	RVF	yes	present	1	954
594936ad4152bf0001bfd5cd	409924	2	main	z	34	circle	global	LVF	yes	present	1	854
594936ad4152bf0001bfd5cd	411653	2	main	z	35	square	local	RVF	yes	present	1	827
594936ad4152bf0001bfd5cd	413502	2	main	z	36	circle	local	LVF	yes	present	1	836
594936ad4152bf0001bfd5cd	415466	2	main	z	37	square	local	LVF	yes	present	1	1008
594936ad4152bf0001bfd5cd	417385	2	main	z	38	square	global	RVF	yes	present	1	967
594936ad4152bf0001bfd5cd	419324	2	main	z	39	circle	local	RVF	yes	present	1	994
594936ad4152bf0001bfd5cd	422364	2	main	z	40	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	425459	2	main	z	41	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	427126	2	main	z	42	circle	local	RVF	yes	present	1	697
594936ad4152bf0001bfd5cd	429134	2	main	z	43	circle	global	RVF	yes	present	1	945
594936ad4152bf0001bfd5cd	432190	2	main	z	44	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	434042	2	main	z	45	circle	local	RVF	yes	present	1	897
594936ad4152bf0001bfd5cd	435951	2	main	z	46	square	local	RVF	yes	present	1	943
594936ad4152bf0001bfd5cd	437754	2	main	z	47	circle	local	LVF	yes	present	1	855
594936ad4152bf0001bfd5cd	439515	2	main	z	48	circle	global	LVF	yes	present	1	832
594936ad4152bf0001bfd5cd	441350	2	main	z	49	square	global	RVF	yes	present	1	900
594936ad4152bf0001bfd5cd	443212	2	main	z	50	square	global	RVF	yes	present	1	933
594936ad4152bf0001bfd5cd	444962	2	main	z	51	circle	local	LVF	yes	present	1	867
594936ad4152bf0001bfd5cd	447878	2	main	z	52	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	451149	2	main	z	53	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	453067	2	main	z	54	circle	global	LVF	yes	present	1	795
594936ad4152bf0001bfd5cd	454795	2	main	z	55	circle	global	LVF	yes	present	1	827
594936ad4152bf0001bfd5cd	456609	2	main	z	56	square	global	RVF	yes	present	1	888
594936ad4152bf0001bfd5cd	459499	2	main	z	57	absent	absent	absent	no	absent	1	2003
594936ad4152bf0001bfd5cd	461738	2	main	z	58	square	local	RVF	yes	present	1	782
594936ad4152bf0001bfd5cd	463468	2	main	z	59	circle	local	RVF	yes	present	1	801
