subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
594c13bdb9380200018809c9	153997	1	practice	z	1	square	local	LVF	yes	absent	0	2000
594c13bdb9380200018809c9	157660	1	practice	z	2	square	global	LVF	yes	present	1	640
594c13bdb9380200018809c9	162724	1	practice	z	3	circle	local	RVF	yes	present	1	1030
594c13bdb9380200018809c9	166596	1	practice	z	4	absent	absent	absent	no	present	0	1294
594c13bdb9380200018809c9	170044	1	practice	z	5	circle	global	LVF	yes	present	1	1099
594c13bdb9380200018809c9	173042	1	practice	z	6	circle	global	RVF	yes	present	1	918
594c13bdb9380200018809c9	176491	1	practice	z	7	circle	global	RVF	yes	present	1	977
594c13bdb9380200018809c9	180191	1	practice	z	8	absent	absent	absent	no	absent	1	2000
594c13bdb9380200018809c9	183849	1	practice	z	9	absent	absent	absent	no	present	0	1317
594c13bdb9380200018809c9	186862	1	practice	z	10	circle	global	LVF	yes	present	1	854
594c13bdb9380200018809c9	190302	1	practice	z	11	square	local	LVF	yes	present	1	1084
594c13bdb9380200018809c9	193298	1	practice	z	12	square	global	LVF	yes	present	1	869
594c13bdb9380200018809c9	196547	1	practice	z	13	square	global	RVF	yes	present	1	892
594c13bdb9380200018809c9	199653	1	practice	z	14	circle	local	RVF	yes	present	1	887
594c13bdb9380200018809c9	202624	1	practice	z	15	circle	local	RVF	yes	present	1	848
594c13bdb9380200018809c9	206568	1	practice	z	16	absent	absent	absent	no	absent	1	2000
594c13bdb9380200018809c9	216566	2	main	z	1	square	global	LVF	yes	present	1	593
594c13bdb9380200018809c9	219187	2	main	z	2	square	local	RVF	yes	present	1	802
594c13bdb9380200018809c9	221531	2	main	z	3	circle	local	LVF	yes	present	1	635
594c13bdb9380200018809c9	223232	2	main	z	4	square	local	LVF	yes	present	1	622
594c13bdb9380200018809c9	225081	2	main	z	5	square	global	LVF	yes	present	1	775
594c13bdb9380200018809c9	226789	2	main	z	6	circle	local	RVF	yes	present	1	654
594c13bdb9380200018809c9	228896	2	main	z	7	circle	global	RVF	yes	present	1	1114
594c13bdb9380200018809c9	231050	2	main	z	8	square	global	RVF	yes	present	1	740
594c13bdb9380200018809c9	232774	2	main	z	9	circle	global	LVF	yes	present	1	719
594c13bdb9380200018809c9	234665	2	main	z	10	square	local	LVF	yes	present	1	929
594c13bdb9380200018809c9	236380	2	main	z	11	square	global	RVF	yes	present	1	748
594c13bdb9380200018809c9	238173	2	main	z	12	circle	global	RVF	yes	present	1	878
594c13bdb9380200018809c9	239804	2	main	z	13	circle	global	RVF	yes	present	1	713
594c13bdb9380200018809c9	242754	2	main	z	14	absent	absent	absent	no	absent	1	2000
594c13bdb9380200018809c9	244581	2	main	z	15	circle	global	RVF	yes	present	1	534
594c13bdb9380200018809c9	246545	2	main	z	16	square	local	LVF	yes	present	1	901
594c13bdb9380200018809c9	248304	2	main	z	17	square	global	LVF	yes	present	1	665
594c13bdb9380200018809c9	250103	2	main	z	18	circle	local	RVF	yes	present	1	800
594c13bdb9380200018809c9	252265	2	main	z	19	absent	absent	absent	no	present	0	1233
594c13bdb9380200018809c9	254329	2	main	z	20	square	local	RVF	yes	present	1	952
594c13bdb9380200018809c9	257323	2	main	z	21	absent	absent	absent	no	absent	1	2000
594c13bdb9380200018809c9	259002	2	main	z	22	circle	global	LVF	yes	present	1	785
594c13bdb9380200018809c9	260860	2	main	z	23	absent	absent	absent	no	present	0	814
594c13bdb9380200018809c9	262613	2	main	z	24	square	local	LVF	yes	present	1	704
