subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
596fea64a5c32a0001584755	145384	1	practice	z	1	square	local	LVF	yes	present	1	1331
596fea64a5c32a0001584755	152606	1	practice	z	2	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	157112	1	practice	z	3	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	160122	1	practice	z	4	circle	global	LVF	yes	present	1	635
596fea64a5c32a0001584755	164678	1	practice	z	5	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	167998	1	practice	z	6	square	global	LVF	yes	present	1	1046
596fea64a5c32a0001584755	171543	1	practice	z	7	circle	global	RVF	yes	present	1	1016
596fea64a5c32a0001584755	175803	1	practice	z	8	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	180013	1	practice	z	9	circle	local	RVF	yes	absent	0	2000
596fea64a5c32a0001584755	183322	1	practice	z	10	square	global	RVF	yes	present	1	1022
596fea64a5c32a0001584755	186840	1	practice	z	11	circle	local	RVF	yes	present	1	1198
596fea64a5c32a0001584755	190055	1	practice	z	12	circle	global	LVF	yes	present	1	1021
596fea64a5c32a0001584755	193176	1	practice	z	13	circle	global	RVF	yes	present	1	932
596fea64a5c32a0001584755	197355	1	practice	z	14	circle	local	RVF	yes	absent	0	2000
596fea64a5c32a0001584755	200493	1	practice	z	15	square	global	LVF	yes	present	1	982
596fea64a5c32a0001584755	203896	1	practice	z	16	square	local	LVF	yes	present	1	1210
596fea64a5c32a0001584755	212355	2	main	z	1	circle	global	LVF	yes	present	1	769
596fea64a5c32a0001584755	216346	2	main	z	2	square	local	LVF	yes	absent	0	2000
596fea64a5c32a0001584755	218637	2	main	z	3	square	global	LVF	yes	present	1	981
596fea64a5c32a0001584755	222150	2	main	z	4	square	local	RVF	yes	absent	0	2000
596fea64a5c32a0001584755	224482	2	main	z	5	square	global	LVF	yes	present	1	1007
596fea64a5c32a0001584755	227753	2	main	z	6	circle	local	RVF	yes	absent	0	2000
596fea64a5c32a0001584755	230913	2	main	z	7	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	233077	2	main	z	8	square	local	RVF	yes	present	1	1054
596fea64a5c32a0001584755	235453	2	main	z	9	square	local	LVF	yes	present	1	1086
596fea64a5c32a0001584755	238712	2	main	z	10	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	241871	2	main	z	11	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	243916	2	main	z	12	square	global	RVF	yes	present	1	1001
596fea64a5c32a0001584755	247058	2	main	z	13	circle	local	LVF	yes	present	1	1783
596fea64a5c32a0001584755	249866	2	main	z	14	square	local	RVF	yes	present	1	1564
596fea64a5c32a0001584755	253045	2	main	z	15	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	255113	2	main	z	16	square	global	LVF	yes	present	1	1024
596fea64a5c32a0001584755	258433	2	main	z	17	square	local	RVF	yes	absent	0	2000
596fea64a5c32a0001584755	260686	2	main	z	18	square	local	LVF	yes	present	1	1109
596fea64a5c32a0001584755	263078	2	main	z	19	circle	global	LVF	yes	present	1	1124
596fea64a5c32a0001584755	265840	2	main	z	20	circle	local	RVF	yes	present	1	1442
596fea64a5c32a0001584755	269009	2	main	z	21	square	local	LVF	yes	absent	0	2000
596fea64a5c32a0001584755	271188	2	main	z	22	square	global	RVF	yes	present	1	1053
596fea64a5c32a0001584755	273589	2	main	z	23	circle	global	RVF	yes	present	1	1093
596fea64a5c32a0001584755	276841	2	main	z	24	circle	local	RVF	yes	absent	0	2000
596fea64a5c32a0001584755	279229	2	main	z	25	circle	local	LVF	yes	present	1	1245
596fea64a5c32a0001584755	282445	2	main	z	26	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	284548	2	main	z	27	circle	global	LVF	yes	present	1	1060
596fea64a5c32a0001584755	286913	2	main	z	28	square	global	RVF	yes	present	1	1080
596fea64a5c32a0001584755	290044	2	main	z	29	circle	local	LVF	yes	absent	0	2000
596fea64a5c32a0001584755	292157	2	main	z	30	circle	global	RVF	yes	present	1	1070
596fea64a5c32a0001584755	295398	2	main	z	31	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	297568	2	main	z	32	square	global	RVF	yes	present	1	1061
596fea64a5c32a0001584755	300953	2	main	z	33	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	304095	2	main	z	34	circle	local	RVF	yes	absent	0	2000
596fea64a5c32a0001584755	306561	2	main	z	35	circle	global	LVF	yes	present	1	1374
596fea64a5c32a0001584755	309832	2	main	z	36	absent	absent	absent	no	absent	1	2000
596fea64a5c32a0001584755	312025	2	main	z	37	circle	local	LVF	yes	present	1	1149
596fea64a5c32a0001584755	314749	2	main	z	38	square	global	LVF	yes	present	1	1413
596fea64a5c32a0001584755	316968	2	main	z	39	circle	global	RVF	yes	present	1	1038
596fea64a5c32a0001584755	319154	2	main	z	40	circle	global	RVF	yes	present	1	1029
596fea64a5c32a0001584755	322353	2	main	z	41	square	local	LVF	yes	absent	0	2000
596fea64a5c32a0001584755	324860	2	main	z	42	circle	local	LVF	yes	present	1	1198
596fea64a5c32a0001584755	328107	2	main	z	43	square	global	RVF	yes	absent	0	2000
596fea64a5c32a0001584755	330231	2	main	z	44	circle	global	LVF	yes	present	1	1031
596fea64a5c32a0001584755	333062	2	main	z	45	circle	local	LVF	yes	present	1	1352
596fea64a5c32a0001584755	335764	2	main	z	46	square	local	LVF	yes	present	1	1494
