subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ba854ed7c0ebe0001272f2d	112032	1	practice	z	1	square	local	LVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	116545	1	practice	z	2	square	global	RVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	119901	1	practice	z	3	circle	local	RVF	yes	present	1	693
5ba854ed7c0ebe0001272f2d	123602	1	practice	z	4	square	global	LVF	yes	present	1	1112
5ba854ed7c0ebe0001272f2d	127071	1	practice	z	5	square	local	LVF	yes	present	1	818
5ba854ed7c0ebe0001272f2d	130336	1	practice	z	6	square	global	LVF	yes	present	1	1052
5ba854ed7c0ebe0001272f2d	133375	1	practice	z	7	circle	global	RVF	yes	present	1	993
5ba854ed7c0ebe0001272f2d	136074	1	practice	z	8	circle	global	LVF	yes	present	1	761
5ba854ed7c0ebe0001272f2d	140211	1	practice	z	9	circle	local	RVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	144308	1	practice	z	10	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	148255	1	practice	z	11	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	150969	1	practice	z	12	circle	global	LVF	yes	present	1	816
5ba854ed7c0ebe0001272f2d	154146	1	practice	z	13	circle	local	RVF	yes	present	1	1013
5ba854ed7c0ebe0001272f2d	157852	1	practice	z	14	circle	global	RVF	yes	present	1	1638
5ba854ed7c0ebe0001272f2d	161795	1	practice	z	15	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	165725	1	practice	z	16	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	173280	2	main	z	1	circle	global	LVF	yes	present	1	664
5ba854ed7c0ebe0001272f2d	176544	2	main	z	2	circle	local	RVF	yes	present	1	1064
5ba854ed7c0ebe0001272f2d	178901	2	main	z	3	square	global	LVF	yes	present	1	973
5ba854ed7c0ebe0001272f2d	181374	2	main	z	4	circle	global	RVF	yes	present	1	1031
5ba854ed7c0ebe0001272f2d	183648	2	main	z	5	square	global	RVF	yes	present	1	924
5ba854ed7c0ebe0001272f2d	186104	2	main	z	6	square	global	RVF	yes	present	1	1065
5ba854ed7c0ebe0001272f2d	188551	2	main	z	7	circle	global	RVF	yes	present	1	1079
5ba854ed7c0ebe0001272f2d	190824	2	main	z	8	square	global	LVF	yes	present	1	1038
5ba854ed7c0ebe0001272f2d	194084	2	main	z	9	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	197049	2	main	z	10	square	local	LVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	198871	2	main	z	11	circle	global	LVF	yes	present	1	941
5ba854ed7c0ebe0001272f2d	201358	2	main	z	12	circle	local	RVF	yes	present	1	1212
5ba854ed7c0ebe0001272f2d	204527	2	main	z	13	square	local	RVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	206422	2	main	z	14	circle	global	RVF	yes	present	1	815
5ba854ed7c0ebe0001272f2d	209756	2	main	z	15	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	211934	2	main	z	16	circle	global	LVF	yes	present	1	1164
5ba854ed7c0ebe0001272f2d	214731	2	main	z	17	square	global	LVF	yes	present	1	1512
5ba854ed7c0ebe0001272f2d	218066	2	main	z	18	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	221131	2	main	z	19	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	223139	2	main	z	20	circle	local	LVF	yes	present	1	1026
5ba854ed7c0ebe0001272f2d	226293	2	main	z	21	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	228136	2	main	z	22	square	global	LVF	yes	present	1	912
5ba854ed7c0ebe0001272f2d	231290	2	main	z	23	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	233324	2	main	z	24	circle	global	LVF	yes	present	1	1037
5ba854ed7c0ebe0001272f2d	236702	2	main	z	25	square	local	LVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	239013	2	main	z	26	circle	local	LVF	yes	present	1	1280
5ba854ed7c0ebe0001272f2d	242082	2	main	z	27	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	244272	2	main	z	28	circle	local	RVF	yes	present	1	1126
5ba854ed7c0ebe0001272f2d	246471	2	main	z	29	circle	local	LVF	yes	present	1	1144
5ba854ed7c0ebe0001272f2d	249543	2	main	z	30	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	251768	2	main	z	31	square	local	LVF	yes	present	1	1028
5ba854ed7c0ebe0001272f2d	254112	2	main	z	32	square	local	RVF	yes	present	1	1240
5ba854ed7c0ebe0001272f2d	256317	2	main	z	33	square	local	RVF	yes	present	1	1147
5ba854ed7c0ebe0001272f2d	259186	2	main	z	34	square	global	RVF	yes	present	1	1634
5ba854ed7c0ebe0001272f2d	261454	2	main	z	35	circle	local	RVF	yes	present	1	1271
5ba854ed7c0ebe0001272f2d	263526	2	main	z	36	circle	local	LVF	yes	present	1	1011
5ba854ed7c0ebe0001272f2d	265805	2	main	z	37	circle	global	RVF	yes	present	1	1159
5ba854ed7c0ebe0001272f2d	268911	2	main	z	38	square	local	LVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	271250	2	main	z	39	square	global	RVF	yes	present	1	790
5ba854ed7c0ebe0001272f2d	273420	2	main	z	40	square	local	RVF	yes	present	1	1046
5ba854ed7c0ebe0001272f2d	275585	2	main	z	41	square	local	RVF	yes	present	1	1113
5ba854ed7c0ebe0001272f2d	278604	2	main	z	42	square	local	LVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	280705	2	main	z	43	circle	local	RVF	yes	present	1	953
5ba854ed7c0ebe0001272f2d	282781	2	main	z	44	absent	absent	absent	no	present	0	1064
5ba854ed7c0ebe0001272f2d	284803	2	main	z	45	square	global	LVF	yes	present	1	1005
5ba854ed7c0ebe0001272f2d	287831	2	main	z	46	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	289936	2	main	z	47	circle	local	LVF	yes	present	1	874
5ba854ed7c0ebe0001272f2d	291813	2	main	z	48	square	global	LVF	yes	present	1	852
5ba854ed7c0ebe0001272f2d	293738	2	main	z	49	square	global	RVF	yes	present	1	930
5ba854ed7c0ebe0001272f2d	296741	2	main	z	50	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	298670	2	main	z	51	circle	global	RVF	yes	present	1	949
5ba854ed7c0ebe0001272f2d	300791	2	main	z	52	square	local	LVF	yes	present	1	1104
5ba854ed7c0ebe0001272f2d	302932	2	main	z	53	circle	local	RVF	yes	present	1	1114
5ba854ed7c0ebe0001272f2d	305323	2	main	z	54	square	local	RVF	yes	present	1	1305
5ba854ed7c0ebe0001272f2d	307678	2	main	z	55	circle	global	RVF	yes	present	1	1246
5ba854ed7c0ebe0001272f2d	310016	2	main	z	56	circle	global	LVF	yes	present	1	1235
5ba854ed7c0ebe0001272f2d	312414	2	main	z	57	square	global	RVF	yes	present	1	1285
5ba854ed7c0ebe0001272f2d	314885	2	main	z	58	circle	global	LVF	yes	present	1	1342
5ba854ed7c0ebe0001272f2d	317140	2	main	z	59	circle	local	LVF	yes	present	1	1115
5ba854ed7c0ebe0001272f2d	320156	2	main	z	60	square	local	LVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	322450	2	main	z	61	square	global	RVF	yes	present	1	1246
5ba854ed7c0ebe0001272f2d	324629	2	main	z	62	circle	local	LVF	yes	present	1	1094
5ba854ed7c0ebe0001272f2d	327667	2	main	z	63	absent	absent	absent	no	absent	1	2000
5ba854ed7c0ebe0001272f2d	330881	2	main	z	64	square	local	RVF	yes	absent	0	2000
5ba854ed7c0ebe0001272f2d	332793	2	main	z	65	square	global	LVF	yes	present	1	897
5ba854ed7c0ebe0001272f2d	334550	2	main	z	66	square	global	RVF	yes	present	1	772
5ba854ed7c0ebe0001272f2d	337560	2	main	z	67	absent	absent	absent	no	absent	1	2000
