subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5bbe6691ba8d7d0001951ef9	148524	1	practice	slash	1	circle	local	RVF	yes	absent	0	2000
5bbe6691ba8d7d0001951ef9	153676	1	practice	slash	2	square	local	LVF	yes	absent	0	2000
5bbe6691ba8d7d0001951ef9	157468	1	practice	slash	3	circle	global	LVF	yes	present	1	920
5bbe6691ba8d7d0001951ef9	160473	1	practice	slash	4	circle	global	LVF	yes	present	1	400
5bbe6691ba8d7d0001951ef9	163308	1	practice	slash	5	circle	global	RVF	yes	present	1	467
5bbe6691ba8d7d0001951ef9	166017	1	practice	slash	6	square	global	RVF	yes	present	1	508
5bbe6691ba8d7d0001951ef9	170269	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
5bbe6691ba8d7d0001951ef9	174744	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
5bbe6691ba8d7d0001951ef9	177342	1	practice	slash	9	circle	global	RVF	yes	present	1	472
5bbe6691ba8d7d0001951ef9	180125	1	practice	slash	10	circle	local	RVF	yes	present	1	491
5bbe6691ba8d7d0001951ef9	184296	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
5bbe6691ba8d7d0001951ef9	186842	1	practice	slash	12	square	global	LVF	yes	present	1	468
5bbe6691ba8d7d0001951ef9	190989	1	practice	slash	13	square	global	LVF	yes	absent	0	2000
5bbe6691ba8d7d0001951ef9	194365	1	practice	slash	14	square	local	LVF	yes	present	1	1190
5bbe6691ba8d7d0001951ef9	196901	1	practice	slash	15	circle	local	RVF	yes	present	1	463
5bbe6691ba8d7d0001951ef9	200977	1	practice	slash	16	absent	absent	absent	no	absent	1	2000
5bbe6691ba8d7d0001951ef9	207804	2	main	slash	1	circle	global	RVF	yes	present	1	403
5bbe6691ba8d7d0001951ef9	210049	2	main	slash	2	circle	global	RVF	yes	present	1	437
5bbe6691ba8d7d0001951ef9	213510	2	main	slash	3	absent	absent	absent	no	absent	1	2000
5bbe6691ba8d7d0001951ef9	215252	2	main	slash	4	circle	local	LVF	yes	present	1	397
5bbe6691ba8d7d0001951ef9	217694	2	main	slash	5	square	global	LVF	yes	present	1	624
5bbe6691ba8d7d0001951ef9	219382	2	main	slash	6	square	global	RVF	yes	present	1	356
5bbe6691ba8d7d0001951ef9	222961	2	main	slash	7	absent	absent	absent	no	absent	1	2000
5bbe6691ba8d7d0001951ef9	224505	2	main	slash	8	square	global	LVF	yes	present	1	316
5bbe6691ba8d7d0001951ef9	226773	2	main	slash	9	square	local	RVF	yes	present	1	688
5bbe6691ba8d7d0001951ef9	228524	2	main	slash	10	circle	local	RVF	yes	present	1	418
5bbe6691ba8d7d0001951ef9	230360	2	main	slash	11	square	global	LVF	yes	present	1	367
