subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5c06b3f64a2b7b0001c3c185	130048	1	practice	slash	1	circle	global	LVF	yes	present	1	713
5c06b3f64a2b7b0001c3c185	133964	1	practice	slash	2	square	global	LVF	yes	present	1	732
5c06b3f64a2b7b0001c3c185	138833	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
5c06b3f64a2b7b0001c3c185	143401	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
5c06b3f64a2b7b0001c3c185	146692	1	practice	slash	5	square	global	LVF	yes	present	1	727
5c06b3f64a2b7b0001c3c185	151249	1	practice	slash	6	absent	absent	absent	no	absent	1	2000
5c06b3f64a2b7b0001c3c185	155901	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
5c06b3f64a2b7b0001c3c185	159013	1	practice	slash	8	circle	local	RVF	yes	present	1	606
5c06b3f64a2b7b0001c3c185	162604	1	practice	slash	9	square	local	LVF	yes	present	1	889
5c06b3f64a2b7b0001c3c185	166123	1	practice	slash	10	square	global	RVF	yes	present	1	842
5c06b3f64a2b7b0001c3c185	169012	1	practice	slash	11	circle	global	RVF	yes	present	1	664
5c06b3f64a2b7b0001c3c185	172011	1	practice	slash	12	circle	global	LVF	yes	present	1	630
5c06b3f64a2b7b0001c3c185	174876	1	practice	slash	13	square	local	LVF	yes	present	1	728
5c06b3f64a2b7b0001c3c185	177575	1	practice	slash	14	circle	global	RVF	yes	present	1	566
5c06b3f64a2b7b0001c3c185	180323	1	practice	slash	15	circle	local	RVF	yes	present	1	543
5c06b3f64a2b7b0001c3c185	183124	1	practice	slash	16	circle	local	RVF	yes	present	1	709
5c06b3f64a2b7b0001c3c185	200963	2	main	slash	1	absent	absent	absent	no	absent	1	2000
5c06b3f64a2b7b0001c3c185	202933	2	main	slash	2	circle	global	RVF	yes	present	1	634
5c06b3f64a2b7b0001c3c185	205497	2	main	slash	3	square	local	RVF	yes	present	1	736
5c06b3f64a2b7b0001c3c185	207826	2	main	slash	4	square	local	LVF	yes	present	1	678
5c06b3f64a2b7b0001c3c185	211140	2	main	slash	5	absent	absent	absent	no	absent	1	2000
5c06b3f64a2b7b0001c3c185	214113	2	main	slash	6	absent	absent	absent	no	absent	1	2000
5c06b3f64a2b7b0001c3c185	217367	2	main	slash	7	absent	absent	absent	no	absent	1	2000
5c06b3f64a2b7b0001c3c185	219410	2	main	slash	8	circle	local	RVF	yes	present	1	698
5c06b3f64a2b7b0001c3c185	221834	2	main	slash	9	circle	global	RVF	yes	present	1	838
5c06b3f64a2b7b0001c3c185	224314	2	main	slash	10	square	global	LVF	yes	present	1	835
5c06b3f64a2b7b0001c3c185	226720	2	main	slash	11	circle	local	LVF	yes	present	1	952
5c06b3f64a2b7b0001c3c185	229348	2	main	slash	12	absent	absent	absent	no	present	0	1134
5c06b3f64a2b7b0001c3c185	231571	2	main	slash	13	circle	global	LVF	yes	present	1	674
5c06b3f64a2b7b0001c3c185	234131	2	main	slash	14	circle	global	RVF	yes	present	1	934
5c06b3f64a2b7b0001c3c185	236354	2	main	slash	15	square	local	RVF	yes	present	1	709
5c06b3f64a2b7b0001c3c185	239646	2	main	slash	16	square	global	RVF	yes	absent	0	2000
5c06b3f64a2b7b0001c3c185	241482	2	main	slash	17	circle	global	LVF	yes	present	1	637
5c06b3f64a2b7b0001c3c185	244228	2	main	slash	18	square	local	LVF	yes	present	1	823
5c06b3f64a2b7b0001c3c185	246242	2	main	slash	19	circle	local	LVF	yes	present	1	597
5c06b3f64a2b7b0001c3c185	248279	2	main	slash	20	circle	global	LVF	yes	present	1	702
5c06b3f64a2b7b0001c3c185	250325	2	main	slash	21	square	local	RVF	yes	present	1	860
5c06b3f64a2b7b0001c3c185	252188	2	main	slash	22	square	global	RVF	yes	present	1	733
5c06b3f64a2b7b0001c3c185	253934	2	main	slash	23	circle	global	RVF	yes	present	1	610
5c06b3f64a2b7b0001c3c185	255650	2	main	slash	24	square	global	RVF	yes	present	1	672
5c06b3f64a2b7b0001c3c185	257435	2	main	slash	25	circle	local	RVF	yes	present	1	689
5c06b3f64a2b7b0001c3c185	259348	2	main	slash	26	square	global	LVF	yes	present	1	751
5c06b3f64a2b7b0001c3c185	262497	2	main	slash	27	square	global	LVF	yes	absent	0	2000
5c06b3f64a2b7b0001c3c185	264179	2	main	slash	28	circle	global	LVF	yes	present	1	533
5c06b3f64a2b7b0001c3c185	266058	2	main	slash	29	square	local	RVF	yes	present	1	663
