subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5c134ee7e32f86000165ba0d	246388	1	practice	slash	1	square	global	LVF	yes	present	1	508
5c134ee7e32f86000165ba0d	252214	1	practice	slash	2	absent	absent	absent	no	present	0	622
5c134ee7e32f86000165ba0d	256427	1	practice	slash	3	square	local	LVF	yes	absent	0	2000
5c134ee7e32f86000165ba0d	260611	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	263385	1	practice	slash	5	circle	local	RVF	yes	present	1	558
5c134ee7e32f86000165ba0d	266717	1	practice	slash	6	circle	global	RVF	yes	present	1	512
5c134ee7e32f86000165ba0d	269584	1	practice	slash	7	circle	local	RVF	yes	present	1	515
5c134ee7e32f86000165ba0d	272392	1	practice	slash	8	circle	global	LVF	yes	present	1	489
5c134ee7e32f86000165ba0d	275772	1	practice	slash	9	square	local	LVF	yes	present	1	1206
5c134ee7e32f86000165ba0d	278562	1	practice	slash	10	circle	global	RVF	yes	present	1	523
5c134ee7e32f86000165ba0d	282200	1	practice	slash	11	circle	global	LVF	yes	present	1	487
5c134ee7e32f86000165ba0d	285216	1	practice	slash	12	circle	local	RVF	yes	present	1	471
5c134ee7e32f86000165ba0d	287852	1	practice	slash	13	square	global	RVF	yes	present	1	518
5c134ee7e32f86000165ba0d	337766	1	practice	slash	14	absent	absent	absent	no	present	0	895
5c134ee7e32f86000165ba0d	340700	1	practice	slash	15	absent	absent	absent	no	present	0	948
5c134ee7e32f86000165ba0d	342849	1	practice	slash	16	square	global	LVF	yes	present	1	442
5c134ee7e32f86000165ba0d	364054	2	main	slash	1	square	global	LVF	yes	present	1	430
5c134ee7e32f86000165ba0d	366282	2	main	slash	2	square	local	LVF	yes	present	1	496
5c134ee7e32f86000165ba0d	369503	2	main	slash	3	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	370988	2	main	slash	4	square	local	LVF	yes	present	1	509
5c134ee7e32f86000165ba0d	373073	2	main	slash	5	square	local	RVF	yes	present	1	696
5c134ee7e32f86000165ba0d	374783	2	main	slash	6	circle	global	RVF	yes	present	1	416
5c134ee7e32f86000165ba0d	376594	2	main	slash	7	square	global	RVF	yes	present	1	608
5c134ee7e32f86000165ba0d	378190	2	main	slash	8	circle	local	RVF	yes	present	1	407
5c134ee7e32f86000165ba0d	380248	2	main	slash	9	square	local	RVF	yes	present	1	955
5c134ee7e32f86000165ba0d	383439	2	main	slash	10	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	384870	2	main	slash	11	square	global	LVF	yes	present	1	521
5c134ee7e32f86000165ba0d	388229	2	main	slash	12	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	389689	2	main	slash	13	square	global	LVF	yes	present	1	470
5c134ee7e32f86000165ba0d	391425	2	main	slash	14	circle	global	LVF	yes	present	1	463
5c134ee7e32f86000165ba0d	393408	2	main	slash	15	square	global	RVF	yes	present	1	931
5c134ee7e32f86000165ba0d	395187	2	main	slash	16	square	local	LVF	yes	present	1	598
5c134ee7e32f86000165ba0d	398293	2	main	slash	17	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	399763	2	main	slash	18	circle	local	LVF	yes	present	1	450
5c134ee7e32f86000165ba0d	401208	2	main	slash	19	circle	local	LVF	yes	present	1	422
5c134ee7e32f86000165ba0d	402678	2	main	slash	20	square	local	LVF	yes	present	1	419
5c134ee7e32f86000165ba0d	404678	2	main	slash	21	circle	global	LVF	yes	present	1	519
5c134ee7e32f86000165ba0d	407735	2	main	slash	22	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	409174	2	main	slash	23	circle	local	RVF	yes	present	1	431
5c134ee7e32f86000165ba0d	412635	2	main	slash	24	square	local	RVF	yes	absent	0	2000
5c134ee7e32f86000165ba0d	415611	2	main	slash	25	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	417084	2	main	slash	26	circle	local	LVF	yes	present	1	418
5c134ee7e32f86000165ba0d	418627	2	main	slash	27	circle	local	RVF	yes	present	1	470
5c134ee7e32f86000165ba0d	420633	2	main	slash	28	circle	global	RVF	yes	present	1	979
5c134ee7e32f86000165ba0d	422210	2	main	slash	29	circle	global	RVF	yes	present	1	413
5c134ee7e32f86000165ba0d	423786	2	main	slash	30	circle	local	LVF	yes	present	1	480
5c134ee7e32f86000165ba0d	425327	2	main	slash	31	square	global	RVF	yes	present	1	475
5c134ee7e32f86000165ba0d	426786	2	main	slash	32	circle	global	LVF	yes	present	1	430
5c134ee7e32f86000165ba0d	428315	2	main	slash	33	circle	local	RVF	yes	present	1	417
5c134ee7e32f86000165ba0d	431405	2	main	slash	34	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	432894	2	main	slash	35	circle	global	RVF	yes	present	1	433
5c134ee7e32f86000165ba0d	434683	2	main	slash	36	square	local	RVF	yes	present	1	709
5c134ee7e32f86000165ba0d	437803	2	main	slash	37	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	439293	2	main	slash	38	square	global	RVF	yes	present	1	475
5c134ee7e32f86000165ba0d	440771	2	main	slash	39	square	global	LVF	yes	present	1	447
5c134ee7e32f86000165ba0d	442277	2	main	slash	40	circle	global	LVF	yes	present	1	459
5c134ee7e32f86000165ba0d	445325	2	main	slash	41	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	446779	2	main	slash	42	square	local	LVF	yes	present	1	462
5c134ee7e32f86000165ba0d	448277	2	main	slash	43	circle	global	RVF	yes	present	1	484
5c134ee7e32f86000165ba0d	449744	2	main	slash	44	circle	global	RVF	yes	present	1	455
5c134ee7e32f86000165ba0d	451259	2	main	slash	45	square	global	RVF	yes	present	1	493
5c134ee7e32f86000165ba0d	452632	2	main	slash	46	square	global	LVF	yes	present	1	418
5c134ee7e32f86000165ba0d	455617	2	main	slash	47	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	466982	2	main	slash	48	square	local	RVF	yes	present	1	794
5c134ee7e32f86000165ba0d	468558	2	main	slash	49	square	local	LVF	yes	present	1	512
5c134ee7e32f86000165ba0d	471513	2	main	slash	50	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	474443	2	main	slash	51	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	475959	2	main	slash	52	circle	local	LVF	yes	present	1	544
5c134ee7e32f86000165ba0d	477494	2	main	slash	53	circle	global	LVF	yes	present	1	522
5c134ee7e32f86000165ba0d	479001	2	main	slash	54	square	global	RVF	yes	present	1	518
5c134ee7e32f86000165ba0d	480514	2	main	slash	55	circle	local	LVF	yes	present	1	554
5c134ee7e32f86000165ba0d	482105	2	main	slash	56	circle	local	RVF	yes	present	1	589
5c134ee7e32f86000165ba0d	483579	2	main	slash	57	circle	local	RVF	yes	present	1	477
5c134ee7e32f86000165ba0d	486573	2	main	slash	58	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	488062	2	main	slash	59	square	global	RVF	yes	present	1	491
5c134ee7e32f86000165ba0d	489443	2	main	slash	60	square	global	LVF	yes	present	1	440
5c134ee7e32f86000165ba0d	490890	2	main	slash	61	square	global	RVF	yes	present	1	479
5c134ee7e32f86000165ba0d	492333	2	main	slash	62	circle	global	RVF	yes	present	1	511
5c134ee7e32f86000165ba0d	493615	2	main	slash	63	circle	global	LVF	yes	present	1	416
5c134ee7e32f86000165ba0d	496559	2	main	slash	64	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	498018	2	main	slash	65	circle	local	LVF	yes	present	1	474
5c134ee7e32f86000165ba0d	499432	2	main	slash	66	square	global	LVF	yes	present	1	474
5c134ee7e32f86000165ba0d	502336	2	main	slash	67	absent	absent	absent	no	absent	1	2000
5c134ee7e32f86000165ba0d	503920	2	main	slash	68	square	local	LVF	yes	present	1	645
