subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5cd01055c24ebe0001f9fd40	158390	1	practice	slash	1	square	local	LVF	yes	absent	0	2000
5cd01055c24ebe0001f9fd40	161940	1	practice	slash	2	circle	global	LVF	yes	present	1	534
5cd01055c24ebe0001f9fd40	166894	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	170455	1	practice	slash	4	square	global	RVF	yes	present	1	649
5cd01055c24ebe0001f9fd40	173493	1	practice	slash	5	circle	global	RVF	yes	present	1	469
5cd01055c24ebe0001f9fd40	177506	1	practice	slash	6	square	local	LVF	yes	absent	0	2000
5cd01055c24ebe0001f9fd40	181572	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	184093	1	practice	slash	8	square	global	LVF	yes	present	1	487
5cd01055c24ebe0001f9fd40	186757	1	practice	slash	9	circle	local	RVF	yes	present	1	518
5cd01055c24ebe0001f9fd40	189602	1	practice	slash	10	circle	local	RVF	yes	present	1	764
5cd01055c24ebe0001f9fd40	192295	1	practice	slash	11	circle	global	LVF	yes	present	1	723
5cd01055c24ebe0001f9fd40	194962	1	practice	slash	12	circle	local	RVF	yes	present	1	590
5cd01055c24ebe0001f9fd40	197510	1	practice	slash	13	square	global	LVF	yes	present	1	588
5cd01055c24ebe0001f9fd40	201472	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	205473	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	208040	1	practice	slash	16	circle	global	RVF	yes	present	1	535
5cd01055c24ebe0001f9fd40	219466	2	main	slash	1	circle	global	RVF	yes	present	1	561
5cd01055c24ebe0001f9fd40	221983	2	main	slash	2	circle	local	LVF	yes	present	1	545
5cd01055c24ebe0001f9fd40	224159	2	main	slash	3	circle	local	LVF	yes	present	1	487
5cd01055c24ebe0001f9fd40	225770	2	main	slash	4	square	global	LVF	yes	present	1	416
5cd01055c24ebe0001f9fd40	227461	2	main	slash	5	absent	absent	absent	no	present	0	589
5cd01055c24ebe0001f9fd40	230438	2	main	slash	6	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	232020	2	main	slash	7	circle	global	RVF	yes	present	1	532
5cd01055c24ebe0001f9fd40	233855	2	main	slash	8	circle	local	RVF	yes	present	1	506
5cd01055c24ebe0001f9fd40	237039	2	main	slash	9	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	238682	2	main	slash	10	square	global	RVF	yes	present	1	660
5cd01055c24ebe0001f9fd40	241939	2	main	slash	11	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	243421	2	main	slash	12	circle	local	LVF	yes	present	1	483
5cd01055c24ebe0001f9fd40	245631	2	main	slash	13	square	global	RVF	yes	present	1	726
5cd01055c24ebe0001f9fd40	247391	2	main	slash	14	square	global	RVF	yes	present	1	670
5cd01055c24ebe0001f9fd40	249820	2	main	slash	15	square	local	LVF	yes	present	1	1165
5cd01055c24ebe0001f9fd40	251659	2	main	slash	16	circle	local	LVF	yes	present	1	671
5cd01055c24ebe0001f9fd40	253820	2	main	slash	17	square	local	RVF	yes	present	1	982
5cd01055c24ebe0001f9fd40	255595	2	main	slash	18	circle	global	LVF	yes	present	1	774
5cd01055c24ebe0001f9fd40	257197	2	main	slash	19	square	global	LVF	yes	present	1	626
5cd01055c24ebe0001f9fd40	258975	2	main	slash	20	square	global	LVF	yes	present	1	551
5cd01055c24ebe0001f9fd40	260574	2	main	slash	21	circle	local	RVF	yes	present	1	535
5cd01055c24ebe0001f9fd40	262615	2	main	slash	22	square	local	RVF	yes	present	1	1060
5cd01055c24ebe0001f9fd40	265555	2	main	slash	23	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	267000	2	main	slash	24	circle	global	RVF	yes	present	1	498
5cd01055c24ebe0001f9fd40	268690	2	main	slash	25	circle	global	LVF	yes	present	1	617
5cd01055c24ebe0001f9fd40	270288	2	main	slash	26	circle	local	RVF	yes	present	1	600
5cd01055c24ebe0001f9fd40	271993	2	main	slash	27	circle	global	LVF	yes	present	1	508
5cd01055c24ebe0001f9fd40	273839	2	main	slash	28	square	local	RVF	yes	present	1	737
5cd01055c24ebe0001f9fd40	275468	2	main	slash	29	circle	global	RVF	yes	present	1	678
5cd01055c24ebe0001f9fd40	277556	2	main	slash	30	square	global	LVF	yes	present	1	1101
5cd01055c24ebe0001f9fd40	279286	2	main	slash	31	square	local	LVF	yes	present	1	799
5cd01055c24ebe0001f9fd40	280888	2	main	slash	32	square	global	RVF	yes	present	1	617
5cd01055c24ebe0001f9fd40	282707	2	main	slash	33	square	local	RVF	yes	present	1	837
5cd01055c24ebe0001f9fd40	285671	2	main	slash	34	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	288655	2	main	slash	35	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	290382	2	main	slash	36	square	local	LVF	yes	present	1	712
5cd01055c24ebe0001f9fd40	292023	2	main	slash	37	square	local	LVF	yes	present	1	653
5cd01055c24ebe0001f9fd40	293611	2	main	slash	38	circle	global	LVF	yes	present	1	606
5cd01055c24ebe0001f9fd40	295153	2	main	slash	39	circle	local	RVF	yes	present	1	565
5cd01055c24ebe0001f9fd40	298188	2	main	slash	40	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	299698	2	main	slash	41	square	local	RVF	yes	present	1	561
5cd01055c24ebe0001f9fd40	301358	2	main	slash	42	circle	global	RVF	yes	present	1	655
5cd01055c24ebe0001f9fd40	304338	2	main	slash	43	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	306127	2	main	slash	44	square	global	RVF	yes	present	1	774
5cd01055c24ebe0001f9fd40	307843	2	main	slash	45	square	local	LVF	yes	present	1	690
5cd01055c24ebe0001f9fd40	309609	2	main	slash	46	circle	local	RVF	yes	present	1	738
5cd01055c24ebe0001f9fd40	312589	2	main	slash	47	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	314170	2	main	slash	48	circle	local	LVF	yes	present	1	649
5cd01055c24ebe0001f9fd40	315930	2	main	slash	49	circle	global	LVF	yes	present	1	709
5cd01055c24ebe0001f9fd40	317694	2	main	slash	50	circle	local	RVF	yes	present	1	774
5cd01055c24ebe0001f9fd40	319440	2	main	slash	51	circle	global	RVF	yes	present	1	786
5cd01055c24ebe0001f9fd40	321278	2	main	slash	52	circle	local	RVF	yes	present	1	891
5cd01055c24ebe0001f9fd40	322980	2	main	slash	53	square	local	LVF	yes	present	1	726
5cd01055c24ebe0001f9fd40	324640	2	main	slash	54	circle	local	LVF	yes	present	1	702
5cd01055c24ebe0001f9fd40	326385	2	main	slash	55	square	local	RVF	yes	present	1	797
5cd01055c24ebe0001f9fd40	328045	2	main	slash	56	square	global	RVF	yes	present	1	758
5cd01055c24ebe0001f9fd40	329721	2	main	slash	57	square	local	LVF	yes	present	1	717
5cd01055c24ebe0001f9fd40	332671	2	main	slash	58	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	334311	2	main	slash	59	square	local	RVF	yes	present	1	640
5cd01055c24ebe0001f9fd40	337288	2	main	slash	60	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	338887	2	main	slash	61	square	local	RVF	yes	present	1	649
5cd01055c24ebe0001f9fd40	341871	2	main	slash	62	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	343463	2	main	slash	63	square	global	LVF	yes	present	1	659
5cd01055c24ebe0001f9fd40	345138	2	main	slash	64	square	global	LVF	yes	present	1	684
5cd01055c24ebe0001f9fd40	346735	2	main	slash	65	circle	local	LVF	yes	present	1	647
5cd01055c24ebe0001f9fd40	348394	2	main	slash	66	square	global	RVF	yes	present	1	691
5cd01055c24ebe0001f9fd40	351321	2	main	slash	67	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	354488	2	main	slash	68	absent	absent	absent	no	absent	1	2000
5cd01055c24ebe0001f9fd40	356228	2	main	slash	69	circle	global	LVF	yes	present	1	707
5cd01055c24ebe0001f9fd40	358022	2	main	slash	70	circle	global	RVF	yes	present	1	751
