subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ecefd67a52fd0326edb9104	384134	1	practice	z	1	square	local	LVF	yes	absent	0	2000
5ecefd67a52fd0326edb9104	395406	1	practice	z	2	absent	absent	absent	no	present	0	424
5ecefd67a52fd0326edb9104	402894	1	practice	z	3	absent	absent	absent	no	present	0	1694
5ecefd67a52fd0326edb9104	406375	1	practice	z	4	circle	global	RVF	yes	present	1	1126
5ecefd67a52fd0326edb9104	410930	1	practice	z	5	square	global	RVF	yes	present	1	964
5ecefd67a52fd0326edb9104	415968	1	practice	z	6	circle	local	RVF	yes	present	1	935
5ecefd67a52fd0326edb9104	420849	1	practice	z	7	square	local	LVF	yes	absent	0	2000
5ecefd67a52fd0326edb9104	425720	1	practice	z	8	absent	absent	absent	no	present	0	1071
5ecefd67a52fd0326edb9104	431761	1	practice	z	9	square	global	LVF	yes	present	1	1480
5ecefd67a52fd0326edb9104	436554	1	practice	z	10	circle	local	RVF	yes	present	1	888
5ecefd67a52fd0326edb9104	441776	1	practice	z	11	absent	absent	absent	no	present	0	1678
5ecefd67a52fd0326edb9104	446219	1	practice	z	12	circle	global	LVF	yes	present	1	1070
5ecefd67a52fd0326edb9104	449562	1	practice	z	13	circle	local	RVF	yes	present	1	914
5ecefd67a52fd0326edb9104	452944	1	practice	z	14	circle	global	LVF	yes	present	1	1113
5ecefd67a52fd0326edb9104	456842	1	practice	z	15	circle	global	RVF	yes	present	1	1361
5ecefd67a52fd0326edb9104	460471	1	practice	z	16	square	global	LVF	yes	present	1	940
5ecefd67a52fd0326edb9104	572109	2	main	z	1	circle	global	RVF	yes	present	1	1001
5ecefd67a52fd0326edb9104	578073	2	main	z	2	square	local	RVF	yes	present	1	865
5ecefd67a52fd0326edb9104	582273	2	main	z	3	circle	global	LVF	yes	present	1	882
5ecefd67a52fd0326edb9104	588743	2	main	z	4	circle	local	RVF	yes	present	1	870
5ecefd67a52fd0326edb9104	592379	2	main	z	5	circle	local	RVF	yes	present	1	939
5ecefd67a52fd0326edb9104	596406	2	main	z	6	circle	global	RVF	yes	present	1	883
5ecefd67a52fd0326edb9104	600773	2	main	z	7	absent	absent	absent	no	absent	1	2000
5ecefd67a52fd0326edb9104	604392	2	main	z	8	circle	local	RVF	yes	present	1	885
5ecefd67a52fd0326edb9104	609392	2	main	z	9	circle	global	LVF	yes	present	1	952
5ecefd67a52fd0326edb9104	613613	2	main	z	10	square	global	LVF	yes	present	1	1057
5ecefd67a52fd0326edb9104	616819	2	main	z	11	circle	global	RVF	yes	present	1	1113
5ecefd67a52fd0326edb9104	620813	2	main	z	12	square	global	RVF	yes	present	1	1458
5ecefd67a52fd0326edb9104	623940	2	main	z	13	circle	local	LVF	yes	present	1	885
5ecefd67a52fd0326edb9104	627633	2	main	z	14	circle	local	LVF	yes	present	1	1177
5ecefd67a52fd0326edb9104	631461	2	main	z	15	square	local	RVF	yes	present	1	1373
5ecefd67a52fd0326edb9104	635922	2	main	z	16	square	global	RVF	yes	absent	0	2000
