subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ef37831c37ebb0bbd2d3e03	315231	1	practice	z	1	square	global	RVF	yes	present	1	653
5ef37831c37ebb0bbd2d3e03	319861	1	practice	z	2	absent	absent	absent	no	absent	1	2000
5ef37831c37ebb0bbd2d3e03	322956	1	practice	z	3	circle	global	LVF	yes	present	1	495
5ef37831c37ebb0bbd2d3e03	327067	1	practice	z	4	circle	local	RVF	yes	present	1	1856
5ef37831c37ebb0bbd2d3e03	330195	1	practice	z	5	circle	global	RVF	yes	present	1	734
5ef37831c37ebb0bbd2d3e03	333102	1	practice	z	6	square	global	LVF	yes	present	1	775
5ef37831c37ebb0bbd2d3e03	337194	1	practice	z	7	square	local	LVF	yes	absent	0	2000
5ef37831c37ebb0bbd2d3e03	341544	1	practice	z	8	absent	absent	absent	no	absent	1	2000
5ef37831c37ebb0bbd2d3e03	344588	1	practice	z	9	circle	local	RVF	yes	present	1	961
5ef37831c37ebb0bbd2d3e03	347822	1	practice	z	10	square	local	LVF	yes	present	1	578
5ef37831c37ebb0bbd2d3e03	350549	1	practice	z	11	circle	global	LVF	yes	present	1	788
5ef37831c37ebb0bbd2d3e03	352929	1	practice	z	12	circle	global	RVF	yes	present	1	469
5ef37831c37ebb0bbd2d3e03	356810	1	practice	z	13	absent	absent	absent	no	absent	1	2000
5ef37831c37ebb0bbd2d3e03	359507	1	practice	z	14	circle	local	RVF	yes	present	1	813
5ef37831c37ebb0bbd2d3e03	361894	1	practice	z	15	square	global	LVF	yes	present	1	567
5ef37831c37ebb0bbd2d3e03	365710	1	practice	z	16	absent	absent	absent	no	absent	1	2000
5ef37831c37ebb0bbd2d3e03	371279	2	main	z	1	circle	local	RVF	yes	present	1	571
5ef37831c37ebb0bbd2d3e03	373735	2	main	z	2	circle	global	RVF	yes	present	1	527
5ef37831c37ebb0bbd2d3e03	377075	2	main	z	3	absent	absent	absent	no	absent	1	2000
5ef37831c37ebb0bbd2d3e03	380025	2	main	z	4	absent	absent	absent	no	absent	1	2000
5ef37831c37ebb0bbd2d3e03	381656	2	main	z	5	square	local	LVF	yes	present	1	565
5ef37831c37ebb0bbd2d3e03	385259	2	main	z	6	absent	absent	absent	no	absent	1	2000
5ef37831c37ebb0bbd2d3e03	386625	2	main	z	7	circle	local	LVF	yes	present	1	432
5ef37831c37ebb0bbd2d3e03	388644	2	main	z	8	square	global	LVF	yes	present	1	669
5ef37831c37ebb0bbd2d3e03	390370	2	main	z	9	circle	local	RVF	yes	present	1	695
5ef37831c37ebb0bbd2d3e03	391841	2	main	z	10	circle	global	RVF	yes	present	1	514
5ef37831c37ebb0bbd2d3e03	393397	2	main	z	11	square	local	RVF	yes	present	1	723
5ef37831c37ebb0bbd2d3e03	395302	2	main	z	12	circle	global	LVF	yes	present	1	1094
5ef37831c37ebb0bbd2d3e03	398141	2	main	z	13	absent	absent	absent	no	absent	1	2000
