subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5efaffccf90911000c95a3cb	350459	1	practice	slash	1	square	global	LVF	yes	present	1	247
5efaffccf90911000c95a3cb	353401	1	practice	slash	2	absent	absent	absent	no	present	0	203
5efaffccf90911000c95a3cb	357438	1	practice	slash	3	circle	local	RVF	yes	absent	0	2003
5efaffccf90911000c95a3cb	359711	1	practice	slash	4	absent	absent	absent	no	present	0	186
5efaffccf90911000c95a3cb	361846	1	practice	slash	5	square	global	LVF	yes	present	1	271
5efaffccf90911000c95a3cb	364662	1	practice	slash	6	absent	absent	absent	no	present	0	602
5efaffccf90911000c95a3cb	367211	1	practice	slash	7	circle	global	RVF	yes	present	1	346
5efaffccf90911000c95a3cb	369551	1	practice	slash	8	circle	local	RVF	yes	present	1	187
5efaffccf90911000c95a3cb	371724	1	practice	slash	9	square	local	LVF	yes	present	1	165
5efaffccf90911000c95a3cb	373739	1	practice	slash	10	square	global	RVF	yes	present	1	110
5efaffccf90911000c95a3cb	376645	1	practice	slash	11	square	local	LVF	yes	present	1	203
5efaffccf90911000c95a3cb	378746	1	practice	slash	12	circle	global	LVF	yes	present	1	200
5efaffccf90911000c95a3cb	381395	1	practice	slash	13	absent	absent	absent	no	present	0	224
5efaffccf90911000c95a3cb	383947	1	practice	slash	14	circle	local	RVF	yes	present	1	519
5efaffccf90911000c95a3cb	386434	1	practice	slash	15	circle	global	LVF	yes	present	1	290
5efaffccf90911000c95a3cb	388617	1	practice	slash	16	circle	global	RVF	yes	present	1	250
5efaffccf90911000c95a3cb	521720	2	main	slash	1	absent	absent	absent	no	present	0	299
5efaffccf90911000c95a3cb	523414	2	main	slash	2	square	global	LVF	yes	present	1	200
5efaffccf90911000c95a3cb	524780	2	main	slash	3	circle	global	LVF	yes	present	1	81
5efaffccf90911000c95a3cb	526340	2	main	slash	4	square	local	LVF	yes	present	1	301
5efaffccf90911000c95a3cb	528078	2	main	slash	5	circle	global	LVF	yes	present	1	581
5efaffccf90911000c95a3cb	531473	2	main	slash	6	circle	local	LVF	yes	absent	0	2003
5efaffccf90911000c95a3cb	532762	2	main	slash	7	square	global	LVF	yes	present	1	229
5efaffccf90911000c95a3cb	534655	2	main	slash	8	square	local	LVF	yes	present	1	421
5efaffccf90911000c95a3cb	536346	2	main	slash	9	square	global	LVF	yes	present	1	404
5efaffccf90911000c95a3cb	538019	2	main	slash	10	square	global	RVF	yes	present	1	431
5efaffccf90911000c95a3cb	541293	2	main	slash	11	absent	absent	absent	no	absent	1	2003
5efaffccf90911000c95a3cb	542719	2	main	slash	12	square	global	LVF	yes	present	1	305
5efaffccf90911000c95a3cb	544234	2	main	slash	13	absent	absent	absent	no	present	0	264
5efaffccf90911000c95a3cb	547341	2	main	slash	14	square	local	RVF	yes	absent	0	2003
5efaffccf90911000c95a3cb	549386	2	main	slash	15	circle	global	RVF	yes	present	1	381
5efaffccf90911000c95a3cb	554404	2	main	slash	16	absent	absent	absent	no	absent	1	2003
5efaffccf90911000c95a3cb	556135	2	main	slash	17	circle	global	RVF	yes	present	1	429
5efaffccf90911000c95a3cb	558431	2	main	slash	18	square	local	RVF	yes	present	1	1121
5efaffccf90911000c95a3cb	561584	2	main	slash	19	absent	absent	absent	no	absent	1	2003
5efaffccf90911000c95a3cb	563225	2	main	slash	20	square	local	RVF	yes	present	1	644
5efaffccf90911000c95a3cb	566494	2	main	slash	21	square	local	LVF	yes	absent	0	2003
