subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f2afd90fcefd547f0ee556f	104107	1	practice	z	1	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	108457	1	practice	z	2	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	113274	1	practice	z	3	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	116575	1	practice	z	4	circle	global	LVF	yes	present	1	827
5f2afd90fcefd547f0ee556f	119476	1	practice	z	5	circle	global	LVF	yes	present	1	772
5f2afd90fcefd547f0ee556f	124813	1	practice	z	6	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	128324	1	practice	z	7	circle	local	RVF	yes	present	1	1430
5f2afd90fcefd547f0ee556f	132366	1	practice	z	8	square	global	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	135609	1	practice	z	9	circle	local	RVF	yes	present	1	1197
5f2afd90fcefd547f0ee556f	139600	1	practice	z	10	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	142477	1	practice	z	11	circle	global	RVF	yes	present	1	807
5f2afd90fcefd547f0ee556f	145260	1	practice	z	12	circle	local	RVF	yes	present	1	759
5f2afd90fcefd547f0ee556f	149256	1	practice	z	13	square	global	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	152055	1	practice	z	14	circle	global	RVF	yes	present	1	690
5f2afd90fcefd547f0ee556f	155304	1	practice	z	15	square	local	LVF	yes	present	1	1238
5f2afd90fcefd547f0ee556f	158144	1	practice	z	16	square	global	LVF	yes	present	1	887
5f2afd90fcefd547f0ee556f	164238	2	main	z	1	circle	local	LVF	yes	present	1	565
5f2afd90fcefd547f0ee556f	167645	2	main	z	2	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	170743	2	main	z	3	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	173578	2	main	z	4	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	176061	2	main	z	5	square	local	RVF	yes	present	1	1565
5f2afd90fcefd547f0ee556f	179125	2	main	z	6	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	180770	2	main	z	7	circle	global	RVF	yes	present	1	821
5f2afd90fcefd547f0ee556f	182733	2	main	z	8	circle	global	RVF	yes	present	1	881
5f2afd90fcefd547f0ee556f	186029	2	main	z	9	square	global	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	187782	2	main	z	10	circle	local	RVF	yes	present	1	835
5f2afd90fcefd547f0ee556f	190774	2	main	z	11	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	192239	2	main	z	12	circle	local	LVF	yes	present	1	573
5f2afd90fcefd547f0ee556f	195264	2	main	z	13	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	196897	2	main	z	14	circle	global	LVF	yes	present	1	748
5f2afd90fcefd547f0ee556f	199867	2	main	z	15	square	global	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	201531	2	main	z	16	circle	local	RVF	yes	present	1	763
5f2afd90fcefd547f0ee556f	203301	2	main	z	17	circle	global	RVF	yes	present	1	848
5f2afd90fcefd547f0ee556f	205032	2	main	z	18	square	global	RVF	yes	present	1	885
5f2afd90fcefd547f0ee556f	207169	2	main	z	19	square	global	LVF	yes	present	1	1290
5f2afd90fcefd547f0ee556f	209299	2	main	z	20	square	global	RVF	yes	present	1	1138
5f2afd90fcefd547f0ee556f	212292	2	main	z	21	circle	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	215283	2	main	z	22	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	218201	2	main	z	23	square	local	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	221045	2	main	z	24	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	223945	2	main	z	25	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	225897	2	main	z	26	circle	global	LVF	yes	present	1	1110
5f2afd90fcefd547f0ee556f	228470	2	main	z	27	square	local	RVF	yes	present	1	1525
5f2afd90fcefd547f0ee556f	230398	2	main	z	28	circle	global	RVF	yes	present	1	983
5f2afd90fcefd547f0ee556f	233287	2	main	z	29	square	local	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	235299	2	main	z	30	circle	local	RVF	yes	present	1	992
5f2afd90fcefd547f0ee556f	238193	2	main	z	31	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	241211	2	main	z	32	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	243446	2	main	z	33	square	global	LVF	yes	present	1	1390
5f2afd90fcefd547f0ee556f	245420	2	main	z	34	circle	local	RVF	yes	present	1	967
5f2afd90fcefd547f0ee556f	248433	2	main	z	35	square	global	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	251260	2	main	z	36	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	253069	2	main	z	37	circle	global	LVF	yes	present	1	899
5f2afd90fcefd547f0ee556f	256006	2	main	z	38	square	global	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	258050	2	main	z	39	circle	local	LVF	yes	present	1	882
5f2afd90fcefd547f0ee556f	259872	2	main	z	40	circle	global	LVF	yes	present	1	822
5f2afd90fcefd547f0ee556f	261953	2	main	z	41	square	global	RVF	yes	present	1	1176
5f2afd90fcefd547f0ee556f	263776	2	main	z	42	circle	global	LVF	yes	present	1	909
5f2afd90fcefd547f0ee556f	265606	2	main	z	43	circle	global	RVF	yes	present	1	916
5f2afd90fcefd547f0ee556f	267471	2	main	z	44	square	global	LVF	yes	present	1	939
5f2afd90fcefd547f0ee556f	269203	2	main	z	45	circle	global	LVF	yes	present	1	884
5f2afd90fcefd547f0ee556f	271097	2	main	z	46	square	global	LVF	yes	present	1	979
5f2afd90fcefd547f0ee556f	274074	2	main	z	47	square	local	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	276174	2	main	z	48	circle	local	RVF	yes	present	1	979
5f2afd90fcefd547f0ee556f	277936	2	main	z	49	circle	local	LVF	yes	present	1	927
5f2afd90fcefd547f0ee556f	279775	2	main	z	50	circle	global	RVF	yes	present	1	937
5f2afd90fcefd547f0ee556f	282735	2	main	z	51	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	285802	2	main	z	52	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	288655	2	main	z	53	circle	local	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	290649	2	main	z	54	circle	local	LVF	yes	present	1	967
5f2afd90fcefd547f0ee556f	293606	2	main	z	55	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	295551	2	main	z	56	circle	global	LVF	yes	present	1	952
5f2afd90fcefd547f0ee556f	298601	2	main	z	57	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	300914	2	main	z	58	circle	global	LVF	yes	present	1	1006
5f2afd90fcefd547f0ee556f	304014	2	main	z	59	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	306943	2	main	z	60	square	local	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	309085	2	main	z	61	square	global	RVF	yes	present	1	1305
5f2afd90fcefd547f0ee556f	312086	2	main	z	62	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	314997	2	main	z	63	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	316897	2	main	z	64	square	local	LVF	yes	present	1	943
5f2afd90fcefd547f0ee556f	319933	2	main	z	65	square	local	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	322847	2	main	z	66	square	global	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	324555	2	main	z	67	circle	local	LVF	yes	present	1	884
5f2afd90fcefd547f0ee556f	326491	2	main	z	68	circle	global	RVF	yes	present	1	979
5f2afd90fcefd547f0ee556f	328361	2	main	z	69	circle	global	RVF	yes	present	1	984
5f2afd90fcefd547f0ee556f	331250	2	main	z	70	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	333542	2	main	z	71	circle	local	RVF	yes	present	1	1389
5f2afd90fcefd547f0ee556f	335416	2	main	z	72	square	global	LVF	yes	present	1	948
5f2afd90fcefd547f0ee556f	337250	2	main	z	73	circle	local	LVF	yes	present	1	877
5f2afd90fcefd547f0ee556f	340159	2	main	z	74	square	global	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	342004	2	main	z	75	circle	local	RVF	yes	present	1	864
5f2afd90fcefd547f0ee556f	345020	2	main	z	76	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	347979	2	main	z	77	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	350885	2	main	z	78	square	local	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	353753	2	main	z	79	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	355969	2	main	z	80	square	global	RVF	yes	present	1	1375
5f2afd90fcefd547f0ee556f	433398	3	practice	slash	1	circle	local	RVF	yes	present	1	654
5f2afd90fcefd547f0ee556f	436820	3	practice	slash	2	circle	global	LVF	yes	present	1	800
5f2afd90fcefd547f0ee556f	439643	3	practice	slash	3	circle	global	RVF	yes	present	1	874
5f2afd90fcefd547f0ee556f	442554	3	practice	slash	4	square	global	LVF	yes	present	1	914
5f2afd90fcefd547f0ee556f	445396	3	practice	slash	5	square	global	RVF	yes	present	1	836
5f2afd90fcefd547f0ee556f	448256	3	practice	slash	6	circle	local	RVF	yes	present	1	872
5f2afd90fcefd547f0ee556f	452230	3	practice	slash	7	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	455043	3	practice	slash	8	square	global	LVF	yes	present	1	928
5f2afd90fcefd547f0ee556f	458978	3	practice	slash	9	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	461535	3	practice	slash	10	circle	global	LVF	yes	present	1	654
5f2afd90fcefd547f0ee556f	465490	3	practice	slash	11	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	469480	3	practice	slash	12	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	472300	3	practice	slash	13	circle	global	RVF	yes	present	1	936
5f2afd90fcefd547f0ee556f	476232	3	practice	slash	14	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	479437	3	practice	slash	15	circle	local	RVF	yes	present	1	912
5f2afd90fcefd547f0ee556f	483455	3	practice	slash	16	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	487125	4	main	slash	1	circle	local	LVF	yes	present	1	868
5f2afd90fcefd547f0ee556f	489020	4	main	slash	2	circle	global	RVF	yes	present	1	872
5f2afd90fcefd547f0ee556f	490903	4	main	slash	3	circle	local	RVF	yes	present	1	993
5f2afd90fcefd547f0ee556f	492665	4	main	slash	4	circle	global	RVF	yes	present	1	888
5f2afd90fcefd547f0ee556f	494427	4	main	slash	5	circle	global	LVF	yes	present	1	923
5f2afd90fcefd547f0ee556f	497273	4	main	slash	6	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	499133	4	main	slash	7	square	global	LVF	yes	present	1	863
5f2afd90fcefd547f0ee556f	501945	4	main	slash	8	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	504886	4	main	slash	9	square	local	LVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	506618	4	main	slash	10	square	global	RVF	yes	present	1	884
5f2afd90fcefd547f0ee556f	508460	4	main	slash	11	circle	local	RVF	yes	present	1	1000
5f2afd90fcefd547f0ee556f	511436	4	main	slash	12	square	local	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	513245	4	main	slash	13	circle	local	LVF	yes	present	1	835
5f2afd90fcefd547f0ee556f	515141	4	main	slash	14	square	local	RVF	yes	present	1	1018
5f2afd90fcefd547f0ee556f	517061	4	main	slash	15	square	global	RVF	yes	present	1	998
5f2afd90fcefd547f0ee556f	518896	4	main	slash	16	square	local	RVF	yes	present	1	980
5f2afd90fcefd547f0ee556f	520659	4	main	slash	17	square	global	RVF	yes	present	1	892
5f2afd90fcefd547f0ee556f	522604	4	main	slash	18	circle	local	LVF	yes	present	1	1018
5f2afd90fcefd547f0ee556f	525525	4	main	slash	19	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	528637	4	main	slash	20	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	530845	4	main	slash	21	square	local	LVF	yes	present	1	1388
5f2afd90fcefd547f0ee556f	532925	4	main	slash	22	square	global	LVF	yes	present	1	1011
5f2afd90fcefd547f0ee556f	535039	4	main	slash	23	circle	global	RVF	yes	present	1	1102
5f2afd90fcefd547f0ee556f	537997	4	main	slash	24	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	540911	4	main	slash	25	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	542613	4	main	slash	26	circle	local	LVF	yes	present	1	857
5f2afd90fcefd547f0ee556f	545541	4	main	slash	27	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	547580	4	main	slash	28	square	global	RVF	yes	present	1	1190
5f2afd90fcefd547f0ee556f	549677	4	main	slash	29	circle	local	RVF	yes	present	1	1011
5f2afd90fcefd547f0ee556f	551516	4	main	slash	30	circle	global	LVF	yes	present	1	891
5f2afd90fcefd547f0ee556f	553394	4	main	slash	31	circle	global	LVF	yes	present	1	888
5f2afd90fcefd547f0ee556f	556320	4	main	slash	32	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	558344	4	main	slash	33	square	global	LVF	yes	present	1	1084
5f2afd90fcefd547f0ee556f	561282	4	main	slash	34	square	local	RVF	yes	absent	0	2003
5f2afd90fcefd547f0ee556f	564164	4	main	slash	35	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	565836	4	main	slash	36	circle	local	RVF	yes	present	1	977
5f2afd90fcefd547f0ee556f	567814	4	main	slash	37	square	local	LVF	yes	present	1	1062
5f2afd90fcefd547f0ee556f	569728	4	main	slash	38	circle	global	RVF	yes	present	1	964
5f2afd90fcefd547f0ee556f	571578	4	main	slash	39	square	global	LVF	yes	present	1	884
5f2afd90fcefd547f0ee556f	573357	4	main	slash	40	circle	global	LVF	yes	present	1	838
5f2afd90fcefd547f0ee556f	575339	4	main	slash	41	square	global	RVF	yes	present	1	998
5f2afd90fcefd547f0ee556f	577210	4	main	slash	42	square	global	RVF	yes	present	1	879
5f2afd90fcefd547f0ee556f	580151	4	main	slash	43	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	582006	4	main	slash	44	square	local	RVF	yes	present	1	880
5f2afd90fcefd547f0ee556f	583829	4	main	slash	45	square	global	RVF	yes	present	1	875
5f2afd90fcefd547f0ee556f	585743	4	main	slash	46	square	local	LVF	yes	present	1	996
5f2afd90fcefd547f0ee556f	587665	4	main	slash	47	square	local	LVF	yes	present	1	960
5f2afd90fcefd547f0ee556f	589847	4	main	slash	48	circle	local	LVF	yes	present	1	1243
5f2afd90fcefd547f0ee556f	591728	4	main	slash	49	circle	global	RVF	yes	present	1	918
5f2afd90fcefd547f0ee556f	593658	4	main	slash	50	square	local	RVF	yes	present	1	994
5f2afd90fcefd547f0ee556f	596446	4	main	slash	51	circle	local	RVF	yes	present	1	1856
5f2afd90fcefd547f0ee556f	599375	4	main	slash	52	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	602618	4	main	slash	53	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	604493	4	main	slash	54	circle	global	RVF	yes	present	1	963
5f2afd90fcefd547f0ee556f	606519	4	main	slash	55	circle	local	RVF	yes	present	1	971
5f2afd90fcefd547f0ee556f	608353	4	main	slash	56	circle	global	LVF	yes	present	1	939
5f2afd90fcefd547f0ee556f	610590	4	main	slash	57	circle	local	LVF	yes	present	1	1318
5f2afd90fcefd547f0ee556f	613568	4	main	slash	58	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	615509	4	main	slash	59	circle	global	RVF	yes	present	1	901
5f2afd90fcefd547f0ee556f	617725	4	main	slash	60	square	local	LVF	yes	present	1	1235
5f2afd90fcefd547f0ee556f	619808	4	main	slash	61	square	local	LVF	yes	present	1	1092
5f2afd90fcefd547f0ee556f	621991	4	main	slash	62	square	global	LVF	yes	present	1	1220
5f2afd90fcefd547f0ee556f	624799	4	main	slash	63	square	global	LVF	yes	present	1	1773
5f2afd90fcefd547f0ee556f	626742	4	main	slash	64	circle	local	LVF	yes	present	1	906
5f2afd90fcefd547f0ee556f	629703	4	main	slash	65	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	632701	4	main	slash	66	absent	absent	absent	no	absent	1	2003
5f2afd90fcefd547f0ee556f	634505	4	main	slash	67	circle	global	RVF	yes	present	1	985
5f2afd90fcefd547f0ee556f	636539	4	main	slash	68	square	global	LVF	yes	present	1	1000
5f2afd90fcefd547f0ee556f	638481	4	main	slash	69	circle	local	LVF	yes	present	1	943
5f2afd90fcefd547f0ee556f	641458	4	main	slash	70	absent	absent	absent	no	absent	1	2003
