subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f4d296913fe2f98d46f520c	185078	1	practice	slash	1	circle	local	RVF	yes	absent	0	2000
5f4d296913fe2f98d46f520c	189297	1	practice	slash	2	circle	global	RVF	yes	present	1	795
5f4d296913fe2f98d46f520c	192531	1	practice	slash	3	circle	global	LVF	yes	present	1	629
5f4d296913fe2f98d46f520c	196828	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	199459	1	practice	slash	5	square	global	RVF	yes	present	1	472
5f4d296913fe2f98d46f520c	202688	1	practice	slash	6	absent	absent	absent	no	present	0	527
5f4d296913fe2f98d46f520c	205618	1	practice	slash	7	square	global	LVF	yes	present	1	749
5f4d296913fe2f98d46f520c	209803	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	212682	1	practice	slash	9	circle	local	RVF	yes	present	1	663
5f4d296913fe2f98d46f520c	215470	1	practice	slash	10	circle	global	LVF	yes	present	1	692
5f4d296913fe2f98d46f520c	218010	1	practice	slash	11	square	local	LVF	yes	present	1	466
5f4d296913fe2f98d46f520c	221599	1	practice	slash	12	circle	global	RVF	yes	present	1	1595
5f4d296913fe2f98d46f520c	224450	1	practice	slash	13	square	local	LVF	yes	present	1	957
5f4d296913fe2f98d46f520c	227209	1	practice	slash	14	square	global	LVF	yes	present	1	772
5f4d296913fe2f98d46f520c	231461	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	234002	1	practice	slash	16	circle	local	RVF	yes	present	1	567
5f4d296913fe2f98d46f520c	245476	2	main	slash	1	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	247325	2	main	slash	2	circle	global	LVF	yes	present	1	591
5f4d296913fe2f98d46f520c	249711	2	main	slash	3	circle	local	LVF	yes	present	1	602
5f4d296913fe2f98d46f520c	253335	2	main	slash	4	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	255028	2	main	slash	5	square	local	LVF	yes	present	1	584
5f4d296913fe2f98d46f520c	256878	2	main	slash	6	circle	local	LVF	yes	present	1	568
5f4d296913fe2f98d46f520c	260127	2	main	slash	7	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	265542	2	main	slash	8	square	global	RVF	yes	present	1	666
5f4d296913fe2f98d46f520c	267638	2	main	slash	9	circle	global	LVF	yes	present	1	579
5f4d296913fe2f98d46f520c	269284	2	main	slash	10	square	global	RVF	yes	present	1	683
5f4d296913fe2f98d46f520c	270859	2	main	slash	11	square	global	LVF	yes	present	1	515
5f4d296913fe2f98d46f520c	272379	2	main	slash	12	circle	local	RVF	yes	present	1	652
5f4d296913fe2f98d46f520c	273973	2	main	slash	13	square	global	LVF	yes	present	1	546
5f4d296913fe2f98d46f520c	276994	2	main	slash	14	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	278679	2	main	slash	15	square	local	RVF	yes	present	1	568
5f4d296913fe2f98d46f520c	280377	2	main	slash	16	square	local	LVF	yes	present	1	450
5f4d296913fe2f98d46f520c	283402	2	main	slash	17	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	284967	2	main	slash	18	circle	global	LVF	yes	present	1	590
5f4d296913fe2f98d46f520c	286647	2	main	slash	19	square	local	RVF	yes	present	1	621
5f4d296913fe2f98d46f520c	288423	2	main	slash	20	square	global	RVF	yes	present	1	637
5f4d296913fe2f98d46f520c	290069	2	main	slash	21	circle	local	RVF	yes	present	1	576
5f4d296913fe2f98d46f520c	291649	2	main	slash	22	circle	global	RVF	yes	present	1	539
5f4d296913fe2f98d46f520c	293297	2	main	slash	23	circle	local	LVF	yes	present	1	546
5f4d296913fe2f98d46f520c	294813	2	main	slash	24	circle	global	LVF	yes	present	1	553
5f4d296913fe2f98d46f520c	296199	2	main	slash	25	circle	global	RVF	yes	present	1	489
5f4d296913fe2f98d46f520c	297699	2	main	slash	26	circle	local	LVF	yes	present	1	513
5f4d296913fe2f98d46f520c	299097	2	main	slash	27	square	global	LVF	yes	present	1	454
5f4d296913fe2f98d46f520c	300499	2	main	slash	28	circle	local	RVF	yes	present	1	447
5f4d296913fe2f98d46f520c	303361	2	main	slash	29	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	304916	2	main	slash	30	square	global	RVF	yes	present	1	555
5f4d296913fe2f98d46f520c	307811	2	main	slash	31	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	310727	2	main	slash	32	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	312344	2	main	slash	33	square	local	RVF	yes	present	1	667
5f4d296913fe2f98d46f520c	313620	2	main	slash	34	circle	global	RVF	yes	present	1	401
5f4d296913fe2f98d46f520c	314990	2	main	slash	35	square	global	LVF	yes	present	1	437
5f4d296913fe2f98d46f520c	316366	2	main	slash	36	circle	local	RVF	yes	present	1	422
5f4d296913fe2f98d46f520c	317672	2	main	slash	37	square	local	LVF	yes	present	1	386
5f4d296913fe2f98d46f520c	319080	2	main	slash	38	circle	global	RVF	yes	present	1	477
5f4d296913fe2f98d46f520c	320565	2	main	slash	39	square	local	LVF	yes	present	1	596
5f4d296913fe2f98d46f520c	321868	2	main	slash	40	square	local	RVF	yes	present	1	398
5f4d296913fe2f98d46f520c	323134	2	main	slash	41	circle	local	LVF	yes	present	1	365
5f4d296913fe2f98d46f520c	324439	2	main	slash	42	square	global	LVF	yes	present	1	387
5f4d296913fe2f98d46f520c	325728	2	main	slash	43	square	local	LVF	yes	present	1	426
5f4d296913fe2f98d46f520c	326937	2	main	slash	44	square	global	RVF	yes	present	1	342
5f4d296913fe2f98d46f520c	328230	2	main	slash	45	circle	global	RVF	yes	present	1	369
5f4d296913fe2f98d46f520c	329424	2	main	slash	46	circle	local	RVF	yes	present	1	346
5f4d296913fe2f98d46f520c	330645	2	main	slash	47	circle	global	RVF	yes	present	1	318
5f4d296913fe2f98d46f520c	332070	2	main	slash	48	circle	local	LVF	yes	present	1	401
5f4d296913fe2f98d46f520c	334338	2	main	slash	49	circle	global	LVF	yes	present	1	536
5f4d296913fe2f98d46f520c	335608	2	main	slash	50	square	local	LVF	yes	present	1	431
5f4d296913fe2f98d46f520c	337179	2	main	slash	51	square	global	RVF	yes	present	1	576
5f4d296913fe2f98d46f520c	338535	2	main	slash	52	square	local	LVF	yes	present	1	449
5f4d296913fe2f98d46f520c	339859	2	main	slash	53	square	global	LVF	yes	present	1	398
5f4d296913fe2f98d46f520c	341303	2	main	slash	54	square	global	LVF	yes	present	1	551
5f4d296913fe2f98d46f520c	342634	2	main	slash	55	square	local	RVF	yes	present	1	398
5f4d296913fe2f98d46f520c	343987	2	main	slash	56	circle	global	LVF	yes	present	1	442
5f4d296913fe2f98d46f520c	346878	2	main	slash	57	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	350070	2	main	slash	58	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	353211	2	main	slash	59	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	356228	2	main	slash	60	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	357824	2	main	slash	61	square	global	RVF	yes	present	1	654
5f4d296913fe2f98d46f520c	359073	2	main	slash	62	square	global	LVF	yes	present	1	354
5f4d296913fe2f98d46f520c	361986	2	main	slash	63	square	local	LVF	yes	absent	0	2000
5f4d296913fe2f98d46f520c	363460	2	main	slash	64	square	global	RVF	yes	present	1	373
5f4d296913fe2f98d46f520c	364699	2	main	slash	65	circle	local	RVF	yes	present	1	379
5f4d296913fe2f98d46f520c	366041	2	main	slash	66	circle	local	RVF	yes	present	1	495
5f4d296913fe2f98d46f520c	367257	2	main	slash	67	square	local	RVF	yes	present	1	363
5f4d296913fe2f98d46f520c	368413	2	main	slash	68	square	local	RVF	yes	present	1	327
5f4d296913fe2f98d46f520c	371286	2	main	slash	69	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	374436	2	main	slash	70	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	375858	2	main	slash	71	circle	local	LVF	yes	present	1	438
5f4d296913fe2f98d46f520c	377052	2	main	slash	72	circle	global	RVF	yes	present	1	324
5f4d296913fe2f98d46f520c	379928	2	main	slash	73	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	381345	2	main	slash	74	circle	global	RVF	yes	present	1	491
5f4d296913fe2f98d46f520c	382645	2	main	slash	75	circle	local	LVF	yes	present	1	474
5f4d296913fe2f98d46f520c	383820	2	main	slash	76	circle	global	LVF	yes	present	1	333
5f4d296913fe2f98d46f520c	384992	2	main	slash	77	circle	local	RVF	yes	present	1	289
5f4d296913fe2f98d46f520c	387870	2	main	slash	78	absent	absent	absent	no	absent	1	2000
5f4d296913fe2f98d46f520c	389228	2	main	slash	79	circle	global	LVF	yes	present	1	434
5f4d296913fe2f98d46f520c	390474	2	main	slash	80	square	local	RVF	yes	present	1	384
5f4d296913fe2f98d46f520c	419066	3	practice	z	1	square	local	LVF	yes	present	1	293
5f4d296913fe2f98d46f520c	421449	3	practice	z	2	circle	global	LVF	yes	present	1	268
5f4d296913fe2f98d46f520c	423911	3	practice	z	3	square	global	LVF	yes	present	1	331
