subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f933204ec8f5f0df7afa903	307023	1	practice	z	1	circle	local	RVF	yes	absent	0	2000
5f933204ec8f5f0df7afa903	310770	1	practice	z	2	circle	global	LVF	yes	present	1	1059
5f933204ec8f5f0df7afa903	313265	1	practice	z	3	circle	global	RVF	yes	present	1	636
5f933204ec8f5f0df7afa903	315947	1	practice	z	4	square	global	RVF	yes	present	1	664
5f933204ec8f5f0df7afa903	319642	1	practice	z	5	square	local	LVF	yes	present	1	1340
5f933204ec8f5f0df7afa903	322715	1	practice	z	6	square	global	LVF	yes	present	1	926
5f933204ec8f5f0df7afa903	325955	1	practice	z	7	circle	local	RVF	yes	present	1	1096
5f933204ec8f5f0df7afa903	330263	1	practice	z	8	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	333970	1	practice	z	9	circle	local	RVF	yes	present	1	919
5f933204ec8f5f0df7afa903	340990	1	practice	z	10	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	344354	1	practice	z	11	absent	absent	absent	no	present	0	1093
5f933204ec8f5f0df7afa903	347274	1	practice	z	12	square	local	LVF	yes	present	1	911
5f933204ec8f5f0df7afa903	350162	1	practice	z	13	circle	global	LVF	yes	present	1	862
5f933204ec8f5f0df7afa903	354470	1	practice	z	14	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	357410	1	practice	z	15	circle	global	RVF	yes	present	1	820
5f933204ec8f5f0df7afa903	360346	1	practice	z	16	square	global	LVF	yes	present	1	736
5f933204ec8f5f0df7afa903	465396	2	main	z	1	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	467272	2	main	z	2	square	local	RVF	yes	present	1	740
5f933204ec8f5f0df7afa903	469063	2	main	z	3	circle	global	RVF	yes	present	1	646
5f933204ec8f5f0df7afa903	470960	2	main	z	4	circle	local	RVF	yes	present	1	791
5f933204ec8f5f0df7afa903	474038	2	main	z	5	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	477735	2	main	z	6	square	global	LVF	yes	present	1	759
5f933204ec8f5f0df7afa903	480080	2	main	z	7	square	local	RVF	yes	present	1	1051
5f933204ec8f5f0df7afa903	483147	2	main	z	8	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	484832	2	main	z	9	circle	global	LVF	yes	present	1	632
5f933204ec8f5f0df7afa903	486615	2	main	z	10	square	global	RVF	yes	present	1	747
5f933204ec8f5f0df7afa903	488351	2	main	z	11	circle	local	LVF	yes	present	1	781
5f933204ec8f5f0df7afa903	490007	2	main	z	12	circle	global	RVF	yes	present	1	702
5f933204ec8f5f0df7afa903	491855	2	main	z	13	square	global	LVF	yes	present	1	849
5f933204ec8f5f0df7afa903	493528	2	main	z	14	circle	global	RVF	yes	present	1	670
5f933204ec8f5f0df7afa903	495415	2	main	z	15	circle	local	LVF	yes	present	1	938
5f933204ec8f5f0df7afa903	497167	2	main	z	16	square	global	LVF	yes	present	1	755
5f933204ec8f5f0df7afa903	499120	2	main	z	17	square	local	LVF	yes	present	1	923
5f933204ec8f5f0df7afa903	502099	2	main	z	18	square	local	LVF	yes	absent	0	2000
5f933204ec8f5f0df7afa903	506136	2	main	z	19	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	507831	2	main	z	20	square	local	RVF	yes	present	1	642
5f933204ec8f5f0df7afa903	510842	2	main	z	21	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	512407	2	main	z	22	circle	global	LVF	yes	present	1	580
5f933204ec8f5f0df7afa903	514047	2	main	z	23	circle	local	RVF	yes	present	1	635
5f933204ec8f5f0df7afa903	515880	2	main	z	24	square	local	LVF	yes	present	1	849
5f933204ec8f5f0df7afa903	518287	2	main	z	25	circle	global	LVF	yes	present	1	821
5f933204ec8f5f0df7afa903	520648	2	main	z	26	square	global	RVF	yes	present	1	1080
5f933204ec8f5f0df7afa903	523937	2	main	z	27	square	global	RVF	yes	absent	0	2000
5f933204ec8f5f0df7afa903	527441	2	main	z	28	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	529191	2	main	z	29	circle	local	LVF	yes	present	1	681
5f933204ec8f5f0df7afa903	533330	2	main	z	30	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	535079	2	main	z	31	square	local	RVF	yes	present	1	679
5f933204ec8f5f0df7afa903	536839	2	main	z	32	circle	local	RVF	yes	present	1	704
5f933204ec8f5f0df7afa903	538711	2	main	z	33	circle	local	LVF	yes	present	1	774
5f933204ec8f5f0df7afa903	540775	2	main	z	34	square	global	RVF	yes	present	1	920
5f933204ec8f5f0df7afa903	542624	2	main	z	35	square	global	LVF	yes	present	1	833
5f933204ec8f5f0df7afa903	544335	2	main	z	36	circle	local	RVF	yes	present	1	759
5f933204ec8f5f0df7afa903	547344	2	main	z	37	absent	absent	absent	no	absent	1	2000
5f933204ec8f5f0df7afa903	550397	2	main	z	38	square	local	LVF	yes	absent	0	2000
