subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5f9d6c8b87770828f1f08fbe	564213	1	practice	z	1	circle	global	LVF	yes	present	1	1356
5f9d6c8b87770828f1f08fbe	569123	1	practice	z	2	circle	local	RVF	yes	absent	0	1996
5f9d6c8b87770828f1f08fbe	572557	1	practice	z	3	circle	local	RVF	yes	present	1	785
5f9d6c8b87770828f1f08fbe	576974	1	practice	z	4	square	local	LVF	yes	absent	0	1996
5f9d6c8b87770828f1f08fbe	581032	1	practice	z	5	absent	absent	absent	no	present	0	1867
5f9d6c8b87770828f1f08fbe	584498	1	practice	z	6	circle	global	LVF	yes	present	1	1085
5f9d6c8b87770828f1f08fbe	587997	1	practice	z	7	absent	absent	absent	no	present	0	1126
5f9d6c8b87770828f1f08fbe	593554	1	practice	z	8	absent	absent	absent	no	absent	1	1996
5f9d6c8b87770828f1f08fbe	596915	1	practice	z	9	square	global	LVF	yes	present	1	983
5f9d6c8b87770828f1f08fbe	600182	1	practice	z	10	square	global	LVF	yes	present	1	939
5f9d6c8b87770828f1f08fbe	603271	1	practice	z	11	circle	global	RVF	yes	present	1	757
5f9d6c8b87770828f1f08fbe	606524	1	practice	z	12	absent	absent	absent	no	present	0	1115
5f9d6c8b87770828f1f08fbe	609504	1	practice	z	13	circle	global	RVF	yes	present	1	700
5f9d6c8b87770828f1f08fbe	613986	1	practice	z	14	circle	local	RVF	yes	absent	0	1996
5f9d6c8b87770828f1f08fbe	617673	1	practice	z	15	square	local	LVF	yes	absent	0	1996
5f9d6c8b87770828f1f08fbe	620569	1	practice	z	16	square	global	RVF	yes	present	1	539
5f9d6c8b87770828f1f08fbe	739262	2	main	z	1	square	global	LVF	yes	present	1	577
5f9d6c8b87770828f1f08fbe	742012	2	main	z	2	square	global	RVF	yes	present	1	556
5f9d6c8b87770828f1f08fbe	745278	2	main	z	3	circle	local	RVF	yes	present	1	261
5f9d6c8b87770828f1f08fbe	747846	2	main	z	4	absent	absent	absent	no	present	0	1100
5f9d6c8b87770828f1f08fbe	749788	2	main	z	5	square	global	LVF	yes	present	1	272
5f9d6c8b87770828f1f08fbe	754532	2	main	z	6	square	local	RVF	yes	absent	0	1996
5f9d6c8b87770828f1f08fbe	756228	2	main	z	7	circle	global	LVF	yes	present	1	381
5f9d6c8b87770828f1f08fbe	758401	2	main	z	8	square	global	RVF	yes	present	1	573
5f9d6c8b87770828f1f08fbe	760577	2	main	z	9	circle	global	LVF	yes	present	1	625
5f9d6c8b87770828f1f08fbe	764197	2	main	z	10	square	local	LVF	yes	absent	0	1996
5f9d6c8b87770828f1f08fbe	767403	2	main	z	11	circle	global	LVF	yes	present	1	724
5f9d6c8b87770828f1f08fbe	770111	2	main	z	12	square	local	LVF	yes	present	1	1100
5f9d6c8b87770828f1f08fbe	772289	2	main	z	13	circle	local	LVF	yes	present	1	841
5f9d6c8b87770828f1f08fbe	774586	2	main	z	14	square	global	RVF	yes	present	1	930
5f9d6c8b87770828f1f08fbe	777984	2	main	z	15	circle	global	RVF	yes	present	1	1454
5f9d6c8b87770828f1f08fbe	781297	2	main	z	16	absent	absent	absent	no	absent	1	1996
5f9d6c8b87770828f1f08fbe	785087	2	main	z	17	absent	absent	absent	no	absent	1	1996
5f9d6c8b87770828f1f08fbe	788524	2	main	z	18	absent	absent	absent	no	absent	1	1996
5f9d6c8b87770828f1f08fbe	792273	2	main	z	19	absent	absent	absent	no	absent	1	1996
5f9d6c8b87770828f1f08fbe	794127	2	main	z	20	circle	global	LVF	yes	present	1	580
5f9d6c8b87770828f1f08fbe	796397	2	main	z	21	circle	local	RVF	yes	present	1	622
5f9d6c8b87770828f1f08fbe	799792	2	main	z	22	absent	absent	absent	no	absent	1	1996
5f9d6c8b87770828f1f08fbe	802833	2	main	z	23	square	local	RVF	yes	absent	0	1996
5f9d6c8b87770828f1f08fbe	804374	2	main	z	24	square	global	LVF	yes	present	1	538
