subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
5ffc8fc485e2830b502149f3	120017	1	practice	slash	1	square	local	LVF	yes	present	1	1828
5ffc8fc485e2830b502149f3	123513	1	practice	slash	2	circle	local	RVF	yes	present	1	944
5ffc8fc485e2830b502149f3	127650	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	130817	1	practice	slash	4	circle	global	LVF	yes	present	1	968
5ffc8fc485e2830b502149f3	133925	1	practice	slash	5	square	global	LVF	yes	present	1	879
5ffc8fc485e2830b502149f3	136839	1	practice	slash	6	circle	global	LVF	yes	present	1	808
5ffc8fc485e2830b502149f3	140994	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	144426	1	practice	slash	8	circle	local	RVF	yes	present	1	1312
5ffc8fc485e2830b502149f3	147331	1	practice	slash	9	square	local	LVF	yes	present	1	896
5ffc8fc485e2830b502149f3	150461	1	practice	slash	10	circle	global	RVF	yes	present	1	918
5ffc8fc485e2830b502149f3	154473	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	157433	1	practice	slash	12	square	global	LVF	yes	present	1	818
5ffc8fc485e2830b502149f3	160084	1	practice	slash	13	square	global	RVF	yes	present	1	647
5ffc8fc485e2830b502149f3	163136	1	practice	slash	14	circle	local	RVF	yes	present	1	1133
5ffc8fc485e2830b502149f3	167055	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	169666	1	practice	slash	16	circle	global	RVF	yes	present	1	618
5ffc8fc485e2830b502149f3	178867	2	main	slash	1	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	181972	2	main	slash	2	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	183845	2	main	slash	3	square	local	RVF	yes	present	1	832
5ffc8fc485e2830b502149f3	187397	2	main	slash	4	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	189119	2	main	slash	5	square	global	RVF	yes	present	1	662
5ffc8fc485e2830b502149f3	192374	2	main	slash	6	square	local	RVF	yes	absent	0	2000
5ffc8fc485e2830b502149f3	195451	2	main	slash	7	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	197165	2	main	slash	8	circle	local	RVF	yes	present	1	753
5ffc8fc485e2830b502149f3	199189	2	main	slash	9	circle	global	LVF	yes	present	1	619
5ffc8fc485e2830b502149f3	201337	2	main	slash	10	circle	global	RVF	yes	present	1	815
5ffc8fc485e2830b502149f3	203771	2	main	slash	11	circle	global	LVF	yes	present	1	711
5ffc8fc485e2830b502149f3	206274	2	main	slash	12	circle	global	LVF	yes	present	1	879
5ffc8fc485e2830b502149f3	208897	2	main	slash	13	circle	global	LVF	yes	present	1	1118
5ffc8fc485e2830b502149f3	211038	2	main	slash	14	square	global	LVF	yes	present	1	811
5ffc8fc485e2830b502149f3	213187	2	main	slash	15	square	global	RVF	yes	present	1	783
5ffc8fc485e2830b502149f3	215860	2	main	slash	16	square	local	RVF	yes	present	1	1052
5ffc8fc485e2830b502149f3	218020	2	main	slash	17	circle	global	RVF	yes	present	1	745
5ffc8fc485e2830b502149f3	221351	2	main	slash	18	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	222905	2	main	slash	19	square	global	LVF	yes	present	1	519
5ffc8fc485e2830b502149f3	224812	2	main	slash	20	square	global	RVF	yes	present	1	619
5ffc8fc485e2830b502149f3	226710	2	main	slash	21	square	global	RVF	yes	present	1	659
5ffc8fc485e2830b502149f3	228922	2	main	slash	22	square	global	LVF	yes	present	1	884
5ffc8fc485e2830b502149f3	231047	2	main	slash	23	circle	local	RVF	yes	present	1	818
5ffc8fc485e2830b502149f3	233142	2	main	slash	24	circle	local	LVF	yes	present	1	687
5ffc8fc485e2830b502149f3	235260	2	main	slash	25	square	local	LVF	yes	present	1	861
5ffc8fc485e2830b502149f3	237235	2	main	slash	26	circle	local	LVF	yes	present	1	532
5ffc8fc485e2830b502149f3	240474	2	main	slash	27	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	242112	2	main	slash	28	circle	local	LVF	yes	present	1	592
5ffc8fc485e2830b502149f3	244107	2	main	slash	29	circle	local	RVF	yes	present	1	833
5ffc8fc485e2830b502149f3	246306	2	main	slash	30	circle	local	LVF	yes	present	1	856
5ffc8fc485e2830b502149f3	248356	2	main	slash	31	circle	local	RVF	yes	present	1	837
5ffc8fc485e2830b502149f3	251611	2	main	slash	32	absent	absent	absent	no	absent	1	2000
5ffc8fc485e2830b502149f3	253363	2	main	slash	33	square	local	RVF	yes	present	1	672
