subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
603032b2b88b07e8aceb10c4	138785	1	practice	slash	1	circle	global	RVF	yes	absent	0	2000
603032b2b88b07e8aceb10c4	142298	1	practice	slash	2	absent	absent	absent	no	present	0	547
603032b2b88b07e8aceb10c4	146985	1	practice	slash	3	square	local	LVF	yes	absent	0	2000
603032b2b88b07e8aceb10c4	149873	1	practice	slash	4	circle	local	RVF	yes	present	1	705
603032b2b88b07e8aceb10c4	153078	1	practice	slash	5	circle	global	RVF	yes	present	1	694
603032b2b88b07e8aceb10c4	158318	1	practice	slash	6	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	161368	1	practice	slash	7	square	local	LVF	yes	present	1	882
603032b2b88b07e8aceb10c4	164479	1	practice	slash	8	square	global	LVF	yes	present	1	561
603032b2b88b07e8aceb10c4	169601	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	172381	1	practice	slash	10	circle	global	LVF	yes	present	1	562
603032b2b88b07e8aceb10c4	176861	1	practice	slash	11	absent	absent	absent	no	present	0	742
603032b2b88b07e8aceb10c4	179463	1	practice	slash	12	square	global	LVF	yes	present	1	461
603032b2b88b07e8aceb10c4	182193	1	practice	slash	13	circle	local	RVF	yes	present	1	491
603032b2b88b07e8aceb10c4	185127	1	practice	slash	14	square	global	RVF	yes	present	1	675
603032b2b88b07e8aceb10c4	188571	1	practice	slash	15	circle	global	LVF	yes	present	1	568
603032b2b88b07e8aceb10c4	191679	1	practice	slash	16	circle	local	RVF	yes	present	1	575
603032b2b88b07e8aceb10c4	855522	2	main	slash	1	square	local	RVF	yes	absent	0	2000
603032b2b88b07e8aceb10c4	857600	2	main	slash	2	circle	global	LVF	yes	present	1	477
603032b2b88b07e8aceb10c4	859671	2	main	slash	3	circle	global	LVF	yes	present	1	372
603032b2b88b07e8aceb10c4	862311	2	main	slash	4	square	global	RVF	yes	present	1	1322
603032b2b88b07e8aceb10c4	864105	2	main	slash	5	circle	global	RVF	yes	present	1	511
603032b2b88b07e8aceb10c4	866144	2	main	slash	6	square	global	LVF	yes	present	1	621
603032b2b88b07e8aceb10c4	869456	2	main	slash	7	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	872506	2	main	slash	8	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	875169	2	main	slash	9	circle	local	RVF	yes	present	1	914
603032b2b88b07e8aceb10c4	878573	2	main	slash	10	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	881256	2	main	slash	11	circle	global	LVF	yes	present	1	483
603032b2b88b07e8aceb10c4	883759	2	main	slash	12	square	local	LVF	yes	present	1	587
603032b2b88b07e8aceb10c4	889540	2	main	slash	13	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	891612	2	main	slash	14	circle	global	LVF	yes	present	1	838
603032b2b88b07e8aceb10c4	895123	2	main	slash	15	square	global	LVF	yes	present	1	435
603032b2b88b07e8aceb10c4	897357	2	main	slash	16	circle	local	RVF	yes	present	1	401
603032b2b88b07e8aceb10c4	899989	2	main	slash	17	circle	local	LVF	yes	present	1	513
603032b2b88b07e8aceb10c4	903874	2	main	slash	18	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	906364	2	main	slash	19	circle	local	RVF	yes	present	1	558
603032b2b88b07e8aceb10c4	909339	2	main	slash	20	square	local	RVF	yes	present	1	500
603032b2b88b07e8aceb10c4	912873	2	main	slash	21	square	local	RVF	yes	present	1	699
603032b2b88b07e8aceb10c4	914619	2	main	slash	22	circle	local	RVF	yes	present	1	462
603032b2b88b07e8aceb10c4	917991	2	main	slash	23	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	920486	2	main	slash	24	circle	global	RVF	yes	present	1	580
603032b2b88b07e8aceb10c4	922315	2	main	slash	25	square	global	RVF	yes	present	1	474
603032b2b88b07e8aceb10c4	924250	2	main	slash	26	absent	absent	absent	no	present	0	609
603032b2b88b07e8aceb10c4	926035	2	main	slash	27	square	local	LVF	yes	present	1	429
603032b2b88b07e8aceb10c4	928101	2	main	slash	28	square	local	LVF	yes	present	1	610
603032b2b88b07e8aceb10c4	931164	2	main	slash	29	square	local	LVF	yes	present	1	723
603032b2b88b07e8aceb10c4	933675	2	main	slash	30	circle	local	LVF	yes	present	1	451
603032b2b88b07e8aceb10c4	935616	2	main	slash	31	circle	local	LVF	yes	present	1	491
603032b2b88b07e8aceb10c4	937578	2	main	slash	32	circle	global	RVF	yes	present	1	486
603032b2b88b07e8aceb10c4	940992	2	main	slash	33	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	943749	2	main	slash	34	square	local	RVF	yes	present	1	392
603032b2b88b07e8aceb10c4	945702	2	main	slash	35	square	global	RVF	yes	present	1	429
603032b2b88b07e8aceb10c4	947775	2	main	slash	36	circle	global	RVF	yes	present	1	380
603032b2b88b07e8aceb10c4	950331	2	main	slash	37	square	global	LVF	yes	present	1	570
603032b2b88b07e8aceb10c4	953287	2	main	slash	38	circle	local	LVF	yes	present	1	478
603032b2b88b07e8aceb10c4	955239	2	main	slash	39	square	global	LVF	yes	present	1	397
603032b2b88b07e8aceb10c4	957627	2	main	slash	40	square	global	RVF	yes	present	1	386
603032b2b88b07e8aceb10c4	959996	2	main	slash	41	circle	local	LVF	yes	present	1	404
603032b2b88b07e8aceb10c4	962125	2	main	slash	42	circle	local	RVF	yes	present	1	371
603032b2b88b07e8aceb10c4	964528	2	main	slash	43	circle	local	LVF	yes	present	1	635
603032b2b88b07e8aceb10c4	966564	2	main	slash	44	circle	global	LVF	yes	present	1	571
603032b2b88b07e8aceb10c4	968735	2	main	slash	45	square	local	LVF	yes	present	1	792
603032b2b88b07e8aceb10c4	970420	2	main	slash	46	circle	local	LVF	yes	present	1	412
603032b2b88b07e8aceb10c4	972252	2	main	slash	47	circle	global	LVF	yes	present	1	493
603032b2b88b07e8aceb10c4	974447	2	main	slash	48	square	local	RVF	yes	present	1	655
603032b2b88b07e8aceb10c4	976314	2	main	slash	49	circle	global	RVF	yes	present	1	522
603032b2b88b07e8aceb10c4	979943	2	main	slash	50	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	983260	2	main	slash	51	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	984592	2	main	slash	52	circle	local	RVF	yes	present	1	380
603032b2b88b07e8aceb10c4	986427	2	main	slash	53	circle	local	RVF	yes	present	1	375
603032b2b88b07e8aceb10c4	988117	2	main	slash	54	absent	absent	absent	no	present	0	358
603032b2b88b07e8aceb10c4	991626	2	main	slash	55	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	992943	2	main	slash	56	square	global	LVF	yes	present	1	382
603032b2b88b07e8aceb10c4	996477	2	main	slash	57	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	997867	2	main	slash	58	square	global	RVF	yes	present	1	407
603032b2b88b07e8aceb10c4	999759	2	main	slash	59	square	local	RVF	yes	present	1	399
603032b2b88b07e8aceb10c4	1003210	2	main	slash	60	square	local	LVF	yes	absent	0	2000
603032b2b88b07e8aceb10c4	1004718	2	main	slash	61	absent	absent	absent	no	present	0	392
603032b2b88b07e8aceb10c4	1006709	2	main	slash	62	circle	global	RVF	yes	present	1	381
603032b2b88b07e8aceb10c4	1009204	2	main	slash	63	square	global	LVF	yes	present	1	627
603032b2b88b07e8aceb10c4	1011395	2	main	slash	64	circle	local	LVF	yes	present	1	418
603032b2b88b07e8aceb10c4	1013633	2	main	slash	65	square	global	LVF	yes	present	1	407
603032b2b88b07e8aceb10c4	1017011	2	main	slash	66	square	global	LVF	yes	absent	0	2000
603032b2b88b07e8aceb10c4	1018248	2	main	slash	67	square	local	LVF	yes	present	1	522
603032b2b88b07e8aceb10c4	1020291	2	main	slash	68	square	global	RVF	yes	present	1	347
603032b2b88b07e8aceb10c4	1022458	2	main	slash	69	square	local	RVF	yes	present	1	430
603032b2b88b07e8aceb10c4	1024438	2	main	slash	70	square	global	RVF	yes	present	1	576
603032b2b88b07e8aceb10c4	1028958	2	main	slash	71	square	local	RVF	yes	present	1	314
603032b2b88b07e8aceb10c4	1034452	2	main	slash	72	circle	global	LVF	yes	present	1	323
603032b2b88b07e8aceb10c4	1042662	2	main	slash	73	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	1044647	2	main	slash	74	circle	global	RVF	yes	present	1	336
603032b2b88b07e8aceb10c4	1047781	2	main	slash	75	circle	global	LVF	yes	present	1	404
603032b2b88b07e8aceb10c4	1049928	2	main	slash	76	circle	global	RVF	yes	present	1	379
603032b2b88b07e8aceb10c4	1059012	2	main	slash	77	absent	absent	absent	no	absent	1	2000
603032b2b88b07e8aceb10c4	1061015	2	main	slash	78	circle	local	RVF	yes	present	1	469
603032b2b88b07e8aceb10c4	1065407	2	main	slash	79	square	global	RVF	yes	present	1	328
