subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6049273b7b4f029ba1c44e6b	224453	1	practice	slash	1	circle	global	LVF	yes	present	1	537
6049273b7b4f029ba1c44e6b	230163	1	practice	slash	2	square	global	LVF	yes	absent	0	2000
6049273b7b4f029ba1c44e6b	234664	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	238836	1	practice	slash	4	circle	global	RVF	yes	present	1	770
6049273b7b4f029ba1c44e6b	244038	1	practice	slash	5	square	local	LVF	yes	present	1	1855
6049273b7b4f029ba1c44e6b	248396	1	practice	slash	6	square	global	LVF	yes	absent	0	2000
6049273b7b4f029ba1c44e6b	252512	1	practice	slash	7	circle	local	RVF	yes	absent	0	2000
6049273b7b4f029ba1c44e6b	256763	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	259396	1	practice	slash	9	circle	local	RVF	yes	present	1	581
6049273b7b4f029ba1c44e6b	262689	1	practice	slash	10	square	global	RVF	yes	present	1	741
6049273b7b4f029ba1c44e6b	265264	1	practice	slash	11	circle	local	RVF	yes	present	1	498
6049273b7b4f029ba1c44e6b	269212	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	271725	1	practice	slash	13	circle	global	RVF	yes	present	1	661
6049273b7b4f029ba1c44e6b	274349	1	practice	slash	14	circle	global	LVF	yes	present	1	468
6049273b7b4f029ba1c44e6b	276496	1	practice	slash	15	square	local	LVF	yes	present	1	298
6049273b7b4f029ba1c44e6b	280579	1	practice	slash	16	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	290650	2	main	slash	1	circle	local	RVF	yes	present	1	686
6049273b7b4f029ba1c44e6b	294295	2	main	slash	2	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	295496	2	main	slash	3	circle	global	LVF	yes	present	1	399
6049273b7b4f029ba1c44e6b	297318	2	main	slash	4	circle	local	RVF	yes	present	1	304
6049273b7b4f029ba1c44e6b	300494	2	main	slash	5	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	302582	2	main	slash	6	square	global	LVF	yes	present	1	1152
6049273b7b4f029ba1c44e6b	306078	2	main	slash	7	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	307404	2	main	slash	8	square	local	RVF	yes	present	1	423
6049273b7b4f029ba1c44e6b	310828	2	main	slash	9	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	312182	2	main	slash	10	circle	local	LVF	yes	present	1	469
6049273b7b4f029ba1c44e6b	313961	2	main	slash	11	square	global	RVF	yes	present	1	514
6049273b7b4f029ba1c44e6b	315376	2	main	slash	12	square	local	RVF	yes	present	1	296
6049273b7b4f029ba1c44e6b	317064	2	main	slash	13	circle	global	RVF	yes	present	1	385
6049273b7b4f029ba1c44e6b	319249	2	main	slash	14	circle	local	LVF	yes	present	1	1103
6049273b7b4f029ba1c44e6b	322311	2	main	slash	15	square	local	LVF	yes	absent	0	2000
6049273b7b4f029ba1c44e6b	324501	2	main	slash	16	square	local	RVF	yes	present	1	1054
6049273b7b4f029ba1c44e6b	326323	2	main	slash	17	square	local	LVF	yes	present	1	575
6049273b7b4f029ba1c44e6b	328211	2	main	slash	18	circle	local	LVF	yes	present	1	764
6049273b7b4f029ba1c44e6b	329892	2	main	slash	19	square	global	RVF	yes	present	1	695
6049273b7b4f029ba1c44e6b	331850	2	main	slash	20	square	local	LVF	yes	present	1	786
6049273b7b4f029ba1c44e6b	333778	2	main	slash	21	circle	global	RVF	yes	present	1	897
6049273b7b4f029ba1c44e6b	335733	2	main	slash	22	circle	global	LVF	yes	present	1	970
6049273b7b4f029ba1c44e6b	337651	2	main	slash	23	square	local	LVF	yes	present	1	922
6049273b7b4f029ba1c44e6b	340644	2	main	slash	24	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	342203	2	main	slash	25	square	global	LVF	yes	present	1	607
6049273b7b4f029ba1c44e6b	344507	2	main	slash	26	absent	absent	absent	no	present	0	1179
6049273b7b4f029ba1c44e6b	346125	2	main	slash	27	circle	global	RVF	yes	present	1	513
6049273b7b4f029ba1c44e6b	349209	2	main	slash	28	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	350715	2	main	slash	29	square	global	LVF	yes	present	1	402
6049273b7b4f029ba1c44e6b	352142	2	main	slash	30	square	global	RVF	yes	present	1	329
6049273b7b4f029ba1c44e6b	355177	2	main	slash	31	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	356544	2	main	slash	32	square	global	LVF	yes	present	1	465
6049273b7b4f029ba1c44e6b	358159	2	main	slash	33	circle	global	LVF	yes	present	1	579
6049273b7b4f029ba1c44e6b	359905	2	main	slash	34	circle	global	RVF	yes	present	1	693
6049273b7b4f029ba1c44e6b	361499	2	main	slash	35	circle	local	LVF	yes	present	1	552
6049273b7b4f029ba1c44e6b	363018	2	main	slash	36	circle	global	LVF	yes	present	1	472
6049273b7b4f029ba1c44e6b	364645	2	main	slash	37	square	local	RVF	yes	present	1	616
6049273b7b4f029ba1c44e6b	366065	2	main	slash	38	square	global	RVF	yes	present	1	419
6049273b7b4f029ba1c44e6b	367718	2	main	slash	39	circle	local	RVF	yes	present	1	589
6049273b7b4f029ba1c44e6b	369369	2	main	slash	40	circle	local	RVF	yes	present	1	590
6049273b7b4f029ba1c44e6b	370886	2	main	slash	41	circle	global	LVF	yes	present	1	489
6049273b7b4f029ba1c44e6b	372294	2	main	slash	42	circle	global	RVF	yes	present	1	382
6049273b7b4f029ba1c44e6b	375343	2	main	slash	43	square	local	LVF	yes	absent	0	2000
6049273b7b4f029ba1c44e6b	376979	2	main	slash	44	square	global	LVF	yes	present	1	484
6049273b7b4f029ba1c44e6b	380209	2	main	slash	45	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	381697	2	main	slash	46	circle	local	LVF	yes	present	1	502
6049273b7b4f029ba1c44e6b	383011	2	main	slash	47	circle	local	RVF	yes	present	1	317
6049273b7b4f029ba1c44e6b	384625	2	main	slash	48	circle	local	RVF	yes	present	1	596
6049273b7b4f029ba1c44e6b	387350	2	main	slash	49	absent	absent	absent	no	present	0	1738
6049273b7b4f029ba1c44e6b	389529	2	main	slash	50	square	local	RVF	yes	present	1	1033
6049273b7b4f029ba1c44e6b	392442	2	main	slash	51	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	395343	2	main	slash	52	square	local	LVF	yes	absent	0	2000
6049273b7b4f029ba1c44e6b	396668	2	main	slash	53	square	local	RVF	yes	present	1	423
6049273b7b4f029ba1c44e6b	398192	2	main	slash	54	square	local	LVF	yes	present	1	347
6049273b7b4f029ba1c44e6b	399839	2	main	slash	55	circle	global	LVF	yes	present	1	544
6049273b7b4f029ba1c44e6b	401417	2	main	slash	56	circle	global	RVF	yes	present	1	555
6049273b7b4f029ba1c44e6b	403087	2	main	slash	57	square	local	LVF	yes	present	1	593
6049273b7b4f029ba1c44e6b	406142	2	main	slash	58	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	409126	2	main	slash	59	absent	absent	absent	no	absent	1	2000
6049273b7b4f029ba1c44e6b	412009	2	main	slash	60	absent	absent	absent	no	absent	1	2000
