subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60e1d5f866e681d7e33fd01c	375885	1	practice	slash	1	square	local	LVF	yes	absent	0	2000
60e1d5f866e681d7e33fd01c	417093	1	practice	slash	2	square	global	LVF	yes	absent	0	2000
60e1d5f866e681d7e33fd01c	427501	1	practice	slash	3	square	local	LVF	yes	present	1	1473
60e1d5f866e681d7e33fd01c	447107	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	458904	1	practice	slash	5	square	global	RVF	yes	present	1	917
60e1d5f866e681d7e33fd01c	470145	1	practice	slash	6	circle	global	RVF	yes	present	1	544
60e1d5f866e681d7e33fd01c	482677	1	practice	slash	7	absent	absent	absent	no	present	0	681
60e1d5f866e681d7e33fd01c	485727	1	practice	slash	8	circle	local	RVF	yes	present	1	722
60e1d5f866e681d7e33fd01c	488443	1	practice	slash	9	circle	global	LVF	yes	present	1	508
60e1d5f866e681d7e33fd01c	491261	1	practice	slash	10	absent	absent	absent	no	present	0	390
60e1d5f866e681d7e33fd01c	493888	1	practice	slash	11	circle	global	LVF	yes	present	1	406
60e1d5f866e681d7e33fd01c	497734	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	500425	1	practice	slash	13	circle	global	RVF	yes	present	1	492
60e1d5f866e681d7e33fd01c	503282	1	practice	slash	14	circle	local	RVF	yes	present	1	626
60e1d5f866e681d7e33fd01c	506118	1	practice	slash	15	circle	local	RVF	yes	present	1	464
60e1d5f866e681d7e33fd01c	508924	1	practice	slash	16	square	global	LVF	yes	present	1	620
60e1d5f866e681d7e33fd01c	535449	2	main	slash	1	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	537285	2	main	slash	2	square	local	RVF	yes	present	1	546
60e1d5f866e681d7e33fd01c	539756	2	main	slash	3	circle	local	LVF	yes	present	1	503
60e1d5f866e681d7e33fd01c	542208	2	main	slash	4	square	global	LVF	yes	present	1	681
60e1d5f866e681d7e33fd01c	545582	2	main	slash	5	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	547123	2	main	slash	6	circle	global	RVF	yes	present	1	382
60e1d5f866e681d7e33fd01c	550924	2	main	slash	7	square	local	LVF	yes	present	1	1062
60e1d5f866e681d7e33fd01c	556704	2	main	slash	8	circle	local	RVF	yes	present	1	371
60e1d5f866e681d7e33fd01c	558405	2	main	slash	9	circle	local	LVF	yes	present	1	376
60e1d5f866e681d7e33fd01c	560109	2	main	slash	10	circle	global	RVF	yes	present	1	427
60e1d5f866e681d7e33fd01c	562034	2	main	slash	11	circle	local	RVF	yes	present	1	404
60e1d5f866e681d7e33fd01c	563865	2	main	slash	12	circle	global	RVF	yes	present	1	522
60e1d5f866e681d7e33fd01c	565703	2	main	slash	13	circle	local	LVF	yes	present	1	374
60e1d5f866e681d7e33fd01c	567351	2	main	slash	14	square	local	RVF	yes	present	1	433
60e1d5f866e681d7e33fd01c	569307	2	main	slash	15	square	global	RVF	yes	present	1	471
60e1d5f866e681d7e33fd01c	571925	2	main	slash	16	square	global	LVF	yes	present	1	926
60e1d5f866e681d7e33fd01c	573685	2	main	slash	17	square	global	LVF	yes	present	1	605
60e1d5f866e681d7e33fd01c	577024	2	main	slash	18	square	local	RVF	yes	absent	0	2000
60e1d5f866e681d7e33fd01c	580017	2	main	slash	19	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	581794	2	main	slash	20	circle	local	RVF	yes	present	1	627
60e1d5f866e681d7e33fd01c	585218	2	main	slash	21	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	588314	2	main	slash	22	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	589773	2	main	slash	23	circle	global	RVF	yes	present	1	693
60e1d5f866e681d7e33fd01c	591682	2	main	slash	24	circle	global	LVF	yes	present	1	453
60e1d5f866e681d7e33fd01c	593363	2	main	slash	25	circle	global	LVF	yes	present	1	431
60e1d5f866e681d7e33fd01c	595196	2	main	slash	26	square	global	LVF	yes	present	1	516
60e1d5f866e681d7e33fd01c	597121	2	main	slash	27	square	local	LVF	yes	present	1	726
60e1d5f866e681d7e33fd01c	598749	2	main	slash	28	square	local	LVF	yes	present	1	350
60e1d5f866e681d7e33fd01c	600529	2	main	slash	29	circle	global	LVF	yes	present	1	331
60e1d5f866e681d7e33fd01c	602394	2	main	slash	30	square	global	RVF	yes	present	1	601
60e1d5f866e681d7e33fd01c	605735	2	main	slash	31	square	local	RVF	yes	absent	0	2000
60e1d5f866e681d7e33fd01c	607352	2	main	slash	32	circle	local	LVF	yes	present	1	472
60e1d5f866e681d7e33fd01c	609241	2	main	slash	33	absent	absent	absent	no	present	0	638
60e1d5f866e681d7e33fd01c	611212	2	main	slash	34	square	global	RVF	yes	present	1	667
60e1d5f866e681d7e33fd01c	614480	2	main	slash	35	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	616226	2	main	slash	36	circle	global	LVF	yes	present	1	674
60e1d5f866e681d7e33fd01c	618341	2	main	slash	37	square	global	RVF	yes	present	1	740
60e1d5f866e681d7e33fd01c	622063	2	main	slash	38	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	624739	2	main	slash	39	circle	local	RVF	yes	present	1	1589
60e1d5f866e681d7e33fd01c	627410	2	main	slash	40	square	local	LVF	yes	present	1	696
60e1d5f866e681d7e33fd01c	631255	2	main	slash	41	circle	global	LVF	yes	present	1	708
60e1d5f866e681d7e33fd01c	633137	2	main	slash	42	absent	absent	absent	no	present	0	539
60e1d5f866e681d7e33fd01c	634978	2	main	slash	43	circle	local	LVF	yes	present	1	430
60e1d5f866e681d7e33fd01c	636849	2	main	slash	44	circle	local	RVF	yes	present	1	486
60e1d5f866e681d7e33fd01c	638452	2	main	slash	45	square	global	LVF	yes	present	1	407
60e1d5f866e681d7e33fd01c	640104	2	main	slash	46	absent	absent	absent	no	present	0	470
60e1d5f866e681d7e33fd01c	641591	2	main	slash	47	square	local	LVF	yes	present	1	389
60e1d5f866e681d7e33fd01c	643344	2	main	slash	48	square	global	LVF	yes	present	1	497
60e1d5f866e681d7e33fd01c	644875	2	main	slash	49	circle	global	LVF	yes	present	1	383
60e1d5f866e681d7e33fd01c	647112	2	main	slash	50	absent	absent	absent	no	present	0	915
60e1d5f866e681d7e33fd01c	649261	2	main	slash	51	square	local	LVF	yes	present	1	809
60e1d5f866e681d7e33fd01c	650775	2	main	slash	52	square	local	LVF	yes	present	1	380
60e1d5f866e681d7e33fd01c	652737	2	main	slash	53	square	local	LVF	yes	present	1	689
60e1d5f866e681d7e33fd01c	654815	2	main	slash	54	square	local	RVF	yes	present	1	720
60e1d5f866e681d7e33fd01c	656760	2	main	slash	55	circle	local	RVF	yes	present	1	491
60e1d5f866e681d7e33fd01c	658589	2	main	slash	56	square	global	RVF	yes	present	1	558
60e1d5f866e681d7e33fd01c	660289	2	main	slash	57	square	global	LVF	yes	present	1	441
60e1d5f866e681d7e33fd01c	661925	2	main	slash	58	square	local	RVF	yes	present	1	510
60e1d5f866e681d7e33fd01c	663626	2	main	slash	59	square	global	RVF	yes	present	1	444
60e1d5f866e681d7e33fd01c	667019	2	main	slash	60	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	668907	2	main	slash	61	circle	local	LVF	yes	present	1	774
60e1d5f866e681d7e33fd01c	671014	2	main	slash	62	circle	global	LVF	yes	present	1	617
60e1d5f866e681d7e33fd01c	672932	2	main	slash	63	circle	global	RVF	yes	present	1	464
60e1d5f866e681d7e33fd01c	676383	2	main	slash	64	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	678196	2	main	slash	65	square	local	RVF	yes	present	1	749
60e1d5f866e681d7e33fd01c	679956	2	main	slash	66	circle	global	RVF	yes	present	1	543
60e1d5f866e681d7e33fd01c	683098	2	main	slash	67	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	684837	2	main	slash	68	square	global	LVF	yes	present	1	641
60e1d5f866e681d7e33fd01c	686560	2	main	slash	69	circle	global	LVF	yes	present	1	546
60e1d5f866e681d7e33fd01c	688692	2	main	slash	70	circle	local	RVF	yes	present	1	875
60e1d5f866e681d7e33fd01c	693752	2	main	slash	71	circle	local	LVF	yes	present	1	438
60e1d5f866e681d7e33fd01c	695835	2	main	slash	72	circle	global	RVF	yes	present	1	919
60e1d5f866e681d7e33fd01c	697594	2	main	slash	73	square	global	RVF	yes	present	1	577
60e1d5f866e681d7e33fd01c	700719	2	main	slash	74	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	704032	2	main	slash	75	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	705681	2	main	slash	76	circle	local	RVF	yes	present	1	631
60e1d5f866e681d7e33fd01c	708856	2	main	slash	77	square	global	RVF	yes	absent	0	2000
60e1d5f866e681d7e33fd01c	710498	2	main	slash	78	circle	local	LVF	yes	present	1	568
60e1d5f866e681d7e33fd01c	712439	2	main	slash	79	square	local	RVF	yes	present	1	722
60e1d5f866e681d7e33fd01c	714513	2	main	slash	80	circle	global	RVF	yes	present	1	879
60e1d5f866e681d7e33fd01c	765930	3	practice	z	1	square	global	LVF	yes	present	1	764
60e1d5f866e681d7e33fd01c	772191	3	practice	z	2	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	775050	3	practice	z	3	circle	global	LVF	yes	present	1	497
60e1d5f866e681d7e33fd01c	778043	3	practice	z	4	circle	global	RVF	yes	present	1	654
60e1d5f866e681d7e33fd01c	781053	3	practice	z	5	square	global	LVF	yes	present	1	731
60e1d5f866e681d7e33fd01c	784620	3	practice	z	6	circle	local	RVF	yes	present	1	797
60e1d5f866e681d7e33fd01c	787821	3	practice	z	7	circle	local	RVF	yes	present	1	713
60e1d5f866e681d7e33fd01c	791222	3	practice	z	8	circle	local	RVF	yes	present	1	464
60e1d5f866e681d7e33fd01c	794483	3	practice	z	9	circle	global	RVF	yes	present	1	808
60e1d5f866e681d7e33fd01c	798727	3	practice	z	10	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	801935	3	practice	z	11	circle	global	LVF	yes	present	1	793
60e1d5f866e681d7e33fd01c	804957	3	practice	z	12	square	local	LVF	yes	present	1	751
60e1d5f866e681d7e33fd01c	808250	3	practice	z	13	square	global	RVF	yes	present	1	777
60e1d5f866e681d7e33fd01c	812560	3	practice	z	14	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	816956	3	practice	z	15	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	819764	3	practice	z	16	square	local	LVF	yes	present	1	575
60e1d5f866e681d7e33fd01c	833120	4	main	z	1	absent	absent	absent	no	present	0	870
60e1d5f866e681d7e33fd01c	835120	4	main	z	2	circle	global	RVF	yes	present	1	418
60e1d5f866e681d7e33fd01c	836743	4	main	z	3	circle	local	RVF	yes	present	1	426
60e1d5f866e681d7e33fd01c	838359	4	main	z	4	circle	local	LVF	yes	present	1	492
60e1d5f866e681d7e33fd01c	839970	4	main	z	5	circle	local	LVF	yes	present	1	452
60e1d5f866e681d7e33fd01c	843100	4	main	z	6	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	844769	4	main	z	7	square	global	LVF	yes	present	1	522
60e1d5f866e681d7e33fd01c	847159	4	main	z	8	square	local	RVF	yes	present	1	1290
60e1d5f866e681d7e33fd01c	849147	4	main	z	9	square	local	LVF	yes	present	1	629
60e1d5f866e681d7e33fd01c	852305	4	main	z	10	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	853954	4	main	z	11	square	global	LVF	yes	present	1	501
60e1d5f866e681d7e33fd01c	855849	4	main	z	12	circle	local	RVF	yes	present	1	712
60e1d5f866e681d7e33fd01c	857522	4	main	z	13	circle	global	LVF	yes	present	1	525
60e1d5f866e681d7e33fd01c	859022	4	main	z	14	square	global	LVF	yes	present	1	436
60e1d5f866e681d7e33fd01c	860668	4	main	z	15	square	local	LVF	yes	present	1	600
60e1d5f866e681d7e33fd01c	863706	4	main	z	16	square	global	RVF	yes	absent	0	2000
60e1d5f866e681d7e33fd01c	865568	4	main	z	17	circle	global	RVF	yes	present	1	666
60e1d5f866e681d7e33fd01c	867388	4	main	z	18	circle	global	RVF	yes	present	1	637
60e1d5f866e681d7e33fd01c	869137	4	main	z	19	square	global	RVF	yes	present	1	654
60e1d5f866e681d7e33fd01c	871377	4	main	z	20	square	local	RVF	yes	present	1	1175
60e1d5f866e681d7e33fd01c	874536	4	main	z	21	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	876577	4	main	z	22	circle	local	LVF	yes	present	1	475
60e1d5f866e681d7e33fd01c	878456	4	main	z	23	square	local	LVF	yes	present	1	572
60e1d5f866e681d7e33fd01c	880097	4	main	z	24	circle	global	LVF	yes	present	1	477
60e1d5f866e681d7e33fd01c	881562	4	main	z	25	square	local	LVF	yes	present	1	423
60e1d5f866e681d7e33fd01c	883311	4	main	z	26	circle	local	RVF	yes	present	1	692
60e1d5f866e681d7e33fd01c	884811	4	main	z	27	circle	global	RVF	yes	present	1	478
60e1d5f866e681d7e33fd01c	886174	4	main	z	28	square	global	RVF	yes	present	1	422
60e1d5f866e681d7e33fd01c	889153	4	main	z	29	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	890804	4	main	z	30	square	local	RVF	yes	present	1	436
60e1d5f866e681d7e33fd01c	892503	4	main	z	31	absent	absent	absent	no	present	0	701
60e1d5f866e681d7e33fd01c	894777	4	main	z	32	absent	absent	absent	no	present	0	1341
60e1d5f866e681d7e33fd01c	896353	4	main	z	33	circle	global	LVF	yes	present	1	434
60e1d5f866e681d7e33fd01c	897651	4	main	z	34	square	global	LVF	yes	present	1	348
60e1d5f866e681d7e33fd01c	899443	4	main	z	35	circle	local	RVF	yes	present	1	854
60e1d5f866e681d7e33fd01c	902422	4	main	z	36	square	global	RVF	yes	absent	0	2000
60e1d5f866e681d7e33fd01c	905557	4	main	z	37	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	907120	4	main	z	38	circle	global	LVF	yes	present	1	485
60e1d5f866e681d7e33fd01c	908591	4	main	z	39	circle	local	LVF	yes	present	1	454
60e1d5f866e681d7e33fd01c	910221	4	main	z	40	square	local	RVF	yes	present	1	684
60e1d5f866e681d7e33fd01c	911812	4	main	z	41	circle	local	LVF	yes	present	1	561
60e1d5f866e681d7e33fd01c	913506	4	main	z	42	square	global	RVF	yes	present	1	670
60e1d5f866e681d7e33fd01c	916457	4	main	z	43	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	918036	4	main	z	44	square	local	RVF	yes	present	1	463
60e1d5f866e681d7e33fd01c	919495	4	main	z	45	square	local	LVF	yes	present	1	476
60e1d5f866e681d7e33fd01c	921008	4	main	z	46	circle	local	RVF	yes	present	1	571
60e1d5f866e681d7e33fd01c	922665	4	main	z	47	circle	global	RVF	yes	present	1	711
60e1d5f866e681d7e33fd01c	923973	4	main	z	48	circle	global	RVF	yes	present	1	417
60e1d5f866e681d7e33fd01c	925323	4	main	z	49	square	global	LVF	yes	present	1	486
60e1d5f866e681d7e33fd01c	926697	4	main	z	50	square	local	RVF	yes	present	1	495
60e1d5f866e681d7e33fd01c	928145	4	main	z	51	circle	local	RVF	yes	present	1	506
60e1d5f866e681d7e33fd01c	929445	4	main	z	52	circle	local	LVF	yes	present	1	459
60e1d5f866e681d7e33fd01c	931035	4	main	z	53	square	local	LVF	yes	present	1	732
60e1d5f866e681d7e33fd01c	932213	4	main	z	54	circle	local	LVF	yes	present	1	358
60e1d5f866e681d7e33fd01c	933624	4	main	z	55	circle	global	RVF	yes	present	1	587
60e1d5f866e681d7e33fd01c	935525	4	main	z	56	absent	absent	absent	no	present	0	1019
60e1d5f866e681d7e33fd01c	939795	4	main	z	57	circle	local	RVF	yes	present	1	621
60e1d5f866e681d7e33fd01c	941404	4	main	z	58	square	global	LVF	yes	present	1	536
60e1d5f866e681d7e33fd01c	944623	4	main	z	59	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	946503	4	main	z	60	circle	global	LVF	yes	present	1	633
60e1d5f866e681d7e33fd01c	949474	4	main	z	61	square	global	LVF	yes	absent	0	2000
60e1d5f866e681d7e33fd01c	951992	4	main	z	62	square	local	RVF	yes	present	1	656
60e1d5f866e681d7e33fd01c	953433	4	main	z	63	circle	global	LVF	yes	present	1	442
60e1d5f866e681d7e33fd01c	954823	4	main	z	64	square	local	LVF	yes	present	1	415
60e1d5f866e681d7e33fd01c	956227	4	main	z	65	square	local	LVF	yes	present	1	424
60e1d5f866e681d7e33fd01c	957608	4	main	z	66	square	local	RVF	yes	present	1	471
60e1d5f866e681d7e33fd01c	959243	4	main	z	67	circle	global	LVF	yes	present	1	474
60e1d5f866e681d7e33fd01c	962173	4	main	z	68	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	963826	4	main	z	69	circle	local	LVF	yes	present	1	405
60e1d5f866e681d7e33fd01c	965811	4	main	z	70	square	global	RVF	yes	present	1	757
60e1d5f866e681d7e33fd01c	969407	4	main	z	71	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	971325	4	main	z	72	square	global	RVF	yes	present	1	769
60e1d5f866e681d7e33fd01c	973086	4	main	z	73	square	global	LVF	yes	present	1	735
60e1d5f866e681d7e33fd01c	974605	4	main	z	74	square	global	RVF	yes	present	1	484
60e1d5f866e681d7e33fd01c	977623	4	main	z	75	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	980837	4	main	z	76	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	984172	4	main	z	77	absent	absent	absent	no	absent	1	2000
60e1d5f866e681d7e33fd01c	985769	4	main	z	78	circle	global	RVF	yes	present	1	448
60e1d5f866e681d7e33fd01c	987389	4	main	z	79	circle	local	RVF	yes	present	1	602
60e1d5f866e681d7e33fd01c	988784	4	main	z	80	circle	global	LVF	yes	present	1	479
