subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60efa510e3cdfbbf4d7c355b	175024	1	practice	z	1	absent	absent	absent	no	absent	1	2003
60efa510e3cdfbbf4d7c355b	178311	1	practice	z	2	circle	global	RVF	yes	present	1	640
60efa510e3cdfbbf4d7c355b	180976	1	practice	z	3	circle	global	RVF	yes	present	1	451
60efa510e3cdfbbf4d7c355b	183733	1	practice	z	4	circle	local	RVF	yes	present	1	552
60efa510e3cdfbbf4d7c355b	189138	1	practice	z	5	absent	absent	absent	no	absent	1	2003
60efa510e3cdfbbf4d7c355b	192182	1	practice	z	6	circle	local	RVF	yes	present	1	1036
60efa510e3cdfbbf4d7c355b	195208	1	practice	z	7	square	global	LVF	yes	present	1	911
60efa510e3cdfbbf4d7c355b	198256	1	practice	z	8	square	local	LVF	yes	present	1	867
60efa510e3cdfbbf4d7c355b	202329	1	practice	z	9	absent	absent	absent	no	present	0	1043
60efa510e3cdfbbf4d7c355b	205299	1	practice	z	10	circle	global	LVF	yes	present	1	867
60efa510e3cdfbbf4d7c355b	207785	1	practice	z	11	circle	local	RVF	yes	present	1	518
60efa510e3cdfbbf4d7c355b	210271	1	practice	z	12	circle	global	LVF	yes	present	1	315
60efa510e3cdfbbf4d7c355b	214332	1	practice	z	13	absent	absent	absent	no	absent	1	2003
60efa510e3cdfbbf4d7c355b	216987	1	practice	z	14	square	global	LVF	yes	present	1	637
60efa510e3cdfbbf4d7c355b	220767	1	practice	z	15	square	local	LVF	yes	present	1	637
60efa510e3cdfbbf4d7c355b	223444	1	practice	z	16	square	global	RVF	yes	present	1	706
60efa510e3cdfbbf4d7c355b	228620	2	main	z	1	circle	global	LVF	yes	present	1	492
60efa510e3cdfbbf4d7c355b	230465	2	main	z	2	circle	local	LVF	yes	present	1	428
60efa510e3cdfbbf4d7c355b	232074	2	main	z	3	absent	absent	absent	no	present	0	395
60efa510e3cdfbbf4d7c355b	234020	2	main	z	4	square	local	RVF	yes	present	1	901
60efa510e3cdfbbf4d7c355b	235764	2	main	z	5	circle	local	LVF	yes	present	1	777
60efa510e3cdfbbf4d7c355b	237901	2	main	z	6	circle	local	RVF	yes	present	1	1092
60efa510e3cdfbbf4d7c355b	239465	2	main	z	7	square	local	RVF	yes	present	1	597
60efa510e3cdfbbf4d7c355b	240928	2	main	z	8	square	local	LVF	yes	present	1	518
60efa510e3cdfbbf4d7c355b	243887	2	main	z	9	absent	absent	absent	no	absent	1	2003
60efa510e3cdfbbf4d7c355b	246181	2	main	z	10	square	global	RVF	yes	present	1	772
60efa510e3cdfbbf4d7c355b	247588	2	main	z	11	square	global	RVF	yes	present	1	428
60efa510e3cdfbbf4d7c355b	249095	2	main	z	12	square	global	LVF	yes	present	1	586
60efa510e3cdfbbf4d7c355b	250613	2	main	z	13	square	global	LVF	yes	present	1	596
60efa510e3cdfbbf4d7c355b	252110	2	main	z	14	square	local	RVF	yes	present	1	507
