subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60f220d48c23d4dc97c65d79	128433	1	practice	z	1	circle	global	RVF	yes	present	1	559
60f220d48c23d4dc97c65d79	136153	1	practice	z	2	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	141205	1	practice	z	3	square	local	LVF	yes	present	1	1640
60f220d48c23d4dc97c65d79	144236	1	practice	z	4	circle	global	LVF	yes	present	1	763
60f220d48c23d4dc97c65d79	148369	1	practice	z	5	circle	local	RVF	yes	present	1	1143
60f220d48c23d4dc97c65d79	151726	1	practice	z	6	circle	global	LVF	yes	present	1	743
60f220d48c23d4dc97c65d79	156148	1	practice	z	7	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	161479	1	practice	z	8	square	global	LVF	yes	present	1	1208
60f220d48c23d4dc97c65d79	167380	1	practice	z	9	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	170836	1	practice	z	10	square	global	RVF	yes	present	1	1085
60f220d48c23d4dc97c65d79	174646	1	practice	z	11	circle	local	RVF	yes	present	1	1533
60f220d48c23d4dc97c65d79	178220	1	practice	z	12	circle	global	RVF	yes	present	1	1009
60f220d48c23d4dc97c65d79	182626	1	practice	z	13	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	186283	1	practice	z	14	circle	local	RVF	yes	present	1	1078
60f220d48c23d4dc97c65d79	189464	1	practice	z	15	square	global	LVF	yes	present	1	891
60f220d48c23d4dc97c65d79	193808	1	practice	z	16	square	local	LVF	yes	absent	0	2000
60f220d48c23d4dc97c65d79	205869	2	main	z	1	square	global	RVF	yes	present	1	929
60f220d48c23d4dc97c65d79	210505	2	main	z	2	circle	local	LVF	yes	present	1	1045
60f220d48c23d4dc97c65d79	213027	2	main	z	3	circle	local	RVF	yes	present	1	597
60f220d48c23d4dc97c65d79	216738	2	main	z	4	square	local	LVF	yes	absent	0	2000
60f220d48c23d4dc97c65d79	218710	2	main	z	5	absent	absent	absent	no	present	0	707
60f220d48c23d4dc97c65d79	220964	2	main	z	6	square	global	LVF	yes	present	1	903
60f220d48c23d4dc97c65d79	223056	2	main	z	7	circle	global	LVF	yes	present	1	469
60f220d48c23d4dc97c65d79	225715	2	main	z	8	circle	local	RVF	yes	present	1	1119
60f220d48c23d4dc97c65d79	229711	2	main	z	9	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	232177	2	main	z	10	circle	local	RVF	yes	present	1	990
60f220d48c23d4dc97c65d79	235745	2	main	z	11	square	local	RVF	yes	absent	0	2000
60f220d48c23d4dc97c65d79	237781	2	main	z	12	circle	local	LVF	yes	present	1	841
60f220d48c23d4dc97c65d79	240498	2	main	z	13	circle	local	LVF	yes	present	1	1028
60f220d48c23d4dc97c65d79	242541	2	main	z	14	square	global	LVF	yes	present	1	702
60f220d48c23d4dc97c65d79	245885	2	main	z	15	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	249386	2	main	z	16	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	251291	2	main	z	17	square	local	LVF	yes	present	1	955
60f220d48c23d4dc97c65d79	253915	2	main	z	18	square	global	RVF	yes	present	1	1181
60f220d48c23d4dc97c65d79	256120	2	main	z	19	circle	global	LVF	yes	present	1	712
60f220d48c23d4dc97c65d79	258949	2	main	z	20	square	local	LVF	yes	present	1	1593
60f220d48c23d4dc97c65d79	260983	2	main	z	21	circle	global	RVF	yes	present	1	647
60f220d48c23d4dc97c65d79	262696	2	main	z	22	circle	global	RVF	yes	present	1	521
60f220d48c23d4dc97c65d79	264751	2	main	z	23	circle	local	RVF	yes	present	1	892
60f220d48c23d4dc97c65d79	266970	2	main	z	24	circle	global	RVF	yes	present	1	1023
60f220d48c23d4dc97c65d79	268685	2	main	z	25	square	global	LVF	yes	present	1	464
60f220d48c23d4dc97c65d79	270322	2	main	z	26	square	global	RVF	yes	present	1	458
60f220d48c23d4dc97c65d79	271938	2	main	z	27	square	local	RVF	yes	present	1	474
60f220d48c23d4dc97c65d79	273925	2	main	z	28	square	global	RVF	yes	present	1	792
60f220d48c23d4dc97c65d79	276999	2	main	z	29	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	279180	2	main	z	30	square	local	RVF	yes	present	1	1043
60f220d48c23d4dc97c65d79	280980	2	main	z	31	circle	global	LVF	yes	present	1	667
60f220d48c23d4dc97c65d79	284074	2	main	z	32	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	286353	2	main	z	33	square	local	RVF	yes	present	1	870
60f220d48c23d4dc97c65d79	287937	2	main	z	34	square	local	LVF	yes	present	1	537
60f220d48c23d4dc97c65d79	289450	2	main	z	35	circle	global	LVF	yes	present	1	530
60f220d48c23d4dc97c65d79	292394	2	main	z	36	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	294110	2	main	z	37	circle	local	LVF	yes	present	1	696
60f220d48c23d4dc97c65d79	295611	2	main	z	38	circle	global	RVF	yes	present	1	529
60f220d48c23d4dc97c65d79	297009	2	main	z	39	square	global	LVF	yes	present	1	459
60f220d48c23d4dc97c65d79	299965	2	main	z	40	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	301985	2	main	z	41	circle	local	RVF	yes	present	1	508
60f220d48c23d4dc97c65d79	305648	2	main	z	42	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	307420	2	main	z	43	square	global	RVF	yes	present	1	506
60f220d48c23d4dc97c65d79	309100	2	main	z	44	square	local	RVF	yes	present	1	638
60f220d48c23d4dc97c65d79	310580	2	main	z	45	circle	local	RVF	yes	present	1	532
60f220d48c23d4dc97c65d79	313558	2	main	z	46	absent	absent	absent	no	absent	1	2000
60f220d48c23d4dc97c65d79	315163	2	main	z	47	circle	local	RVF	yes	present	1	536
60f220d48c23d4dc97c65d79	316538	2	main	z	48	circle	local	LVF	yes	present	1	439
60f220d48c23d4dc97c65d79	317915	2	main	z	49	circle	local	LVF	yes	present	1	437
60f220d48c23d4dc97c65d79	319605	2	main	z	50	square	global	LVF	yes	present	1	696
60f220d48c23d4dc97c65d79	321041	2	main	z	51	circle	global	LVF	yes	present	1	431
60f220d48c23d4dc97c65d79	322455	2	main	z	52	circle	local	RVF	yes	present	1	462
60f220d48c23d4dc97c65d79	323845	2	main	z	53	circle	global	LVF	yes	present	1	392
60f220d48c23d4dc97c65d79	325189	2	main	z	54	square	local	RVF	yes	present	1	302
