subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60feceac7002ddcf44f40a12	247486	1	practice	slash	1	circle	local	RVF	yes	absent	0	2000
60feceac7002ddcf44f40a12	250746	1	practice	slash	2	square	local	LVF	yes	present	1	9
60feceac7002ddcf44f40a12	254591	1	practice	slash	3	circle	global	LVF	yes	present	1	855
60feceac7002ddcf44f40a12	257660	1	practice	slash	4	square	global	LVF	yes	present	1	341
60feceac7002ddcf44f40a12	259905	1	practice	slash	5	square	local	LVF	yes	present	1	289
60feceac7002ddcf44f40a12	264299	1	practice	slash	6	absent	absent	absent	no	absent	1	2000
60feceac7002ddcf44f40a12	266637	1	practice	slash	7	circle	local	RVF	yes	present	1	206
60feceac7002ddcf44f40a12	269803	1	practice	slash	8	square	global	LVF	yes	present	1	834
60feceac7002ddcf44f40a12	272364	1	practice	slash	9	circle	local	RVF	yes	present	1	499
60feceac7002ddcf44f40a12	274960	1	practice	slash	10	square	global	RVF	yes	present	1	494
60feceac7002ddcf44f40a12	277382	1	practice	slash	11	circle	global	LVF	yes	present	1	397
60feceac7002ddcf44f40a12	281747	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
60feceac7002ddcf44f40a12	294648	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
60feceac7002ddcf44f40a12	297798	1	practice	slash	14	circle	global	RVF	yes	present	1	471
60feceac7002ddcf44f40a12	300146	1	practice	slash	15	circle	global	RVF	yes	present	1	386
60feceac7002ddcf44f40a12	304077	1	practice	slash	16	absent	absent	absent	no	absent	1	2000
60feceac7002ddcf44f40a12	335500	2	main	slash	1	absent	absent	absent	no	absent	1	2000
60feceac7002ddcf44f40a12	337769	2	main	slash	2	circle	local	RVF	yes	present	1	581
60feceac7002ddcf44f40a12	339892	2	main	slash	3	circle	global	RVF	yes	present	1	405
60feceac7002ddcf44f40a12	341692	2	main	slash	4	circle	local	LVF	yes	present	1	577
60feceac7002ddcf44f40a12	343815	2	main	slash	5	square	local	RVF	yes	present	1	1067
60feceac7002ddcf44f40a12	345619	2	main	slash	6	square	local	RVF	yes	present	1	518
60feceac7002ddcf44f40a12	347395	2	main	slash	7	circle	global	LVF	yes	present	1	493
60feceac7002ddcf44f40a12	349624	2	main	slash	8	circle	local	LVF	yes	present	1	1025
60feceac7002ddcf44f40a12	351677	2	main	slash	9	circle	global	RVF	yes	present	1	680
60feceac7002ddcf44f40a12	353403	2	main	slash	10	square	local	RVF	yes	present	1	347
60feceac7002ddcf44f40a12	355204	2	main	slash	11	square	local	RVF	yes	present	1	675
60feceac7002ddcf44f40a12	356944	2	main	slash	12	circle	local	LVF	yes	present	1	507
60feceac7002ddcf44f40a12	358491	2	main	slash	13	absent	absent	absent	no	present	0	411
60feceac7002ddcf44f40a12	360198	2	main	slash	14	square	global	RVF	yes	present	1	637
60feceac7002ddcf44f40a12	361711	2	main	slash	15	square	global	RVF	yes	present	1	511
60feceac7002ddcf44f40a12	363255	2	main	slash	16	square	global	LVF	yes	present	1	459
60feceac7002ddcf44f40a12	364914	2	main	slash	17	circle	local	LVF	yes	present	1	587
60feceac7002ddcf44f40a12	366925	2	main	slash	18	square	global	RVF	yes	present	1	518
60feceac7002ddcf44f40a12	370110	2	main	slash	19	absent	absent	absent	no	absent	1	2000
60feceac7002ddcf44f40a12	371844	2	main	slash	20	square	global	RVF	yes	present	1	401
60feceac7002ddcf44f40a12	373474	2	main	slash	21	circle	global	LVF	yes	present	1	505
60feceac7002ddcf44f40a12	375226	2	main	slash	22	square	local	LVF	yes	present	1	633
60feceac7002ddcf44f40a12	377290	2	main	slash	23	square	local	LVF	yes	present	1	929
60feceac7002ddcf44f40a12	378939	2	main	slash	24	circle	global	RVF	yes	present	1	464
60feceac7002ddcf44f40a12	380617	2	main	slash	25	circle	local	RVF	yes	present	1	471
60feceac7002ddcf44f40a12	382484	2	main	slash	26	square	local	LVF	yes	present	1	703
60feceac7002ddcf44f40a12	384081	2	main	slash	27	absent	absent	absent	no	present	0	500
60feceac7002ddcf44f40a12	385705	2	main	slash	28	circle	local	RVF	yes	present	1	506
60feceac7002ddcf44f40a12	387252	2	main	slash	29	circle	local	RVF	yes	present	1	493
60feceac7002ddcf44f40a12	388807	2	main	slash	30	square	local	LVF	yes	present	1	582
60feceac7002ddcf44f40a12	390405	2	main	slash	31	square	global	LVF	yes	present	1	500
60feceac7002ddcf44f40a12	391931	2	main	slash	32	absent	absent	absent	no	present	0	424
60feceac7002ddcf44f40a12	394194	2	main	slash	33	square	global	LVF	yes	present	1	589
60feceac7002ddcf44f40a12	395566	2	main	slash	34	circle	global	LVF	yes	present	1	444
60feceac7002ddcf44f40a12	396966	2	main	slash	35	circle	global	LVF	yes	present	1	428
60feceac7002ddcf44f40a12	399932	2	main	slash	36	absent	absent	absent	no	absent	1	2000
60feceac7002ddcf44f40a12	402355	2	main	slash	37	absent	absent	absent	no	present	0	518
60feceac7002ddcf44f40a12	403798	2	main	slash	38	square	global	LVF	yes	present	1	479
60feceac7002ddcf44f40a12	406769	2	main	slash	39	absent	absent	absent	no	absent	1	2000
60feceac7002ddcf44f40a12	416174	2	main	slash	40	circle	global	RVF	yes	present	1	557
60feceac7002ddcf44f40a12	417571	2	main	slash	41	square	global	LVF	yes	present	1	437
60feceac7002ddcf44f40a12	419049	2	main	slash	42	square	local	LVF	yes	present	1	507
60feceac7002ddcf44f40a12	422000	2	main	slash	43	absent	absent	absent	no	absent	1	2000
60feceac7002ddcf44f40a12	423712	2	main	slash	44	square	local	RVF	yes	present	1	497
