subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
60ff8160e8f2227f8b200510	152085	1	practice	z	1	circle	global	RVF	yes	present	1	1218
60ff8160e8f2227f8b200510	156174	1	practice	z	2	circle	local	RVF	yes	present	1	1311
60ff8160e8f2227f8b200510	160659	1	practice	z	3	absent	absent	absent	no	absent	1	2000
60ff8160e8f2227f8b200510	164015	1	practice	z	4	square	global	RVF	yes	present	1	1028
60ff8160e8f2227f8b200510	168534	1	practice	z	5	square	global	LVF	yes	present	1	884
60ff8160e8f2227f8b200510	172627	1	practice	z	6	square	local	LVF	yes	present	1	1379
60ff8160e8f2227f8b200510	176144	1	practice	z	7	circle	global	LVF	yes	present	1	636
60ff8160e8f2227f8b200510	179365	1	practice	z	8	circle	local	RVF	yes	present	1	1007
60ff8160e8f2227f8b200510	183127	1	practice	z	9	square	local	LVF	yes	present	1	1490
60ff8160e8f2227f8b200510	186244	1	practice	z	10	circle	global	RVF	yes	present	1	679
60ff8160e8f2227f8b200510	189270	1	practice	z	11	square	global	LVF	yes	present	1	758
60ff8160e8f2227f8b200510	192855	1	practice	z	12	circle	local	RVF	yes	present	1	1479
60ff8160e8f2227f8b200510	196444	1	practice	z	13	absent	absent	absent	no	present	0	1521
60ff8160e8f2227f8b200510	199185	1	practice	z	14	circle	global	LVF	yes	present	1	616
60ff8160e8f2227f8b200510	203183	1	practice	z	15	absent	absent	absent	no	absent	1	2000
60ff8160e8f2227f8b200510	207245	1	practice	z	16	absent	absent	absent	no	absent	1	2000
60ff8160e8f2227f8b200510	214069	2	main	z	1	square	global	RVF	yes	present	1	1350
60ff8160e8f2227f8b200510	216852	2	main	z	2	circle	local	RVF	yes	present	1	1170
60ff8160e8f2227f8b200510	221242	2	main	z	3	circle	global	LVF	yes	present	1	647
60ff8160e8f2227f8b200510	224492	2	main	z	4	absent	absent	absent	no	absent	1	2000
60ff8160e8f2227f8b200510	226218	2	main	z	5	circle	local	LVF	yes	present	1	562
60ff8160e8f2227f8b200510	228301	2	main	z	6	square	global	LVF	yes	present	1	630
