subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6108af4b2826f18b966a2780	119812	1	practice	slash	1	circle	global	LVF	yes	present	1	581
6108af4b2826f18b966a2780	124389	1	practice	slash	2	square	local	LVF	yes	absent	0	2000
6108af4b2826f18b966a2780	128833	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
6108af4b2826f18b966a2780	132063	1	practice	slash	4	absent	absent	absent	no	present	0	971
6108af4b2826f18b966a2780	134996	1	practice	slash	5	circle	global	LVF	yes	present	1	749
6108af4b2826f18b966a2780	138755	1	practice	slash	6	circle	global	RVF	yes	present	1	1351
6108af4b2826f18b966a2780	141768	1	practice	slash	7	square	global	LVF	yes	present	1	684
6108af4b2826f18b966a2780	144547	1	practice	slash	8	square	global	RVF	yes	present	1	601
6108af4b2826f18b966a2780	148250	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
6108af4b2826f18b966a2780	151453	1	practice	slash	10	circle	local	RVF	yes	present	1	971
6108af4b2826f18b966a2780	154494	1	practice	slash	11	circle	local	RVF	yes	present	1	745
6108af4b2826f18b966a2780	158783	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
6108af4b2826f18b966a2780	161704	1	practice	slash	13	circle	local	RVF	yes	present	1	795
6108af4b2826f18b966a2780	164675	1	practice	slash	14	square	global	LVF	yes	present	1	888
6108af4b2826f18b966a2780	167672	1	practice	slash	15	square	local	LVF	yes	present	1	1005
6108af4b2826f18b966a2780	170767	1	practice	slash	16	circle	global	RVF	yes	present	1	976
6108af4b2826f18b966a2780	176875	2	main	slash	1	square	global	LVF	yes	present	1	662
6108af4b2826f18b966a2780	182143	2	main	slash	2	square	local	LVF	yes	absent	0	2000
6108af4b2826f18b966a2780	184502	2	main	slash	3	circle	local	LVF	yes	present	1	570
6108af4b2826f18b966a2780	186661	2	main	slash	4	square	global	LVF	yes	present	1	594
6108af4b2826f18b966a2780	188678	2	main	slash	5	circle	local	RVF	yes	present	1	688
6108af4b2826f18b966a2780	190728	2	main	slash	6	circle	global	LVF	yes	present	1	694
6108af4b2826f18b966a2780	192820	2	main	slash	7	square	local	LVF	yes	present	1	740
