subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
61108719ddb956bd0e94733d	227746	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
61108719ddb956bd0e94733d	234086	1	practice	slash	2	circle	global	LVF	yes	present	1	923
61108719ddb956bd0e94733d	239014	1	practice	slash	3	square	local	LVF	yes	absent	0	2000
61108719ddb956bd0e94733d	242588	1	practice	slash	4	square	global	LVF	yes	present	1	842
61108719ddb956bd0e94733d	246236	1	practice	slash	5	circle	local	RVF	yes	present	1	673
61108719ddb956bd0e94733d	250292	1	practice	slash	6	absent	absent	absent	no	present	0	1296
61108719ddb956bd0e94733d	253355	1	practice	slash	7	square	global	RVF	yes	present	1	677
61108719ddb956bd0e94733d	258729	1	practice	slash	8	square	local	LVF	yes	absent	0	2000
61108719ddb956bd0e94733d	262204	1	practice	slash	9	square	global	LVF	yes	present	1	858
61108719ddb956bd0e94733d	266813	1	practice	slash	10	absent	absent	absent	no	absent	1	2000
61108719ddb956bd0e94733d	271162	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
61108719ddb956bd0e94733d	274235	1	practice	slash	12	circle	local	RVF	yes	present	1	674
61108719ddb956bd0e94733d	277332	1	practice	slash	13	circle	global	RVF	yes	present	1	620
61108719ddb956bd0e94733d	279972	1	practice	slash	14	circle	global	LVF	yes	present	1	543
61108719ddb956bd0e94733d	282755	1	practice	slash	15	circle	local	RVF	yes	present	1	544
61108719ddb956bd0e94733d	285364	1	practice	slash	16	circle	global	RVF	yes	present	1	519
61108719ddb956bd0e94733d	293360	2	main	slash	1	absent	absent	absent	no	absent	1	2000
61108719ddb956bd0e94733d	295922	2	main	slash	2	absent	absent	absent	no	present	0	1012
61108719ddb956bd0e94733d	298579	2	main	slash	3	circle	local	LVF	yes	present	1	518
61108719ddb956bd0e94733d	300578	2	main	slash	4	circle	local	LVF	yes	present	1	585
61108719ddb956bd0e94733d	302562	2	main	slash	5	square	global	RVF	yes	present	1	719
61108719ddb956bd0e94733d	304811	2	main	slash	6	square	global	LVF	yes	present	1	601
61108719ddb956bd0e94733d	306778	2	main	slash	7	square	local	RVF	yes	present	1	635
61108719ddb956bd0e94733d	310143	2	main	slash	8	absent	absent	absent	no	absent	1	2000
61108719ddb956bd0e94733d	311875	2	main	slash	9	square	local	RVF	yes	present	1	714
61108719ddb956bd0e94733d	314554	2	main	slash	10	absent	absent	absent	no	present	0	1411
61108719ddb956bd0e94733d	316754	2	main	slash	11	circle	local	RVF	yes	present	1	844
61108719ddb956bd0e94733d	318650	2	main	slash	12	circle	local	LVF	yes	present	1	474
61108719ddb956bd0e94733d	320706	2	main	slash	13	square	global	LVF	yes	present	1	630
61108719ddb956bd0e94733d	322646	2	main	slash	14	circle	global	RVF	yes	present	1	541
61108719ddb956bd0e94733d	324620	2	main	slash	15	absent	absent	absent	no	present	0	725
61108719ddb956bd0e94733d	326687	2	main	slash	16	circle	global	LVF	yes	present	1	423
61108719ddb956bd0e94733d	328346	2	main	slash	17	square	local	RVF	yes	present	1	403
61108719ddb956bd0e94733d	330026	2	main	slash	18	circle	local	LVF	yes	present	1	467
61108719ddb956bd0e94733d	332067	2	main	slash	19	circle	local	RVF	yes	present	1	740
61108719ddb956bd0e94733d	333850	2	main	slash	20	circle	global	RVF	yes	present	1	491
61108719ddb956bd0e94733d	335490	2	main	slash	21	circle	global	RVF	yes	present	1	531
61108719ddb956bd0e94733d	337802	2	main	slash	22	circle	local	RVF	yes	present	1	1209
61108719ddb956bd0e94733d	341043	2	main	slash	23	square	local	LVF	yes	absent	0	2000
61108719ddb956bd0e94733d	343306	2	main	slash	24	square	global	RVF	yes	present	1	897
61108719ddb956bd0e94733d	345770	2	main	slash	25	square	global	RVF	yes	present	1	628
61108719ddb956bd0e94733d	347650	2	main	slash	26	circle	global	LVF	yes	present	1	591
61108719ddb956bd0e94733d	350809	2	main	slash	27	absent	absent	absent	no	absent	1	2000
61108719ddb956bd0e94733d	352842	2	main	slash	28	square	local	LVF	yes	present	1	800
61108719ddb956bd0e94733d	354978	2	main	slash	29	circle	global	LVF	yes	present	1	919
61108719ddb956bd0e94733d	358176	2	main	slash	30	absent	absent	absent	no	absent	1	2000
61108719ddb956bd0e94733d	359907	2	main	slash	31	square	global	LVF	yes	present	1	514
61108719ddb956bd0e94733d	362090	2	main	slash	32	square	local	LVF	yes	present	1	881
61108719ddb956bd0e94733d	364298	2	main	slash	33	square	local	RVF	yes	present	1	1023
61108719ddb956bd0e94733d	366034	2	main	slash	34	circle	global	RVF	yes	present	1	558
61108719ddb956bd0e94733d	367762	2	main	slash	35	square	global	LVF	yes	present	1	586
61108719ddb956bd0e94733d	370842	2	main	slash	36	absent	absent	absent	no	absent	1	2000
61108719ddb956bd0e94733d	372818	2	main	slash	37	circle	local	RVF	yes	present	1	559
61108719ddb956bd0e94733d	374890	2	main	slash	38	circle	global	LVF	yes	present	1	931
61108719ddb956bd0e94733d	376970	2	main	slash	39	square	local	LVF	yes	present	1	995
61108719ddb956bd0e94733d	380042	2	main	slash	40	square	global	RVF	yes	absent	0	2000
61108719ddb956bd0e94733d	383126	2	main	slash	41	absent	absent	absent	no	absent	1	2000
61108719ddb956bd0e94733d	384794	2	main	slash	42	circle	local	LVF	yes	present	1	602
61108719ddb956bd0e94733d	386474	2	main	slash	43	circle	local	RVF	yes	present	1	582
61108719ddb956bd0e94733d	388045	2	main	slash	44	circle	global	RVF	yes	present	1	517
61108719ddb956bd0e94733d	389666	2	main	slash	45	square	global	RVF	yes	present	1	591
61108719ddb956bd0e94733d	391475	2	main	slash	46	square	global	LVF	yes	present	1	665
61108719ddb956bd0e94733d	393083	2	main	slash	47	circle	global	LVF	yes	present	1	540
61108719ddb956bd0e94733d	394682	2	main	slash	48	square	global	RVF	yes	present	1	624
