subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
61116b7ba2ada479c60a86e7	165636	1	practice	slash	1	square	local	LVF	yes	absent	0	2000
61116b7ba2ada479c60a86e7	169249	1	practice	slash	2	square	global	RVF	yes	present	1	611
61116b7ba2ada479c60a86e7	172671	1	practice	slash	3	square	global	LVF	yes	present	1	385
61116b7ba2ada479c60a86e7	176662	1	practice	slash	4	absent	absent	absent	no	present	0	1158
61116b7ba2ada479c60a86e7	180853	1	practice	slash	5	absent	absent	absent	no	absent	1	2000
61116b7ba2ada479c60a86e7	184032	1	practice	slash	6	circle	global	LVF	yes	present	1	959
61116b7ba2ada479c60a86e7	187507	1	practice	slash	7	absent	absent	absent	no	present	0	1234
61116b7ba2ada479c60a86e7	191286	1	practice	slash	8	circle	local	RVF	yes	present	1	1628
61116b7ba2ada479c60a86e7	194694	1	practice	slash	9	circle	local	RVF	yes	present	1	1271
61116b7ba2ada479c60a86e7	197711	1	practice	slash	10	circle	global	RVF	yes	present	1	1003
61116b7ba2ada479c60a86e7	200774	1	practice	slash	11	circle	global	RVF	yes	present	1	983
61116b7ba2ada479c60a86e7	204872	1	practice	slash	12	square	local	LVF	yes	absent	0	2000
61116b7ba2ada479c60a86e7	207973	1	practice	slash	13	square	global	LVF	yes	present	1	881
61116b7ba2ada479c60a86e7	212056	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
61116b7ba2ada479c60a86e7	215078	1	practice	slash	15	circle	local	RVF	yes	present	1	953
61116b7ba2ada479c60a86e7	218006	1	practice	slash	16	circle	global	LVF	yes	present	1	981
61116b7ba2ada479c60a86e7	229456	2	main	slash	1	square	local	RVF	yes	absent	0	2000
61116b7ba2ada479c60a86e7	231349	2	main	slash	2	circle	global	RVF	yes	present	1	725
61116b7ba2ada479c60a86e7	233926	2	main	slash	3	circle	local	RVF	yes	present	1	701
61116b7ba2ada479c60a86e7	235821	2	main	slash	4	square	global	RVF	yes	present	1	729
61116b7ba2ada479c60a86e7	237769	2	main	slash	5	circle	global	LVF	yes	present	1	911
