subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
611377497bdc630aedb0c1a7	146092	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
611377497bdc630aedb0c1a7	155575	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
611377497bdc630aedb0c1a7	159874	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
611377497bdc630aedb0c1a7	163151	1	practice	slash	4	square	global	RVF	yes	present	1	1007
611377497bdc630aedb0c1a7	166387	1	practice	slash	5	square	local	LVF	yes	present	1	994
611377497bdc630aedb0c1a7	169796	1	practice	slash	6	circle	local	RVF	yes	present	1	1187
611377497bdc630aedb0c1a7	172893	1	practice	slash	7	circle	global	RVF	yes	present	1	983
611377497bdc630aedb0c1a7	175625	1	practice	slash	8	circle	global	RVF	yes	present	1	816
611377497bdc630aedb0c1a7	179028	1	practice	slash	9	circle	global	LVF	yes	present	1	752
611377497bdc630aedb0c1a7	181729	1	practice	slash	10	circle	global	LVF	yes	present	1	653
611377497bdc630aedb0c1a7	184505	1	practice	slash	11	circle	local	RVF	yes	present	1	862
611377497bdc630aedb0c1a7	187513	1	practice	slash	12	square	global	LVF	yes	present	1	870
611377497bdc630aedb0c1a7	191475	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
611377497bdc630aedb0c1a7	194499	1	practice	slash	14	circle	local	RVF	yes	present	1	856
611377497bdc630aedb0c1a7	197251	1	practice	slash	15	square	global	LVF	yes	present	1	756
611377497bdc630aedb0c1a7	200089	1	practice	slash	16	square	local	LVF	yes	present	1	1014
611377497bdc630aedb0c1a7	208749	2	main	slash	1	circle	local	LVF	yes	present	1	723
611377497bdc630aedb0c1a7	212207	2	main	slash	2	absent	absent	absent	no	absent	1	2000
611377497bdc630aedb0c1a7	214556	2	main	slash	3	circle	local	LVF	yes	present	1	729
611377497bdc630aedb0c1a7	216735	2	main	slash	4	square	local	LVF	yes	present	1	726
611377497bdc630aedb0c1a7	218859	2	main	slash	5	square	local	RVF	yes	present	1	767
611377497bdc630aedb0c1a7	222124	2	main	slash	6	absent	absent	absent	no	absent	1	2000
611377497bdc630aedb0c1a7	223887	2	main	slash	7	square	global	RVF	yes	present	1	678
611377497bdc630aedb0c1a7	225726	2	main	slash	8	circle	global	RVF	yes	present	1	633
611377497bdc630aedb0c1a7	228806	2	main	slash	9	absent	absent	absent	no	absent	1	2000
611377497bdc630aedb0c1a7	230902	2	main	slash	10	circle	global	RVF	yes	present	1	926
611377497bdc630aedb0c1a7	232805	2	main	slash	11	square	global	RVF	yes	present	1	729
611377497bdc630aedb0c1a7	234870	2	main	slash	12	absent	absent	absent	no	present	0	921
611377497bdc630aedb0c1a7	236776	2	main	slash	13	circle	local	LVF	yes	present	1	667
611377497bdc630aedb0c1a7	238611	2	main	slash	14	circle	global	LVF	yes	present	1	769
611377497bdc630aedb0c1a7	241017	2	main	slash	15	square	local	RVF	yes	present	1	1308
611377497bdc630aedb0c1a7	244157	2	main	slash	16	absent	absent	absent	no	absent	1	2000
611377497bdc630aedb0c1a7	245403	2	main	slash	17	circle	local	RVF	yes	present	1	528
611377497bdc630aedb0c1a7	248541	2	main	slash	18	absent	absent	absent	no	absent	1	2000
611377497bdc630aedb0c1a7	250820	2	main	slash	19	absent	absent	absent	no	present	0	1129
611377497bdc630aedb0c1a7	252650	2	main	slash	20	circle	local	RVF	yes	present	1	809
611377497bdc630aedb0c1a7	254409	2	main	slash	21	square	global	RVF	yes	present	1	667
611377497bdc630aedb0c1a7	256166	2	main	slash	22	circle	local	LVF	yes	present	1	758
611377497bdc630aedb0c1a7	257802	2	main	slash	23	square	local	LVF	yes	present	1	626
611377497bdc630aedb0c1a7	260857	2	main	slash	24	circle	global	RVF	yes	absent	0	2000
611377497bdc630aedb0c1a7	262557	2	main	slash	25	square	local	RVF	yes	present	1	631
611377497bdc630aedb0c1a7	264452	2	main	slash	26	square	global	LVF	yes	present	1	860
611377497bdc630aedb0c1a7	266576	2	main	slash	27	square	local	LVF	yes	present	1	617
611377497bdc630aedb0c1a7	268266	2	main	slash	28	circle	global	LVF	yes	present	1	657
611377497bdc630aedb0c1a7	269864	2	main	slash	29	square	global	RVF	yes	present	1	621
611377497bdc630aedb0c1a7	271499	2	main	slash	30	circle	global	LVF	yes	present	1	572
611377497bdc630aedb0c1a7	272975	2	main	slash	31	circle	global	LVF	yes	present	1	516
611377497bdc630aedb0c1a7	275018	2	main	slash	32	square	local	LVF	yes	present	1	1043
