subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6121be9a77c602b1d877d7f0	154631	1	practice	slash	1	circle	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	159226	1	practice	slash	2	absent	absent	absent	no	present	0	364
6121be9a77c602b1d877d7f0	162281	1	practice	slash	3	circle	global	RVF	yes	present	1	756
6121be9a77c602b1d877d7f0	165755	1	practice	slash	4	circle	local	RVF	yes	present	1	364
6121be9a77c602b1d877d7f0	168593	1	practice	slash	5	absent	absent	absent	no	present	0	398
6121be9a77c602b1d877d7f0	171405	1	practice	slash	6	square	local	LVF	yes	present	1	677
6121be9a77c602b1d877d7f0	174177	1	practice	slash	7	square	global	RVF	yes	present	1	540
6121be9a77c602b1d877d7f0	176955	1	practice	slash	8	square	local	LVF	yes	present	1	515
6121be9a77c602b1d877d7f0	180188	1	practice	slash	9	circle	local	RVF	yes	present	1	736
6121be9a77c602b1d877d7f0	182943	1	practice	slash	10	square	global	LVF	yes	present	1	492
6121be9a77c602b1d877d7f0	185739	1	practice	slash	11	absent	absent	absent	no	present	0	572
6121be9a77c602b1d877d7f0	188254	1	practice	slash	12	absent	absent	absent	no	present	0	451
6121be9a77c602b1d877d7f0	190730	1	practice	slash	13	circle	global	LVF	yes	present	1	390
6121be9a77c602b1d877d7f0	193882	1	practice	slash	14	circle	global	LVF	yes	present	1	536
6121be9a77c602b1d877d7f0	198079	1	practice	slash	15	square	global	LVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	201133	1	practice	slash	16	circle	local	RVF	yes	present	1	854
6121be9a77c602b1d877d7f0	240956	2	main	slash	1	square	local	RVF	yes	present	1	1959
6121be9a77c602b1d877d7f0	244870	2	main	slash	2	circle	global	RVF	yes	present	1	792
6121be9a77c602b1d877d7f0	248695	2	main	slash	3	circle	local	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	250861	2	main	slash	4	circle	global	LVF	yes	present	1	751
6121be9a77c602b1d877d7f0	253617	2	main	slash	5	absent	absent	absent	no	present	0	1024
6121be9a77c602b1d877d7f0	256657	2	main	slash	6	square	global	LVF	yes	present	1	980
6121be9a77c602b1d877d7f0	259641	2	main	slash	7	absent	absent	absent	no	present	0	1881
6121be9a77c602b1d877d7f0	262135	2	main	slash	8	square	global	LVF	yes	present	1	1279
6121be9a77c602b1d877d7f0	265841	2	main	slash	9	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	268541	2	main	slash	10	square	local	RVF	yes	present	1	1221
6121be9a77c602b1d877d7f0	270737	2	main	slash	11	circle	global	RVF	yes	present	1	1017
6121be9a77c602b1d877d7f0	275019	2	main	slash	12	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	278490	2	main	slash	13	circle	local	LVF	yes	present	1	1391
6121be9a77c602b1d877d7f0	281100	2	main	slash	14	square	global	RVF	yes	present	1	914
6121be9a77c602b1d877d7f0	283112	2	main	slash	15	absent	absent	absent	no	present	0	880
6121be9a77c602b1d877d7f0	286334	2	main	slash	16	square	global	LVF	yes	present	1	1801
6121be9a77c602b1d877d7f0	289715	2	main	slash	17	circle	local	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	292368	2	main	slash	18	square	global	RVF	yes	present	1	738
6121be9a77c602b1d877d7f0	295056	2	main	slash	19	circle	local	LVF	yes	present	1	1461
6121be9a77c602b1d877d7f0	296913	2	main	slash	20	circle	global	LVF	yes	present	1	669
6121be9a77c602b1d877d7f0	300560	2	main	slash	21	square	local	LVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	302625	2	main	slash	22	absent	absent	absent	no	present	0	1049
6121be9a77c602b1d877d7f0	305859	2	main	slash	23	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	307967	2	main	slash	24	square	local	LVF	yes	present	1	875
6121be9a77c602b1d877d7f0	311458	2	main	slash	25	circle	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	313695	2	main	slash	26	circle	global	LVF	yes	present	1	640
6121be9a77c602b1d877d7f0	317240	2	main	slash	27	square	local	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	319126	2	main	slash	28	circle	global	RVF	yes	present	1	606
6121be9a77c602b1d877d7f0	321261	2	main	slash	29	circle	local	LVF	yes	present	1	773
6121be9a77c602b1d877d7f0	324553	2	main	slash	30	square	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	326568	2	main	slash	31	square	local	RVF	yes	present	1	519
6121be9a77c602b1d877d7f0	334062	2	main	slash	32	square	local	LVF	yes	present	1	777
6121be9a77c602b1d877d7f0	337666	2	main	slash	33	square	global	LVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	339445	2	main	slash	34	circle	local	LVF	yes	present	1	598
6121be9a77c602b1d877d7f0	342700	2	main	slash	35	square	local	LVF	yes	present	1	787
6121be9a77c602b1d877d7f0	345930	2	main	slash	36	square	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	347854	2	main	slash	37	absent	absent	absent	no	present	0	623
6121be9a77c602b1d877d7f0	351164	2	main	slash	38	circle	local	RVF	yes	present	1	887
6121be9a77c602b1d877d7f0	354686	2	main	slash	39	circle	local	RVF	yes	present	1	492
6121be9a77c602b1d877d7f0	358042	2	main	slash	40	circle	global	LVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	361389	2	main	slash	41	square	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	364558	2	main	slash	42	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	366243	2	main	slash	43	square	global	RVF	yes	present	1	586
6121be9a77c602b1d877d7f0	369716	2	main	slash	44	absent	absent	absent	no	present	0	1961
6121be9a77c602b1d877d7f0	372177	2	main	slash	45	square	local	RVF	yes	present	1	1175
6121be9a77c602b1d877d7f0	374022	2	main	slash	46	circle	local	LVF	yes	present	1	571
6121be9a77c602b1d877d7f0	377267	2	main	slash	47	circle	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	381367	2	main	slash	48	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	383310	2	main	slash	49	circle	local	RVF	yes	present	1	744
6121be9a77c602b1d877d7f0	385862	2	main	slash	50	circle	global	LVF	yes	present	1	732
6121be9a77c602b1d877d7f0	389132	2	main	slash	51	square	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	391072	2	main	slash	52	square	global	RVF	yes	present	1	878
6121be9a77c602b1d877d7f0	394281	2	main	slash	53	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	395996	2	main	slash	54	circle	local	LVF	yes	present	1	531
6121be9a77c602b1d877d7f0	398900	2	main	slash	55	square	local	LVF	yes	present	1	856
6121be9a77c602b1d877d7f0	404847	2	main	slash	56	circle	global	LVF	yes	present	1	537
6121be9a77c602b1d877d7f0	408129	2	main	slash	57	circle	global	RVF	yes	present	1	969
6121be9a77c602b1d877d7f0	411307	2	main	slash	58	circle	global	LVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	413117	2	main	slash	59	square	local	LVF	yes	present	1	659
6121be9a77c602b1d877d7f0	416111	2	main	slash	60	square	local	RVF	yes	present	1	607
6121be9a77c602b1d877d7f0	418083	2	main	slash	61	circle	local	RVF	yes	present	1	559
6121be9a77c602b1d877d7f0	421252	2	main	slash	62	square	global	LVF	yes	present	1	1950
6121be9a77c602b1d877d7f0	424501	2	main	slash	63	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	426540	2	main	slash	64	square	global	LVF	yes	present	1	588
6121be9a77c602b1d877d7f0	428454	2	main	slash	65	square	global	LVF	yes	present	1	586
6121be9a77c602b1d877d7f0	430675	2	main	slash	66	circle	local	LVF	yes	present	1	693
6121be9a77c602b1d877d7f0	432347	2	main	slash	67	circle	local	RVF	yes	present	1	499
6121be9a77c602b1d877d7f0	434103	2	main	slash	68	circle	local	LVF	yes	present	1	469
6121be9a77c602b1d877d7f0	435557	2	main	slash	69	circle	local	RVF	yes	present	1	327
6121be9a77c602b1d877d7f0	437646	2	main	slash	70	square	local	LVF	yes	present	1	832
6121be9a77c602b1d877d7f0	439033	2	main	slash	71	square	local	RVF	yes	present	1	420
6121be9a77c602b1d877d7f0	440377	2	main	slash	72	square	local	LVF	yes	present	1	332
6121be9a77c602b1d877d7f0	441868	2	main	slash	73	square	global	LVF	yes	present	1	374
6121be9a77c602b1d877d7f0	443368	2	main	slash	74	circle	global	LVF	yes	present	1	373
6121be9a77c602b1d877d7f0	447997	2	main	slash	75	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	449816	2	main	slash	76	circle	global	RVF	yes	present	1	421
6121be9a77c602b1d877d7f0	452029	2	main	slash	77	square	local	RVF	yes	present	1	1088
6121be9a77c602b1d877d7f0	453812	2	main	slash	78	circle	global	RVF	yes	present	1	770
6121be9a77c602b1d877d7f0	456261	2	main	slash	79	absent	absent	absent	no	present	0	1322
6121be9a77c602b1d877d7f0	459327	2	main	slash	80	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	477045	3	practice	z	1	square	global	LVF	yes	present	1	421
6121be9a77c602b1d877d7f0	481219	3	practice	z	2	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	484045	3	practice	z	3	circle	local	RVF	yes	present	1	375
6121be9a77c602b1d877d7f0	486896	3	practice	z	4	circle	local	RVF	yes	present	1	483
6121be9a77c602b1d877d7f0	489765	3	practice	z	5	square	local	LVF	yes	present	1	699
6121be9a77c602b1d877d7f0	492380	3	practice	z	6	circle	global	LVF	yes	present	1	399
6121be9a77c602b1d877d7f0	495051	3	practice	z	7	circle	global	RVF	yes	present	1	604
6121be9a77c602b1d877d7f0	497571	3	practice	z	8	circle	local	RVF	yes	present	1	442
6121be9a77c602b1d877d7f0	500063	3	practice	z	9	square	global	RVF	yes	present	1	369
6121be9a77c602b1d877d7f0	502592	3	practice	z	10	square	local	LVF	yes	present	1	385
6121be9a77c602b1d877d7f0	505261	3	practice	z	11	absent	absent	absent	no	present	0	615
6121be9a77c602b1d877d7f0	507593	3	practice	z	12	square	global	LVF	yes	present	1	416
6121be9a77c602b1d877d7f0	511710	3	practice	z	13	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	514357	3	practice	z	14	circle	global	RVF	yes	present	1	533
6121be9a77c602b1d877d7f0	517360	3	practice	z	15	circle	global	LVF	yes	present	1	736
6121be9a77c602b1d877d7f0	521455	3	practice	z	16	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	531752	4	main	z	1	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	533308	4	main	z	2	circle	global	RVF	yes	present	1	444
6121be9a77c602b1d877d7f0	535744	4	main	z	3	circle	global	RVF	yes	present	1	447
6121be9a77c602b1d877d7f0	538249	4	main	z	4	circle	local	LVF	yes	present	1	536
6121be9a77c602b1d877d7f0	540688	4	main	z	5	circle	local	RVF	yes	present	1	793
6121be9a77c602b1d877d7f0	542409	4	main	z	6	square	local	RVF	yes	present	1	529
6121be9a77c602b1d877d7f0	544542	4	main	z	7	circle	local	RVF	yes	present	1	379
6121be9a77c602b1d877d7f0	547898	4	main	z	8	square	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	549367	4	main	z	9	square	global	LVF	yes	present	1	409
6121be9a77c602b1d877d7f0	552119	4	main	z	10	square	local	RVF	yes	present	1	895
6121be9a77c602b1d877d7f0	553706	4	main	z	11	circle	local	RVF	yes	present	1	515
6121be9a77c602b1d877d7f0	555557	4	main	z	12	square	local	LVF	yes	present	1	684
6121be9a77c602b1d877d7f0	558741	4	main	z	13	square	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	560043	4	main	z	14	square	local	LVF	yes	present	1	353
6121be9a77c602b1d877d7f0	561919	4	main	z	15	circle	local	LVF	yes	present	1	347
6121be9a77c602b1d877d7f0	563917	4	main	z	16	square	local	LVF	yes	present	1	648
6121be9a77c602b1d877d7f0	567103	4	main	z	17	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	568481	4	main	z	18	circle	global	LVF	yes	present	1	362
6121be9a77c602b1d877d7f0	570470	4	main	z	19	circle	global	RVF	yes	present	1	618
6121be9a77c602b1d877d7f0	572419	4	main	z	20	circle	local	RVF	yes	present	1	683
6121be9a77c602b1d877d7f0	575567	4	main	z	21	circle	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	577249	4	main	z	22	square	global	LVF	yes	present	1	383
6121be9a77c602b1d877d7f0	579278	4	main	z	23	circle	global	LVF	yes	present	1	428
6121be9a77c602b1d877d7f0	581244	4	main	z	24	circle	global	LVF	yes	present	1	595
6121be9a77c602b1d877d7f0	584515	4	main	z	25	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	586169	4	main	z	26	square	local	RVF	yes	present	1	453
6121be9a77c602b1d877d7f0	589749	4	main	z	27	square	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	591083	4	main	z	28	circle	local	LVF	yes	present	1	523
6121be9a77c602b1d877d7f0	594344	4	main	z	29	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	595781	4	main	z	30	absent	absent	absent	no	present	0	355
6121be9a77c602b1d877d7f0	597866	4	main	z	31	circle	local	LVF	yes	present	1	356
6121be9a77c602b1d877d7f0	600805	4	main	z	32	square	global	LVF	yes	present	1	1496
6121be9a77c602b1d877d7f0	603875	4	main	z	33	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	605354	4	main	z	34	square	global	LVF	yes	present	1	346
6121be9a77c602b1d877d7f0	607204	4	main	z	35	square	local	RVF	yes	present	1	662
6121be9a77c602b1d877d7f0	608990	4	main	z	36	square	global	RVF	yes	present	1	616
6121be9a77c602b1d877d7f0	612173	4	main	z	37	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	613620	4	main	z	38	circle	global	LVF	yes	present	1	349
6121be9a77c602b1d877d7f0	615772	4	main	z	39	square	local	LVF	yes	present	1	614
6121be9a77c602b1d877d7f0	618970	4	main	z	40	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	622020	4	main	z	41	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	626150	4	main	z	42	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	627686	4	main	z	43	square	local	LVF	yes	present	1	502
6121be9a77c602b1d877d7f0	629775	4	main	z	44	square	global	LVF	yes	present	1	660
6121be9a77c602b1d877d7f0	632917	4	main	z	45	square	global	LVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	634359	4	main	z	46	circle	local	RVF	yes	present	1	428
6121be9a77c602b1d877d7f0	637530	4	main	z	47	square	global	RVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	640013	4	main	z	48	square	local	RVF	yes	present	1	1434
6121be9a77c602b1d877d7f0	641440	4	main	z	49	square	global	RVF	yes	present	1	363
6121be9a77c602b1d877d7f0	643058	4	main	z	50	circle	global	LVF	yes	present	1	389
6121be9a77c602b1d877d7f0	644663	4	main	z	51	circle	global	LVF	yes	present	1	403
6121be9a77c602b1d877d7f0	647160	4	main	z	52	square	local	LVF	yes	present	1	1316
6121be9a77c602b1d877d7f0	648817	4	main	z	53	circle	global	LVF	yes	present	1	474
6121be9a77c602b1d877d7f0	650522	4	main	z	54	square	local	RVF	yes	present	1	516
6121be9a77c602b1d877d7f0	652127	4	main	z	55	square	local	LVF	yes	present	1	469
6121be9a77c602b1d877d7f0	655309	4	main	z	56	square	global	LVF	yes	absent	0	2000
6121be9a77c602b1d877d7f0	657072	4	main	z	57	circle	global	RVF	yes	present	1	517
6121be9a77c602b1d877d7f0	658356	4	main	z	58	square	global	LVF	yes	present	1	18
6121be9a77c602b1d877d7f0	662590	4	main	z	59	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	665687	4	main	z	60	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	668821	4	main	z	61	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	670470	4	main	z	62	circle	local	LVF	yes	present	1	503
6121be9a77c602b1d877d7f0	672218	4	main	z	63	circle	local	LVF	yes	present	1	435
6121be9a77c602b1d877d7f0	675203	4	main	z	64	circle	global	RVF	yes	present	1	1054
6121be9a77c602b1d877d7f0	676831	4	main	z	65	circle	local	LVF	yes	present	1	481
6121be9a77c602b1d877d7f0	680198	4	main	z	66	absent	absent	absent	no	absent	1	2000
6121be9a77c602b1d877d7f0	681593	4	main	z	67	square	local	RVF	yes	present	1	295
6121be9a77c602b1d877d7f0	683624	4	main	z	68	circle	global	RVF	yes	present	1	362
6121be9a77c602b1d877d7f0	685373	4	main	z	69	square	local	LVF	yes	present	1	494
6121be9a77c602b1d877d7f0	687662	4	main	z	70	absent	absent	absent	no	present	0	350
