subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6134fdf6c0daf2eab128d15b	201011	1	practice	z	1	absent	absent	absent	no	absent	1	2000
6134fdf6c0daf2eab128d15b	205875	1	practice	z	2	absent	absent	absent	no	present	0	1320
6134fdf6c0daf2eab128d15b	209362	1	practice	z	3	circle	global	LVF	yes	present	1	879
6134fdf6c0daf2eab128d15b	212970	1	practice	z	4	circle	global	RVF	yes	present	1	1030
6134fdf6c0daf2eab128d15b	216569	1	practice	z	5	circle	local	RVF	yes	present	1	1234
6134fdf6c0daf2eab128d15b	219734	1	practice	z	6	circle	global	RVF	yes	present	1	898
6134fdf6c0daf2eab128d15b	222750	1	practice	z	7	square	global	LVF	yes	present	1	896
6134fdf6c0daf2eab128d15b	225905	1	practice	z	8	square	global	LVF	yes	present	1	934
6134fdf6c0daf2eab128d15b	230038	1	practice	z	9	square	local	LVF	yes	absent	0	2000
6134fdf6c0daf2eab128d15b	233067	1	practice	z	10	square	global	RVF	yes	present	1	842
6134fdf6c0daf2eab128d15b	236404	1	practice	z	11	absent	absent	absent	no	present	0	1097
6134fdf6c0daf2eab128d15b	239319	1	practice	z	12	circle	local	RVF	yes	present	1	861
6134fdf6c0daf2eab128d15b	242348	1	practice	z	13	square	local	LVF	yes	present	1	921
6134fdf6c0daf2eab128d15b	245211	1	practice	z	14	circle	local	RVF	yes	present	1	817
6134fdf6c0daf2eab128d15b	249294	1	practice	z	15	absent	absent	absent	no	absent	1	2000
6134fdf6c0daf2eab128d15b	252302	1	practice	z	16	circle	global	LVF	yes	present	1	839
6134fdf6c0daf2eab128d15b	264095	2	main	z	1	square	global	LVF	yes	present	1	628
6134fdf6c0daf2eab128d15b	266545	2	main	z	2	circle	global	RVF	yes	present	1	610
6134fdf6c0daf2eab128d15b	268688	2	main	z	3	square	local	RVF	yes	present	1	887
6134fdf6c0daf2eab128d15b	270840	2	main	z	4	square	global	RVF	yes	present	1	938
6134fdf6c0daf2eab128d15b	272827	2	main	z	5	circle	global	LVF	yes	present	1	891
6134fdf6c0daf2eab128d15b	275477	2	main	z	6	square	global	LVF	yes	present	1	1541
6134fdf6c0daf2eab128d15b	277508	2	main	z	7	circle	global	RVF	yes	present	1	837
6134fdf6c0daf2eab128d15b	279887	2	main	z	8	square	local	RVF	yes	present	1	1266
