subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
613909e5cf0d18ff1e3162a9	120889	1	practice	slash	1	square	global	LVF	yes	absent	0	2000
613909e5cf0d18ff1e3162a9	127480	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
613909e5cf0d18ff1e3162a9	132352	1	practice	slash	3	square	local	LVF	yes	present	1	295
613909e5cf0d18ff1e3162a9	137855	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
613909e5cf0d18ff1e3162a9	142444	1	practice	slash	5	circle	local	RVF	yes	absent	0	2000
613909e5cf0d18ff1e3162a9	145034	1	practice	slash	6	circle	global	LVF	yes	present	1	416
613909e5cf0d18ff1e3162a9	147604	1	practice	slash	7	absent	absent	absent	no	present	0	326
613909e5cf0d18ff1e3162a9	151807	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
613909e5cf0d18ff1e3162a9	156104	1	practice	slash	9	circle	local	RVF	yes	absent	0	2000
613909e5cf0d18ff1e3162a9	161079	1	practice	slash	10	square	local	LVF	yes	absent	0	2000
613909e5cf0d18ff1e3162a9	163595	1	practice	slash	11	circle	global	RVF	yes	present	1	446
613909e5cf0d18ff1e3162a9	166910	1	practice	slash	12	circle	global	RVF	yes	present	1	705
613909e5cf0d18ff1e3162a9	169878	1	practice	slash	13	square	global	LVF	yes	present	1	376
613909e5cf0d18ff1e3162a9	173021	1	practice	slash	14	square	global	RVF	yes	present	1	668
613909e5cf0d18ff1e3162a9	175875	1	practice	slash	15	circle	local	RVF	yes	present	1	750
613909e5cf0d18ff1e3162a9	178560	1	practice	slash	16	circle	global	LVF	yes	present	1	646
613909e5cf0d18ff1e3162a9	183923	2	main	slash	1	circle	global	LVF	yes	present	1	460
613909e5cf0d18ff1e3162a9	186541	2	main	slash	2	circle	local	RVF	yes	present	1	427
613909e5cf0d18ff1e3162a9	188256	2	main	slash	3	square	global	RVF	yes	present	1	439
613909e5cf0d18ff1e3162a9	190324	2	main	slash	4	circle	global	RVF	yes	present	1	390
613909e5cf0d18ff1e3162a9	193719	2	main	slash	5	absent	absent	absent	no	absent	1	2000
613909e5cf0d18ff1e3162a9	196807	2	main	slash	6	square	local	RVF	yes	absent	0	2000
613909e5cf0d18ff1e3162a9	198519	2	main	slash	7	circle	local	LVF	yes	present	1	1088
613909e5cf0d18ff1e3162a9	200954	2	main	slash	8	circle	local	LVF	yes	present	1	1039
