subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6153226d04ed5dce3aaa9703	133091	1	practice	z	1	circle	local	RVF	yes	present	1	1539
6153226d04ed5dce3aaa9703	139298	1	practice	z	2	square	global	RVF	yes	present	1	945
6153226d04ed5dce3aaa9703	143643	1	practice	z	3	circle	global	LVF	yes	present	1	1103
6153226d04ed5dce3aaa9703	147155	1	practice	z	4	circle	global	RVF	yes	present	1	1031
6153226d04ed5dce3aaa9703	150658	1	practice	z	5	square	local	LVF	yes	present	1	1201
6153226d04ed5dce3aaa9703	155090	1	practice	z	6	circle	global	RVF	yes	absent	0	2000
6153226d04ed5dce3aaa9703	158922	1	practice	z	7	square	global	LVF	yes	present	1	1095
6153226d04ed5dce3aaa9703	162338	1	practice	z	8	circle	local	RVF	yes	present	1	1043
6153226d04ed5dce3aaa9703	167378	1	practice	z	9	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	170987	1	practice	z	10	circle	local	RVF	yes	present	1	937
6153226d04ed5dce3aaa9703	174290	1	practice	z	11	square	local	LVF	yes	present	1	990
6153226d04ed5dce3aaa9703	177483	1	practice	z	12	absent	absent	absent	no	present	0	980
6153226d04ed5dce3aaa9703	180827	1	practice	z	13	square	global	LVF	yes	present	1	839
6153226d04ed5dce3aaa9703	183731	1	practice	z	14	circle	global	LVF	yes	present	1	758
6153226d04ed5dce3aaa9703	187853	1	practice	z	15	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	192107	1	practice	z	16	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	203709	2	main	z	1	square	local	RVF	yes	absent	0	2000
6153226d04ed5dce3aaa9703	207726	2	main	z	2	square	local	LVF	yes	absent	0	2000
6153226d04ed5dce3aaa9703	211295	2	main	z	3	square	global	LVF	yes	absent	0	2000
6153226d04ed5dce3aaa9703	214729	2	main	z	4	circle	global	LVF	yes	absent	0	2000
6153226d04ed5dce3aaa9703	219346	2	main	z	5	square	local	RVF	yes	present	1	1178
6153226d04ed5dce3aaa9703	222114	2	main	z	6	circle	local	RVF	yes	present	1	895
6153226d04ed5dce3aaa9703	225026	2	main	z	7	square	global	RVF	yes	present	1	822
6153226d04ed5dce3aaa9703	227602	2	main	z	8	circle	local	RVF	yes	present	1	897
6153226d04ed5dce3aaa9703	231420	2	main	z	9	circle	global	RVF	yes	absent	0	2000
6153226d04ed5dce3aaa9703	233666	2	main	z	10	circle	local	LVF	yes	present	1	826
6153226d04ed5dce3aaa9703	237370	2	main	z	11	square	local	LVF	yes	present	1	911
6153226d04ed5dce3aaa9703	241090	2	main	z	12	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	244106	2	main	z	13	square	global	LVF	yes	present	1	811
6153226d04ed5dce3aaa9703	246778	2	main	z	14	circle	local	LVF	yes	present	1	850
6153226d04ed5dce3aaa9703	249210	2	main	z	15	circle	global	LVF	yes	present	1	830
6153226d04ed5dce3aaa9703	251738	2	main	z	16	circle	global	RVF	yes	present	1	1090
6153226d04ed5dce3aaa9703	254274	2	main	z	17	circle	global	RVF	yes	present	1	859
6153226d04ed5dce3aaa9703	256922	2	main	z	18	square	global	LVF	yes	present	1	939
6153226d04ed5dce3aaa9703	259378	2	main	z	19	square	local	LVF	yes	present	1	1110
6153226d04ed5dce3aaa9703	262816	2	main	z	20	circle	global	RVF	yes	absent	0	2000
6153226d04ed5dce3aaa9703	266300	2	main	z	21	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	268690	2	main	z	22	circle	local	RVF	yes	present	1	752
6153226d04ed5dce3aaa9703	272020	2	main	z	23	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	274186	2	main	z	24	square	local	RVF	yes	present	1	846
6153226d04ed5dce3aaa9703	276722	2	main	z	25	circle	local	LVF	yes	present	1	814
6153226d04ed5dce3aaa9703	278978	2	main	z	26	circle	global	LVF	yes	present	1	953
6153226d04ed5dce3aaa9703	282224	2	main	z	27	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	284530	2	main	z	28	circle	global	LVF	yes	present	1	819
6153226d04ed5dce3aaa9703	286762	2	main	z	29	circle	local	LVF	yes	present	1	833
6153226d04ed5dce3aaa9703	290177	2	main	z	30	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	292274	2	main	z	31	square	global	RVF	yes	present	1	875
6153226d04ed5dce3aaa9703	294578	2	main	z	32	square	local	RVF	yes	present	1	996
6153226d04ed5dce3aaa9703	296826	2	main	z	33	square	global	RVF	yes	present	1	960
6153226d04ed5dce3aaa9703	300066	2	main	z	34	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	302842	2	main	z	35	square	local	LVF	yes	present	1	1138
6153226d04ed5dce3aaa9703	304834	2	main	z	36	square	global	RVF	yes	present	1	779
6153226d04ed5dce3aaa9703	308106	2	main	z	37	square	global	LVF	yes	present	1	849
6153226d04ed5dce3aaa9703	311405	2	main	z	38	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	314522	2	main	z	39	absent	absent	absent	no	absent	1	2000
6153226d04ed5dce3aaa9703	316514	2	main	z	40	circle	local	RVF	yes	present	1	754
6153226d04ed5dce3aaa9703	318690	2	main	z	41	square	global	LVF	yes	present	1	778
