subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
61676f87dba8a19bc29edf39	276712	1	practice	slash	1	square	local	LVF	yes	present	1	572
61676f87dba8a19bc29edf39	282425	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
61676f87dba8a19bc29edf39	285856	1	practice	slash	3	square	global	LVF	yes	present	1	415
61676f87dba8a19bc29edf39	290480	1	practice	slash	4	circle	local	RVF	yes	present	1	439
61676f87dba8a19bc29edf39	295344	1	practice	slash	5	square	global	RVF	yes	present	1	419
61676f87dba8a19bc29edf39	299471	1	practice	slash	6	circle	global	RVF	yes	present	1	547
61676f87dba8a19bc29edf39	301815	1	practice	slash	7	square	global	LVF	yes	present	1	224
61676f87dba8a19bc29edf39	304240	1	practice	slash	8	circle	global	LVF	yes	present	1	447
61676f87dba8a19bc29edf39	306783	1	practice	slash	9	absent	absent	absent	no	present	0	325
61676f87dba8a19bc29edf39	310993	1	practice	slash	10	circle	local	RVF	yes	absent	0	2000
61676f87dba8a19bc29edf39	313759	1	practice	slash	11	circle	local	RVF	yes	present	1	550
61676f87dba8a19bc29edf39	316624	1	practice	slash	12	circle	global	RVF	yes	present	1	564
61676f87dba8a19bc29edf39	319272	1	practice	slash	13	absent	absent	absent	no	present	0	495
61676f87dba8a19bc29edf39	321936	1	practice	slash	14	square	local	LVF	yes	present	1	408
61676f87dba8a19bc29edf39	325423	1	practice	slash	15	circle	global	LVF	yes	present	1	413
61676f87dba8a19bc29edf39	327953	1	practice	slash	16	absent	absent	absent	no	present	0	291
61676f87dba8a19bc29edf39	334167	2	main	slash	1	square	local	RVF	yes	present	1	373
61676f87dba8a19bc29edf39	336118	2	main	slash	2	square	local	RVF	yes	present	1	241
61676f87dba8a19bc29edf39	338413	2	main	slash	3	circle	local	LVF	yes	present	1	387
61676f87dba8a19bc29edf39	340142	2	main	slash	4	square	global	RVF	yes	present	1	298
61676f87dba8a19bc29edf39	342806	2	main	slash	5	circle	local	LVF	yes	present	1	495
61676f87dba8a19bc29edf39	344718	2	main	slash	6	square	local	LVF	yes	present	1	224
61676f87dba8a19bc29edf39	346429	2	main	slash	7	square	global	RVF	yes	present	1	202
61676f87dba8a19bc29edf39	349174	2	main	slash	8	square	local	LVF	yes	present	1	396
61676f87dba8a19bc29edf39	351110	2	main	slash	9	circle	global	LVF	yes	present	1	382
61676f87dba8a19bc29edf39	355412	2	main	slash	10	circle	local	LVF	yes	absent	0	2000
61676f87dba8a19bc29edf39	357214	2	main	slash	11	square	local	LVF	yes	present	1	602
61676f87dba8a19bc29edf39	359253	2	main	slash	12	circle	global	RVF	yes	present	1	425
61676f87dba8a19bc29edf39	361110	2	main	slash	13	circle	global	RVF	yes	present	1	398
61676f87dba8a19bc29edf39	364829	2	main	slash	14	absent	absent	absent	no	absent	1	2000
61676f87dba8a19bc29edf39	368130	2	main	slash	15	circle	local	RVF	yes	absent	0	2000
61676f87dba8a19bc29edf39	369438	2	main	slash	16	square	local	LVF	yes	present	1	625
61676f87dba8a19bc29edf39	371526	2	main	slash	17	square	global	RVF	yes	present	1	446
61676f87dba8a19bc29edf39	373222	2	main	slash	18	square	global	LVF	yes	present	1	308
61676f87dba8a19bc29edf39	375003	2	main	slash	19	circle	local	RVF	yes	present	1	370
61676f87dba8a19bc29edf39	376902	2	main	slash	20	absent	absent	absent	no	present	0	355
61676f87dba8a19bc29edf39	379254	2	main	slash	21	absent	absent	absent	no	present	0	923
61676f87dba8a19bc29edf39	380774	2	main	slash	22	square	global	LVF	yes	present	1	243
61676f87dba8a19bc29edf39	382622	2	main	slash	23	square	global	RVF	yes	present	1	324
61676f87dba8a19bc29edf39	384206	2	main	slash	24	absent	absent	absent	no	present	0	258
61676f87dba8a19bc29edf39	385862	2	main	slash	25	circle	global	RVF	yes	present	1	364
61676f87dba8a19bc29edf39	387814	2	main	slash	26	square	global	LVF	yes	present	1	282
61676f87dba8a19bc29edf39	389942	2	main	slash	27	circle	local	LVF	yes	present	1	644
61676f87dba8a19bc29edf39	391654	2	main	slash	28	absent	absent	absent	no	present	0	205
61676f87dba8a19bc29edf39	393774	2	main	slash	29	absent	absent	absent	no	present	0	775
61676f87dba8a19bc29edf39	395902	2	main	slash	30	absent	absent	absent	no	present	0	736
61676f87dba8a19bc29edf39	397638	2	main	slash	31	circle	global	LVF	yes	present	1	406
61676f87dba8a19bc29edf39	399350	2	main	slash	32	square	global	LVF	yes	present	1	284
61676f87dba8a19bc29edf39	401301	2	main	slash	33	square	local	RVF	yes	present	1	386
61676f87dba8a19bc29edf39	403037	2	main	slash	34	circle	local	RVF	yes	present	1	267
61676f87dba8a19bc29edf39	405078	2	main	slash	35	absent	absent	absent	no	present	0	712
61676f87dba8a19bc29edf39	406975	2	main	slash	36	circle	global	LVF	yes	present	1	491
61676f87dba8a19bc29edf39	408654	2	main	slash	37	circle	global	LVF	yes	present	1	270
61676f87dba8a19bc29edf39	410686	2	main	slash	38	square	local	RVF	yes	present	1	669
61676f87dba8a19bc29edf39	412894	2	main	slash	39	circle	local	RVF	yes	present	1	793
61676f87dba8a19bc29edf39	414462	2	main	slash	40	circle	global	RVF	yes	present	1	278
61676f87dba8a19bc29edf39	416302	2	main	slash	41	absent	absent	absent	no	present	0	318
61676f87dba8a19bc29edf39	417774	2	main	slash	42	circle	global	LVF	yes	present	1	240
61676f87dba8a19bc29edf39	419254	2	main	slash	43	square	global	RVF	yes	present	1	170
61676f87dba8a19bc29edf39	430830	2	main	slash	44	circle	global	RVF	yes	present	1	228
61676f87dba8a19bc29edf39	432326	2	main	slash	45	absent	absent	absent	no	present	0	274
61676f87dba8a19bc29edf39	433654	2	main	slash	46	square	local	RVF	yes	present	1	218
61676f87dba8a19bc29edf39	435278	2	main	slash	47	circle	local	LVF	yes	present	1	275
61676f87dba8a19bc29edf39	436702	2	main	slash	48	absent	absent	absent	no	present	0	266
61676f87dba8a19bc29edf39	439870	2	main	slash	49	absent	absent	absent	no	absent	1	2000
61676f87dba8a19bc29edf39	443437	2	main	slash	50	circle	local	RVF	yes	present	1	35
61676f87dba8a19bc29edf39	445070	2	main	slash	51	square	local	LVF	yes	present	1	283
61676f87dba8a19bc29edf39	446414	2	main	slash	52	absent	absent	absent	no	present	0	160
61676f87dba8a19bc29edf39	447838	2	main	slash	53	circle	global	LVF	yes	present	1	301
61676f87dba8a19bc29edf39	449230	2	main	slash	54	square	global	RVF	yes	present	1	226
61676f87dba8a19bc29edf39	450444	2	main	slash	55	circle	global	LVF	yes	present	1	119
61676f87dba8a19bc29edf39	451950	2	main	slash	56	circle	local	RVF	yes	present	1	329
61676f87dba8a19bc29edf39	453438	2	main	slash	57	square	global	LVF	yes	present	1	384
61676f87dba8a19bc29edf39	454870	2	main	slash	58	circle	global	LVF	yes	present	1	199
61676f87dba8a19bc29edf39	456342	2	main	slash	59	circle	local	LVF	yes	present	1	354
61676f87dba8a19bc29edf39	457581	2	main	slash	60	square	global	RVF	yes	present	1	211
61676f87dba8a19bc29edf39	458926	2	main	slash	61	square	global	RVF	yes	present	1	221
61676f87dba8a19bc29edf39	462088	2	main	slash	62	square	global	LVF	yes	absent	0	2000
61676f87dba8a19bc29edf39	463613	2	main	slash	63	square	local	RVF	yes	present	1	370
61676f87dba8a19bc29edf39	465838	2	main	slash	64	absent	absent	absent	no	present	0	999
61676f87dba8a19bc29edf39	467718	2	main	slash	65	square	local	LVF	yes	present	1	662
61676f87dba8a19bc29edf39	469510	2	main	slash	66	square	local	RVF	yes	present	1	621
61676f87dba8a19bc29edf39	471286	2	main	slash	67	circle	local	LVF	yes	present	1	597
61676f87dba8a19bc29edf39	473078	2	main	slash	68	circle	local	RVF	yes	present	1	622
61676f87dba8a19bc29edf39	474990	2	main	slash	69	square	local	LVF	yes	present	1	767
61676f87dba8a19bc29edf39	477046	2	main	slash	70	circle	local	LVF	yes	present	1	940
61676f87dba8a19bc29edf39	478758	2	main	slash	71	circle	global	RVF	yes	present	1	585
61676f87dba8a19bc29edf39	480598	2	main	slash	72	square	local	RVF	yes	present	1	591
61676f87dba8a19bc29edf39	482686	2	main	slash	73	circle	global	RVF	yes	present	1	229
61676f87dba8a19bc29edf39	484238	2	main	slash	74	absent	absent	absent	no	present	0	264
61676f87dba8a19bc29edf39	485677	2	main	slash	75	square	global	LVF	yes	present	1	204
61676f87dba8a19bc29edf39	488118	2	main	slash	76	absent	absent	absent	no	present	0	961
61676f87dba8a19bc29edf39	489758	2	main	slash	77	circle	global	RVF	yes	present	1	517
61676f87dba8a19bc29edf39	491518	2	main	slash	78	circle	local	RVF	yes	present	1	594
61676f87dba8a19bc29edf39	493518	2	main	slash	79	square	local	LVF	yes	present	1	243
61676f87dba8a19bc29edf39	494990	2	main	slash	80	square	global	LVF	yes	present	1	132
61676f87dba8a19bc29edf39	510584	3	practice	z	1	circle	global	RVF	yes	present	1	256
