subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
616edcc90d9facce036066c1	237587	1	practice	slash	1	absent	absent	absent	no	absent	1	2000
616edcc90d9facce036066c1	242694	1	practice	slash	2	circle	global	RVF	yes	absent	0	2000
616edcc90d9facce036066c1	247642	1	practice	slash	3	circle	global	LVF	yes	absent	0	2000
616edcc90d9facce036066c1	251404	1	practice	slash	4	circle	global	RVF	yes	absent	0	2000
616edcc90d9facce036066c1	255875	1	practice	slash	5	absent	absent	absent	no	absent	1	2000
616edcc90d9facce036066c1	267510	1	practice	slash	6	circle	local	RVF	yes	absent	0	2000
616edcc90d9facce036066c1	272134	1	practice	slash	7	square	local	LVF	yes	absent	0	2000
616edcc90d9facce036066c1	276769	1	practice	slash	8	circle	global	LVF	yes	absent	0	2000
616edcc90d9facce036066c1	280649	1	practice	slash	9	circle	local	RVF	yes	absent	0	2000
616edcc90d9facce036066c1	285001	1	practice	slash	10	square	global	LVF	yes	absent	0	2000
616edcc90d9facce036066c1	290414	1	practice	slash	11	square	global	LVF	yes	absent	0	2000
616edcc90d9facce036066c1	294854	1	practice	slash	12	square	local	LVF	yes	absent	0	2000
616edcc90d9facce036066c1	299880	1	practice	slash	13	circle	local	RVF	yes	absent	0	2000
616edcc90d9facce036066c1	304128	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
616edcc90d9facce036066c1	308844	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
616edcc90d9facce036066c1	313944	1	practice	slash	16	square	global	RVF	yes	absent	0	2000
616edcc90d9facce036066c1	334447	2	main	slash	1	square	global	RVF	yes	present	1	1110
616edcc90d9facce036066c1	338183	2	main	slash	2	circle	global	LVF	yes	present	1	1899
616edcc90d9facce036066c1	341063	2	main	slash	3	square	global	LVF	yes	present	1	1163
616edcc90d9facce036066c1	345135	2	main	slash	4	square	global	LVF	yes	absent	0	2000
616edcc90d9facce036066c1	347879	2	main	slash	5	circle	local	RVF	yes	present	1	1941
616edcc90d9facce036066c1	350846	2	main	slash	6	circle	global	RVF	yes	present	1	1327
616edcc90d9facce036066c1	353496	2	main	slash	7	square	local	RVF	yes	present	1	1095
616edcc90d9facce036066c1	356684	2	main	slash	8	circle	local	RVF	yes	present	1	1685
616edcc90d9facce036066c1	359630	2	main	slash	9	absent	absent	absent	no	present	0	1332
616edcc90d9facce036066c1	363695	2	main	slash	10	absent	absent	absent	no	present	0	1044
616edcc90d9facce036066c1	366586	2	main	slash	11	circle	local	RVF	yes	present	1	1370
616edcc90d9facce036066c1	369063	2	main	slash	12	square	local	RVF	yes	present	1	1180
616edcc90d9facce036066c1	371594	2	main	slash	13	square	local	LVF	yes	present	1	1092
616edcc90d9facce036066c1	374912	2	main	slash	14	square	local	LVF	yes	present	1	1347
616edcc90d9facce036066c1	378014	2	main	slash	15	square	local	LVF	yes	present	1	1861
616edcc90d9facce036066c1	380544	2	main	slash	16	square	local	RVF	yes	present	1	1360
616edcc90d9facce036066c1	383046	2	main	slash	17	circle	local	LVF	yes	present	1	1377
