subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6234b7dcc6c6e13d5121ad28	259979	1	practice	slash	1	circle	global	LVF	yes	present	1	814
6234b7dcc6c6e13d5121ad28	265843	1	practice	slash	2	circle	local	RVF	yes	present	1	764
6234b7dcc6c6e13d5121ad28	271991	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
6234b7dcc6c6e13d5121ad28	275707	1	practice	slash	4	circle	global	LVF	yes	present	1	853
6234b7dcc6c6e13d5121ad28	280776	1	practice	slash	5	square	local	LVF	yes	absent	0	2000
6234b7dcc6c6e13d5121ad28	283668	1	practice	slash	6	circle	local	RVF	yes	present	1	700
6234b7dcc6c6e13d5121ad28	288130	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
6234b7dcc6c6e13d5121ad28	292937	1	practice	slash	8	square	local	LVF	yes	present	1	1413
6234b7dcc6c6e13d5121ad28	296561	1	practice	slash	9	absent	absent	absent	no	present	0	1086
6234b7dcc6c6e13d5121ad28	307269	1	practice	slash	10	absent	absent	absent	no	present	0	1568
6234b7dcc6c6e13d5121ad28	311031	1	practice	slash	11	circle	local	RVF	yes	present	1	737
6234b7dcc6c6e13d5121ad28	314413	1	practice	slash	12	circle	global	RVF	yes	present	1	737
6234b7dcc6c6e13d5121ad28	317274	1	practice	slash	13	square	global	RVF	yes	present	1	748
6234b7dcc6c6e13d5121ad28	320157	1	practice	slash	14	circle	global	RVF	yes	present	1	668
6234b7dcc6c6e13d5121ad28	323275	1	practice	slash	15	square	global	LVF	yes	present	1	774
6234b7dcc6c6e13d5121ad28	326069	1	practice	slash	16	square	global	LVF	yes	present	1	698
6234b7dcc6c6e13d5121ad28	334458	2	main	slash	1	square	local	RVF	yes	present	1	681
6234b7dcc6c6e13d5121ad28	337677	2	main	slash	2	circle	local	RVF	yes	present	1	665
6234b7dcc6c6e13d5121ad28	340021	2	main	slash	3	circle	local	LVF	yes	present	1	701
6234b7dcc6c6e13d5121ad28	342304	2	main	slash	4	circle	global	LVF	yes	present	1	743
6234b7dcc6c6e13d5121ad28	344588	2	main	slash	5	square	local	RVF	yes	present	1	646
6234b7dcc6c6e13d5121ad28	347045	2	main	slash	6	circle	global	RVF	yes	present	1	852
6234b7dcc6c6e13d5121ad28	350574	2	main	slash	7	circle	global	LVF	yes	absent	0	2000
6234b7dcc6c6e13d5121ad28	352454	2	main	slash	8	circle	global	LVF	yes	present	1	588
6234b7dcc6c6e13d5121ad28	355340	2	main	slash	9	square	global	RVF	yes	present	1	913
6234b7dcc6c6e13d5121ad28	357625	2	main	slash	10	square	global	RVF	yes	present	1	835
6234b7dcc6c6e13d5121ad28	361270	2	main	slash	11	absent	absent	absent	no	absent	1	2000
6234b7dcc6c6e13d5121ad28	363145	2	main	slash	12	circle	local	LVF	yes	present	1	673
6234b7dcc6c6e13d5121ad28	365379	2	main	slash	13	square	local	LVF	yes	present	1	886
6234b7dcc6c6e13d5121ad28	368885	2	main	slash	14	absent	absent	absent	no	absent	1	2000
6234b7dcc6c6e13d5121ad28	370782	2	main	slash	15	circle	global	RVF	yes	present	1	736
6234b7dcc6c6e13d5121ad28	374167	2	main	slash	16	absent	absent	absent	no	absent	1	2000
6234b7dcc6c6e13d5121ad28	376457	2	main	slash	17	circle	global	RVF	yes	present	1	676
6234b7dcc6c6e13d5121ad28	378725	2	main	slash	18	square	global	LVF	yes	present	1	755
6234b7dcc6c6e13d5121ad28	381492	2	main	slash	19	square	local	LVF	yes	present	1	1301
6234b7dcc6c6e13d5121ad28	384547	2	main	slash	20	square	local	LVF	yes	present	1	1644
6234b7dcc6c6e13d5121ad28	388015	2	main	slash	21	absent	absent	absent	no	absent	1	2000
6234b7dcc6c6e13d5121ad28	390090	2	main	slash	22	square	local	RVF	yes	present	1	854
6234b7dcc6c6e13d5121ad28	392061	2	main	slash	23	circle	local	RVF	yes	present	1	874
6234b7dcc6c6e13d5121ad28	394387	2	main	slash	24	circle	local	LVF	yes	present	1	948
6234b7dcc6c6e13d5121ad28	397764	2	main	slash	25	absent	absent	absent	no	absent	1	2000
6234b7dcc6c6e13d5121ad28	400992	2	main	slash	26	absent	absent	absent	no	absent	1	2000
6234b7dcc6c6e13d5121ad28	402963	2	main	slash	27	square	global	LVF	yes	present	1	710
6234b7dcc6c6e13d5121ad28	405123	2	main	slash	28	circle	global	LVF	yes	present	1	839
6234b7dcc6c6e13d5121ad28	407621	2	main	slash	29	square	global	RVF	yes	present	1	1225
6234b7dcc6c6e13d5121ad28	410110	2	main	slash	30	circle	global	RVF	yes	present	1	943
6234b7dcc6c6e13d5121ad28	412325	2	main	slash	31	circle	local	RVF	yes	present	1	877
