subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6272abac31a465b0f22fb7c1	117790	1	practice	slash	1	square	global	LVF	yes	present	1	1833
6272abac31a465b0f22fb7c1	122020	1	practice	slash	2	circle	global	LVF	yes	present	1	1009
6272abac31a465b0f22fb7c1	126226	1	practice	slash	3	circle	local	RVF	yes	absent	0	2000
6272abac31a465b0f22fb7c1	130360	1	practice	slash	4	circle	local	RVF	yes	absent	0	2000
6272abac31a465b0f22fb7c1	133708	1	practice	slash	5	square	local	LVF	yes	present	1	1119
6272abac31a465b0f22fb7c1	136623	1	practice	slash	6	square	global	RVF	yes	present	1	888
6272abac31a465b0f22fb7c1	139844	1	practice	slash	7	absent	absent	absent	no	present	0	1080
6272abac31a465b0f22fb7c1	143102	1	practice	slash	8	circle	global	RVF	yes	present	1	857
6272abac31a465b0f22fb7c1	145962	1	practice	slash	9	circle	global	RVF	yes	present	1	729
6272abac31a465b0f22fb7c1	148530	1	practice	slash	10	circle	global	LVF	yes	present	1	655
6272abac31a465b0f22fb7c1	152248	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
6272abac31a465b0f22fb7c1	156425	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
6272abac31a465b0f22fb7c1	160344	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
6272abac31a465b0f22fb7c1	164212	1	practice	slash	14	square	local	LVF	yes	absent	0	2000
6272abac31a465b0f22fb7c1	167251	1	practice	slash	15	square	global	LVF	yes	present	1	1063
6272abac31a465b0f22fb7c1	170171	1	practice	slash	16	circle	local	RVF	yes	present	1	877
6272abac31a465b0f22fb7c1	175534	2	main	slash	1	square	local	LVF	yes	present	1	1091
6272abac31a465b0f22fb7c1	178791	2	main	slash	2	absent	absent	absent	no	absent	1	2000
6272abac31a465b0f22fb7c1	181527	2	main	slash	3	absent	absent	absent	no	present	0	1602
6272abac31a465b0f22fb7c1	184552	2	main	slash	4	absent	absent	absent	no	absent	1	2000
6272abac31a465b0f22fb7c1	186606	2	main	slash	5	circle	local	LVF	yes	present	1	973
6272abac31a465b0f22fb7c1	188406	2	main	slash	6	square	global	LVF	yes	present	1	759
6272abac31a465b0f22fb7c1	190024	2	main	slash	7	square	global	LVF	yes	present	1	657
6272abac31a465b0f22fb7c1	191596	2	main	slash	8	square	global	LVF	yes	present	1	640
6272abac31a465b0f22fb7c1	193303	2	main	slash	9	circle	local	LVF	yes	present	1	773
6272abac31a465b0f22fb7c1	195021	2	main	slash	10	circle	global	RVF	yes	present	1	824
6272abac31a465b0f22fb7c1	197931	2	main	slash	11	absent	absent	absent	no	absent	1	2000
6272abac31a465b0f22fb7c1	199774	2	main	slash	12	square	global	RVF	yes	present	1	775
6272abac31a465b0f22fb7c1	202799	2	main	slash	13	square	local	RVF	yes	absent	0	2000
6272abac31a465b0f22fb7c1	204635	2	main	slash	14	square	global	RVF	yes	present	1	888
6272abac31a465b0f22fb7c1	207587	2	main	slash	15	square	local	LVF	yes	absent	0	2000
6272abac31a465b0f22fb7c1	209384	2	main	slash	16	circle	global	RVF	yes	present	1	782
6272abac31a465b0f22fb7c1	212362	2	main	slash	17	square	local	RVF	yes	absent	0	2000
6272abac31a465b0f22fb7c1	215323	2	main	slash	18	absent	absent	absent	no	absent	1	2000
6272abac31a465b0f22fb7c1	218311	2	main	slash	19	square	local	LVF	yes	absent	0	2000
