subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
629082739390703f993b12bd	165391	1	practice	z	1	square	local	LVF	yes	present	1	1748
629082739390703f993b12bd	170893	1	practice	z	2	square	global	LVF	yes	present	1	1518
629082739390703f993b12bd	174438	1	practice	z	3	circle	local	RVF	yes	present	1	1146
629082739390703f993b12bd	178630	1	practice	z	4	circle	global	LVF	yes	present	1	972
629082739390703f993b12bd	182491	1	practice	z	5	square	global	LVF	yes	present	1	1433
629082739390703f993b12bd	186021	1	practice	z	6	circle	local	RVF	yes	present	1	1347
629082739390703f993b12bd	189193	1	practice	z	7	circle	global	RVF	yes	present	1	969
629082739390703f993b12bd	193375	1	practice	z	8	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	196999	1	practice	z	9	circle	global	LVF	yes	present	1	1191
629082739390703f993b12bd	200166	1	practice	z	10	square	global	RVF	yes	present	1	1008
629082739390703f993b12bd	204341	1	practice	z	11	square	local	LVF	yes	absent	0	2000
629082739390703f993b12bd	207528	1	practice	z	12	absent	absent	absent	no	present	0	1054
629082739390703f993b12bd	211708	1	practice	z	13	circle	local	RVF	yes	absent	0	2000
629082739390703f993b12bd	215824	1	practice	z	14	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	219957	1	practice	z	15	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	223044	1	practice	z	16	circle	global	RVF	yes	present	1	1087
629082739390703f993b12bd	229711	2	main	z	1	square	global	LVF	yes	present	1	904
629082739390703f993b12bd	233808	2	main	z	2	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	237090	2	main	z	3	circle	local	LVF	yes	absent	0	2000
629082739390703f993b12bd	239968	2	main	z	4	square	local	RVF	yes	present	1	1745
629082739390703f993b12bd	242263	2	main	z	5	square	global	RVF	yes	present	1	990
629082739390703f993b12bd	244529	2	main	z	6	circle	global	RVF	yes	present	1	1006
629082739390703f993b12bd	247657	2	main	z	7	circle	global	LVF	yes	absent	0	2000
629082739390703f993b12bd	251007	2	main	z	8	circle	local	RVF	yes	absent	0	2000
629082739390703f993b12bd	253131	2	main	z	9	square	global	RVF	yes	present	1	975
629082739390703f993b12bd	255405	2	main	z	10	circle	global	RVF	yes	present	1	1082
629082739390703f993b12bd	258523	2	main	z	11	circle	local	LVF	yes	absent	0	2000
629082739390703f993b12bd	260916	2	main	z	12	square	local	RVF	yes	present	1	1277
629082739390703f993b12bd	264040	2	main	z	13	square	local	LVF	yes	absent	0	2000
629082739390703f993b12bd	267223	2	main	z	14	circle	local	LVF	yes	absent	0	2000
629082739390703f993b12bd	269274	2	main	z	15	circle	global	LVF	yes	present	1	951
629082739390703f993b12bd	271359	2	main	z	16	square	global	LVF	yes	present	1	986
629082739390703f993b12bd	274389	2	main	z	17	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	277589	2	main	z	18	square	local	LVF	yes	absent	0	2000
629082739390703f993b12bd	279680	2	main	z	19	circle	global	LVF	yes	present	1	974
629082739390703f993b12bd	282756	2	main	z	20	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	285325	2	main	z	21	circle	local	LVF	yes	present	1	1436
629082739390703f993b12bd	287384	2	main	z	22	square	global	LVF	yes	present	1	945
629082739390703f993b12bd	290422	2	main	z	23	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	293312	2	main	z	24	square	local	RVF	yes	present	1	1673
629082739390703f993b12bd	295480	2	main	z	25	square	global	RVF	yes	present	1	975
629082739390703f993b12bd	297554	2	main	z	26	circle	local	RVF	yes	present	1	1015
629082739390703f993b12bd	300489	2	main	z	27	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	302681	2	main	z	28	circle	global	RVF	yes	present	1	1009
629082739390703f993b12bd	305088	2	main	z	29	square	local	LVF	yes	present	1	1382
629082739390703f993b12bd	307352	2	main	z	30	circle	local	RVF	yes	present	1	1247
629082739390703f993b12bd	310405	2	main	z	31	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	312453	2	main	z	32	circle	global	LVF	yes	present	1	898
629082739390703f993b12bd	314837	2	main	z	33	square	local	LVF	yes	present	1	1299
629082739390703f993b12bd	317196	2	main	z	34	square	global	LVF	yes	present	1	1408
629082739390703f993b12bd	320205	2	main	z	35	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	323255	2	main	z	36	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	325359	2	main	z	37	square	local	RVF	yes	present	1	1038
629082739390703f993b12bd	327219	2	main	z	38	circle	local	RVF	yes	present	1	898
629082739390703f993b12bd	330155	2	main	z	39	circle	global	RVF	yes	absent	0	2000
629082739390703f993b12bd	332519	2	main	z	40	square	global	RVF	yes	present	1	898
629082739390703f993b12bd	335521	2	main	z	41	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	338488	2	main	z	42	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	340481	2	main	z	43	square	local	RVF	yes	present	1	943
629082739390703f993b12bd	342489	2	main	z	44	square	local	RVF	yes	present	1	1068
629082739390703f993b12bd	344476	2	main	z	45	square	local	LVF	yes	present	1	904
629082739390703f993b12bd	346287	2	main	z	46	square	global	RVF	yes	present	1	933
629082739390703f993b12bd	348112	2	main	z	47	absent	absent	absent	no	present	0	941
629082739390703f993b12bd	350988	2	main	z	48	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	353109	2	main	z	49	circle	global	LVF	yes	present	1	988
629082739390703f993b12bd	356071	2	main	z	50	absent	absent	absent	no	absent	1	2000
629082739390703f993b12bd	358641	2	main	z	51	circle	local	LVF	yes	present	1	1537
629082739390703f993b12bd	360604	2	main	z	52	circle	local	LVF	yes	present	1	1017
629082739390703f993b12bd	362491	2	main	z	53	square	global	LVF	yes	present	1	1019
629082739390703f993b12bd	365337	2	main	z	54	circle	global	RVF	yes	absent	0	2000
629082739390703f993b12bd	367413	2	main	z	55	square	local	LVF	yes	present	1	1026
629082739390703f993b12bd	369320	2	main	z	56	circle	global	RVF	yes	present	1	1000
629082739390703f993b12bd	371313	2	main	z	57	circle	local	RVF	yes	present	1	1109
629082739390703f993b12bd	373086	2	main	z	58	square	local	RVF	yes	present	1	916
629082739390703f993b12bd	374881	2	main	z	59	circle	local	RVF	yes	present	1	927
629082739390703f993b12bd	376573	2	main	z	60	square	global	RVF	yes	present	1	836
629082739390703f993b12bd	379437	2	main	z	61	square	global	LVF	yes	absent	0	2000
629082739390703f993b12bd	381348	2	main	z	62	square	global	LVF	yes	present	1	945
