subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6297b5dba0b83527c9907832	127571	1	practice	slash	1	circle	local	RVF	yes	present	1	835
6297b5dba0b83527c9907832	130361	1	practice	slash	2	circle	global	RVF	yes	present	1	294
6297b5dba0b83527c9907832	133128	1	practice	slash	3	square	global	LVF	yes	present	1	344
6297b5dba0b83527c9907832	138264	1	practice	slash	4	circle	local	RVF	yes	present	1	264
6297b5dba0b83527c9907832	140480	1	practice	slash	5	circle	global	RVF	yes	present	1	247
6297b5dba0b83527c9907832	142657	1	practice	slash	6	circle	global	LVF	yes	present	1	224
6297b5dba0b83527c9907832	144801	1	practice	slash	7	absent	absent	absent	no	present	0	202
6297b5dba0b83527c9907832	147593	1	practice	slash	8	absent	absent	absent	no	present	0	226
6297b5dba0b83527c9907832	149896	1	practice	slash	9	circle	local	RVF	yes	present	1	265
6297b5dba0b83527c9907832	152114	1	practice	slash	10	square	local	LVF	yes	present	1	248
6297b5dba0b83527c9907832	154312	1	practice	slash	11	square	global	RVF	yes	present	1	265
6297b5dba0b83527c9907832	158248	1	practice	slash	12	absent	absent	absent	no	absent	1	2000
6297b5dba0b83527c9907832	160779	1	practice	slash	13	square	global	LVF	yes	present	1	504
6297b5dba0b83527c9907832	163305	1	practice	slash	14	circle	global	LVF	yes	present	1	406
6297b5dba0b83527c9907832	165745	1	practice	slash	15	square	local	LVF	yes	present	1	331
6297b5dba0b83527c9907832	168080	1	practice	slash	16	absent	absent	absent	no	present	0	333
6297b5dba0b83527c9907832	181918	2	main	slash	1	absent	absent	absent	no	present	0	359
6297b5dba0b83527c9907832	184638	2	main	slash	2	absent	absent	absent	no	present	0	362
6297b5dba0b83527c9907832	186326	2	main	slash	3	square	global	LVF	yes	present	1	400
6297b5dba0b83527c9907832	189492	2	main	slash	4	square	local	RVF	yes	absent	0	2000
6297b5dba0b83527c9907832	191078	2	main	slash	5	square	global	LVF	yes	present	1	353
6297b5dba0b83527c9907832	194258	2	main	slash	6	square	global	LVF	yes	absent	0	2000
6297b5dba0b83527c9907832	197061	2	main	slash	7	square	local	RVF	yes	present	1	1786
6297b5dba0b83527c9907832	199686	2	main	slash	8	square	local	RVF	yes	present	1	1444
6297b5dba0b83527c9907832	202857	2	main	slash	9	circle	local	LVF	yes	absent	0	2000
6297b5dba0b83527c9907832	204637	2	main	slash	10	circle	local	RVF	yes	present	1	614
6297b5dba0b83527c9907832	206613	2	main	slash	11	square	local	LVF	yes	present	1	806
6297b5dba0b83527c9907832	209657	2	main	slash	12	absent	absent	absent	no	absent	1	2000
6297b5dba0b83527c9907832	212757	2	main	slash	13	square	global	LVF	yes	absent	0	2000
6297b5dba0b83527c9907832	214662	2	main	slash	14	circle	global	RVF	yes	present	1	906
6297b5dba0b83527c9907832	216758	2	main	slash	15	circle	global	RVF	yes	present	1	885
6297b5dba0b83527c9907832	219756	2	main	slash	16	square	local	LVF	yes	absent	0	2000
6297b5dba0b83527c9907832	221765	2	main	slash	17	circle	local	RVF	yes	present	1	811
6297b5dba0b83527c9907832	223790	2	main	slash	18	circle	global	LVF	yes	present	1	985
6297b5dba0b83527c9907832	226872	2	main	slash	19	square	local	LVF	yes	absent	0	2000
6297b5dba0b83527c9907832	228805	2	main	slash	20	circle	local	LVF	yes	present	1	834
6297b5dba0b83527c9907832	231888	2	main	slash	21	absent	absent	absent	no	absent	1	2000
6297b5dba0b83527c9907832	234214	2	main	slash	22	absent	absent	absent	no	present	0	1327
6297b5dba0b83527c9907832	236814	2	main	slash	23	circle	local	LVF	yes	present	1	527
6297b5dba0b83527c9907832	238918	2	main	slash	24	circle	global	RVF	yes	present	1	264
6297b5dba0b83527c9907832	241117	2	main	slash	25	absent	absent	absent	no	present	0	364
6297b5dba0b83527c9907832	244370	2	main	slash	26	absent	absent	absent	no	absent	1	2000
6297b5dba0b83527c9907832	246294	2	main	slash	27	square	local	LVF	yes	present	1	974
6297b5dba0b83527c9907832	249336	2	main	slash	28	circle	global	LVF	yes	absent	0	2000
6297b5dba0b83527c9907832	250686	2	main	slash	29	circle	global	LVF	yes	present	1	367
6297b5dba0b83527c9907832	252661	2	main	slash	30	square	global	RVF	yes	present	1	360
6297b5dba0b83527c9907832	256202	2	main	slash	31	square	global	RVF	yes	absent	0	2000
6297b5dba0b83527c9907832	257822	2	main	slash	32	circle	global	RVF	yes	present	1	654
6297b5dba0b83527c9907832	259317	2	main	slash	33	circle	local	RVF	yes	present	1	399
6297b5dba0b83527c9907832	260733	2	main	slash	34	square	local	RVF	yes	present	1	333
6297b5dba0b83527c9907832	262206	2	main	slash	35	absent	absent	absent	no	present	0	255
6297b5dba0b83527c9907832	263893	2	main	slash	36	circle	local	RVF	yes	present	1	443
6297b5dba0b83527c9907832	265310	2	main	slash	37	circle	global	LVF	yes	present	1	309
6297b5dba0b83527c9907832	266661	2	main	slash	38	square	global	RVF	yes	present	1	227
6297b5dba0b83527c9907832	268662	2	main	slash	39	circle	local	LVF	yes	present	1	878
6297b5dba0b83527c9907832	269966	2	main	slash	40	square	global	RVF	yes	present	1	265
6297b5dba0b83527c9907832	271373	2	main	slash	41	absent	absent	absent	no	present	0	224
6297b5dba0b83527c9907832	274467	2	main	slash	42	square	global	RVF	yes	absent	0	2000
6297b5dba0b83527c9907832	275470	2	main	slash	43	square	global	LVF	yes	present	1	220
6297b5dba0b83527c9907832	277382	2	main	slash	44	circle	local	RVF	yes	present	1	849
6297b5dba0b83527c9907832	278725	2	main	slash	45	circle	global	RVF	yes	present	1	259
6297b5dba0b83527c9907832	281849	2	main	slash	46	square	global	LVF	yes	absent	0	2000
6297b5dba0b83527c9907832	283214	2	main	slash	47	square	global	RVF	yes	present	1	215
6297b5dba0b83527c9907832	284614	2	main	slash	48	square	local	RVF	yes	present	1	248
6297b5dba0b83527c9907832	286141	2	main	slash	49	absent	absent	absent	no	present	0	225
6297b5dba0b83527c9907832	287774	2	main	slash	50	absent	absent	absent	no	present	0	259
6297b5dba0b83527c9907832	290126	2	main	slash	51	circle	local	LVF	yes	present	1	1261
6297b5dba0b83527c9907832	291445	2	main	slash	52	square	local	LVF	yes	present	1	313
6297b5dba0b83527c9907832	293030	2	main	slash	53	circle	local	RVF	yes	present	1	248
6297b5dba0b83527c9907832	295222	2	main	slash	54	circle	global	RVF	yes	present	1	207
6297b5dba0b83527c9907832	297086	2	main	slash	55	square	local	LVF	yes	present	1	671
6297b5dba0b83527c9907832	300165	2	main	slash	56	absent	absent	absent	no	absent	1	2000
6297b5dba0b83527c9907832	301341	2	main	slash	57	absent	absent	absent	no	present	0	228
6297b5dba0b83527c9907832	302990	2	main	slash	58	circle	global	LVF	yes	present	1	575
6297b5dba0b83527c9907832	304438	2	main	slash	59	circle	local	LVF	yes	present	1	324
6297b5dba0b83527c9907832	305798	2	main	slash	60	circle	local	LVF	yes	present	1	268
6297b5dba0b83527c9907832	307158	2	main	slash	61	circle	global	LVF	yes	present	1	261
6297b5dba0b83527c9907832	309238	2	main	slash	62	circle	global	RVF	yes	present	1	241
6297b5dba0b83527c9907832	311054	2	main	slash	63	square	local	LVF	yes	present	1	308
6297b5dba0b83527c9907832	313069	2	main	slash	64	absent	absent	absent	no	present	0	257
6297b5dba0b83527c9907832	314901	2	main	slash	65	circle	local	RVF	yes	present	1	289
6297b5dba0b83527c9907832	316622	2	main	slash	66	square	local	RVF	yes	present	1	558
6297b5dba0b83527c9907832	319662	2	main	slash	67	absent	absent	absent	no	absent	1	2000
6297b5dba0b83527c9907832	320989	2	main	slash	68	square	global	RVF	yes	present	1	310
6297b5dba0b83527c9907832	322445	2	main	slash	69	circle	global	LVF	yes	present	1	351
6297b5dba0b83527c9907832	323917	2	main	slash	70	square	local	RVF	yes	present	1	356
6297b5dba0b83527c9907832	325429	2	main	slash	71	circle	local	RVF	yes	present	1	318
6297b5dba0b83527c9907832	327118	2	main	slash	72	square	local	RVF	yes	present	1	356
6297b5dba0b83527c9907832	328422	2	main	slash	73	circle	local	LVF	yes	present	1	294
6297b5dba0b83527c9907832	329885	2	main	slash	74	square	global	RVF	yes	present	1	291
6297b5dba0b83527c9907832	332125	2	main	slash	75	circle	global	RVF	yes	present	1	314
6297b5dba0b83527c9907832	334069	2	main	slash	76	square	global	LVF	yes	present	1	92
6297b5dba0b83527c9907832	337261	2	main	slash	77	square	global	LVF	yes	absent	0	2000
6297b5dba0b83527c9907832	338598	2	main	slash	78	square	local	LVF	yes	present	1	321
6297b5dba0b83527c9907832	339813	2	main	slash	79	absent	absent	absent	no	present	0	219
6297b5dba0b83527c9907832	341085	2	main	slash	80	circle	global	LVF	yes	present	1	158
6297b5dba0b83527c9907832	364078	3	practice	z	1	circle	global	LVF	yes	absent	0	2000
6297b5dba0b83527c9907832	367417	3	practice	z	2	square	local	LVF	yes	present	1	256
6297b5dba0b83527c9907832	369712	3	practice	z	3	circle	local	RVF	yes	present	1	219
6297b5dba0b83527c9907832	371801	3	practice	z	4	absent	absent	absent	no	present	0	57
6297b5dba0b83527c9907832	374369	3	practice	z	5	absent	absent	absent	no	present	0	226
6297b5dba0b83527c9907832	376880	3	practice	z	6	circle	local	RVF	yes	present	1	138
6297b5dba0b83527c9907832	379064	3	practice	z	7	circle	local	RVF	yes	present	1	239
6297b5dba0b83527c9907832	381257	3	practice	z	8	square	global	RVF	yes	present	1	113
6297b5dba0b83527c9907832	383400	3	practice	z	9	circle	global	LVF	yes	present	1	224
6297b5dba0b83527c9907832	385640	3	practice	z	10	absent	absent	absent	no	present	0	298
6297b5dba0b83527c9907832	387857	3	practice	z	11	absent	absent	absent	no	present	0	265
6297b5dba0b83527c9907832	391072	3	practice	z	12	circle	global	RVF	yes	present	1	1164
6297b5dba0b83527c9907832	394217	3	practice	z	13	square	global	LVF	yes	present	1	776
6297b5dba0b83527c9907832	396745	3	practice	z	14	square	global	LVF	yes	present	1	337
6297b5dba0b83527c9907832	399272	3	practice	z	15	circle	global	RVF	yes	present	1	282
6297b5dba0b83527c9907832	401769	3	practice	z	16	square	local	LVF	yes	present	1	595
6297b5dba0b83527c9907832	405038	4	main	z	1	absent	absent	absent	no	present	0	267
6297b5dba0b83527c9907832	408166	4	main	z	2	circle	local	LVF	yes	present	1	396
6297b5dba0b83527c9907832	409886	4	main	z	3	square	global	RVF	yes	present	1	299
6297b5dba0b83527c9907832	411245	4	main	z	4	absent	absent	absent	no	present	0	242
6297b5dba0b83527c9907832	412574	4	main	z	5	absent	absent	absent	no	present	0	254
6297b5dba0b83527c9907832	413886	4	main	z	6	absent	absent	absent	no	present	0	299
6297b5dba0b83527c9907832	415278	4	main	z	7	circle	global	LVF	yes	present	1	342
6297b5dba0b83527c9907832	416502	4	main	z	8	square	global	RVF	yes	present	1	233
6297b5dba0b83527c9907832	417750	4	main	z	9	square	global	LVF	yes	present	1	281
6297b5dba0b83527c9907832	419774	4	main	z	10	circle	local	RVF	yes	present	1	1071
6297b5dba0b83527c9907832	421150	4	main	z	11	square	global	LVF	yes	present	1	398
6297b5dba0b83527c9907832	422429	4	main	z	12	square	local	LVF	yes	present	1	245
6297b5dba0b83527c9907832	425077	4	main	z	13	square	local	LVF	yes	present	1	308
6297b5dba0b83527c9907832	426293	4	main	z	14	circle	global	LVF	yes	present	1	226
6297b5dba0b83527c9907832	427525	4	main	z	15	circle	global	LVF	yes	present	1	240
6297b5dba0b83527c9907832	428782	4	main	z	16	square	global	LVF	yes	present	1	297
6297b5dba0b83527c9907832	430102	4	main	z	17	square	local	LVF	yes	present	1	350
6297b5dba0b83527c9907832	431558	4	main	z	18	circle	local	LVF	yes	present	1	239
6297b5dba0b83527c9907832	432846	4	main	z	19	square	global	LVF	yes	present	1	312
6297b5dba0b83527c9907832	434133	4	main	z	20	circle	local	RVF	yes	present	1	315
6297b5dba0b83527c9907832	435301	4	main	z	21	square	global	RVF	yes	present	1	250
6297b5dba0b83527c9907832	436501	4	main	z	22	circle	global	RVF	yes	present	1	233
6297b5dba0b83527c9907832	437694	4	main	z	23	circle	global	LVF	yes	present	1	310
6297b5dba0b83527c9907832	438822	4	main	z	24	absent	absent	absent	no	present	0	221
6297b5dba0b83527c9907832	440869	4	main	z	25	circle	local	RVF	yes	present	1	1070
6297b5dba0b83527c9907832	442397	4	main	z	26	absent	absent	absent	no	present	0	365
6297b5dba0b83527c9907832	444005	4	main	z	27	square	local	LVF	yes	present	1	423
6297b5dba0b83527c9907832	445381	4	main	z	28	circle	local	LVF	yes	present	1	331
6297b5dba0b83527c9907832	446549	4	main	z	29	square	local	RVF	yes	present	1	233
6297b5dba0b83527c9907832	448005	4	main	z	30	square	local	RVF	yes	present	1	239
6297b5dba0b83527c9907832	449133	4	main	z	31	circle	global	RVF	yes	present	1	168
6297b5dba0b83527c9907832	450446	4	main	z	32	absent	absent	absent	no	present	0	262
6297b5dba0b83527c9907832	452270	4	main	z	33	square	local	RVF	yes	present	1	554
6297b5dba0b83527c9907832	453477	4	main	z	34	absent	absent	absent	no	present	0	329
6297b5dba0b83527c9907832	455894	4	main	z	35	circle	global	RVF	yes	present	1	1295
6297b5dba0b83527c9907832	457510	4	main	z	36	square	local	RVF	yes	present	1	695
6297b5dba0b83527c9907832	459062	4	main	z	37	circle	local	LVF	yes	present	1	697
6297b5dba0b83527c9907832	460630	4	main	z	38	circle	local	RVF	yes	present	1	615
6297b5dba0b83527c9907832	463565	4	main	z	39	circle	global	RVF	yes	absent	0	2000
6297b5dba0b83527c9907832	465198	4	main	z	40	square	global	RVF	yes	present	1	417
6297b5dba0b83527c9907832	466437	4	main	z	41	square	local	RVF	yes	present	1	406
6297b5dba0b83527c9907832	467918	4	main	z	42	circle	global	RVF	yes	present	1	619
6297b5dba0b83527c9907832	469566	4	main	z	43	circle	global	LVF	yes	present	1	835
6297b5dba0b83527c9907832	472381	4	main	z	44	square	global	RVF	yes	absent	0	2000
6297b5dba0b83527c9907832	474774	4	main	z	45	square	global	RVF	yes	present	1	477
6297b5dba0b83527c9907832	477930	4	main	z	46	absent	absent	absent	no	absent	1	2000
