subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62dd2f0668b37a65531fae67	244233	1	practice	slash	1	circle	local	RVF	yes	absent	0	2000
62dd2f0668b37a65531fae67	247178	1	practice	slash	2	circle	local	RVF	yes	present	1	552
62dd2f0668b37a65531fae67	250442	1	practice	slash	3	square	global	LVF	yes	present	1	873
62dd2f0668b37a65531fae67	253609	1	practice	slash	4	circle	global	RVF	yes	present	1	865
62dd2f0668b37a65531fae67	256810	1	practice	slash	5	circle	local	RVF	yes	present	1	607
62dd2f0668b37a65531fae67	259914	1	practice	slash	6	square	global	LVF	yes	present	1	767
62dd2f0668b37a65531fae67	262794	1	practice	slash	7	square	global	RVF	yes	present	1	755
62dd2f0668b37a65531fae67	266647	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	271003	1	practice	slash	9	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	273909	1	practice	slash	10	circle	global	LVF	yes	present	1	730
62dd2f0668b37a65531fae67	278070	1	practice	slash	11	square	local	LVF	yes	absent	0	2000
62dd2f0668b37a65531fae67	281149	1	practice	slash	12	circle	global	RVF	yes	present	1	737
62dd2f0668b37a65531fae67	283853	1	practice	slash	13	circle	global	LVF	yes	present	1	514
62dd2f0668b37a65531fae67	286269	1	practice	slash	14	square	local	LVF	yes	present	1	785
62dd2f0668b37a65531fae67	290308	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	293638	1	practice	slash	16	absent	absent	absent	no	present	0	970
62dd2f0668b37a65531fae67	307415	2	main	slash	1	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	309599	2	main	slash	2	circle	global	RVF	yes	present	1	657
62dd2f0668b37a65531fae67	314063	2	main	slash	3	circle	local	LVF	yes	present	1	1911
62dd2f0668b37a65531fae67	316734	2	main	slash	4	absent	absent	absent	no	present	0	1307
62dd2f0668b37a65531fae67	318894	2	main	slash	5	circle	local	LVF	yes	present	1	824
62dd2f0668b37a65531fae67	320798	2	main	slash	6	circle	global	LVF	yes	present	1	650
62dd2f0668b37a65531fae67	323926	2	main	slash	7	square	local	LVF	yes	absent	0	2000
62dd2f0668b37a65531fae67	325975	2	main	slash	8	circle	global	RVF	yes	present	1	703
62dd2f0668b37a65531fae67	328326	2	main	slash	9	circle	global	RVF	yes	present	1	1110
62dd2f0668b37a65531fae67	331641	2	main	slash	10	square	global	LVF	yes	absent	0	2000
62dd2f0668b37a65531fae67	335183	2	main	slash	11	square	local	LVF	yes	absent	0	2000
62dd2f0668b37a65531fae67	337494	2	main	slash	12	circle	local	RVF	yes	present	1	734
62dd2f0668b37a65531fae67	342033	2	main	slash	13	square	local	LVF	yes	absent	0	2000
62dd2f0668b37a65531fae67	345159	2	main	slash	14	square	global	RVF	yes	present	1	1614
62dd2f0668b37a65531fae67	346886	2	main	slash	15	circle	global	RVF	yes	present	1	599
62dd2f0668b37a65531fae67	349127	2	main	slash	16	circle	global	LVF	yes	present	1	710
62dd2f0668b37a65531fae67	351302	2	main	slash	17	square	local	RVF	yes	present	1	841
62dd2f0668b37a65531fae67	353510	2	main	slash	18	square	global	RVF	yes	present	1	1005
62dd2f0668b37a65531fae67	355238	2	main	slash	19	circle	global	LVF	yes	present	1	586
62dd2f0668b37a65531fae67	358245	2	main	slash	20	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	360494	2	main	slash	21	square	local	RVF	yes	present	1	988
62dd2f0668b37a65531fae67	363765	2	main	slash	22	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	365990	2	main	slash	23	square	local	RVF	yes	present	1	881
62dd2f0668b37a65531fae67	367998	2	main	slash	24	square	global	RVF	yes	present	1	827
62dd2f0668b37a65531fae67	369630	2	main	slash	25	square	local	RVF	yes	present	1	663
62dd2f0668b37a65531fae67	371558	2	main	slash	26	square	global	LVF	yes	present	1	828
62dd2f0668b37a65531fae67	373726	2	main	slash	27	square	local	LVF	yes	present	1	1184
62dd2f0668b37a65531fae67	375302	2	main	slash	28	circle	local	RVF	yes	present	1	616
62dd2f0668b37a65531fae67	377022	2	main	slash	29	circle	global	LVF	yes	present	1	672
62dd2f0668b37a65531fae67	378575	2	main	slash	30	circle	local	RVF	yes	present	1	578
62dd2f0668b37a65531fae67	380102	2	main	slash	31	circle	local	LVF	yes	present	1	543
62dd2f0668b37a65531fae67	382590	2	main	slash	32	square	global	RVF	yes	present	1	1485
62dd2f0668b37a65531fae67	384382	2	main	slash	33	circle	local	LVF	yes	present	1	965
62dd2f0668b37a65531fae67	385878	2	main	slash	34	circle	local	RVF	yes	present	1	649
62dd2f0668b37a65531fae67	387286	2	main	slash	35	square	global	LVF	yes	present	1	577
62dd2f0668b37a65531fae67	388710	2	main	slash	36	absent	absent	absent	no	present	0	554
62dd2f0668b37a65531fae67	391500	2	main	slash	37	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	395058	2	main	slash	38	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	396656	2	main	slash	39	square	global	LVF	yes	present	1	553
62dd2f0668b37a65531fae67	399465	2	main	slash	40	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	401625	2	main	slash	41	square	local	LVF	yes	present	1	632
62dd2f0668b37a65531fae67	403200	2	main	slash	42	circle	local	RVF	yes	present	1	762
62dd2f0668b37a65531fae67	404537	2	main	slash	43	circle	local	LVF	yes	present	1	552
62dd2f0668b37a65531fae67	406033	2	main	slash	44	square	global	RVF	yes	present	1	667
62dd2f0668b37a65531fae67	407937	2	main	slash	45	absent	absent	absent	no	present	0	1108
62dd2f0668b37a65531fae67	409800	2	main	slash	46	circle	global	RVF	yes	present	1	1109
62dd2f0668b37a65531fae67	411417	2	main	slash	47	square	local	RVF	yes	present	1	880
62dd2f0668b37a65531fae67	412744	2	main	slash	48	square	global	LVF	yes	present	1	596
62dd2f0668b37a65531fae67	414328	2	main	slash	49	circle	local	RVF	yes	present	1	865
62dd2f0668b37a65531fae67	415760	2	main	slash	50	square	global	LVF	yes	present	1	701
62dd2f0668b37a65531fae67	417265	2	main	slash	51	circle	global	RVF	yes	present	1	710
62dd2f0668b37a65531fae67	420083	2	main	slash	52	absent	absent	absent	no	absent	1	2000
62dd2f0668b37a65531fae67	423272	2	main	slash	53	circle	global	LVF	yes	present	1	581
62dd2f0668b37a65531fae67	424680	2	main	slash	54	circle	global	LVF	yes	present	1	643
62dd2f0668b37a65531fae67	425928	2	main	slash	55	circle	global	LVF	yes	present	1	478
62dd2f0668b37a65531fae67	427440	2	main	slash	56	circle	local	RVF	yes	present	1	742
62dd2f0668b37a65531fae67	428779	2	main	slash	57	circle	local	LVF	yes	present	1	514
62dd2f0668b37a65531fae67	430208	2	main	slash	58	square	local	RVF	yes	present	1	684
62dd2f0668b37a65531fae67	432112	2	main	slash	59	square	global	RVF	yes	present	1	1141
62dd2f0668b37a65531fae67	433680	2	main	slash	60	absent	absent	absent	no	present	0	830
