subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62ea3271cc6c19525f896495	57187	1	practice	z	1	square	local	LVF	yes	absent	0	2000
62ea3271cc6c19525f896495	61657	1	practice	z	2	absent	absent	absent	no	present	0	810
62ea3271cc6c19525f896495	65321	1	practice	z	3	square	global	RVF	yes	present	1	393
62ea3271cc6c19525f896495	69632	1	practice	z	4	circle	local	RVF	yes	present	1	427
62ea3271cc6c19525f896495	72756	1	practice	z	5	circle	global	LVF	yes	present	1	564
62ea3271cc6c19525f896495	75434	1	practice	z	6	circle	global	LVF	yes	present	1	578
62ea3271cc6c19525f896495	79497	1	practice	z	7	absent	absent	absent	no	absent	1	2000
62ea3271cc6c19525f896495	82719	1	practice	z	8	square	local	LVF	yes	present	1	1032
62ea3271cc6c19525f896495	85396	1	practice	z	9	square	global	LVF	yes	present	1	612
62ea3271cc6c19525f896495	88421	1	practice	z	10	circle	local	RVF	yes	present	1	951
62ea3271cc6c19525f896495	92527	1	practice	z	11	absent	absent	absent	no	absent	1	2000
62ea3271cc6c19525f896495	95155	1	practice	z	12	circle	global	RVF	yes	present	1	522
62ea3271cc6c19525f896495	97807	1	practice	z	13	circle	global	RVF	yes	present	1	593
62ea3271cc6c19525f896495	100775	1	practice	z	14	circle	local	RVF	yes	present	1	945
62ea3271cc6c19525f896495	104716	1	practice	z	15	absent	absent	absent	no	absent	1	2000
62ea3271cc6c19525f896495	107458	1	practice	z	16	square	global	LVF	yes	present	1	630
62ea3271cc6c19525f896495	114433	2	main	z	1	square	local	LVF	yes	present	1	785
62ea3271cc6c19525f896495	117175	2	main	z	2	square	local	RVF	yes	present	1	494
62ea3271cc6c19525f896495	119167	2	main	z	3	circle	global	LVF	yes	present	1	472
62ea3271cc6c19525f896495	120925	2	main	z	4	circle	local	LVF	yes	present	1	448
62ea3271cc6c19525f896495	123487	2	main	z	5	square	local	LVF	yes	present	1	1092
62ea3271cc6c19525f896495	126562	2	main	z	6	circle	global	RVF	yes	present	1	680
62ea3271cc6c19525f896495	128856	2	main	z	7	square	local	LVF	yes	present	1	901
62ea3271cc6c19525f896495	130691	2	main	z	8	circle	global	RVF	yes	present	1	667
62ea3271cc6c19525f896495	132397	2	main	z	9	circle	global	LVF	yes	present	1	662
62ea3271cc6c19525f896495	134309	2	main	z	10	square	local	RVF	yes	present	1	683
62ea3271cc6c19525f896495	136001	2	main	z	11	circle	local	LVF	yes	present	1	612
62ea3271cc6c19525f896495	138235	2	main	z	12	square	global	RVF	yes	present	1	919
62ea3271cc6c19525f896495	140097	2	main	z	13	square	local	RVF	yes	present	1	541
62ea3271cc6c19525f896495	143240	2	main	z	14	absent	absent	absent	no	absent	1	2000
62ea3271cc6c19525f896495	146384	2	main	z	15	absent	absent	absent	no	absent	1	2000
62ea3271cc6c19525f896495	149464	2	main	z	16	absent	absent	absent	no	absent	1	2000
62ea3271cc6c19525f896495	152510	2	main	z	17	absent	absent	absent	no	absent	1	2000
62ea3271cc6c19525f896495	154031	2	main	z	18	circle	local	RVF	yes	present	1	512
62ea3271cc6c19525f896495	157505	2	main	z	19	absent	absent	absent	no	absent	1	2000
62ea3271cc6c19525f896495	158944	2	main	z	20	circle	local	RVF	yes	present	1	479
62ea3271cc6c19525f896495	160649	2	main	z	21	square	global	RVF	yes	present	1	418
62ea3271cc6c19525f896495	162256	2	main	z	22	circle	global	LVF	yes	present	1	425
62ea3271cc6c19525f896495	163944	2	main	z	23	square	global	LVF	yes	present	1	581
62ea3271cc6c19525f896495	165525	2	main	z	24	square	global	RVF	yes	present	1	423
62ea3271cc6c19525f896495	167486	2	main	z	25	square	global	RVF	yes	present	1	833
62ea3271cc6c19525f896495	169154	2	main	z	26	circle	local	RVF	yes	present	1	552
62ea3271cc6c19525f896495	170714	2	main	z	27	square	local	LVF	yes	present	1	474
62ea3271cc6c19525f896495	172274	2	main	z	28	circle	global	LVF	yes	present	1	537
62ea3271cc6c19525f896495	173884	2	main	z	29	circle	local	RVF	yes	present	1	551
62ea3271cc6c19525f896495	175385	2	main	z	30	square	local	RVF	yes	present	1	571
62ea3271cc6c19525f896495	176855	2	main	z	31	circle	local	LVF	yes	present	1	493
62ea3271cc6c19525f896495	178466	2	main	z	32	square	global	LVF	yes	present	1	634
62ea3271cc6c19525f896495	179934	2	main	z	33	square	global	LVF	yes	present	1	498
62ea3271cc6c19525f896495	181447	2	main	z	34	circle	global	RVF	yes	present	1	527
62ea3271cc6c19525f896495	183072	2	main	z	35	circle	local	LVF	yes	present	1	676
62ea3271cc6c19525f896495	184680	2	main	z	36	circle	global	RVF	yes	present	1	584
62ea3271cc6c19525f896495	186209	2	main	z	37	square	global	LVF	yes	present	1	509
62ea3271cc6c19525f896495	187736	2	main	z	38	absent	absent	absent	no	present	0	572
62ea3271cc6c19525f896495	190701	2	main	z	39	absent	absent	absent	no	absent	1	2000
62ea3271cc6c19525f896495	193762	2	main	z	40	absent	absent	absent	no	absent	1	2000
