subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62ec219e5f3634408fb35580	189170	1	practice	slash	1	square	global	LVF	yes	absent	0	2000
62ec219e5f3634408fb35580	194203	1	practice	slash	2	circle	global	RVF	yes	present	1	961
62ec219e5f3634408fb35580	199848	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	203017	1	practice	slash	4	circle	global	LVF	yes	present	1	898
62ec219e5f3634408fb35580	207573	1	practice	slash	5	circle	local	RVF	yes	absent	0	2000
62ec219e5f3634408fb35580	211162	1	practice	slash	6	square	global	RVF	yes	present	1	917
62ec219e5f3634408fb35580	215632	1	practice	slash	7	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	219953	1	practice	slash	8	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	223031	1	practice	slash	9	square	global	LVF	yes	present	1	890
62ec219e5f3634408fb35580	227346	1	practice	slash	10	square	local	LVF	yes	absent	0	2000
62ec219e5f3634408fb35580	231316	1	practice	slash	11	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	234275	1	practice	slash	12	circle	local	RVF	yes	present	1	988
62ec219e5f3634408fb35580	237486	1	practice	slash	13	circle	global	LVF	yes	present	1	879
62ec219e5f3634408fb35580	240485	1	practice	slash	14	circle	local	RVF	yes	present	1	858
62ec219e5f3634408fb35580	243807	1	practice	slash	15	circle	global	RVF	yes	present	1	860
62ec219e5f3634408fb35580	246778	1	practice	slash	16	square	local	LVF	yes	present	1	894
62ec219e5f3634408fb35580	273423	2	main	slash	1	square	global	RVF	yes	present	1	809
62ec219e5f3634408fb35580	277617	2	main	slash	2	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	279759	2	main	slash	3	circle	global	RVF	yes	present	1	873
62ec219e5f3634408fb35580	282223	2	main	slash	4	circle	global	LVF	yes	present	1	866
62ec219e5f3634408fb35580	284698	2	main	slash	5	square	local	RVF	yes	present	1	923
62ec219e5f3634408fb35580	286853	2	main	slash	6	circle	local	LVF	yes	present	1	824
62ec219e5f3634408fb35580	289616	2	main	slash	7	square	local	LVF	yes	present	1	1385
62ec219e5f3634408fb35580	291775	2	main	slash	8	square	local	LVF	yes	present	1	925
62ec219e5f3634408fb35580	295086	2	main	slash	9	circle	local	RVF	yes	absent	0	2000
62ec219e5f3634408fb35580	296977	2	main	slash	10	circle	local	RVF	yes	present	1	788
62ec219e5f3634408fb35580	299267	2	main	slash	11	circle	local	LVF	yes	present	1	991
62ec219e5f3634408fb35580	301531	2	main	slash	12	absent	absent	absent	no	present	0	953
62ec219e5f3634408fb35580	304309	2	main	slash	13	square	global	LVF	yes	present	1	1545
62ec219e5f3634408fb35580	306513	2	main	slash	14	square	local	RVF	yes	present	1	979
62ec219e5f3634408fb35580	308995	2	main	slash	15	circle	global	RVF	yes	present	1	1159
62ec219e5f3634408fb35580	311198	2	main	slash	16	circle	local	RVF	yes	present	1	892
62ec219e5f3634408fb35580	313457	2	main	slash	17	circle	local	LVF	yes	present	1	1050
62ec219e5f3634408fb35580	316776	2	main	slash	18	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	318926	2	main	slash	19	absent	absent	absent	no	present	0	995
62ec219e5f3634408fb35580	321029	2	main	slash	20	circle	local	LVF	yes	present	1	879
62ec219e5f3634408fb35580	324369	2	main	slash	21	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	326338	2	main	slash	22	circle	global	LVF	yes	present	1	884
62ec219e5f3634408fb35580	328537	2	main	slash	23	circle	local	RVF	yes	present	1	930
62ec219e5f3634408fb35580	331843	2	main	slash	24	square	local	RVF	yes	absent	0	2000
62ec219e5f3634408fb35580	333983	2	main	slash	25	square	global	RVF	yes	present	1	987
62ec219e5f3634408fb35580	336168	2	main	slash	26	square	local	LVF	yes	present	1	919
62ec219e5f3634408fb35580	338271	2	main	slash	27	circle	global	RVF	yes	present	1	870
62ec219e5f3634408fb35580	340335	2	main	slash	28	square	global	LVF	yes	present	1	832
62ec219e5f3634408fb35580	342365	2	main	slash	29	circle	global	LVF	yes	present	1	825
62ec219e5f3634408fb35580	345692	2	main	slash	30	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	347660	2	main	slash	31	square	global	LVF	yes	present	1	814
62ec219e5f3634408fb35580	350436	2	main	slash	32	absent	absent	absent	no	present	0	1371
62ec219e5f3634408fb35580	352538	2	main	slash	33	square	global	RVF	yes	present	1	870
62ec219e5f3634408fb35580	355736	2	main	slash	34	square	global	RVF	yes	absent	0	2000
62ec219e5f3634408fb35580	357649	2	main	slash	35	circle	global	LVF	yes	present	1	777
62ec219e5f3634408fb35580	359669	2	main	slash	36	circle	global	RVF	yes	present	1	861
62ec219e5f3634408fb35580	362894	2	main	slash	37	square	local	LVF	yes	absent	0	2000
62ec219e5f3634408fb35580	364766	2	main	slash	38	square	global	LVF	yes	present	1	851
62ec219e5f3634408fb35580	368000	2	main	slash	39	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	369917	2	main	slash	40	square	local	RVF	yes	present	1	947
62ec219e5f3634408fb35580	372071	2	main	slash	41	circle	global	RVF	yes	present	1	898
62ec219e5f3634408fb35580	374248	2	main	slash	42	circle	local	LVF	yes	present	1	906
62ec219e5f3634408fb35580	376627	2	main	slash	43	absent	absent	absent	no	present	0	1016
62ec219e5f3634408fb35580	379278	2	main	slash	44	square	global	RVF	yes	present	1	1381
62ec219e5f3634408fb35580	382482	2	main	slash	45	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	385071	2	main	slash	46	square	local	RVF	yes	present	1	1419
62ec219e5f3634408fb35580	387609	2	main	slash	47	square	global	LVF	yes	present	1	1254
62ec219e5f3634408fb35580	389757	2	main	slash	48	circle	local	LVF	yes	present	1	899
62ec219e5f3634408fb35580	392002	2	main	slash	49	square	local	RVF	yes	present	1	908
62ec219e5f3634408fb35580	394292	2	main	slash	50	circle	local	LVF	yes	present	1	1095
62ec219e5f3634408fb35580	396513	2	main	slash	51	circle	global	RVF	yes	present	1	930
62ec219e5f3634408fb35580	399785	2	main	slash	52	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	402152	2	main	slash	53	circle	global	RVF	yes	present	1	846
62ec219e5f3634408fb35580	404338	2	main	slash	54	square	local	LVF	yes	present	1	981
62ec219e5f3634408fb35580	406653	2	main	slash	55	circle	global	LVF	yes	present	1	1092
62ec219e5f3634408fb35580	409329	2	main	slash	56	square	local	LVF	yes	present	1	1216
62ec219e5f3634408fb35580	412632	2	main	slash	57	square	local	RVF	yes	absent	0	2000
62ec219e5f3634408fb35580	414670	2	main	slash	58	circle	local	RVF	yes	present	1	850
62ec219e5f3634408fb35580	416977	2	main	slash	59	square	global	RVF	yes	present	1	922
62ec219e5f3634408fb35580	419194	2	main	slash	60	circle	global	LVF	yes	present	1	869
62ec219e5f3634408fb35580	422577	2	main	slash	61	square	local	LVF	yes	absent	0	2000
62ec219e5f3634408fb35580	424556	2	main	slash	62	circle	global	RVF	yes	present	1	860
62ec219e5f3634408fb35580	427150	2	main	slash	63	circle	local	RVF	yes	present	1	1218
62ec219e5f3634408fb35580	429470	2	main	slash	64	square	local	LVF	yes	present	1	934
62ec219e5f3634408fb35580	432805	2	main	slash	65	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	435941	2	main	slash	66	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	439230	2	main	slash	67	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	441497	2	main	slash	68	square	local	RVF	yes	present	1	1065
62ec219e5f3634408fb35580	443734	2	main	slash	69	circle	local	RVF	yes	present	1	899
62ec219e5f3634408fb35580	445988	2	main	slash	70	circle	global	LVF	yes	present	1	868
62ec219e5f3634408fb35580	449423	2	main	slash	71	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	451524	2	main	slash	72	square	global	LVF	yes	present	1	915
62ec219e5f3634408fb35580	453736	2	main	slash	73	circle	local	LVF	yes	present	1	874
62ec219e5f3634408fb35580	455931	2	main	slash	74	square	global	LVF	yes	present	1	867
62ec219e5f3634408fb35580	459167	2	main	slash	75	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	460920	2	main	slash	76	square	global	LVF	yes	present	1	816
62ec219e5f3634408fb35580	463191	2	main	slash	77	circle	local	RVF	yes	present	1	884
62ec219e5f3634408fb35580	465532	2	main	slash	78	circle	global	LVF	yes	present	1	873
62ec219e5f3634408fb35580	467744	2	main	slash	79	square	global	RVF	yes	present	1	916
62ec219e5f3634408fb35580	469931	2	main	slash	80	square	global	RVF	yes	present	1	867
62ec219e5f3634408fb35580	525629	3	practice	z	1	circle	global	LVF	yes	present	1	721
62ec219e5f3634408fb35580	528858	3	practice	z	2	circle	global	RVF	yes	present	1	712
62ec219e5f3634408fb35580	532932	3	practice	z	3	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	536953	3	practice	z	4	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	539985	3	practice	z	5	circle	global	RVF	yes	present	1	826
62ec219e5f3634408fb35580	542930	3	practice	z	6	circle	local	RVF	yes	present	1	868
62ec219e5f3634408fb35580	546881	3	practice	z	7	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	549937	3	practice	z	8	square	global	LVF	yes	present	1	817
62ec219e5f3634408fb35580	552988	3	practice	z	9	circle	global	LVF	yes	present	1	799
62ec219e5f3634408fb35580	555971	3	practice	z	10	square	global	RVF	yes	present	1	846
62ec219e5f3634408fb35580	558906	3	practice	z	11	circle	local	RVF	yes	present	1	794
62ec219e5f3634408fb35580	563015	3	practice	z	12	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	566109	3	practice	z	13	square	local	LVF	yes	present	1	839
62ec219e5f3634408fb35580	569041	3	practice	z	14	circle	local	RVF	yes	present	1	818
62ec219e5f3634408fb35580	571995	3	practice	z	15	square	global	LVF	yes	present	1	817
62ec219e5f3634408fb35580	574865	3	practice	z	16	square	local	LVF	yes	present	1	802
62ec219e5f3634408fb35580	582794	4	main	z	1	square	local	RVF	yes	present	1	555
62ec219e5f3634408fb35580	585045	4	main	z	2	square	global	LVF	yes	present	1	870
62ec219e5f3634408fb35580	587082	4	main	z	3	square	local	RVF	yes	present	1	806
62ec219e5f3634408fb35580	590312	4	main	z	4	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	592112	4	main	z	5	circle	local	LVF	yes	present	1	830
62ec219e5f3634408fb35580	595518	4	main	z	6	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	597326	4	main	z	7	circle	local	RVF	yes	present	1	805
62ec219e5f3634408fb35580	600607	4	main	z	8	square	local	RVF	yes	absent	0	2000
62ec219e5f3634408fb35580	602636	4	main	z	9	square	global	RVF	yes	present	1	826
62ec219e5f3634408fb35580	604739	4	main	z	10	square	local	LVF	yes	present	1	843
62ec219e5f3634408fb35580	606750	4	main	z	11	circle	local	RVF	yes	present	1	803
62ec219e5f3634408fb35580	608752	4	main	z	12	square	global	LVF	yes	present	1	802
62ec219e5f3634408fb35580	611986	4	main	z	13	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	613860	4	main	z	14	circle	local	LVF	yes	present	1	754
62ec219e5f3634408fb35580	617141	4	main	z	15	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	618982	4	main	z	16	circle	local	LVF	yes	present	1	854
62ec219e5f3634408fb35580	621084	4	main	z	17	circle	global	LVF	yes	present	1	871
62ec219e5f3634408fb35580	623157	4	main	z	18	square	local	LVF	yes	present	1	858
62ec219e5f3634408fb35580	625435	4	main	z	19	square	local	LVF	yes	present	1	950
62ec219e5f3634408fb35580	627668	4	main	z	20	square	global	LVF	yes	present	1	1013
62ec219e5f3634408fb35580	629712	4	main	z	21	square	global	RVF	yes	present	1	838
62ec219e5f3634408fb35580	631820	4	main	z	22	circle	local	RVF	yes	present	1	862
62ec219e5f3634408fb35580	633817	4	main	z	23	circle	global	RVF	yes	present	1	840
62ec219e5f3634408fb35580	635824	4	main	z	24	circle	global	RVF	yes	present	1	811
62ec219e5f3634408fb35580	637819	4	main	z	25	circle	global	RVF	yes	present	1	819
62ec219e5f3634408fb35580	639815	4	main	z	26	square	global	RVF	yes	present	1	847
62ec219e5f3634408fb35580	641948	4	main	z	27	circle	global	RVF	yes	present	1	812
62ec219e5f3634408fb35580	645239	4	main	z	28	square	local	LVF	yes	absent	0	2000
62ec219e5f3634408fb35580	648637	4	main	z	29	square	local	RVF	yes	present	1	977
62ec219e5f3634408fb35580	650631	4	main	z	30	circle	local	RVF	yes	present	1	818
62ec219e5f3634408fb35580	652596	4	main	z	31	circle	global	LVF	yes	present	1	798
62ec219e5f3634408fb35580	654866	4	main	z	32	square	global	RVF	yes	present	1	899
62ec219e5f3634408fb35580	658354	4	main	z	33	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	662308	4	main	z	34	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	665712	4	main	z	35	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	667772	4	main	z	36	circle	global	LVF	yes	present	1	774
62ec219e5f3634408fb35580	669947	4	main	z	37	circle	local	LVF	yes	present	1	879
62ec219e5f3634408fb35580	671910	4	main	z	38	square	global	LVF	yes	present	1	757
62ec219e5f3634408fb35580	675205	4	main	z	39	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	677192	4	main	z	40	circle	global	LVF	yes	present	1	816
62ec219e5f3634408fb35580	679362	4	main	z	41	square	local	RVF	yes	present	1	951
62ec219e5f3634408fb35580	682497	4	main	z	42	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	684582	4	main	z	43	circle	local	RVF	yes	present	1	849
62ec219e5f3634408fb35580	686606	4	main	z	44	square	local	LVF	yes	present	1	870
62ec219e5f3634408fb35580	688581	4	main	z	45	circle	local	LVF	yes	present	1	826
62ec219e5f3634408fb35580	691707	4	main	z	46	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	694761	4	main	z	47	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	696597	4	main	z	48	square	global	LVF	yes	present	1	866
62ec219e5f3634408fb35580	698560	4	main	z	49	square	global	RVF	yes	present	1	810
62ec219e5f3634408fb35580	701701	4	main	z	50	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	703803	4	main	z	51	circle	local	LVF	yes	present	1	865
62ec219e5f3634408fb35580	705844	4	main	z	52	square	local	RVF	yes	present	1	886
62ec219e5f3634408fb35580	707889	4	main	z	53	circle	local	RVF	yes	present	1	847
62ec219e5f3634408fb35580	709832	4	main	z	54	circle	local	LVF	yes	present	1	804
62ec219e5f3634408fb35580	712981	4	main	z	55	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	715313	4	main	z	56	square	global	RVF	yes	present	1	861
62ec219e5f3634408fb35580	717249	4	main	z	57	circle	local	LVF	yes	present	1	795
62ec219e5f3634408fb35580	720355	4	main	z	58	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	722327	4	main	z	59	circle	local	RVF	yes	present	1	818
62ec219e5f3634408fb35580	724290	4	main	z	60	square	global	LVF	yes	present	1	845
62ec219e5f3634408fb35580	726292	4	main	z	61	circle	global	RVF	yes	present	1	863
62ec219e5f3634408fb35580	729432	4	main	z	62	square	local	RVF	yes	absent	0	2000
62ec219e5f3634408fb35580	731362	4	main	z	63	circle	global	RVF	yes	present	1	826
62ec219e5f3634408fb35580	733359	4	main	z	64	square	local	RVF	yes	present	1	905
62ec219e5f3634408fb35580	735863	4	main	z	65	square	global	LVF	yes	present	1	1356
62ec219e5f3634408fb35580	737722	4	main	z	66	circle	local	RVF	yes	present	1	813
62ec219e5f3634408fb35580	739735	4	main	z	67	circle	global	RVF	yes	present	1	874
62ec219e5f3634408fb35580	741769	4	main	z	68	square	local	LVF	yes	present	1	889
62ec219e5f3634408fb35580	743724	4	main	z	69	circle	global	LVF	yes	present	1	808
62ec219e5f3634408fb35580	745712	4	main	z	70	square	global	RVF	yes	present	1	844
62ec219e5f3634408fb35580	747693	4	main	z	71	circle	global	LVF	yes	present	1	840
62ec219e5f3634408fb35580	750872	4	main	z	72	absent	absent	absent	no	absent	1	2000
62ec219e5f3634408fb35580	753030	4	main	z	73	square	local	LVF	yes	present	1	871
62ec219e5f3634408fb35580	755051	4	main	z	74	square	local	LVF	yes	present	1	872
62ec219e5f3634408fb35580	757180	4	main	z	75	square	global	LVF	yes	present	1	999
62ec219e5f3634408fb35580	759151	4	main	z	76	circle	global	LVF	yes	present	1	852
62ec219e5f3634408fb35580	761599	4	main	z	77	square	global	RVF	yes	present	1	1330
62ec219e5f3634408fb35580	763443	4	main	z	78	circle	global	RVF	yes	present	1	789
62ec219e5f3634408fb35580	765463	4	main	z	79	circle	global	LVF	yes	present	1	856
62ec219e5f3634408fb35580	768642	4	main	z	80	absent	absent	absent	no	absent	1	2000
