subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62ec3412706175ea98e11fba	143920	1	practice	slash	1	circle	global	LVF	yes	absent	0	2000
62ec3412706175ea98e11fba	147173	1	practice	slash	2	circle	local	RVF	yes	present	1	618
62ec3412706175ea98e11fba	151994	1	practice	slash	3	circle	local	RVF	yes	absent	0	2000
62ec3412706175ea98e11fba	154908	1	practice	slash	4	square	global	RVF	yes	present	1	862
62ec3412706175ea98e11fba	157622	1	practice	slash	5	square	local	LVF	yes	present	1	490
62ec3412706175ea98e11fba	160223	1	practice	slash	6	circle	local	RVF	yes	present	1	622
62ec3412706175ea98e11fba	162417	1	practice	slash	7	circle	global	LVF	yes	present	1	497
62ec3412706175ea98e11fba	164829	1	practice	slash	8	absent	absent	absent	no	present	0	524
62ec3412706175ea98e11fba	167152	1	practice	slash	9	square	local	LVF	yes	present	1	327
62ec3412706175ea98e11fba	169477	1	practice	slash	10	square	global	LVF	yes	present	1	374
62ec3412706175ea98e11fba	171915	1	practice	slash	11	absent	absent	absent	no	present	0	617
62ec3412706175ea98e11fba	174392	1	practice	slash	12	circle	global	RVF	yes	present	1	610
62ec3412706175ea98e11fba	176980	1	practice	slash	13	circle	global	RVF	yes	present	1	528
62ec3412706175ea98e11fba	180739	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	184892	1	practice	slash	15	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	187674	1	practice	slash	16	square	global	LVF	yes	present	1	561
62ec3412706175ea98e11fba	196066	2	main	slash	1	circle	global	LVF	yes	present	1	712
62ec3412706175ea98e11fba	198242	2	main	slash	2	square	local	LVF	yes	present	1	836
62ec3412706175ea98e11fba	199962	2	main	slash	3	square	global	LVF	yes	present	1	387
62ec3412706175ea98e11fba	201538	2	main	slash	4	square	global	LVF	yes	present	1	429
62ec3412706175ea98e11fba	203713	2	main	slash	5	square	local	LVF	yes	present	1	1185
62ec3412706175ea98e11fba	205452	2	main	slash	6	square	local	RVF	yes	present	1	657
62ec3412706175ea98e11fba	207124	2	main	slash	7	circle	global	LVF	yes	present	1	661
62ec3412706175ea98e11fba	208968	2	main	slash	8	square	global	RVF	yes	present	1	836
62ec3412706175ea98e11fba	211967	2	main	slash	9	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	213728	2	main	slash	10	square	local	RVF	yes	present	1	641
62ec3412706175ea98e11fba	215409	2	main	slash	11	circle	local	LVF	yes	present	1	670
62ec3412706175ea98e11fba	216993	2	main	slash	12	square	global	RVF	yes	present	1	653
62ec3412706175ea98e11fba	218719	2	main	slash	13	square	global	RVF	yes	present	1	811
62ec3412706175ea98e11fba	220725	2	main	slash	14	circle	local	LVF	yes	present	1	1164
62ec3412706175ea98e11fba	223631	2	main	slash	15	circle	local	RVF	yes	present	1	784
62ec3412706175ea98e11fba	226582	2	main	slash	16	circle	local	RVF	yes	absent	0	2000
62ec3412706175ea98e11fba	228385	2	main	slash	17	circle	global	RVF	yes	present	1	683
62ec3412706175ea98e11fba	230132	2	main	slash	18	square	local	LVF	yes	present	1	778
62ec3412706175ea98e11fba	232922	2	main	slash	19	circle	global	LVF	yes	absent	0	2000
62ec3412706175ea98e11fba	235001	2	main	slash	20	square	global	RVF	yes	present	1	1010
62ec3412706175ea98e11fba	236587	2	main	slash	21	square	local	RVF	yes	present	1	810
62ec3412706175ea98e11fba	239378	2	main	slash	22	circle	global	LVF	yes	absent	0	2000
62ec3412706175ea98e11fba	242782	2	main	slash	23	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	246403	2	main	slash	24	circle	global	RVF	yes	absent	0	2000
62ec3412706175ea98e11fba	248018	2	main	slash	25	square	global	LVF	yes	present	1	714
62ec3412706175ea98e11fba	250790	2	main	slash	26	circle	global	RVF	yes	absent	0	2000
62ec3412706175ea98e11fba	256146	2	main	slash	27	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	259031	2	main	slash	28	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	260887	2	main	slash	29	circle	local	RVF	yes	present	1	770
62ec3412706175ea98e11fba	262512	2	main	slash	30	square	global	LVF	yes	present	1	844
62ec3412706175ea98e11fba	265288	2	main	slash	31	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	266746	2	main	slash	32	circle	local	LVF	yes	present	1	772
62ec3412706175ea98e11fba	269525	2	main	slash	33	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	272445	2	main	slash	34	square	local	LVF	yes	absent	0	2000
62ec3412706175ea98e11fba	275631	2	main	slash	35	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	277263	2	main	slash	36	circle	global	RVF	yes	present	1	680
62ec3412706175ea98e11fba	280035	2	main	slash	37	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	281708	2	main	slash	38	circle	local	LVF	yes	present	1	703
62ec3412706175ea98e11fba	283258	2	main	slash	39	circle	local	RVF	yes	present	1	767
62ec3412706175ea98e11fba	284775	2	main	slash	40	square	local	RVF	yes	present	1	750
62ec3412706175ea98e11fba	287527	2	main	slash	41	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	289122	2	main	slash	42	circle	global	RVF	yes	present	1	660
62ec3412706175ea98e11fba	290571	2	main	slash	43	square	global	RVF	yes	present	1	691
62ec3412706175ea98e11fba	292516	2	main	slash	44	square	local	RVF	yes	present	1	1184
62ec3412706175ea98e11fba	294106	2	main	slash	45	square	global	LVF	yes	present	1	773
62ec3412706175ea98e11fba	296869	2	main	slash	46	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	298523	2	main	slash	47	circle	global	LVF	yes	present	1	801
62ec3412706175ea98e11fba	300054	2	main	slash	48	square	global	LVF	yes	present	1	780
62ec3412706175ea98e11fba	301570	2	main	slash	49	circle	local	LVF	yes	present	1	762
62ec3412706175ea98e11fba	303087	2	main	slash	50	square	global	LVF	yes	present	1	745
62ec3412706175ea98e11fba	304570	2	main	slash	51	circle	global	LVF	yes	present	1	760
62ec3412706175ea98e11fba	306149	2	main	slash	52	circle	local	RVF	yes	present	1	819
62ec3412706175ea98e11fba	308915	2	main	slash	53	square	local	LVF	yes	absent	0	2000
62ec3412706175ea98e11fba	310721	2	main	slash	54	square	local	RVF	yes	present	1	838
62ec3412706175ea98e11fba	312218	2	main	slash	55	square	local	RVF	yes	present	1	749
62ec3412706175ea98e11fba	313734	2	main	slash	56	square	global	LVF	yes	present	1	764
62ec3412706175ea98e11fba	315264	2	main	slash	57	circle	local	LVF	yes	present	1	760
62ec3412706175ea98e11fba	318023	2	main	slash	58	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	319789	2	main	slash	59	square	local	LVF	yes	present	1	712
62ec3412706175ea98e11fba	322528	2	main	slash	60	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	324245	2	main	slash	61	square	local	LVF	yes	present	1	615
62ec3412706175ea98e11fba	325756	2	main	slash	62	circle	global	LVF	yes	present	1	740
62ec3412706175ea98e11fba	327233	2	main	slash	63	circle	local	RVF	yes	present	1	716
62ec3412706175ea98e11fba	328669	2	main	slash	64	square	global	RVF	yes	present	1	683
62ec3412706175ea98e11fba	331437	2	main	slash	65	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	333009	2	main	slash	66	circle	local	LVF	yes	present	1	703
62ec3412706175ea98e11fba	334466	2	main	slash	67	square	local	LVF	yes	present	1	708
62ec3412706175ea98e11fba	335969	2	main	slash	68	circle	local	RVF	yes	present	1	744
62ec3412706175ea98e11fba	337899	2	main	slash	69	circle	global	RVF	yes	present	1	1139
62ec3412706175ea98e11fba	339436	2	main	slash	70	square	global	RVF	yes	present	1	774
62ec3412706175ea98e11fba	342181	2	main	slash	71	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	343872	2	main	slash	72	square	local	RVF	yes	present	1	722
62ec3412706175ea98e11fba	345289	2	main	slash	73	square	global	RVF	yes	present	1	687
62ec3412706175ea98e11fba	348053	2	main	slash	74	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	349852	2	main	slash	75	circle	global	RVF	yes	present	1	696
62ec3412706175ea98e11fba	352591	2	main	slash	76	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	354140	2	main	slash	77	circle	local	LVF	yes	present	1	563
62ec3412706175ea98e11fba	355597	2	main	slash	78	circle	global	RVF	yes	present	1	685
62ec3412706175ea98e11fba	356991	2	main	slash	79	circle	global	LVF	yes	present	1	662
62ec3412706175ea98e11fba	358420	2	main	slash	80	circle	local	RVF	yes	present	1	672
62ec3412706175ea98e11fba	377453	3	practice	z	1	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	380330	3	practice	z	2	circle	global	RVF	yes	present	1	608
62ec3412706175ea98e11fba	383258	3	practice	z	3	square	local	LVF	yes	present	1	733
62ec3412706175ea98e11fba	386032	3	practice	z	4	circle	local	RVF	yes	present	1	656
62ec3412706175ea98e11fba	388788	3	practice	z	5	circle	global	RVF	yes	present	1	642
62ec3412706175ea98e11fba	391466	3	practice	z	6	circle	local	RVF	yes	present	1	616
62ec3412706175ea98e11fba	394206	3	practice	z	7	square	global	LVF	yes	present	1	738
62ec3412706175ea98e11fba	396984	3	practice	z	8	circle	global	LVF	yes	present	1	629
62ec3412706175ea98e11fba	399584	3	practice	z	9	circle	local	RVF	yes	present	1	644
62ec3412706175ea98e11fba	403545	3	practice	z	10	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	407565	3	practice	z	11	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	410360	3	practice	z	12	square	local	LVF	yes	present	1	642
62ec3412706175ea98e11fba	413089	3	practice	z	13	square	global	LVF	yes	present	1	686
62ec3412706175ea98e11fba	417057	3	practice	z	14	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	419983	3	practice	z	15	circle	global	LVF	yes	present	1	656
62ec3412706175ea98e11fba	422700	3	practice	z	16	square	global	RVF	yes	present	1	636
62ec3412706175ea98e11fba	428655	4	main	z	1	square	local	RVF	yes	present	1	670
62ec3412706175ea98e11fba	432121	4	main	z	2	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	434957	4	main	z	3	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	436727	4	main	z	4	circle	local	RVF	yes	present	1	750
62ec3412706175ea98e11fba	438087	4	main	z	5	square	local	LVF	yes	present	1	543
62ec3412706175ea98e11fba	440862	4	main	z	6	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	442565	4	main	z	7	square	global	LVF	yes	present	1	699
62ec3412706175ea98e11fba	444115	4	main	z	8	square	global	LVF	yes	present	1	799
62ec3412706175ea98e11fba	446886	4	main	z	9	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	448713	4	main	z	10	square	local	RVF	yes	present	1	775
62ec3412706175ea98e11fba	450183	4	main	z	11	circle	local	RVF	yes	present	1	727
62ec3412706175ea98e11fba	451754	4	main	z	12	square	global	LVF	yes	present	1	813
62ec3412706175ea98e11fba	453299	4	main	z	13	circle	global	RVF	yes	present	1	773
62ec3412706175ea98e11fba	454849	4	main	z	14	square	local	LVF	yes	present	1	805
62ec3412706175ea98e11fba	456353	4	main	z	15	square	global	LVF	yes	present	1	758
62ec3412706175ea98e11fba	459081	4	main	z	16	absent	absent	absent	no	absent	1	2000
62ec3412706175ea98e11fba	460620	4	main	z	17	circle	global	RVF	yes	present	1	620
62ec3412706175ea98e11fba	463368	4	main	z	18	absent	absent	absent	no	absent	1	2000
