subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
62f9fbc07e4fc1bfe47070e5	163345	1	practice	z	1	circle	global	RVF	yes	absent	0	2003
62f9fbc07e4fc1bfe47070e5	166354	1	practice	z	2	circle	global	LVF	yes	present	1	499
62f9fbc07e4fc1bfe47070e5	169668	1	practice	z	3	circle	global	RVF	yes	present	1	369
62f9fbc07e4fc1bfe47070e5	172381	1	practice	z	4	square	global	LVF	yes	present	1	568
62f9fbc07e4fc1bfe47070e5	174789	1	practice	z	5	square	global	LVF	yes	present	1	316
62f9fbc07e4fc1bfe47070e5	177399	1	practice	z	6	square	local	LVF	yes	present	1	351
62f9fbc07e4fc1bfe47070e5	180100	1	practice	z	7	circle	local	RVF	yes	present	1	560
62f9fbc07e4fc1bfe47070e5	182365	1	practice	z	8	square	global	RVF	yes	present	1	388
62f9fbc07e4fc1bfe47070e5	185724	1	practice	z	9	absent	absent	absent	no	present	0	1372
62f9fbc07e4fc1bfe47070e5	190542	1	practice	z	10	circle	global	LVF	yes	present	1	567
62f9fbc07e4fc1bfe47070e5	192964	1	practice	z	11	circle	local	RVF	yes	present	1	335
62f9fbc07e4fc1bfe47070e5	195112	1	practice	z	12	absent	absent	absent	no	present	0	275
62f9fbc07e4fc1bfe47070e5	197696	1	practice	z	13	circle	local	RVF	yes	present	1	554
62f9fbc07e4fc1bfe47070e5	200167	1	practice	z	14	square	local	LVF	yes	present	1	554
62f9fbc07e4fc1bfe47070e5	202590	1	practice	z	15	absent	absent	absent	no	present	0	529
62f9fbc07e4fc1bfe47070e5	206525	1	practice	z	16	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	227767	2	main	z	1	square	global	LVF	yes	present	1	488
62f9fbc07e4fc1bfe47070e5	229934	2	main	z	2	square	local	LVF	yes	present	1	482
62f9fbc07e4fc1bfe47070e5	231558	2	main	z	3	square	global	RVF	yes	present	1	405
62f9fbc07e4fc1bfe47070e5	233090	2	main	z	4	circle	local	LVF	yes	present	1	410
62f9fbc07e4fc1bfe47070e5	234525	2	main	z	5	square	local	LVF	yes	present	1	427
62f9fbc07e4fc1bfe47070e5	236730	2	main	z	6	square	local	RVF	yes	present	1	1216
62f9fbc07e4fc1bfe47070e5	239926	2	main	z	7	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	241399	2	main	z	8	circle	local	LVF	yes	present	1	421
62f9fbc07e4fc1bfe47070e5	243008	2	main	z	9	circle	local	RVF	yes	present	1	495
62f9fbc07e4fc1bfe47070e5	246022	2	main	z	10	circle	global	LVF	yes	absent	0	2003
62f9fbc07e4fc1bfe47070e5	248148	2	main	z	11	circle	global	RVF	yes	present	1	1109
62f9fbc07e4fc1bfe47070e5	251271	2	main	z	12	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	254652	2	main	z	13	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	256930	2	main	z	14	circle	global	RVF	yes	present	1	1288
62f9fbc07e4fc1bfe47070e5	258925	2	main	z	15	square	local	LVF	yes	present	1	811
62f9fbc07e4fc1bfe47070e5	260457	2	main	z	16	square	local	RVF	yes	present	1	455
62f9fbc07e4fc1bfe47070e5	262029	2	main	z	17	circle	local	RVF	yes	present	1	444
62f9fbc07e4fc1bfe47070e5	263754	2	main	z	18	square	global	RVF	yes	present	1	676
62f9fbc07e4fc1bfe47070e5	265447	2	main	z	19	circle	local	RVF	yes	present	1	626
62f9fbc07e4fc1bfe47070e5	268448	2	main	z	20	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	269723	2	main	z	21	circle	local	LVF	yes	present	1	411
62f9fbc07e4fc1bfe47070e5	271236	2	main	z	22	circle	local	LVF	yes	present	1	500
62f9fbc07e4fc1bfe47070e5	272558	2	main	z	23	circle	global	RVF	yes	present	1	337
62f9fbc07e4fc1bfe47070e5	274165	2	main	z	24	circle	local	RVF	yes	present	1	436
62f9fbc07e4fc1bfe47070e5	277189	2	main	z	25	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	278806	2	main	z	26	square	global	LVF	yes	present	1	731
62f9fbc07e4fc1bfe47070e5	281848	2	main	z	27	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	283290	2	main	z	28	square	local	LVF	yes	present	1	563
62f9fbc07e4fc1bfe47070e5	284862	2	main	z	29	square	global	RVF	yes	present	1	517
62f9fbc07e4fc1bfe47070e5	287827	2	main	z	30	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	289102	2	main	z	31	square	global	LVF	yes	present	1	446
62f9fbc07e4fc1bfe47070e5	290435	2	main	z	32	square	global	LVF	yes	present	1	376
62f9fbc07e4fc1bfe47070e5	291739	2	main	z	33	square	local	RVF	yes	present	1	361
62f9fbc07e4fc1bfe47070e5	294013	2	main	z	34	circle	global	LVF	yes	present	1	892
62f9fbc07e4fc1bfe47070e5	296341	2	main	z	35	square	local	RVF	yes	present	1	831
62f9fbc07e4fc1bfe47070e5	298000	2	main	z	36	square	global	RVF	yes	present	1	554
62f9fbc07e4fc1bfe47070e5	299577	2	main	z	37	circle	global	LVF	yes	present	1	492
62f9fbc07e4fc1bfe47070e5	300901	2	main	z	38	circle	global	RVF	yes	present	1	330
62f9fbc07e4fc1bfe47070e5	303844	2	main	z	39	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	305168	2	main	z	40	circle	global	LVF	yes	present	1	502
62f9fbc07e4fc1bfe47070e5	306744	2	main	z	41	circle	local	LVF	yes	present	1	535
62f9fbc07e4fc1bfe47070e5	308379	2	main	z	42	circle	global	LVF	yes	present	1	629
62f9fbc07e4fc1bfe47070e5	309828	2	main	z	43	square	global	RVF	yes	present	1	481
62f9fbc07e4fc1bfe47070e5	311244	2	main	z	44	circle	global	RVF	yes	present	1	446
62f9fbc07e4fc1bfe47070e5	313007	2	main	z	45	square	local	LVF	yes	present	1	820
62f9fbc07e4fc1bfe47070e5	314371	2	main	z	46	circle	global	RVF	yes	present	1	407
62f9fbc07e4fc1bfe47070e5	315736	2	main	z	47	circle	local	LVF	yes	present	1	418
62f9fbc07e4fc1bfe47070e5	317127	2	main	z	48	square	global	LVF	yes	present	1	462
62f9fbc07e4fc1bfe47070e5	318686	2	main	z	49	square	local	RVF	yes	present	1	639
62f9fbc07e4fc1bfe47070e5	320074	2	main	z	50	circle	local	LVF	yes	present	1	479
62f9fbc07e4fc1bfe47070e5	321414	2	main	z	51	circle	global	RVF	yes	present	1	382
62f9fbc07e4fc1bfe47070e5	322789	2	main	z	52	circle	global	LVF	yes	present	1	445
62f9fbc07e4fc1bfe47070e5	325729	2	main	z	53	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	327376	2	main	z	54	square	local	RVF	yes	present	1	522
62f9fbc07e4fc1bfe47070e5	328668	2	main	z	55	circle	global	LVF	yes	present	1	304
62f9fbc07e4fc1bfe47070e5	330123	2	main	z	56	circle	local	RVF	yes	present	1	476
62f9fbc07e4fc1bfe47070e5	331474	2	main	z	57	square	local	LVF	yes	present	1	465
62f9fbc07e4fc1bfe47070e5	332955	2	main	z	58	square	global	RVF	yes	present	1	503
62f9fbc07e4fc1bfe47070e5	336026	2	main	z	59	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	337600	2	main	z	60	circle	global	LVF	yes	present	1	404
62f9fbc07e4fc1bfe47070e5	339199	2	main	z	61	circle	local	RVF	yes	present	1	713
62f9fbc07e4fc1bfe47070e5	340600	2	main	z	62	square	global	LVF	yes	present	1	440
62f9fbc07e4fc1bfe47070e5	342231	2	main	z	63	absent	absent	absent	no	present	0	780
62f9fbc07e4fc1bfe47070e5	343619	2	main	z	64	circle	local	LVF	yes	present	1	453
62f9fbc07e4fc1bfe47070e5	345115	2	main	z	65	square	global	RVF	yes	present	1	575
62f9fbc07e4fc1bfe47070e5	346520	2	main	z	66	circle	global	RVF	yes	present	1	417
62f9fbc07e4fc1bfe47070e5	347986	2	main	z	67	square	global	LVF	yes	present	1	557
62f9fbc07e4fc1bfe47070e5	349474	2	main	z	68	circle	local	RVF	yes	present	1	483
62f9fbc07e4fc1bfe47070e5	350785	2	main	z	69	square	local	LVF	yes	present	1	356
62f9fbc07e4fc1bfe47070e5	352289	2	main	z	70	square	local	LVF	yes	present	1	617
62f9fbc07e4fc1bfe47070e5	353657	2	main	z	71	square	global	LVF	yes	present	1	402
62f9fbc07e4fc1bfe47070e5	357111	2	main	z	72	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	358461	2	main	z	73	square	local	RVF	yes	present	1	415
62f9fbc07e4fc1bfe47070e5	361423	2	main	z	74	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	362789	2	main	z	75	square	local	RVF	yes	present	1	480
62f9fbc07e4fc1bfe47070e5	365874	2	main	z	76	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	369109	2	main	z	77	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	372227	2	main	z	78	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	373813	2	main	z	79	square	global	RVF	yes	present	1	472
62f9fbc07e4fc1bfe47070e5	375218	2	main	z	80	circle	local	RVF	yes	present	1	467
62f9fbc07e4fc1bfe47070e5	400543	3	practice	slash	1	circle	global	LVF	yes	present	1	594
62f9fbc07e4fc1bfe47070e5	402840	3	practice	slash	2	circle	local	RVF	yes	present	1	371
62f9fbc07e4fc1bfe47070e5	405024	3	practice	slash	3	circle	global	RVF	yes	present	1	312
62f9fbc07e4fc1bfe47070e5	407460	3	practice	slash	4	square	local	LVF	yes	present	1	526
62f9fbc07e4fc1bfe47070e5	411332	3	practice	slash	5	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	413875	3	practice	slash	6	square	global	RVF	yes	present	1	407
62f9fbc07e4fc1bfe47070e5	417845	3	practice	slash	7	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	420418	3	practice	slash	8	square	local	LVF	yes	present	1	418
62f9fbc07e4fc1bfe47070e5	423252	3	practice	slash	9	circle	global	RVF	yes	present	1	446
62f9fbc07e4fc1bfe47070e5	427239	3	practice	slash	10	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	429737	3	practice	slash	11	circle	global	LVF	yes	present	1	461
62f9fbc07e4fc1bfe47070e5	432172	3	practice	slash	12	circle	local	RVF	yes	present	1	472
62f9fbc07e4fc1bfe47070e5	434644	3	practice	slash	13	circle	local	RVF	yes	present	1	458
62f9fbc07e4fc1bfe47070e5	437129	3	practice	slash	14	square	global	LVF	yes	present	1	451
62f9fbc07e4fc1bfe47070e5	439550	3	practice	slash	15	square	global	LVF	yes	present	1	386
62f9fbc07e4fc1bfe47070e5	443715	3	practice	slash	16	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	452419	4	main	slash	1	square	global	LVF	yes	present	1	551
62f9fbc07e4fc1bfe47070e5	454962	4	main	slash	2	circle	local	LVF	yes	present	1	456
62f9fbc07e4fc1bfe47070e5	456504	4	main	slash	3	circle	local	RVF	yes	present	1	393
62f9fbc07e4fc1bfe47070e5	459599	4	main	slash	4	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	462487	4	main	slash	5	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	463943	4	main	slash	6	square	local	LVF	yes	present	1	571
62f9fbc07e4fc1bfe47070e5	465331	4	main	slash	7	square	global	RVF	yes	present	1	382
62f9fbc07e4fc1bfe47070e5	466855	4	main	slash	8	circle	local	LVF	yes	present	1	476
62f9fbc07e4fc1bfe47070e5	468318	4	main	slash	9	circle	local	RVF	yes	present	1	398
62f9fbc07e4fc1bfe47070e5	469762	4	main	slash	10	square	local	LVF	yes	present	1	405
62f9fbc07e4fc1bfe47070e5	473256	4	main	slash	11	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	474542	4	main	slash	12	circle	local	LVF	yes	present	1	397
62f9fbc07e4fc1bfe47070e5	476009	4	main	slash	13	square	global	RVF	yes	present	1	486
62f9fbc07e4fc1bfe47070e5	477549	4	main	slash	14	circle	local	RVF	yes	present	1	519
62f9fbc07e4fc1bfe47070e5	479069	4	main	slash	15	square	local	LVF	yes	present	1	525
62f9fbc07e4fc1bfe47070e5	480564	4	main	slash	16	square	global	RVF	yes	present	1	500
62f9fbc07e4fc1bfe47070e5	481960	4	main	slash	17	circle	global	LVF	yes	present	1	459
62f9fbc07e4fc1bfe47070e5	483243	4	main	slash	18	circle	global	LVF	yes	present	1	333
62f9fbc07e4fc1bfe47070e5	484928	4	main	slash	19	square	local	RVF	yes	present	1	608
62f9fbc07e4fc1bfe47070e5	486447	4	main	slash	20	circle	global	LVF	yes	present	1	538
62f9fbc07e4fc1bfe47070e5	489516	4	main	slash	21	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	490883	4	main	slash	22	square	global	LVF	yes	present	1	412
62f9fbc07e4fc1bfe47070e5	492215	4	main	slash	23	square	global	LVF	yes	present	1	418
62f9fbc07e4fc1bfe47070e5	493631	4	main	slash	24	circle	global	RVF	yes	present	1	494
62f9fbc07e4fc1bfe47070e5	496702	4	main	slash	25	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	498211	4	main	slash	26	square	local	RVF	yes	present	1	630
62f9fbc07e4fc1bfe47070e5	499533	4	main	slash	27	square	local	RVF	yes	present	1	376
62f9fbc07e4fc1bfe47070e5	501502	4	main	slash	28	square	local	LVF	yes	present	1	531
62f9fbc07e4fc1bfe47070e5	503124	4	main	slash	29	square	global	LVF	yes	present	1	468
62f9fbc07e4fc1bfe47070e5	506103	4	main	slash	30	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	507590	4	main	slash	31	circle	global	RVF	yes	present	1	511
62f9fbc07e4fc1bfe47070e5	509066	4	main	slash	32	square	local	RVF	yes	present	1	508
62f9fbc07e4fc1bfe47070e5	511991	4	main	slash	33	absent	absent	absent	no	absent	1	2003
62f9fbc07e4fc1bfe47070e5	513637	4	main	slash	34	circle	local	RVF	yes	present	1	705
