subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
6310b35d758f80e9cf3f4e41	231763	1	practice	slash	1	circle	global	RVF	yes	present	1	481
6310b35d758f80e9cf3f4e41	240361	1	practice	slash	2	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	247827	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	251069	1	practice	slash	4	circle	local	RVF	yes	present	1	905
6310b35d758f80e9cf3f4e41	255360	1	practice	slash	5	square	local	LVF	yes	absent	0	2000
6310b35d758f80e9cf3f4e41	259027	1	practice	slash	6	circle	local	RVF	yes	present	1	929
6310b35d758f80e9cf3f4e41	262259	1	practice	slash	7	square	global	LVF	yes	present	1	1012
6310b35d758f80e9cf3f4e41	265343	1	practice	slash	8	circle	local	RVF	yes	present	1	863
6310b35d758f80e9cf3f4e41	268498	1	practice	slash	9	circle	global	LVF	yes	present	1	1000
6310b35d758f80e9cf3f4e41	271883	1	practice	slash	10	absent	absent	absent	no	present	0	1236
6310b35d758f80e9cf3f4e41	275017	1	practice	slash	11	circle	global	RVF	yes	present	1	920
6310b35d758f80e9cf3f4e41	278281	1	practice	slash	12	square	local	LVF	yes	present	1	1167
6310b35d758f80e9cf3f4e41	281534	1	practice	slash	13	square	global	LVF	yes	present	1	1071
6310b35d758f80e9cf3f4e41	286110	1	practice	slash	14	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	289336	1	practice	slash	15	circle	global	LVF	yes	present	1	706
6310b35d758f80e9cf3f4e41	292947	1	practice	slash	16	square	global	RVF	yes	present	1	717
6310b35d758f80e9cf3f4e41	317467	2	main	slash	1	circle	global	LVF	yes	present	1	605
6310b35d758f80e9cf3f4e41	324988	2	main	slash	2	circle	global	RVF	yes	present	1	675
6310b35d758f80e9cf3f4e41	329526	2	main	slash	3	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	331651	2	main	slash	4	square	local	RVF	yes	present	1	654
6310b35d758f80e9cf3f4e41	334203	2	main	slash	5	circle	local	LVF	yes	present	1	956
6310b35d758f80e9cf3f4e41	337525	2	main	slash	6	square	local	LVF	yes	absent	0	2000
6310b35d758f80e9cf3f4e41	339528	2	main	slash	7	square	global	RVF	yes	present	1	683
6310b35d758f80e9cf3f4e41	342017	2	main	slash	8	circle	global	LVF	yes	present	1	855
6310b35d758f80e9cf3f4e41	344013	2	main	slash	9	circle	global	RVF	yes	present	1	767
6310b35d758f80e9cf3f4e41	346180	2	main	slash	10	circle	local	RVF	yes	present	1	735
6310b35d758f80e9cf3f4e41	349542	2	main	slash	11	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	352708	2	main	slash	12	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	354942	2	main	slash	13	square	local	RVF	yes	present	1	880
6310b35d758f80e9cf3f4e41	357732	2	main	slash	14	circle	local	LVF	yes	present	1	919
6310b35d758f80e9cf3f4e41	360274	2	main	slash	15	circle	global	LVF	yes	present	1	778
6310b35d758f80e9cf3f4e41	363799	2	main	slash	16	circle	global	RVF	yes	present	1	721
6310b35d758f80e9cf3f4e41	365836	2	main	slash	17	square	global	RVF	yes	present	1	691
6310b35d758f80e9cf3f4e41	367447	2	main	slash	18	square	global	LVF	yes	present	1	419
6310b35d758f80e9cf3f4e41	369348	2	main	slash	19	absent	absent	absent	no	present	0	603
6310b35d758f80e9cf3f4e41	371276	2	main	slash	20	square	local	RVF	yes	present	1	647
6310b35d758f80e9cf3f4e41	373314	2	main	slash	21	square	local	LVF	yes	present	1	852
6310b35d758f80e9cf3f4e41	376408	2	main	slash	22	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	378371	2	main	slash	23	square	local	LVF	yes	present	1	743
6310b35d758f80e9cf3f4e41	380383	2	main	slash	24	circle	global	RVF	yes	present	1	855
6310b35d758f80e9cf3f4e41	382378	2	main	slash	25	square	local	LVF	yes	present	1	717
6310b35d758f80e9cf3f4e41	385507	2	main	slash	26	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	387281	2	main	slash	27	square	global	RVF	yes	present	1	670
6310b35d758f80e9cf3f4e41	389309	2	main	slash	28	square	global	LVF	yes	present	1	847
6310b35d758f80e9cf3f4e41	391590	2	main	slash	29	square	global	LVF	yes	present	1	1027
6310b35d758f80e9cf3f4e41	399071	2	main	slash	30	square	local	RVF	yes	present	1	693
6310b35d758f80e9cf3f4e41	401120	2	main	slash	31	circle	local	LVF	yes	present	1	526
6310b35d758f80e9cf3f4e41	402680	2	main	slash	32	square	global	LVF	yes	present	1	452
6310b35d758f80e9cf3f4e41	404403	2	main	slash	33	circle	local	RVF	yes	present	1	557
6310b35d758f80e9cf3f4e41	407441	2	main	slash	34	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	408961	2	main	slash	35	circle	local	RVF	yes	present	1	501
6310b35d758f80e9cf3f4e41	410522	2	main	slash	36	square	global	RVF	yes	present	1	428
6310b35d758f80e9cf3f4e41	413558	2	main	slash	37	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	415001	2	main	slash	38	circle	local	RVF	yes	present	1	457
6310b35d758f80e9cf3f4e41	416703	2	main	slash	39	circle	local	LVF	yes	present	1	443
6310b35d758f80e9cf3f4e41	418570	2	main	slash	40	circle	global	LVF	yes	present	1	792
6310b35d758f80e9cf3f4e41	421741	2	main	slash	41	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	424775	2	main	slash	42	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	426758	2	main	slash	43	circle	global	LVF	yes	present	1	779
6310b35d758f80e9cf3f4e41	430006	2	main	slash	44	square	local	LVF	yes	present	1	878
6310b35d758f80e9cf3f4e41	431845	2	main	slash	45	square	local	RVF	yes	present	1	550
6310b35d758f80e9cf3f4e41	433664	2	main	slash	46	square	global	LVF	yes	present	1	670
6310b35d758f80e9cf3f4e41	436856	2	main	slash	47	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	438260	2	main	slash	48	circle	global	RVF	yes	present	1	449
6310b35d758f80e9cf3f4e41	439891	2	main	slash	49	square	global	LVF	yes	present	1	413
6310b35d758f80e9cf3f4e41	441628	2	main	slash	50	circle	local	RVF	yes	present	1	617
6310b35d758f80e9cf3f4e41	444690	2	main	slash	51	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	446141	2	main	slash	52	circle	local	LVF	yes	present	1	464
6310b35d758f80e9cf3f4e41	447970	2	main	slash	53	square	local	LVF	yes	present	1	709
6310b35d758f80e9cf3f4e41	449828	2	main	slash	54	circle	local	RVF	yes	present	1	468
6310b35d758f80e9cf3f4e41	453290	2	main	slash	55	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	454911	2	main	slash	56	square	global	RVF	yes	present	1	600
6310b35d758f80e9cf3f4e41	456687	2	main	slash	57	square	global	LVF	yes	present	1	660
6310b35d758f80e9cf3f4e41	458502	2	main	slash	58	circle	global	RVF	yes	present	1	642
6310b35d758f80e9cf3f4e41	460509	2	main	slash	59	square	local	RVF	yes	present	1	781
6310b35d758f80e9cf3f4e41	462383	2	main	slash	60	square	global	LVF	yes	present	1	788
6310b35d758f80e9cf3f4e41	464062	2	main	slash	61	square	global	RVF	yes	present	1	584
6310b35d758f80e9cf3f4e41	465816	2	main	slash	62	circle	local	RVF	yes	present	1	638
6310b35d758f80e9cf3f4e41	468531	2	main	slash	63	square	local	LVF	yes	present	1	1403
6310b35d758f80e9cf3f4e41	470294	2	main	slash	64	circle	global	LVF	yes	present	1	466
6310b35d758f80e9cf3f4e41	473341	2	main	slash	65	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	475064	2	main	slash	66	square	local	RVF	yes	present	1	737
6310b35d758f80e9cf3f4e41	476999	2	main	slash	67	circle	global	LVF	yes	present	1	822
6310b35d758f80e9cf3f4e41	478851	2	main	slash	68	square	local	RVF	yes	present	1	741
6310b35d758f80e9cf3f4e41	480387	2	main	slash	69	circle	local	RVF	yes	present	1	509
6310b35d758f80e9cf3f4e41	482090	2	main	slash	70	square	local	LVF	yes	present	1	547
6310b35d758f80e9cf3f4e41	485207	2	main	slash	71	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	486586	2	main	slash	72	circle	local	LVF	yes	present	1	426
6310b35d758f80e9cf3f4e41	488240	2	main	slash	73	square	global	RVF	yes	present	1	597
6310b35d758f80e9cf3f4e41	491289	2	main	slash	74	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	492777	2	main	slash	75	circle	global	LVF	yes	present	1	450
6310b35d758f80e9cf3f4e41	494409	2	main	slash	76	circle	local	LVF	yes	present	1	532
6310b35d758f80e9cf3f4e41	496132	2	main	slash	77	square	global	RVF	yes	present	1	639
6310b35d758f80e9cf3f4e41	498097	2	main	slash	78	circle	global	RVF	yes	present	1	854
6310b35d758f80e9cf3f4e41	499654	2	main	slash	79	circle	local	LVF	yes	present	1	476
6310b35d758f80e9cf3f4e41	501378	2	main	slash	80	circle	global	RVF	yes	present	1	685
6310b35d758f80e9cf3f4e41	522409	3	practice	z	1	circle	global	LVF	yes	present	1	716
6310b35d758f80e9cf3f4e41	525115	3	practice	z	2	circle	local	RVF	yes	present	1	505
6310b35d758f80e9cf3f4e41	527967	3	practice	z	3	circle	global	RVF	yes	present	1	559
6310b35d758f80e9cf3f4e41	530935	3	practice	z	4	square	global	LVF	yes	present	1	643
6310b35d758f80e9cf3f4e41	533965	3	practice	z	5	square	global	RVF	yes	present	1	890
6310b35d758f80e9cf3f4e41	537111	3	practice	z	6	circle	global	LVF	yes	present	1	1086
6310b35d758f80e9cf3f4e41	540097	3	practice	z	7	circle	global	RVF	yes	present	1	937
6310b35d758f80e9cf3f4e41	544139	3	practice	z	8	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	548205	3	practice	z	9	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	550987	3	practice	z	10	square	global	LVF	yes	present	1	761
6310b35d758f80e9cf3f4e41	554060	3	practice	z	11	square	local	LVF	yes	present	1	817
6310b35d758f80e9cf3f4e41	558138	3	practice	z	12	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	560992	3	practice	z	13	circle	local	RVF	yes	present	1	700
6310b35d758f80e9cf3f4e41	564251	3	practice	z	14	square	local	LVF	yes	present	1	593
6310b35d758f80e9cf3f4e41	566880	3	practice	z	15	circle	local	RVF	yes	present	1	538
6310b35d758f80e9cf3f4e41	570855	3	practice	z	16	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	580065	4	main	z	1	circle	local	LVF	yes	present	1	507
6310b35d758f80e9cf3f4e41	581863	4	main	z	2	circle	local	LVF	yes	present	1	437
6310b35d758f80e9cf3f4e41	583415	4	main	z	3	circle	global	LVF	yes	present	1	407
6310b35d758f80e9cf3f4e41	586538	4	main	z	4	absent	absent	absent	no	absent	1	2000
6310b35d758f80e9cf3f4e41	588314	4	main	z	5	square	local	RVF	yes	present	1	640
6310b35d758f80e9cf3f4e41	590107	4	main	z	6	square	global	LVF	yes	present	1	498
6310b35d758f80e9cf3f4e41	591941	4	main	z	7	square	global	LVF	yes	present	1	749
6310b35d758f80e9cf3f4e41	593597	4	main	z	8	circle	global	LVF	yes	present	1	489
