subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
631797089a0a1ee579573eb9	388427	1	practice	slash	1	square	global	LVF	yes	present	1	1353
631797089a0a1ee579573eb9	394798	1	practice	slash	2	absent	absent	absent	no	present	0	1741
631797089a0a1ee579573eb9	400740	1	practice	slash	3	absent	absent	absent	no	absent	1	2000
631797089a0a1ee579573eb9	405007	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
631797089a0a1ee579573eb9	410591	1	practice	slash	5	absent	absent	absent	no	absent	1	2000
631797089a0a1ee579573eb9	413784	1	practice	slash	6	circle	local	RVF	yes	present	1	1060
631797089a0a1ee579573eb9	417908	1	practice	slash	7	square	local	LVF	yes	absent	0	2000
631797089a0a1ee579573eb9	421174	1	practice	slash	8	circle	local	RVF	yes	present	1	1033
631797089a0a1ee579573eb9	424036	1	practice	slash	9	circle	global	RVF	yes	present	1	728
631797089a0a1ee579573eb9	426762	1	practice	slash	10	square	local	LVF	yes	present	1	721
631797089a0a1ee579573eb9	429289	1	practice	slash	11	circle	global	LVF	yes	present	1	648
631797089a0a1ee579573eb9	431928	1	practice	slash	12	circle	local	RVF	yes	present	1	637
631797089a0a1ee579573eb9	434420	1	practice	slash	13	circle	global	RVF	yes	present	1	579
631797089a0a1ee579573eb9	436880	1	practice	slash	14	square	global	RVF	yes	present	1	539
631797089a0a1ee579573eb9	439479	1	practice	slash	15	circle	global	LVF	yes	present	1	671
631797089a0a1ee579573eb9	442072	1	practice	slash	16	square	global	LVF	yes	present	1	714
631797089a0a1ee579573eb9	448016	2	main	slash	1	square	local	RVF	yes	present	1	691
631797089a0a1ee579573eb9	451246	2	main	slash	2	square	local	RVF	yes	present	1	971
631797089a0a1ee579573eb9	454675	2	main	slash	3	square	local	LVF	yes	absent	0	2000
631797089a0a1ee579573eb9	456740	2	main	slash	4	circle	local	RVF	yes	present	1	798
631797089a0a1ee579573eb9	458572	2	main	slash	5	circle	global	LVF	yes	present	1	597
631797089a0a1ee579573eb9	460408	2	main	slash	6	absent	absent	absent	no	present	0	766
631797089a0a1ee579573eb9	461932	2	main	slash	7	circle	global	LVF	yes	present	1	590
631797089a0a1ee579573eb9	463601	2	main	slash	8	circle	global	RVF	yes	present	1	692
631797089a0a1ee579573eb9	465997	2	main	slash	9	square	local	RVF	yes	present	1	1455
631797089a0a1ee579573eb9	467994	2	main	slash	10	square	local	LVF	yes	present	1	1102
631797089a0a1ee579573eb9	469630	2	main	slash	11	square	global	LVF	yes	present	1	755
631797089a0a1ee579573eb9	471165	2	main	slash	12	circle	global	LVF	yes	present	1	673
631797089a0a1ee579573eb9	472880	2	main	slash	13	circle	local	RVF	yes	present	1	804
631797089a0a1ee579573eb9	475776	2	main	slash	14	absent	absent	absent	no	absent	1	2000
631797089a0a1ee579573eb9	478926	2	main	slash	15	circle	local	RVF	yes	absent	0	2000
631797089a0a1ee579573eb9	481909	2	main	slash	16	square	local	LVF	yes	absent	0	2000
631797089a0a1ee579573eb9	484909	2	main	slash	17	absent	absent	absent	no	absent	1	2000
631797089a0a1ee579573eb9	487157	2	main	slash	18	circle	local	LVF	yes	present	1	1098
631797089a0a1ee579573eb9	489230	2	main	slash	19	square	global	RVF	yes	present	1	871
631797089a0a1ee579573eb9	490878	2	main	slash	20	circle	global	RVF	yes	present	1	685
631797089a0a1ee579573eb9	492472	2	main	slash	21	square	global	LVF	yes	present	1	663
631797089a0a1ee579573eb9	494016	2	main	slash	22	square	global	LVF	yes	present	1	657
