subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
63222da004d65dff83fd1de4	210033	1	practice	z	1	circle	local	RVF	yes	absent	0	2000
63222da004d65dff83fd1de4	213612	1	practice	z	2	absent	absent	absent	no	present	0	931
63222da004d65dff83fd1de4	217015	1	practice	z	3	circle	local	RVF	yes	present	1	1027
63222da004d65dff83fd1de4	221697	1	practice	z	4	square	local	LVF	yes	absent	0	2000
63222da004d65dff83fd1de4	224729	1	practice	z	5	square	global	LVF	yes	present	1	770
63222da004d65dff83fd1de4	227828	1	practice	z	6	circle	global	RVF	yes	present	1	759
63222da004d65dff83fd1de4	231281	1	practice	z	7	circle	global	LVF	yes	present	1	837
63222da004d65dff83fd1de4	234526	1	practice	z	8	square	global	LVF	yes	present	1	1041
63222da004d65dff83fd1de4	238676	1	practice	z	9	absent	absent	absent	no	absent	1	2000
63222da004d65dff83fd1de4	243138	1	practice	z	10	absent	absent	absent	no	absent	1	2000
63222da004d65dff83fd1de4	246159	1	practice	z	11	circle	global	LVF	yes	present	1	892
63222da004d65dff83fd1de4	250894	1	practice	z	12	circle	local	RVF	yes	present	1	846
63222da004d65dff83fd1de4	253753	1	practice	z	13	square	local	LVF	yes	present	1	849
63222da004d65dff83fd1de4	256833	1	practice	z	14	square	global	RVF	yes	present	1	704
63222da004d65dff83fd1de4	261035	1	practice	z	15	absent	absent	absent	no	absent	1	2000
63222da004d65dff83fd1de4	263951	1	practice	z	16	circle	global	RVF	yes	present	1	702
63222da004d65dff83fd1de4	581297	2	main	z	1	square	global	LVF	yes	present	1	966
63222da004d65dff83fd1de4	583500	2	main	z	2	square	global	LVF	yes	present	1	697
63222da004d65dff83fd1de4	585926	2	main	z	3	circle	local	RVF	yes	present	1	1067
63222da004d65dff83fd1de4	589296	2	main	z	4	square	local	LVF	yes	absent	0	2000
63222da004d65dff83fd1de4	592201	2	main	z	5	circle	global	RVF	yes	present	1	757
63222da004d65dff83fd1de4	594307	2	main	z	6	circle	local	LVF	yes	present	1	674
63222da004d65dff83fd1de4	596450	2	main	z	7	square	global	LVF	yes	present	1	795
63222da004d65dff83fd1de4	598849	2	main	z	8	circle	global	LVF	yes	present	1	988
63222da004d65dff83fd1de4	600980	2	main	z	9	square	local	RVF	yes	present	1	913
63222da004d65dff83fd1de4	604220	2	main	z	10	absent	absent	absent	no	absent	1	2000
63222da004d65dff83fd1de4	607822	2	main	z	11	square	global	RVF	yes	present	1	854
63222da004d65dff83fd1de4	609872	2	main	z	12	circle	local	LVF	yes	present	1	899
63222da004d65dff83fd1de4	612400	2	main	z	13	circle	global	RVF	yes	present	1	1004
63222da004d65dff83fd1de4	614960	2	main	z	14	square	global	LVF	yes	present	1	990
63222da004d65dff83fd1de4	617187	2	main	z	15	circle	global	LVF	yes	present	1	1061
63222da004d65dff83fd1de4	619498	2	main	z	16	square	local	RVF	yes	present	1	1016
63222da004d65dff83fd1de4	621913	2	main	z	17	square	local	RVF	yes	present	1	891
63222da004d65dff83fd1de4	624285	2	main	z	18	circle	global	RVF	yes	present	1	957
