subject	time_elapsed_ms	blocknum	block_type	block_response	trialnum	target	level	field	target_present	response	correct	rt
633b59423091867d3a41f0f5	248400	1	practice	slash	1	circle	global	LVF	yes	absent	0	2000
633b59423091867d3a41f0f5	253542	1	practice	slash	2	circle	global	LVF	yes	present	1	559
633b59423091867d3a41f0f5	258538	1	practice	slash	3	square	global	LVF	yes	present	1	821
633b59423091867d3a41f0f5	262883	1	practice	slash	4	absent	absent	absent	no	absent	1	2000
633b59423091867d3a41f0f5	267216	1	practice	slash	5	absent	absent	absent	no	absent	1	2000
633b59423091867d3a41f0f5	271317	1	practice	slash	6	absent	absent	absent	no	absent	1	2000
633b59423091867d3a41f0f5	274807	1	practice	slash	7	circle	global	RVF	yes	present	1	1092
633b59423091867d3a41f0f5	279028	1	practice	slash	8	circle	local	RVF	yes	present	1	1813
633b59423091867d3a41f0f5	282363	1	practice	slash	9	square	local	LVF	yes	present	1	1031
633b59423091867d3a41f0f5	285544	1	practice	slash	10	circle	local	RVF	yes	present	1	1195
633b59423091867d3a41f0f5	288497	1	practice	slash	11	square	global	RVF	yes	present	1	899
633b59423091867d3a41f0f5	291250	1	practice	slash	12	circle	local	RVF	yes	present	1	735
633b59423091867d3a41f0f5	295265	1	practice	slash	13	absent	absent	absent	no	absent	1	2000
633b59423091867d3a41f0f5	299549	1	practice	slash	14	circle	global	RVF	yes	present	1	1500
633b59423091867d3a41f0f5	302375	1	practice	slash	15	square	global	LVF	yes	present	1	728
633b59423091867d3a41f0f5	305270	1	practice	slash	16	square	local	LVF	yes	present	1	872
633b59423091867d3a41f0f5	310087	2	main	slash	1	circle	global	RVF	yes	present	1	791
633b59423091867d3a41f0f5	313280	2	main	slash	2	circle	local	RVF	yes	present	1	652
633b59423091867d3a41f0f5	315990	2	main	slash	3	square	global	LVF	yes	present	1	662
633b59423091867d3a41f0f5	318214	2	main	slash	4	square	global	RVF	yes	present	1	852
