subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5a8f3dd5eea3d300016ece86	headphonecheck_testphase	3	NA	NA	0	NA	third	1	1232
5a8f3dd5eea3d300016ece86	headphonecheck_testphase	6	NA	NA	0	NA	second	1	2159
5a8f3dd5eea3d300016ece86	headphonecheck_testphase	9	NA	NA	0	NA	second	1	855
5a8f3dd5eea3d300016ece86	headphonecheck_testphase	12	NA	NA	0	NA	first	1	1125
5a8f3dd5eea3d300016ece86	headphonecheck_testphase	15	NA	NA	0	NA	third	1	410
5a8f3dd5eea3d300016ece86	headphonecheck_testphase	18	NA	NA	0	NA	first	1	231
5a8f3dd5eea3d300016ece86	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_left	1	1710
5a8f3dd5eea3d300016ece86	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	900
5a8f3dd5eea3d300016ece86	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	631
5a8f3dd5eea3d300016ece86	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	644
5a8f3dd5eea3d300016ece86	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	514
5a8f3dd5eea3d300016ece86	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	546
5a8f3dd5eea3d300016ece86	DL_practice	2	ta	ta	0	left	ta	1	1649
5a8f3dd5eea3d300016ece86	DL_practice	3	da	da	0	left	da	1	1997
5a8f3dd5eea3d300016ece86	DL_practice	4	ka	pa	1	left	ka	1	3463
5a8f3dd5eea3d300016ece86	DL_practice	5	ga	ga	0	left	ga	1	1097
5a8f3dd5eea3d300016ece86	DL_practice	6	ka	ka	0	left	ka	1	1513
5a8f3dd5eea3d300016ece86	DL_practice	7	ba	ba	0	left	ba	1	1929
5a8f3dd5eea3d300016ece86	DL_practice	8	ga	ta	1	left	ga	1	4448
5a8f3dd5eea3d300016ece86	DL_practice	9	da	ba	1	right	ba	1	1904
5a8f3dd5eea3d300016ece86	DL_practice	10	pa	pa	0	left	pa	1	1580
5a8f3dd5eea3d300016ece86	DL_test	1	pa	ba	1	right	ba	1	2930
5a8f3dd5eea3d300016ece86	DL_test	2	ka	da	1	other	ga	0	1480
5a8f3dd5eea3d300016ece86	DL_test	3	ta	ga	1	other	ka	0	2964
5a8f3dd5eea3d300016ece86	DL_test	4	ga	ba	1	right	ba	1	2448
5a8f3dd5eea3d300016ece86	DL_test	5	ka	ta	1	right	ta	1	3913
5a8f3dd5eea3d300016ece86	DL_test	6	da	pa	1	right	pa	1	2347
5a8f3dd5eea3d300016ece86	DL_test	7	pa	ga	1	right	ga	1	1497
5a8f3dd5eea3d300016ece86	DL_test	8	ta	da	1	right	da	1	2082
5a8f3dd5eea3d300016ece86	DL_test	9	ga	da	1	left	ga	1	1548
5a8f3dd5eea3d300016ece86	DL_test	10	da	ba	1	right	ba	1	1961
5a8f3dd5eea3d300016ece86	DL_test	11	ta	ba	1	other	ga	0	2732
5a8f3dd5eea3d300016ece86	DL_test	12	ta	pa	1	right	pa	1	2613
5a8f3dd5eea3d300016ece86	DL_test	13	pa	pa	0	left	pa	1	1397
5a8f3dd5eea3d300016ece86	DL_test	14	pa	da	1	right	da	1	2047
5a8f3dd5eea3d300016ece86	DL_test	15	ba	ba	0	left	ba	1	2445
5a8f3dd5eea3d300016ece86	DL_test	16	ba	pa	1	other	ka	0	3028
5a8f3dd5eea3d300016ece86	DL_test	17	ga	ta	1	right	ta	1	3528
5a8f3dd5eea3d300016ece86	DL_test	18	ka	ba	1	right	ba	1	2232
5a8f3dd5eea3d300016ece86	DL_test	19	ba	ta	1	right	ta	1	1597
5a8f3dd5eea3d300016ece86	DL_test	20	da	ta	1	right	ta	1	2532
5a8f3dd5eea3d300016ece86	DL_test	21	ga	ga	0	left	ga	1	1430
5a8f3dd5eea3d300016ece86	DL_test	22	pa	ka	1	right	ka	1	2490
5a8f3dd5eea3d300016ece86	DL_test	23	da	ka	1	other	pa	0	1482
5a8f3dd5eea3d300016ece86	DL_test	24	ta	ta	0	left	ta	1	1697
5a8f3dd5eea3d300016ece86	DL_test	25	ba	ka	1	right	ka	1	1514
5a8f3dd5eea3d300016ece86	DL_test	26	ba	da	1	right	da	1	2665
5a8f3dd5eea3d300016ece86	DL_test	27	da	ga	1	right	ga	1	1197
5a8f3dd5eea3d300016ece86	DL_test	28	ba	ga	1	right	ga	1	1247
5a8f3dd5eea3d300016ece86	DL_test	29	ta	ka	1	right	ka	1	1166
5a8f3dd5eea3d300016ece86	DL_test	30	da	da	0	left	da	1	1465
5a8f3dd5eea3d300016ece86	DL_test	31	ga	pa	1	right	pa	1	1378
5a8f3dd5eea3d300016ece86	DL_test	32	pa	ta	1	right	ta	1	1667
5a8f3dd5eea3d300016ece86	DL_test	33	ka	ga	1	right	ga	1	1699
5a8f3dd5eea3d300016ece86	DL_test	34	ga	ka	1	left	ga	1	2779
5a8f3dd5eea3d300016ece86	DL_test	35	ka	ka	0	left	ka	1	1265
