subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5bc9ed7f3d893f0001bee4b6	headphonecheck_testphase	3	NA	NA	0	NA	first	1	1747
5bc9ed7f3d893f0001bee4b6	headphonecheck_testphase	6	NA	NA	0	NA	second	1	603
5bc9ed7f3d893f0001bee4b6	headphonecheck_testphase	9	NA	NA	0	NA	third	1	1845
5bc9ed7f3d893f0001bee4b6	headphonecheck_testphase	12	NA	NA	0	NA	second	1	2100
5bc9ed7f3d893f0001bee4b6	headphonecheck_testphase	15	NA	NA	0	NA	third	1	1046
5bc9ed7f3d893f0001bee4b6	headphonecheck_testphase	18	NA	NA	0	NA	first	1	1102
5bc9ed7f3d893f0001bee4b6	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	2878
5bc9ed7f3d893f0001bee4b6	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	699
5bc9ed7f3d893f0001bee4b6	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	1004
5bc9ed7f3d893f0001bee4b6	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	1334
5bc9ed7f3d893f0001bee4b6	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	589
5bc9ed7f3d893f0001bee4b6	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	577
5bc9ed7f3d893f0001bee4b6	DL_practice	2	ga	ga	0	left	ga	1	2179
5bc9ed7f3d893f0001bee4b6	DL_practice	3	ka	ka	0	left	ka	1	1156
5bc9ed7f3d893f0001bee4b6	DL_practice	4	da	ba	1	left	da	1	5566
5bc9ed7f3d893f0001bee4b6	DL_practice	5	ba	ba	0	left	ba	1	1660
5bc9ed7f3d893f0001bee4b6	DL_practice	6	da	da	0	left	da	1	1281
5bc9ed7f3d893f0001bee4b6	DL_practice	7	pa	pa	0	left	pa	1	1740
5bc9ed7f3d893f0001bee4b6	DL_practice	8	ta	ta	0	left	ta	1	1376
5bc9ed7f3d893f0001bee4b6	DL_practice	9	ga	ta	1	other	ka	0	3975
5bc9ed7f3d893f0001bee4b6	DL_practice	10	ka	pa	1	right	pa	1	1397
5bc9ed7f3d893f0001bee4b6	DL_test	1	ta	pa	1	right	pa	1	1238
5bc9ed7f3d893f0001bee4b6	DL_test	2	da	da	0	left	da	1	1628
5bc9ed7f3d893f0001bee4b6	DL_test	3	ta	ba	1	other	pa	0	2481
5bc9ed7f3d893f0001bee4b6	DL_test	4	ta	ka	1	right	ka	1	1179
5bc9ed7f3d893f0001bee4b6	DL_test	5	ga	pa	1	right	pa	1	1454
5bc9ed7f3d893f0001bee4b6	DL_test	6	ba	da	1	right	da	1	1843
5bc9ed7f3d893f0001bee4b6	DL_test	7	ba	pa	1	right	pa	1	1412
5bc9ed7f3d893f0001bee4b6	DL_test	8	da	ba	1	left	da	1	1626
5bc9ed7f3d893f0001bee4b6	DL_test	9	da	ka	1	other	pa	0	2449
5bc9ed7f3d893f0001bee4b6	DL_test	10	ka	ba	1	left	ka	1	1714
5bc9ed7f3d893f0001bee4b6	DL_test	11	pa	pa	0	left	pa	1	1269
