subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5beccd423b6489000156596f	headphonecheck_testphase	3	NA	NA	0	NA	third	1	435
5beccd423b6489000156596f	headphonecheck_testphase	6	NA	NA	0	NA	second	1	371
5beccd423b6489000156596f	headphonecheck_testphase	9	NA	NA	0	NA	first	1	312
5beccd423b6489000156596f	headphonecheck_testphase	12	NA	NA	0	NA	third	1	347
5beccd423b6489000156596f	headphonecheck_testphase	15	NA	NA	0	NA	second	1	329
5beccd423b6489000156596f	headphonecheck_testphase	18	NA	NA	0	NA	first	1	270
5beccd423b6489000156596f	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	287
5beccd423b6489000156596f	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_left	1	308
5beccd423b6489000156596f	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_right	1	355
5beccd423b6489000156596f	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	239
5beccd423b6489000156596f	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_right	1	346
5beccd423b6489000156596f	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_left	1	297
5beccd423b6489000156596f	DL_practice	2	ka	ka	0	left	ka	1	1087
5beccd423b6489000156596f	DL_practice	3	ka	pa	1	left	ka	1	885
5beccd423b6489000156596f	DL_practice	4	pa	pa	0	left	pa	1	896
5beccd423b6489000156596f	DL_practice	5	da	da	0	left	da	1	874
5beccd423b6489000156596f	DL_practice	6	ba	ba	0	left	ba	1	884
5beccd423b6489000156596f	DL_practice	7	da	ba	1	right	ba	1	1596
5beccd423b6489000156596f	DL_practice	8	ga	ta	1	other	ka	0	1015
5beccd423b6489000156596f	DL_practice	9	ga	ga	0	left	ga	1	831
5beccd423b6489000156596f	DL_practice	10	ta	ta	0	left	ta	1	1026
5beccd423b6489000156596f	DL_test	1	ga	ga	0	left	ga	1	699
5beccd423b6489000156596f	DL_test	2	ta	pa	1	right	pa	1	937
5beccd423b6489000156596f	DL_test	3	ka	ka	0	left	ka	1	966
5beccd423b6489000156596f	DL_test	4	da	ga	1	left	da	1	747
5beccd423b6489000156596f	DL_test	5	da	da	0	left	da	1	785
5beccd423b6489000156596f	DL_test	6	ka	da	1	left	ka	1	907
5beccd423b6489000156596f	DL_test	7	da	ta	1	right	ta	1	1504
5beccd423b6489000156596f	DL_test	8	ka	ga	1	left	ka	1	1101
5beccd423b6489000156596f	DL_test	9	pa	ka	1	left	pa	1	895
5beccd423b6489000156596f	DL_test	10	ba	ga	1	right	ga	1	882
5beccd423b6489000156596f	DL_test	11	ga	da	1	right	da	1	1479
5beccd423b6489000156596f	DL_test	12	ga	pa	1	other	ka	0	1682
5beccd423b6489000156596f	DL_test	13	ba	da	1	right	da	1	976
5beccd423b6489000156596f	DL_test	14	pa	ba	1	left	pa	1	1151
5beccd423b6489000156596f	DL_test	15	ta	ka	1	right	ka	1	925
5beccd423b6489000156596f	DL_test	16	da	ka	1	left	da	1	1269
5beccd423b6489000156596f	DL_test	17	ga	ba	1	right	ba	1	833
5beccd423b6489000156596f	DL_test	18	ta	ga	1	other	da	0	1307
