subject	block	trialnum	DL_leftSound	DL_rightSound	DL_dualSound	DL_choice	response	correct	rt
5c0004a72340e10001bfc3a0	headphonecheck_testphase	3	NA	NA	0	NA	second	1	176
5c0004a72340e10001bfc3a0	headphonecheck_testphase	6	NA	NA	0	NA	first	1	476
5c0004a72340e10001bfc3a0	headphonecheck_testphase	9	NA	NA	0	NA	third	1	76
5c0004a72340e10001bfc3a0	headphonecheck_testphase	12	NA	NA	0	NA	third	1	225
5c0004a72340e10001bfc3a0	headphonecheck_testphase	15	NA	NA	0	NA	second	1	426
5c0004a72340e10001bfc3a0	headphonecheck_testphase	18	NA	NA	0	NA	first	1	260
5c0004a72340e10001bfc3a0	stereocheck_testphase	3	NA	NA	0	NA	stereocheck_right	1	342
5c0004a72340e10001bfc3a0	stereocheck_testphase	6	NA	NA	0	NA	stereocheck_right	1	309
5c0004a72340e10001bfc3a0	stereocheck_testphase	9	NA	NA	0	NA	stereocheck_left	1	259
5c0004a72340e10001bfc3a0	stereocheck_testphase	12	NA	NA	0	NA	stereocheck_left	1	375
5c0004a72340e10001bfc3a0	stereocheck_testphase	15	NA	NA	0	NA	stereocheck_left	1	176
5c0004a72340e10001bfc3a0	stereocheck_testphase	18	NA	NA	0	NA	stereocheck_right	1	825
5c0004a72340e10001bfc3a0	DL_practice	2	da	ba	1	left	da	1	1327
5c0004a72340e10001bfc3a0	DL_practice	3	ta	ta	0	left	ta	1	1527
5c0004a72340e10001bfc3a0	DL_practice	4	da	da	0	left	da	1	1343
5c0004a72340e10001bfc3a0	DL_practice	5	ka	ka	0	left	ka	1	1260
5c0004a72340e10001bfc3a0	DL_practice	6	ga	ta	1	other	ka	0	1160
5c0004a72340e10001bfc3a0	DL_practice	7	ka	pa	1	right	pa	1	1793
5c0004a72340e10001bfc3a0	DL_practice	8	ba	ba	0	left	ba	1	1293
5c0004a72340e10001bfc3a0	DL_practice	9	pa	pa	0	left	pa	1	1943
5c0004a72340e10001bfc3a0	DL_practice	10	ga	ga	0	left	ga	1	1143
5c0004a72340e10001bfc3a0	DL_test	1	pa	ta	1	right	ta	1	2209
5c0004a72340e10001bfc3a0	DL_test	2	ba	ka	1	other	ta	0	92
5c0004a72340e10001bfc3a0	DL_test	3	da	ba	1	left	da	1	1259
5c0004a72340e10001bfc3a0	DL_test	4	ga	ta	1	other	ka	0	1709
5c0004a72340e10001bfc3a0	DL_test	5	da	da	0	left	da	1	1076
5c0004a72340e10001bfc3a0	DL_test	6	pa	pa	0	left	pa	1	1259
